frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,540.00,960.00,64.00,64.00,540.00,960.00,64.00,64.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1056,32767,0,-1,0,0,0,0,0
1,0,1,1,ACCEPT,39.1308,5.1247,2424,4,0,0.1295,548.00,960.00,64.00,64.00,549.00,960.00,65.00,65.00,0.9547,1.00,1,0,3.2898,ACCEPT,0,887,1158,20151,0,-1,2424,0,0,0,0
2,0,1,1,ACCEPT,30.5039,4.0242,1996,5,0,0.0997,558.00,960.00,64.00,64.00,559.00,959.00,65.00,65.00,0.9402,1.41,1,0,2.8019,ACCEPT,0,938,1025,15833,0,-1,1996,0,0,0,0
3,0,1,1,ACCEPT,39.2048,5.9148,2082,5,-1,0.0620,568.00,958.00,66.56,66.56,568.00,958.00,66.00,66.00,0.9832,0.00,1,1,3.0174,ACCEPT,0,1033,888,14148,0,-1,2082,0,0,0,0
4,0,1,1,ACCEPT,58.6481,10.1255,2501,4,-1,0.0536,576.31,955.92,66.56,66.56,577.00,956.00,66.00,66.00,0.9713,0.69,1,0,3.0805,ACCEPT,0,894,301,31513,0,-1,2501,0,0,0,0
5,0,1,1,ACCEPT,50.4072,6.3996,3155,5,-1,0.0254,586.70,953.84,66.56,66.56,587.00,954.00,67.00,67.00,0.9846,0.34,1,0,3.0870,ACCEPT,0,1122,265,27999,0,-1,3155,0,0,0,0
6,0,1,1,ACCEPT,47.0048,6.4963,2618,4,-2,0.0458,595.02,949.69,66.56,66.56,596.00,951.00,68.00,68.00,0.9343,1.64,1,0,2.7292,ACCEPT,0,934,372,15408,0,-1,2618,0,0,0,0
7,0,1,1,ACCEPT,45.3223,6.7121,1725,4,-1,0.0417,603.33,947.61,66.56,66.56,605.00,948.00,68.00,68.00,0.9316,1.72,1,0,3.0218,ACCEPT,0,696,369,16488,0,-1,1725,0,0,0,0
8,0,1,1,ACCEPT,51.1966,7.8206,2659,4,-2,0.0034,611.64,943.45,66.56,66.56,613.00,944.00,69.00,69.00,0.9268,1.47,1,0,2.9901,ACCEPT,0,1015,232,26111,0,-1,2659,0,0,0,0
9,0,1,1,ACCEPT,53.0916,8.1552,2838,4,-2,0.0169,619.95,939.30,66.56,66.56,622.00,940.00,69.00,69.00,0.9085,2.16,1,0,2.9384,ACCEPT,0,974,364,14154,0,-1,2838,0,0,0,0
10,0,1,1,ACCEPT,52.1911,7.7804,1984,4,-2,0.0252,628.27,935.14,66.56,66.56,630.00,936.00,70.00,70.00,0.9038,1.94,1,0,2.9058,ACCEPT,0,713,392,13822,0,-1,1984,0,0,0,0
11,0,1,1,ACCEPT,43.2652,5.6923,1850,4,-2,0.0519,636.58,930.98,69.22,69.22,638.00,931.00,71.00,71.00,0.9364,1.42,1,1,3.0342,ACCEPT,0,684,265,18086,0,-1,1850,0,0,0,0
12,0,1,1,ACCEPT,51.0557,7.2264,2905,4,-2,0.0227,645.20,926.67,69.22,69.22,646.00,926.00,71.00,71.00,0.9506,1.04,1,0,3.0402,ACCEPT,0,1046,278,21616,0,-1,2905,0,0,0,0
13,0,1,1,ACCEPT,52.6200,9.1754,2982,3,-3,0.0174,651.67,920.20,71.99,71.99,653.00,920.00,72.00,72.00,0.9584,1.34,1,1,2.9719,ACCEPT,0,1195,237,15794,0,-1,2982,0,0,0,0
14,0,1,1,ACCEPT,60.4978,12.0515,3507,3,-3,0.0057,658.42,913.45,71.99,71.99,660.00,914.00,72.00,72.00,0.9430,1.67,1,0,3.0420,ACCEPT,0,1289,326,12757,0,-1,3507,0,0,0,0
15,0,1,1,ACCEPT,62.6548,11.6837,2290,4,-3,0.0135,667.42,906.70,71.99,71.99,667.00,907.00,73.00,73.00,0.9726,0.52,1,0,3.0861,ACCEPT,0,799,371,13928,0,-1,2290,0,0,0,0
16,0,1,1,ACCEPT,60.6231,11.0230,2392,3,-3,0.0134,674.17,899.95,71.99,71.99,674.00,900.00,73.00,73.00,0.9726,0.18,1,0,3.1016,ACCEPT,0,820,176,30672,0,-1,2392,0,0,0,0
17,0,1,1,ACCEPT,56.3601,10.9866,3274,2,-3,0.0678,678.67,893.20,71.99,71.99,680.00,893.00,74.00,74.00,0.9382,1.34,1,0,3.0713,ACCEPT,0,1236,317,9186,0,-1,3274,0,0,0,0
18,0,1,1,ACCEPT,64.6752,14.0472,2978,3,-3,0.0168,685.42,886.45,71.99,71.99,686.00,886.00,74.00,74.00,0.9464,0.73,1,0,3.0488,ACCEPT,0,1119,153,22809,0,-1,2978,0,0,0,0
19,0,1,1,ACCEPT,57.2830,8.3292,2707,3,-3,0.0052,692.17,879.70,71.99,71.99,691.00,878.00,75.00,75.00,0.9165,2.07,1,0,2.4931,ACCEPT,0,1016,313,13473,0,-1,2707,0,0,0,0
20,0,1,1,ACCEPT,60.7793,10.1447,3084,2,-4,0.0327,696.67,870.70,71.99,71.99,696.00,870.00,75.00,75.00,0.9214,0.97,1,0,2.9506,ACCEPT,0,1051,323,13825,0,-1,3084,0,0,0,0
21,0,1,1,ACCEPT,60.6736,12.4966,3699,1,-4,0.0397,698.92,861.70,71.99,71.99,700.00,862.00,76.00,76.00,0.8973,1.12,1,0,3.0431,ACCEPT,0,1347,215,11058,0,-1,3699,0,0,0,0
22,0,1,1,ACCEPT,60.5050,13.5806,1684,2,-4,0.0083,703.42,852.70,71.99,71.99,704.00,853.00,76.00,76.00,0.8973,0.65,1,0,3.0628,ACCEPT,0,601,230,6908,0,-1,1684,0,0,0,0
