t_s,phase,channel,unit,value
0.101,static,VCCINT_V,V,0.805
0.101,static,VCCINT_I,A,4.849
0.101,static,VCCINT,W,3.9065
0.101,static,VCC_SOC_V,V,0.805
0.101,static,VCC_SOC_I,A,3.9301
0.151,static,VCC_SOC,W,3.1664
0.151,static,VCC_PMC_V,V,0.8788
0.151,static,VCC_PMC_I,A,0.152
0.151,static,VCC_PMC,W,0.1336
0.151,static,VCC_PSFP_V,V,0.88
0.151,static,VCC_PSFP_I,A,0.192
0.151,static,VCC_PSFP,W,0.1709
0.151,static,VCC_PSLP_CPM5_V,V,0.8788
0.151,static,VCC_PSLP_CPM5_I,A,1.9585
0.151,static,VCC_PSLP_CPM5,W,1.7213
0.151,static,VCC1V1_LP4_V,V,1.1013
0.151,static,VCC1V1_LP4_I,A,1.09
0.151,static,VCC1V1_LP4,W,1.1953
0.202,static,VCCAUX_V,V,1.5037
0.202,static,VCCAUX_I,A,0.7595
0.202,static,VCCAUX,W,1.1414
0.202,static,VCCAUX_PMC_V,V,1.5037
0.202,static,VCCAUX_PMC_I,A,0.088
0.202,static,VCCAUX_PMC,W,0.132
0.704,static,VCCINT_V,V,0.805
0.704,static,VCCINT_I,A,4.849
0.704,static,VCCINT,W,3.9065
0.755,static,VCC_SOC_V,V,0.8062
0.755,static,VCC_SOC_I,A,3.9202
0.755,static,VCC_SOC,W,3.1473
0.755,static,VCC_PMC_V,V,0.8775
0.755,static,VCC_PMC_I,A,0.152
0.755,static,VCC_PMC,W,0.1328
0.755,static,VCC_PSFP_V,V,0.88
0.755,static,VCC_PSFP_I,A,0.1904
0.755,static,VCC_PSFP,W,0.1679
0.755,static,VCC_PSLP_CPM5_V,V,0.8775
0.755,static,VCC_PSLP_CPM5_I,A,1.9585
0.755,static,VCC_PSLP_CPM5,W,1.7167
0.755,static,VCC1V1_LP4_V,V,1.1013
0.755,static,VCC1V1_LP4_I,A,1.09
0.755,static,VCC1V1_LP4,W,1.1953
0.755,static,VCCAUX_V,V,1.5037
0.805,static,VCCAUX_I,A,0.7595
0.805,static,VCCAUX,W,1.1414
0.805,static,VCCAUX_PMC_V,V,1.5025
0.805,static,VCCAUX_PMC_I,A,0.0875
0.805,static,VCCAUX_PMC,W,0.132
1.308,static,VCCINT_V,V,0.805
1.308,static,VCCINT_I,A,4.6488
1.308,static,VCCINT,W,3.7845
1.308,static,VCC_SOC_V,V,0.8062
1.308,static,VCC_SOC_I,A,3.9202
1.358,static,VCC_SOC,W,3.1473
1.358,static,VCC_PMC_V,V,0.8775
1.358,static,VCC_PMC_I,A,0.152
1.358,static,VCC_PMC,W,0.1328
1.358,static,VCC_PSFP_V,V,0.8813
1.358,static,VCC_PSFP_I,A,0.1904
1.358,static,VCC_PSFP,W,0.1679
1.358,static,VCC_PSLP_CPM5_V,V,0.8788
1.358,static,VCC_PSLP_CPM5_I,A,1.959
1.358,static,VCC_PSLP_CPM5,W,1.7167
1.358,static,VCC1V1_LP4_V,V,1.1025
1.358,static,VCC1V1_LP4_I,A,1.085
1.409,static,VCC1V1_LP4,W,1.1875
1.409,static,VCCAUX_V,V,1.5037
1.409,static,VCCAUX_I,A,0.7599
1.409,static,VCCAUX,W,1.1414
1.409,static,VCCAUX_PMC_V,V,1.5037
1.409,static,VCCAUX_PMC_I,A,0.088
1.409,static,VCCAUX_PMC,W,0.132
1.911,static,VCCINT_V,V,0.805
1.911,static,VCCINT_I,A,4.8246
1.911,static,VCCINT,W,3.9065
1.911,static,VCC_SOC_V,V,0.8062
1.911,static,VCC_SOC_I,A,3.9301
1.911,static,VCC_SOC,W,3.1664
1.961,static,VCC_PMC_V,V,0.8775
1.961,static,VCC_PMC_I,A,0.152
1.961,static,VCC_PMC,W,0.1328
1.961,static,VCC_PSFP_V,V,0.8813
1.961,static,VCC_PSFP_I,A,0.5144
1.961,static,VCC_PSFP,W,0.1679
1.961,static,VCC_PSLP_CPM5_V,V,0.8788
1.961,static,VCC_PSLP_CPM5_I,A,1.959
1.961,static,VCC_PSLP_CPM5,W,1.7213
1.961,static,VCC1V1_LP4_V,V,1.1025
1.961,static,VCC1V1_LP4_I,A,1.09
1.961,static,VCC1V1_LP4,W,1.2032
2.012,static,VCCAUX_V,V,1.5025
2.012,static,VCCAUX_I,A,0.7595
2.012,static,VCCAUX,W,1.1414
2.012,static,VCCAUX_PMC_V,V,1.5037
2.012,static,VCCAUX_PMC_I,A,0.088
2.012,static,VCCAUX_PMC,W,0.132
2.514,static,VCCINT_V,V,0.805
2.514,static,VCCINT_I,A,5.2006
2.514,static,VCCINT,W,4.2728
2.514,static,VCC_SOC_V,V,0.8062
2.514,static,VCC_SOC_I,A,3.9248
2.514,static,VCC_SOC,W,3.1473
2.514,static,VCC_PMC_V,V,0.8775
2.514,static,VCC_PMC_I,A,0.152
2.564,static,VCC_PMC,W,0.1336
2.564,static,VCC_PSFP_V,V,0.88
2.564,static,VCC_PSFP_I,A,0.1904
2.564,static,VCC_PSFP,W,0.1679
2.564,static,VCC_PSLP_CPM5_V,V,0.8788
2.564,static,VCC_PSLP_CPM5_I,A,1.9585
2.564,static,VCC_PSLP_CPM5,W,1.7167
2.564,static,VCC1V1_LP4_V,V,1.1025
2.564,static,VCC1V1_LP4_I,A,1.09
2.564,static,VCC1V1_LP4,W,1.1953
2.564,static,VCCAUX_V,V,1.5037
2.564,static,VCCAUX_I,A,0.758
2.615,static,VCCAUX,W,1.1414
2.615,static,VCCAUX_PMC_V,V,1.5025
2.615,static,VCCAUX_PMC_I,A,0.0875
2.615,static,VCCAUX_PMC,W,0.132
3.117,static,VCCINT_V,V,0.805
3.117,static,VCCINT_I,A,4.473
3.117,static,VCCINT,W,3.6624
3.117,static,VCC_SOC_V,V,0.8062
3.117,static,VCC_SOC_I,A,3.9599
3.117,static,VCC_SOC,W,3.1664
3.168,static,VCC_PMC_V,V,0.8788
3.168,static,VCC_PMC_I,A,0.152
3.168,static,VCC_PMC,W,0.1336
3.168,static,VCC_PSFP_V,V,0.88
3.168,static,VCC_PSFP_I,A,0.2705
3.168,static,VCC_PSFP,W,0.235
3.168,static,VCC_PSLP_CPM5_V,V,0.8788
3.168,static,VCC_PSLP_CPM5_I,A,1.959
3.168,static,VCC_PSLP_CPM5,W,1.7213
3.168,static,VCC1V1_LP4_V,V,1.1025
3.168,static,VCC1V1_LP4_I,A,1.09
3.168,static,VCC1V1_LP4,W,1.2032
3.218,static,VCCAUX_V,V,1.5037
3.218,static,VCCAUX_I,A,0.758
3.218,static,VCCAUX,W,1.1414
3.218,static,VCCAUX_PMC_V,V,1.5037
3.218,static,VCCAUX_PMC_I,A,0.0875
3.218,static,VCCAUX_PMC,W,0.132
3.721,static,VCCINT_V,V,0.805
3.721,static,VCCINT_I,A,4.473
3.721,static,VCCINT,W,3.5403
3.721,static,VCC_SOC_V,V,0.8062
3.721,static,VCC_SOC_I,A,3.9248
3.721,static,VCC_SOC,W,3.1664
3.721,static,VCC_PMC_V,V,0.8775
3.771,static,VCC_PMC_I,A,0.152
3.771,static,VCC_PMC,W,0.1336
3.771,static,VCC_PSFP_V,V,0.88
3.771,static,VCC_PSFP_I,A,0.1904
3.771,static,VCC_PSFP,W,0.1709
3.771,static,VCC_PSLP_CPM5_V,V,0.8788
3.771,static,VCC_PSLP_CPM5_I,A,1.959
3.771,static,VCC_PSLP_CPM5,W,1.7213
3.771,static,VCC1V1_LP4_V,V,1.1013
3.771,static,VCC1V1_LP4_I,A,1.09
3.771,static,VCC1V1_LP4,W,1.1953
3.771,static,VCCAUX_V,V,1.5037
3.821,static,VCCAUX_I,A,0.7585
3.821,static,VCCAUX,W,1.1414
3.821,static,VCCAUX_PMC_V,V,1.5037
3.821,static,VCCAUX_PMC_I,A,0.088
3.821,static,VCCAUX_PMC,W,0.132
4.324,static,VCCINT_V,V,0.805
4.324,static,VCCINT_I,A,4.7757
4.324,static,VCCINT,W,3.7845
4.324,static,VCC_SOC_V,V,0.8062
4.324,static,VCC_SOC_I,A,3.9248
4.324,static,VCC_SOC,W,3.1664
4.324,static,VCC_PMC_V,V,0.8775
4.324,static,VCC_PMC_I,A,0.152
4.374,static,VCC_PMC,W,0.1328
4.374,static,VCC_PSFP_V,V,0.88
4.374,static,VCC_PSFP_I,A,0.4285
4.374,static,VCC_PSFP,W,0.3784
4.374,static,VCC_PSLP_CPM5_V,V,0.8788
4.374,static,VCC_PSLP_CPM5_I,A,1.9585
4.374,static,VCC_PSLP_CPM5,W,1.7167
4.374,static,VCC1V1_LP4_V,V,1.1025
4.374,static,VCC1V1_LP4_I,A,1.09
4.374,static,VCC1V1_LP4,W,1.2032
4.374,static,VCCAUX_V,V,1.5037
