frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,560.50,57.00,23.00,277.50,560.50,57.00,23.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1825,12946,0,0,0,0,0,0,0
1,0,1,0,NEGATIVE_PEAK,-4.6733,1.0000,-12,-37,0,0.4167,277.50,560.50,57.00,23.00,262.00,565.00,40.00,24.00,0.3814,16.14,0,0,0.0000,NOT_RUN,0,108,1069,0,0,0,13,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-4.6756,1.1000,-11,-42,-3,0.0000,277.50,560.50,57.00,23.00,259.50,568.50,37.00,21.00,0.2414,19.70,0,0,0.0000,NOT_RUN,0,112,982,0,0,0,11,0,0,0,0
3,0,1,0,LOW_PSR,5.0785,1.0000,15,-25,-23,0.6000,277.50,560.50,57.00,23.00,265.00,570.50,42.00,27.00,0.2937,16.01,0,0,0.0000,NOT_RUN,0,185,868,0,0,0,15,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-6.5140,1.1212,-37,-23,22,0.1351,277.50,560.50,57.00,23.00,280.00,570.50,50.00,25.00,0.3761,10.31,0,0,0.0000,NOT_RUN,0,205,653,0,0,0,37,0,0,0,0
5,0,1,0,LOW_PSR,6.6511,1.1316,43,-9,5,0.2093,277.50,560.50,57.00,23.00,288.00,565.50,36.00,29.00,0.4728,11.63,0,0,0.0000,NOT_RUN,0,286,773,0,0,0,43,0,0,0,0
6,0,1,1,ACCEPT,8.7961,1.3636,45,-7,-12,0.0889,271.27,556.19,57.00,23.00,293.00,553.50,36.00,33.00,0.2952,21.90,1,-4,2.0526,MAX_STEP,0,242,502,13072,0,0,45,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.1835,1.0000,-14,9,-15,0.0714,271.27,556.19,57.00,23.00,297.00,540.50,34.00,33.00,0.1111,30.14,0,0,0.0000,NOT_RUN,0,98,913,0,0,0,14,0,0,0,0
8,0,1,0,LOW_PSR,5.8958,1.0000,13,-18,7,0.0000,271.27,556.19,57.00,23.00,297.50,525.50,35.00,33.00,0.0000,40.37,0,0,0.0000,NOT_RUN,0,115,1240,0,0,0,13,0,0,0,0
9,0,1,0,LOW_PSR,5.7880,1.0000,11,-10,33,0.4545,271.27,556.19,57.00,23.00,292.50,514.50,37.00,37.00,0.0000,46.78,0,0,0.0000,NOT_RUN,0,114,1096,0,0,0,11,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.2860,1.0000,-9,-21,0,0.4444,271.27,556.19,57.00,23.00,291.00,510.50,32.00,33.00,0.0000,49.77,0,0,0.0000,NOT_RUN,0,115,1111,0,0,0,9,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-5.7057,1.1111,-10,-21,-1,0.3000,271.27,556.19,57.00,23.00,290.00,504.50,34.00,35.00,0.0000,54.98,0,0,0.0000,NOT_RUN,0,119,1148,0,0,0,10,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-6.1622,1.4286,-10,-21,13,0.4000,271.27,556.19,57.00,23.00,292.00,500.00,34.00,42.00,0.0000,59.89,0,0,0.0000,NOT_RUN,0,115,1143,0,0,0,10,0,0,0,0
