frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,493.00,142.50,68.00,25.00,493.00,142.50,68.00,25.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3850,15316,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,6.4537,1.0000,41,8,-10,0.4146,493.00,142.50,68.00,25.00,502.00,141.00,70.00,22.00,0.6875,9.12,0,0,0.0000,NOT_RUN,0,192,3433,0,0,0,41,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-5.0530,1.1667,-14,17,-15,0.2857,493.00,142.50,68.00,25.00,539.50,150.00,69.00,28.00,0.1301,47.10,0,0,0.0000,NOT_RUN,0,140,2373,0,0,0,14,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-7.0011,1.1429,-16,-19,-1,0.3750,493.00,142.50,68.00,25.00,591.00,165.00,68.00,30.00,0.0000,100.55,0,0,0.0000,NOT_RUN,0,83,5677,0,0,0,16,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-5.0612,1.0769,-14,-33,-15,0.5714,493.00,142.50,68.00,25.00,607.00,168.50,68.00,25.00,0.0000,116.93,0,0,0.0000,NOT_RUN,0,93,6539,0,0,0,14,0,0,0,0
5,0,1,0,LOW_PSR,6.6725,1.0556,19,5,19,0.6316,493.00,142.50,68.00,25.00,612.50,165.50,69.00,25.00,0.0000,121.69,0,0,0.0000,NOT_RUN,0,122,4401,0,0,0,19,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.6138,1.0909,-12,-17,-17,0.2500,493.00,142.50,68.00,25.00,615.00,167.00,70.00,26.00,0.0000,124.44,0,0,0.0000,NOT_RUN,0,88,3714,0,0,0,12,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.3435,1.1111,-10,-29,-3,0.5000,493.00,142.50,68.00,25.00,617.00,166.50,70.00,25.00,0.0000,126.30,0,0,0.0000,NOT_RUN,0,56,2525,0,0,0,10,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.1158,1.0000,-6,2,-15,0.3333,493.00,142.50,68.00,25.00,615.00,173.50,68.00,29.00,0.0000,125.88,0,0,0.0000,NOT_RUN,0,54,1757,0,0,0,6,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.3884,1.0000,-5,-54,17,0.8000,493.00,142.50,68.00,25.00,613.00,174.50,64.00,35.00,0.0000,124.19,0,0,0.0000,NOT_RUN,0,38,785,0,0,0,6,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.3024,1.0000,-6,2,0,0.8333,493.00,142.50,68.00,25.00,613.50,176.50,63.00,39.00,0.0000,125.20,0,0,0.0000,NOT_RUN,0,30,430,0,0,0,7,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.9232,1.0000,-6,-54,0,0.6667,493.00,142.50,68.00,25.00,614.50,176.50,65.00,39.00,0.0000,126.17,0,0,0.0000,NOT_RUN,0,48,146,0,0,0,7,0,0,0,0
