frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,452.00,749.00,44.00,268.00,452.00,749.00,44.00,268.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1681,24258,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,13.4284,1.7632,134,-7,-3,0.4328,447.19,736.44,44.00,268.00,453.50,729.50,43.00,259.00,0.7126,9.38,1,0,3.0846,ACCEPT,0,422,1657,14859,0,0,134,0,0,0,0
2,0,1,1,ACCEPT,10.3244,1.0392,159,-8,-35,0.1321,441.69,589.88,45.76,278.72,444.50,712.50,47.00,263.00,0.3462,122.66,1,1,3.2341,ACCEPT,0,588,1557,9650,0,0,159,0,0,0,0
3,0,1,1,ACCEPT,17.9536,1.9367,153,-14,-4,0.0980,431.62,572.47,47.59,289.87,437.50,686.00,49.00,238.00,0.3344,113.68,1,1,3.1147,ACCEPT,0,244,781,11146,0,0,153,0,0,0,0
4,0,1,1,ACCEPT,23.2702,2.3875,191,-11,-3,0.0314,423.46,558.88,49.49,301.46,430.50,701.00,49.00,286.00,0.2840,142.30,1,1,3.2358,ACCEPT,0,227,847,10858,0,0,191,0,0,0,0
5,0,1,1,ACCEPT,23.9253,2.5217,232,-5,-2,0.2888,419.59,549.45,51.47,313.52,420.50,671.00,49.00,268.00,0.3952,121.55,1,1,2.9731,ACCEPT,0,370,1356,8738,0,0,232,0,0,0,0
6,0,1,1,ACCEPT,23.5425,2.4267,182,-17,-5,0.0549,405.91,524.96,51.47,313.52,411.00,679.50,50.00,299.00,0.2867,154.62,1,0,3.3419,ACCEPT,0,387,2081,5326,0,0,182,0,0,0,0
7,0,1,1,ACCEPT,21.4494,2.1404,122,-9,-2,0.0000,398.67,515.16,51.47,313.52,406.00,671.00,46.00,288.00,0.2566,156.01,1,0,3.2569,ACCEPT,0,197,2660,4148,0,0,122,0,0,0,0
8,0,1,1,ACCEPT,24.7404,2.3662,168,-6,-1,0.3571,393.84,510.27,51.47,313.52,401.50,669.50,51.00,283.00,0.2472,159.42,1,0,2.7751,ACCEPT,0,198,3125,3677,0,0,168,0,0,0,0
9,0,1,1,ACCEPT,19.2767,1.5630,186,10,5,0.1129,401.89,534.76,53.53,326.06,396.50,667.00,53.00,292.00,0.3459,132.35,1,1,2.7564,ACCEPT,0,360,3252,4678,0,0,186,0,0,0,0
10,0,1,1,ACCEPT,22.7473,2.3012,191,-10,-3,0.0471,393.53,519.48,55.67,339.11,391.00,669.50,56.00,291.00,0.3335,150.04,1,1,3.0617,ACCEPT,0,259,3081,4226,0,0,191,0,0,0,0
