frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,80.00,245.00,64.00,82.00,80.00,245.00,64.00,82.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2401,17476,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,19.4905,3.0526,116,18,-18,0.1638,98.00,221.94,64.00,82.00,97.50,212.00,69.00,84.00,0.7343,9.95,1,0,2.8523,ACCEPT,0,245,2339,17323,0,0,116,0,0,0,0
2,0,1,1,ACCEPT,11.0610,1.0638,200,34,-15,0.1250,132.00,202.72,64.00,82.00,125.00,177.00,82.00,92.00,0.4422,26.65,1,-1,1.9073,LOW_CONF,0,543,1611,18516,0,0,200,0,0,0,0
3,0,1,1,ACCEPT,11.9262,1.1938,154,28,-14,0.1753,160.00,184.78,64.00,82.00,137.50,149.50,93.00,91.00,0.2645,41.85,1,0,2.3805,ACCEPT,0,319,2486,12685,0,0,154,0,0,0,0
4,0,1,0,LOW_PSR,6.3970,1.0000,96,10,-18,0.1875,160.00,184.78,64.00,82.00,138.50,124.50,97.00,89.00,0.1201,64.00,0,0,0.0000,NOT_RUN,0,377,3971,0,0,0,96,0,0,0,0
5,0,1,1,ACCEPT,7.1323,1.0737,102,10,-26,0.1176,170.00,151.47,64.00,82.00,143.00,105.50,84.00,81.00,0.1609,53.31,1,0,1.9464,LOW_CONF,0,488,3237,10820,0,0,102,0,0,0,0
6,0,1,1,ACCEPT,11.6919,1.3761,300,17,-1,0.0667,187.00,150.19,64.00,82.00,161.00,98.00,84.00,62.00,0.1001,58.31,1,0,1.6599,LOW_CONF,0,724,2367,13962,0,0,300,0,0,0,0
7,0,1,1,ACCEPT,18.2718,2.3543,525,9,1,0.0324,196.00,151.47,64.00,82.00,172.00,102.00,82.00,70.00,0.1342,54.98,1,1,1.8829,LOW_CONF,0,845,2750,17180,0,0,525,0,0,0,0
8,0,1,1,ACCEPT,16.7832,1.9190,474,10,1,0.0295,206.00,152.75,64.00,82.00,185.00,113.50,92.00,91.00,0.2465,44.51,1,0,2.5569,ACCEPT,0,1079,2183,17913,0,0,474,0,0,0,0
9,0,1,1,ACCEPT,8.5324,1.1990,229,35,-45,0.0218,241.00,95.09,64.00,82.00,185.50,151.50,69.00,83.00,0.0269,79.13,1,0,2.8597,ACCEPT,0,774,1448,19290,0,0,229,0,0,0,0
10,0,1,1,ACCEPT,7.8319,1.0394,211,13,-36,0.2227,254.00,48.97,64.00,82.00,170.50,181.50,81.00,103.00,0.0000,156.64,1,-1,1.4276,LOW_CONF,0,1254,3384,10088,0,0,211,0,0,0,0
11,0,1,1,ACCEPT,9.3739,1.0909,324,29,-20,0.0401,283.00,23.34,64.00,82.00,159.50,214.00,91.00,84.00,0.0000,227.16,1,0,3.3917,ACCEPT,0,954,2886,13459,0,0,324,0,0,0,0
12,0,1,1,ACCEPT,10.0642,1.5577,243,42,-1,0.1523,325.00,22.06,64.00,82.00,162.00,251.50,84.00,75.00,0.0000,281.44,1,0,2.8419,ACCEPT,0,792,2320,9812,0,0,243,0,0,0,0
13,0,1,1,ACCEPT,9.4547,1.0935,152,23,-18,0.0461,348.00,-1.00,64.00,82.00,166.50,282.00,83.00,68.00,0.0000,336.20,1,0,2.6725,ACCEPT,0,644,4649,4779,0,0,152,0,0,0,0
14,0,1,1,ACCEPT,9.0311,1.0097,104,5,-10,0.0192,353.00,-13.81,64.00,82.00,172.00,304.00,106.00,94.00,0.0000,365.74,1,0,2.9278,ACCEPT,0,507,6002,2479,0,0,104,0,0,0,0
15,0,1,1,ACCEPT,10.7726,1.0674,95,-3,-2,0.0842,350.00,-16.38,64.00,82.00,167.50,333.50,83.00,99.00,0.0000,394.61,1,0,3.1060,ACCEPT,0,473,6658,1985,0,0,95,0,0,0,0
16,0,1,1,ACCEPT,11.4221,1.1059,94,6,1,0.1277,356.00,-15.09,64.00,82.00,170.50,352.00,87.00,104.00,0.0000,411.30,1,0,3.4575,ACCEPT,0,397,4515,1949,0,0,94,0,0,0,0
17,0,1,1,ACCEPT,13.8259,1.6222,73,7,1,0.0959,363.00,-13.81,64.00,82.00,172.50,344.50,107.00,105.00,0.0000,405.81,1,0,3.2201,ACCEPT,0,325,4643,2565,0,0,73,0,0,0,0
18,0,1,0,LOW_PSR,6.0415,1.0645,33,59,16,0.3030,363.00,-13.81,64.00,82.00,174.50,348.50,95.00,79.00,0.0000,408.41,0,0,0.0000,NOT_RUN,0,166,8015,0,0,0,33,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-7.9004,1.4054,-52,41,0,0.0385,363.00,-13.81,64.00,82.00,179.50,374.50,97.00,89.00,0.0000,429.49,0,0,0.0000,NOT_RUN,0,249,8998,0,0,0,52,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-7.6281,1.2564,-49,38,0,0.0204,363.00,-13.81,64.00,82.00,186.00,402.50,100.00,101.00,0.0000,452.38,0,0,0.0000,NOT_RUN,0,186,9712,0,0,0,49,0,0,0,0
21,0,1,1,ACCEPT,7.1778,1.1026,43,59,3,0.0930,422.00,-9.97,64.00,82.00,195.50,413.50,89.00,95.00,0.0000,480.24,1,11,1.8873,MAX_STEP,0,246,8150,2366,0,0,43,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-13.2707,1.0517,-183,41,-3,0.1366,422.00,-9.97,64.00,82.00,207.00,417.50,74.00,75.00,0.0000,478.49,0,0,0.0000,NOT_RUN,0,562,5241,0,0,0,183,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-12.5631,1.1176,-171,48,-4,0.0175,422.00,-9.97,64.00,82.00,216.50,418.00,73.00,72.00,0.0000,474.75,0,0,0.0000,NOT_RUN,0,611,6782,0,0,0,171,0,0,0,0
24,0,1,1,ACCEPT,11.3165,1.1400,171,43,6,0.0877,465.00,-2.28,64.00,82.00,208.50,420.50,85.00,73.00,0.0000,494.51,1,0,3.0136,ACCEPT,0,335,10123,3876,0,0,171,0,0,0,0
25,0,1,1,ACCEPT,12.5280,1.3042,403,-1,6,0.1712,464.00,5.41,64.00,82.00,194.00,410.50,90.00,81.00,0.0000,486.83,1,0,3.0573,ACCEPT,0,1447,7587,4746,0,0,403,0,0,0,0
26,0,1,1,ACCEPT,20.9144,2.1178,629,-4,1,0.1955,460.00,6.69,64.00,82.00,177.00,388.50,80.00,69.00,0.0000,475.26,1,0,3.1556,ACCEPT,0,908,7449,7597,0,0,629,0,0,0,0
27,0,1,1,ACCEPT,23.5631,2.8259,893,-6,-2,0.0381,454.00,4.12,64.00,82.00,165.50,359.50,81.00,67.00,0.0000,457.74,1,0,3.0608,ACCEPT,0,1190,7138,8741,0,0,893,0,0,0,0
28,0,1,1,ACCEPT,37.1176,4.0469,1295,8,0,0.0448,462.00,4.12,64.00,82.00,159.50,326.50,85.00,81.00,0.0000,442.08,1,0,3.0291,ACCEPT,0,1353,6916,13793,0,0,1295,0,0,0,0
29,0,1,1,ACCEPT,37.3142,4.6429,1430,8,1,0.0580,470.00,5.41,64.00,82.00,157.00,309.00,88.00,86.00,0.0000,436.05,1,0,3.0740,ACCEPT,0,1840,5816,12914,0,0,1430,0,0,0,0
30,0,1,1,ACCEPT,40.4714,4.8843,1309,3,5,0.0573,473.00,11.81,64.00,82.00,169.00,306.50,66.00,77.00,0.0000,423.39,1,0,3.1791,ACCEPT,0,1303,5774,12347,0,0,1309,0,0,0,0
31,0,1,1,ACCEPT,46.7870,4.7840,1196,3,6,0.0360,476.00,19.50,64.00,82.00,177.50,300.50,57.00,69.00,0.0000,409.96,1,0,3.1205,ACCEPT,0,1035,3185,10813,0,0,1196,0,0,0,0
32,0,1,1,ACCEPT,47.3565,4.3993,1333,0,-6,0.0743,476.00,11.81,64.00,82.00,177.50,281.00,53.00,66.00,0.0000,401.95,1,0,3.1588,ACCEPT,0,1396,2701,10390,0,0,1333,0,0,0,0
33,0,1,1,ACCEPT,51.5734,4.2008,1004,3,-8,0.0518,479.00,1.56,64.00,82.00,177.50,260.50,65.00,65.00,0.0000,397.43,1,0,3.1077,ACCEPT,0,848,3744,10819,0,0,1004,0,0,0,0
34,0,1,1,ACCEPT,31.3608,3.9206,741,-1,-6,0.0702,478.00,-6.12,64.00,82.00,173.50,249.00,67.00,64.00,0.0000,397.25,1,0,3.0658,ACCEPT,0,1228,1984,17116,0,0,741,0,0,0,0
35,0,1,0,NEGATIVE_PEAK,-8.0845,1.0273,-188,22,3,0.3191,478.00,-6.12,64.00,82.00,169.50,231.50,65.00,57.00,0.0000,389.41,0,0,0.0000,NOT_RUN,0,1487,1181,0,0,0,188,0,0,0,0
