frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,544.00,90.00,178.00,265.00,544.00,90.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2881,9143,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,28.1228,3.2800,82,-1,1,0.8780,263.59,546.78,90.00,178.00,263.00,546.00,92.00,170.00,0.9352,0.98,1,0,2.9707,ACCEPT,0,108,2698,9464,0,0,82,0,0,0,0
2,0,1,1,ACCEPT,24.9805,1.7160,139,-4,1,0.7194,257.97,549.56,90.00,178.00,260.50,547.00,95.00,164.00,0.8759,3.60,1,0,2.9302,ACCEPT,0,187,2506,8399,0,0,139,0,0,0,0
3,0,1,1,ACCEPT,21.4168,3.4706,118,-3,1,0.7542,253.75,552.34,90.00,178.00,256.00,548.50,102.00,159.00,0.7982,4.45,1,0,2.7596,ACCEPT,0,160,2316,9652,0,0,118,0,0,0,0
4,0,1,1,ACCEPT,19.2136,2.0854,171,-2,1,0.7953,250.94,555.12,90.00,178.00,248.50,546.50,113.00,151.00,0.6972,8.96,1,0,2.5179,ACCEPT,0,290,2199,9295,0,0,171,0,0,0,0
5,0,1,1,ACCEPT,16.4212,2.1406,137,-2,1,0.8029,248.12,557.91,90.00,178.00,242.50,548.00,117.00,148.00,0.6655,11.39,1,0,2.2110,ACCEPT,0,235,2282,8147,0,0,137,0,0,0,0
6,0,1,1,ACCEPT,16.3661,2.6000,130,-2,2,0.4846,245.31,563.47,90.00,178.00,236.00,554.00,124.00,140.00,0.6064,13.28,1,0,2.2717,ACCEPT,0,214,2493,11222,0,0,130,0,0,0,0
7,0,1,1,ACCEPT,17.3815,2.7571,193,-2,2,0.5959,242.50,569.03,90.00,178.00,227.00,558.50,132.00,127.00,0.5353,18.74,1,0,2.2349,ACCEPT,0,376,2660,14167,0,0,193,0,0,0,0
8,0,1,1,ACCEPT,16.5900,2.3596,269,-2,1,0.6357,239.69,571.81,90.00,178.00,218.00,559.00,132.00,122.00,0.5133,25.19,1,0,2.3982,ACCEPT,0,451,2669,13759,0,0,269,0,0,0,0
9,0,1,1,ACCEPT,18.3529,2.7879,460,-2,1,0.6848,236.88,574.59,90.00,178.00,207.50,561.50,131.00,121.00,0.4451,32.16,1,0,2.6543,ACCEPT,0,790,2487,12107,0,0,460,0,0,0,0
10,0,1,1,ACCEPT,19.1046,2.7333,492,-1,1,0.8821,235.47,577.38,90.00,178.00,195.00,560.00,124.00,114.00,0.3360,44.04,1,0,2.5383,ACCEPT,0,844,2433,12477,0,0,492,0,0,0,0
11,0,1,1,ACCEPT,22.1714,2.8811,533,0,1,0.9006,235.47,580.16,90.00,178.00,183.50,558.50,119.00,113.00,0.2523,56.30,1,0,2.2657,ACCEPT,0,848,2442,12147,0,0,533,0,0,0,0
12,0,1,1,ACCEPT,29.1188,3.8870,688,0,1,0.9520,235.47,582.94,90.00,178.00,177.50,557.00,121.00,114.00,0.2221,63.51,1,0,2.4000,ACCEPT,0,799,2446,14275,0,0,688,0,0,0,0
13,0,1,1,ACCEPT,35.4872,5.2570,941,1,0,0.9256,236.88,582.94,86.54,171.15,168.50,556.00,121.00,118.00,0.1670,73.49,1,-1,2.4055,ACCEPT,0,954,2491,15901,0,0,941,0,0,0,0
14,0,1,1,ACCEPT,34.5283,4.6635,984,0,1,0.9248,236.88,585.61,83.21,164.57,158.00,557.00,122.00,126.00,0.1053,83.90,1,-1,2.3655,ACCEPT,0,1110,2580,12409,0,0,984,0,0,0,0
15,0,1,1,ACCEPT,32.6068,5.0314,800,2,0,0.5525,239.47,585.61,80.01,158.24,151.00,561.50,116.00,123.00,0.0430,91.70,1,-1,2.4092,ACCEPT,0,691,2641,12203,0,0,800,0,0,0,0
16,0,1,1,ACCEPT,32.9099,4.7908,733,3,1,0.4229,243.22,588.08,76.93,152.16,145.00,564.50,110.00,123.00,0.0000,101.01,1,-1,2.5057,ACCEPT,0,636,2587,14631,0,0,733,0,0,0,0
17,0,1,1,ACCEPT,35.3267,4.7571,842,2,0,0.5428,245.62,588.08,73.97,146.30,137.00,566.00,110.00,128.00,0.0000,110.85,1,-1,2.5889,ACCEPT,0,713,2590,14849,0,0,842,0,0,0,0
18,0,1,1,ACCEPT,33.8382,3.9612,816,3,0,0.4412,249.09,588.08,71.13,140.68,130.50,567.00,115.00,130.00,0.0000,120.45,1,-1,2.6392,ACCEPT,0,755,2602,15635,0,0,816,0,0,0,0
19,0,1,1,ACCEPT,30.1168,3.3876,708,3,0,0.2472,252.42,588.08,68.39,135.27,125.50,567.00,111.00,136.00,0.0000,128.66,1,-1,2.6767,ACCEPT,0,752,2571,13269,0,0,708,0,0,0,0
20,0,1,1,ACCEPT,25.0144,2.9392,532,4,0,0.2951,256.70,588.08,68.39,135.27,119.50,566.50,113.00,139.00,0.0000,138.89,1,0,2.7101,ACCEPT,0,670,2484,11372,0,0,532,0,0,0,0
21,0,1,1,ACCEPT,21.3637,2.3067,346,3,1,0.4277,259.91,590.20,68.39,135.27,111.00,567.50,122.00,141.00,0.0000,150.63,1,0,2.7858,ACCEPT,0,601,2522,9125,0,0,346,0,0,0,0
22,0,1,1,ACCEPT,13.8712,1.5667,188,5,0,0.7340,265.27,590.20,68.39,135.27,103.50,566.50,123.00,137.00,0.0000,163.49,1,0,2.8514,ACCEPT,0,497,2398,9691,0,0,188,0,0,0,0
