frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,221.00,300.50,114.00,117.00,221.00,300.50,114.00,117.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,11316,3722,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,88.9790,15.7692,205,2,-1,0.6390,224.56,298.67,114.00,117.00,224.00,299.00,116.00,120.00,0.9582,0.65,1,0,2.6532,ACCEPT,0,129,11252,4831,0,0,205,0,0,0,0
2,0,1,1,ACCEPT,37.1459,2.3846,155,4,-4,0.1032,231.69,291.36,114.00,117.00,231.00,290.50,118.00,121.00,0.9342,1.10,1,0,2.4592,ACCEPT,0,192,11200,4646,0,0,155,0,0,0,0
3,0,1,1,ACCEPT,32.7281,1.3450,230,8,-8,0.0913,245.94,276.73,114.00,117.00,249.50,274.50,113.00,117.00,0.9050,4.21,1,0,2.2765,ACCEPT,0,294,10584,6474,0,0,230,0,0,0,0
4,0,1,1,ACCEPT,78.2268,11.7500,611,10,-5,0.0049,263.75,267.59,114.00,117.00,263.00,267.50,110.00,121.00,0.9341,0.76,1,0,2.9729,ACCEPT,0,374,9133,9161,0,0,611,0,0,0,0
5,0,1,1,ACCEPT,69.6676,12.2453,649,-3,3,0.1618,258.41,273.08,114.00,117.00,255.00,274.00,114.00,122.00,0.9044,3.53,1,0,2.4383,ACCEPT,0,354,9361,8742,0,0,649,0,0,0,0
6,0,1,1,ACCEPT,96.4704,13.8000,759,-4,0,0.0962,251.28,273.08,114.00,117.00,248.50,273.50,107.00,119.00,0.9238,2.81,1,0,2.6975,ACCEPT,0,346,8207,8709,0,0,759,0,0,0,0
7,0,1,1,ACCEPT,67.6261,3.7377,456,0,-1,0.8180,251.28,271.25,114.00,117.00,247.00,270.50,102.00,117.00,0.8839,4.35,1,0,2.5762,ACCEPT,0,320,7742,7656,0,0,456,0,0,0,0
8,0,1,1,ACCEPT,17.9533,1.7895,170,4,-10,0.0882,258.41,252.97,114.00,117.00,256.00,247.00,110.00,134.00,0.8405,6.44,1,0,2.3812,ACCEPT,0,480,8096,3594,0,0,170,0,0,0,0
9,0,1,1,ACCEPT,10.6204,1.3467,101,17,-27,0.0594,288.69,203.61,114.00,117.00,301.00,199.50,92.00,117.00,0.7384,12.98,1,-1,1.7279,LOW_CONF,0,362,7369,6531,0,0,101,0,0,0,0
