frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,497.00,640.00,406.00,224.00,497.00,640.00,406.00,224.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,15363,6227,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,27.1528,4.5227,199,0,3,0.2613,497.00,650.50,406.00,224.00,504.00,650.00,414.00,228.00,0.9496,7.02,1,0,2.9488,ACCEPT,0,344,14493,6286,0,0,199,0,0,0,0
2,0,1,1,ACCEPT,9.8350,1.9036,158,1,9,0.0696,503.34,682.00,406.00,224.00,504.50,681.50,429.00,229.00,0.9257,1.26,1,0,2.1948,ACCEPT,0,608,13419,7071,0,0,158,0,0,0,0
3,0,1,1,ACCEPT,12.5110,2.1887,232,0,4,0.1293,503.34,696.00,406.00,224.00,498.50,698.00,441.00,220.00,0.9055,5.24,1,0,2.2712,ACCEPT,0,586,12274,10029,0,0,232,0,0,0,0
4,0,1,1,ACCEPT,8.5114,1.0177,287,-19,17,0.9826,382.81,755.50,406.00,224.00,492.50,699.00,453.00,200.00,0.3773,123.38,1,-1,1.6686,LOW_CONF,0,980,12176,8647,0,0,287,0,0,0,0
5,0,1,1,ACCEPT,9.2492,1.2028,344,7,4,0.1221,427.22,769.50,406.00,224.00,493.50,715.50,415.00,193.00,0.4512,85.49,1,-2,1.9700,LOW_CONF,0,1076,11145,6931,0,0,344,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-8.8041,1.4706,-300,4,11,0.0233,427.22,769.50,406.00,224.00,466.50,732.50,271.00,185.00,0.4744,53.96,0,0,0.0000,NOT_RUN,0,1190,11087,0,0,0,300,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-9.7369,1.3284,-356,8,8,0.4129,427.22,769.50,406.00,224.00,418.00,719.00,254.00,174.00,0.3872,51.33,0,0,0.0000,NOT_RUN,0,1059,9993,0,0,0,356,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-8.3594,1.1042,-265,-3,-9,0.2566,427.22,769.50,406.00,224.00,407.50,705.00,307.00,184.00,0.4094,67.45,0,0,0.0000,NOT_RUN,0,902,7868,0,0,0,265,0,0,0,0
9,0,1,1,ACCEPT,7.4447,1.1762,227,16,-1,0.0661,528.72,766.00,406.00,224.00,404.00,703.00,344.00,190.00,0.2997,139.73,1,0,2.6185,ACCEPT,0,811,6859,8971,0,0,227,0,0,0,0
10,0,1,1,ACCEPT,8.3877,1.2491,346,18,12,0.6474,642.91,808.00,390.38,215.38,414.00,718.50,372.00,203.00,0.1289,245.78,1,-1,2.2112,ACCEPT,0,1026,7156,10731,0,0,346,0,0,0,0
11,0,1,1,ACCEPT,9.9218,1.1560,378,3,1,0.7434,661.21,811.37,390.38,215.38,425.00,733.00,382.00,204.00,0.1384,248.87,1,0,2.4290,ACCEPT,0,1284,5585,10786,0,0,378,0,0,0,0
12,0,1,1,ACCEPT,9.2718,1.1016,336,6,-7,0.1964,697.82,787.80,406.00,224.00,435.00,725.50,404.00,183.00,0.1386,270.10,1,1,2.4260,ACCEPT,0,1135,5020,9611,0,0,336,0,0,0,0
13,0,1,1,ACCEPT,14.3896,1.5366,504,3,0,0.4921,716.85,787.80,406.00,224.00,445.00,727.00,426.00,176.00,0.1376,278.57,1,0,2.2019,ACCEPT,0,1086,4377,10996,0,0,504,0,0,0,0
14,0,1,1,ACCEPT,14.3847,1.4844,334,-7,-7,0.1287,672.45,763.30,422.24,232.96,417.00,713.50,392.00,165.00,0.1611,260.25,1,1,2.2463,ACCEPT,0,663,2722,11893,0,0,334,0,0,0,0
15,0,1,1,ACCEPT,17.6824,1.9095,464,-6,-2,0.3254,632.88,756.02,439.13,242.28,395.00,705.50,344.00,161.00,0.1676,243.19,1,1,2.1884,ACCEPT,0,807,2830,12951,0,0,464,0,0,0,0
16,0,1,1,ACCEPT,20.1016,2.6832,542,-9,5,0.1697,571.15,774.96,439.13,242.28,390.00,726.00,236.00,170.00,0.2016,187.65,1,0,2.7804,ACCEPT,0,929,3902,10337,0,0,542,0,0,0,0
17,0,1,1,ACCEPT,16.3725,1.7744,472,-6,3,0.1398,529.99,786.33,439.13,242.28,363.00,735.00,188.00,170.00,0.1962,174.70,1,1,1.6138,LOW_CONF,0,861,4284,9826,0,0,472,0,0,0,0
18,0,1,1,ACCEPT,16.5062,1.6838,458,-9,-2,0.0415,468.26,778.75,439.13,242.28,351.50,724.50,217.00,179.00,0.2946,128.75,1,0,2.1667,ACCEPT,0,924,3778,9216,0,0,458,0,0,0,0
19,0,1,1,ACCEPT,16.6429,1.7460,433,-6,0,0.2032,427.10,778.75,439.13,242.28,353.50,716.00,231.00,192.00,0.3099,96.72,1,0,2.3590,ACCEPT,0,1008,3327,9088,0,0,433,0,0,0,0
20,0,1,1,ACCEPT,16.4417,1.6692,434,-7,3,0.2097,379.09,790.12,456.69,251.97,357.00,724.00,234.00,200.00,0.3006,69.71,1,1,2.0837,ACCEPT,0,901,3025,9086,0,0,434,0,0,0,0
21,0,1,1,ACCEPT,20.2183,2.3385,449,-2,-1,0.6281,364.82,786.18,456.69,251.97,351.50,718.00,245.00,198.00,0.3069,69.47,1,-2,1.1524,LOW_CONF,0,709,3167,10372,0,0,449,0,0,0,0
22,0,1,1,ACCEPT,18.1439,1.6496,386,1,-5,0.0389,371.95,766.49,456.69,251.97,349.50,701.50,263.00,191.00,0.3315,68.76,1,2,1.5243,LOW_CONF,0,769,3397,9704,0,0,386,0,0,0,0
23,0,1,1,ACCEPT,20.5452,2.3080,517,3,0,0.7544,393.35,766.49,456.69,251.97,353.00,702.00,278.00,174.00,0.3379,76.08,1,0,1.8806,LOW_CONF,0,976,3300,11181,0,0,517,0,0,0,0
24,0,1,1,ACCEPT,11.5548,1.1629,414,1,0,0.8961,400.48,766.49,456.69,251.97,356.50,704.00,289.00,154.00,0.3413,76.42,1,-7,1.1792,MAX_STEP,0,1202,3405,8956,0,0,414,0,0,0,0
25,0,1,1,ACCEPT,15.6506,1.3093,436,1,-3,0.6239,407.62,754.68,456.69,251.97,351.50,693.50,255.00,147.00,0.3007,83.02,1,-8,1.2595,MAX_STEP,0,799,3359,8712,0,0,436,0,0,0,0
26,0,1,1,ACCEPT,10.0021,1.0165,247,6,-6,0.6235,450.41,731.05,456.69,251.97,362.00,672.50,148.00,129.00,0.1659,106.05,1,0,1.8770,LOW_CONF,0,809,3154,8654,0,0,247,0,0,0,0
27,0,1,0,NEGATIVE_PEAK,-10.7848,1.0717,-284,10,8,0.0317,450.41,731.05,456.69,251.97,365.00,666.50,158.00,125.00,0.1699,107.06,0,0,0.0000,NOT_RUN,0,789,3059,0,0,0,284,0,0,0,0
28,0,1,1,ACCEPT,12.9174,1.5500,341,13,-6,0.4076,543.14,707.43,456.69,251.97,364.50,669.00,193.00,148.00,0.1774,182.73,1,0,1.8620,LOW_CONF,0,1010,2938,11566,0,0,341,0,0,0,0
29,0,1,1,ACCEPT,10.3411,1.2655,348,1,3,0.7557,550.27,719.24,456.69,251.97,363.50,680.00,213.00,162.00,0.1910,190.85,1,0,2.1624,ACCEPT,0,977,2964,12021,0,0,348,0,0,0,0
30,0,1,1,ACCEPT,10.1016,1.0061,329,2,9,0.4347,564.54,754.68,456.69,251.97,368.50,691.50,231.00,187.00,0.1709,205.97,1,1,1.9264,LOW_CONF,0,994,2780,12413,0,0,329,0,0,0,0
31,0,1,1,ACCEPT,16.0436,1.1959,464,1,6,0.2004,571.67,778.30,474.96,262.05,375.00,718.00,230.00,190.00,0.1814,205.71,1,1,2.3163,ACCEPT,0,771,2637,9932,0,0,464,0,0,0,0
32,0,1,1,ACCEPT,16.4849,1.2950,338,-1,5,0.5444,564.25,798.77,474.96,262.05,375.50,713.50,241.00,191.00,0.1631,207.12,1,0,2.7757,ACCEPT,0,640,2586,10927,0,0,338,0,0,0,0
33,0,1,1,ACCEPT,24.4491,2.3990,499,1,-2,0.6072,571.67,790.59,456.69,251.97,374.50,710.00,245.00,180.00,0.1504,213.00,1,-1,2.7258,ACCEPT,0,706,2661,10884,0,0,499,0,0,0,0
34,0,1,1,ACCEPT,22.8113,2.1762,568,1,4,0.5370,578.80,806.34,456.69,251.97,382.00,733.50,254.00,167.00,0.1595,209.85,1,0,2.6470,ACCEPT,0,1024,2946,10357,0,0,568,0,0,0,0
