frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1347,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,30.1227,4.3871,272,15,21,0.0478,594.78,77.31,46.00,68.00,595.00,78.00,46.00,68.00,0.9708,0.72,1,0,3.2790,ACCEPT,0,292,1483,32767,0,0,272,0,0,0,0
2,0,1,1,ACCEPT,16.8135,2.2667,272,15,22,0.0551,605.56,100.69,46.00,68.00,604.00,102.00,46.00,70.00,0.9005,2.04,1,0,3.1758,ACCEPT,0,477,2108,32768,0,0,272,0,0,0,0
3,0,1,1,ACCEPT,15.1975,2.1111,228,13,22,0.0175,614.91,124.06,46.00,68.00,615.00,127.00,48.00,70.00,0.8811,2.94,1,0,3.1406,ACCEPT,0,466,2407,32767,0,0,228,0,0,0,0
4,0,1,1,ACCEPT,15.4803,2.4186,312,14,24,0.0994,624.97,149.56,46.00,68.00,623.00,152.50,48.00,69.00,0.8465,3.54,1,0,3.1861,ACCEPT,0,551,2765,27863,0,0,312,0,0,0,0
5,0,1,1,ACCEPT,16.1501,2.3801,407,13,24,0.0098,634.31,175.06,46.00,68.00,631.00,179.50,48.00,71.00,0.7696,5.54,1,0,3.2701,ACCEPT,0,689,2388,30867,0,0,407,0,0,0,0
6,0,1,1,ACCEPT,17.4120,2.5759,492,11,24,0.0610,642.22,200.56,46.00,68.00,639.50,205.00,45.00,70.00,0.7856,5.20,1,0,3.3616,ACCEPT,0,810,2298,24520,0,0,492,0,0,0,0
7,0,1,1,ACCEPT,16.4806,2.8741,411,10,25,0.0438,649.41,227.12,46.00,68.00,646.00,233.00,46.00,70.00,0.7348,6.79,1,0,3.3661,ACCEPT,0,693,1823,19552,0,0,411,0,0,0,0
8,0,1,1,ACCEPT,16.5508,2.6577,396,9,27,0.2323,655.88,255.81,46.00,68.00,653.50,260.50,43.00,71.00,0.7912,5.25,1,0,3.4541,ACCEPT,0,710,1876,19865,0,0,396,0,0,0,0
9,0,1,1,ACCEPT,15.2970,2.1055,539,8,27,0.0353,661.62,284.50,46.00,68.00,660.50,291.00,45.00,70.00,0.7914,6.60,1,0,3.5094,ACCEPT,0,1138,2904,16469,0,0,539,0,0,0,0
