frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,169.00,182.00,334.00,96.00,169.00,182.00,334.00,96.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2678,11235,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,41.5905,6.0833,73,0,-1,0.9863,169.00,180.50,334.00,96.00,170.00,184.00,334.00,94.00,0.9236,3.64,1,0,3.2320,ACCEPT,0,67,2473,8799,0,0,73,0,0,0,0
2,0,1,1,ACCEPT,26.0113,3.2128,151,0,-2,0.8742,169.00,177.50,334.00,96.00,170.00,181.00,336.00,94.00,0.9237,3.64,1,0,3.1040,ACCEPT,0,175,2377,11983,0,0,151,0,0,0,0
3,0,1,1,ACCEPT,26.1402,3.2881,194,-1,-1,0.9330,163.78,176.00,334.00,96.00,171.00,179.00,334.00,94.00,0.9002,7.82,1,0,2.9425,ACCEPT,0,252,2171,11819,0,0,194,0,0,0,0
4,0,1,1,ACCEPT,29.9275,4.5312,290,0,-1,0.9966,163.78,174.50,334.00,96.00,171.50,174.00,335.00,94.00,0.9355,7.73,1,0,2.7383,ACCEPT,0,363,1975,7834,0,0,290,0,0,0,0
5,0,1,1,ACCEPT,23.4475,3.5846,233,-1,-1,0.9871,158.56,173.00,334.00,96.00,175.00,172.50,326.00,89.00,0.8413,16.45,1,0,2.5080,ACCEPT,0,403,1778,9811,0,0,233,0,0,0,0
6,0,1,1,ACCEPT,21.7492,3.0977,412,1,1,0.7985,163.78,174.50,334.00,96.00,174.50,173.50,331.00,97.00,0.9189,10.77,1,0,2.6922,ACCEPT,0,671,1747,9769,0,0,412,0,0,0,0
7,0,1,1,ACCEPT,22.1348,2.2371,434,1,0,0.8479,169.00,174.50,334.00,96.00,184.00,178.00,314.00,106.00,0.8313,15.40,1,0,2.7804,ACCEPT,0,556,1709,13408,0,0,434,0,0,0,0
8,0,1,1,ACCEPT,22.3144,2.5825,532,1,-1,0.7989,174.22,173.00,321.15,92.31,194.00,176.50,296.00,109.00,0.7562,20.09,1,-1,2.7795,ACCEPT,0,806,1690,14136,0,0,532,0,0,0,0
9,0,1,1,ACCEPT,24.5375,3.3350,667,0,-2,0.7241,174.22,170.11,321.15,92.31,201.50,169.00,283.00,102.00,0.7653,27.30,1,0,2.8698,ACCEPT,0,904,1668,12166,0,0,667,0,0,0,0
10,0,1,1,ACCEPT,26.0949,3.2832,742,0,-1,0.7871,174.22,168.66,321.15,92.31,205.50,160.50,279.00,97.00,0.6948,32.33,1,0,3.1611,ACCEPT,0,883,1644,11916,0,0,742,0,0,0,0
11,0,1,1,ACCEPT,24.2437,3.0111,542,-1,-2,0.4262,169.20,165.77,321.15,92.31,207.00,157.50,274.00,95.00,0.6622,38.69,1,0,2.6514,ACCEPT,0,652,1522,10358,0,0,542,0,0,0,0
