frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,159.50,317.00,75.00,110.00,159.50,317.00,75.00,110.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5240,17543,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,80.0840,13.2609,610,1,-1,0.6754,160.67,315.28,75.00,110.00,157.50,312.00,77.00,114.00,0.8691,4.56,1,0,3.2189,ACCEPT,0,302,4853,17739,0,0,610,0,0,0,0
2,0,1,1,ACCEPT,48.9290,4.9829,583,1,-1,0.7358,161.84,313.56,75.00,110.00,161.00,318.00,78.00,116.00,0.8893,4.52,1,0,3.0883,ACCEPT,0,398,4634,18727,0,0,583,0,0,0,0
3,0,1,1,ACCEPT,37.8807,2.6741,722,1,-1,0.6011,163.02,311.84,75.00,110.00,162.00,319.00,80.00,114.00,0.8271,7.23,1,0,3.1410,ACCEPT,0,529,4413,21315,0,0,722,0,0,0,0
4,0,1,1,ACCEPT,36.1103,2.4550,955,1,-1,0.6649,164.19,310.12,75.00,110.00,162.00,319.50,80.00,115.00,0.7961,9.63,1,0,3.0502,ACCEPT,0,769,4247,22168,0,0,955,0,0,0,0
5,0,1,1,ACCEPT,37.4281,3.0383,1112,1,-1,0.7743,165.36,308.41,75.00,110.00,165.50,321.50,77.00,117.00,0.7741,13.09,1,0,3.0058,ACCEPT,0,829,4152,22362,0,0,1112,0,0,0,0
6,0,1,1,ACCEPT,38.4437,3.2964,1190,0,0,1.0000,165.36,308.41,78.00,114.40,166.50,322.50,79.00,119.00,0.7642,14.14,1,1,2.7522,ACCEPT,0,896,3812,23381,0,0,1190,0,0,0,0
7,0,1,1,ACCEPT,31.8796,3.5361,1128,1,-1,0.8165,166.58,306.62,78.00,114.40,169.00,325.00,76.00,114.00,0.6844,18.54,1,0,2.8761,ACCEPT,0,889,3482,20887,0,0,1128,0,0,0,0
8,0,1,1,ACCEPT,35.8169,4.7291,1187,-1,-1,0.7936,165.36,304.83,78.00,114.40,167.00,328.00,80.00,116.00,0.6423,23.23,1,0,3.0219,ACCEPT,0,932,3312,19479,0,0,1187,0,0,0,0
9,0,1,1,ACCEPT,37.4907,5.4842,1212,1,0,0.9926,166.58,304.83,78.00,114.40,169.00,332.00,76.00,118.00,0.5901,27.28,1,0,2.8383,ACCEPT,0,939,3110,18797,0,0,1212,0,0,0,0
10,0,1,1,ACCEPT,39.5232,5.7009,1277,-1,0,0.9264,165.36,304.83,78.00,114.40,168.00,334.00,78.00,114.00,0.5617,29.29,1,0,3.0489,ACCEPT,0,947,2873,15245,0,0,1277,0,0,0,0
