frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,275.00,720.50,72.00,35.00,275.00,720.50,72.00,35.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,6205,4230,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,25.0861,4.5385,59,0,-5,0.1864,275.00,717.77,72.00,35.00,276.50,717.00,73.00,36.00,0.9196,1.68,1,0,3.2935,ACCEPT,0,104,5852,3291,0,0,59,0,0,0,0
2,0,1,1,ACCEPT,19.6122,3.0385,79,-1,-4,0.3165,273.88,715.58,72.00,35.00,275.50,712.00,69.00,32.00,0.7727,3.93,1,0,2.9048,ACCEPT,0,207,5524,3826,0,0,79,0,0,0,0
3,0,1,1,ACCEPT,19.1969,2.7073,111,-1,-6,0.0811,272.75,712.30,72.00,35.00,273.50,710.00,67.00,34.00,0.8172,2.42,1,0,3.1981,ACCEPT,0,248,4857,2701,0,0,111,0,0,0,0
4,0,1,1,ACCEPT,18.0907,2.5000,110,-1,-5,0.2273,271.62,709.56,72.00,35.00,273.50,706.00,67.00,34.00,0.7606,4.03,1,0,3.1021,ACCEPT,0,244,4690,2190,0,0,110,0,0,0,0
5,0,1,1,ACCEPT,18.6773,2.8723,135,-1,-8,0.1333,270.50,705.19,72.00,35.00,272.00,703.00,66.00,32.00,0.8056,2.65,1,0,3.0354,ACCEPT,0,330,4505,2766,0,0,135,0,0,0,0
6,0,1,1,ACCEPT,18.3032,1.8764,167,0,-1,0.9521,270.50,704.64,72.00,35.00,270.00,700.50,64.00,31.00,0.6951,4.17,1,0,3.0381,ACCEPT,0,356,4263,2114,0,0,167,0,0,0,0
7,0,1,1,ACCEPT,21.7169,2.5059,213,-1,-5,0.1362,269.38,701.91,72.00,35.00,274.50,697.00,73.00,30.00,0.6521,7.09,1,0,3.0573,ACCEPT,0,447,3831,2385,0,0,213,0,0,0,0
8,0,1,1,ACCEPT,14.9935,1.4173,197,1,-2,0.7868,270.50,700.81,72.00,35.00,273.50,694.50,75.00,29.00,0.6279,6.99,1,0,3.0113,ACCEPT,0,619,3290,3774,0,0,197,0,0,0,0
9,0,1,1,ACCEPT,15.1265,2.5877,295,-1,-5,0.5119,269.38,698.08,72.00,35.00,273.50,693.00,75.00,30.00,0.6634,6.54,1,0,2.9121,ACCEPT,0,882,3219,4544,0,0,295,0,0,0,0
10,0,1,1,ACCEPT,12.6946,1.4921,285,3,0,0.5333,272.75,698.08,72.00,35.00,275.00,690.00,74.00,30.00,0.5736,8.39,1,0,3.0530,ACCEPT,0,887,2900,4664,0,0,285,0,0,0,0
11,0,1,1,ACCEPT,14.6266,1.2991,291,2,-3,0.3883,275.00,696.44,72.00,35.00,275.50,686.50,71.00,31.00,0.5310,9.95,1,0,2.8892,ACCEPT,0,803,2777,4144,0,0,291,0,0,0,0
12,0,1,1,ACCEPT,13.7577,1.2000,264,4,-4,0.2576,279.50,694.25,72.00,35.00,277.00,685.00,66.00,30.00,0.5175,9.58,1,0,2.9394,ACCEPT,0,850,2295,3999,0,0,264,0,0,0,0
13,0,1,1,ACCEPT,17.4761,1.6793,309,0,-8,0.0162,279.50,689.88,72.00,35.00,274.00,681.00,62.00,30.00,0.4964,10.44,1,0,2.7597,ACCEPT,0,788,2272,4414,0,0,309,0,0,0,0
14,0,1,1,ACCEPT,20.9654,2.5921,394,0,-10,0.0178,279.50,684.41,72.00,35.00,275.00,678.00,58.00,30.00,0.5510,7.83,1,0,2.9685,ACCEPT,0,921,2215,4024,0,0,394,0,0,0,0
15,0,1,1,ACCEPT,21.2510,1.7711,356,-1,-8,0.0281,278.38,680.03,72.00,35.00,274.50,672.50,61.00,29.00,0.5338,8.47,1,0,2.6701,ACCEPT,0,696,2251,4577,0,0,356,0,0,0,0
16,0,1,1,ACCEPT,25.5934,2.6833,483,1,-10,0.0104,279.50,674.56,72.00,35.00,275.50,668.00,59.00,28.00,0.5448,7.69,1,0,2.9193,ACCEPT,0,855,1779,6088,0,0,483,0,0,0,0
17,0,1,1,ACCEPT,22.5460,2.4619,517,-1,-10,0.0077,278.38,669.09,69.23,33.65,275.00,665.00,58.00,30.00,0.6535,5.31,1,-1,2.8359,ACCEPT,0,972,1857,5729,0,0,517,0,0,0,0
18,0,1,1,ACCEPT,25.5968,2.1567,578,1,-7,0.2855,279.45,665.43,69.23,33.65,274.00,660.50,56.00,29.00,0.5971,7.35,1,0,2.7551,ACCEPT,0,1162,1835,4498,0,0,578,0,0,0,0
19,0,1,1,ACCEPT,22.7217,2.6054,482,0,-10,0.2552,279.45,660.20,69.23,33.65,273.00,655.50,56.00,29.00,0.6056,7.98,1,0,2.7650,ACCEPT,0,973,1613,5719,0,0,482,0,0,0,0
20,0,1,1,ACCEPT,20.9730,2.8136,498,0,-7,0.2149,279.45,656.53,72.00,35.00,274.00,653.50,58.00,31.00,0.6738,6.24,1,1,2.7893,ACCEPT,0,1031,1651,5559,0,0,498,0,0,0,0
21,0,1,1,ACCEPT,18.0607,2.7485,459,0,-7,0.1699,279.45,652.70,72.00,35.00,272.00,649.00,58.00,30.00,0.6367,8.32,1,0,2.7858,ACCEPT,0,959,1846,6895,0,0,459,0,0,0,0
22,0,1,1,ACCEPT,19.4491,3.6914,646,-1,-6,0.2632,278.33,649.42,72.00,35.00,273.50,646.00,55.00,30.00,0.6221,5.92,1,0,2.6939,ACCEPT,0,1373,1551,6609,0,0,646,0,0,0,0
23,0,1,1,ACCEPT,17.6882,2.4658,540,0,-4,0.7167,278.33,647.23,74.88,36.40,274.00,642.00,56.00,30.00,0.5515,6.79,1,1,2.5962,ACCEPT,0,1397,1608,5400,0,0,540,0,0,0,0
24,0,1,1,ACCEPT,18.1000,2.2427,462,1,-6,0.2251,279.50,643.81,77.88,37.86,272.00,638.50,56.00,33.00,0.5423,9.19,1,1,2.5533,ACCEPT,0,1274,1360,4877,0,0,462,0,0,0,0
25,0,1,1,ACCEPT,19.8698,3.7143,416,-1,-6,0.2043,278.28,640.25,77.88,37.86,272.50,635.50,57.00,31.00,0.5595,7.48,1,0,2.7728,ACCEPT,0,976,1419,4639,0,0,416,0,0,0,0
26,0,1,1,ACCEPT,16.9347,3.0496,369,1,-4,0.4363,279.50,637.88,77.88,37.86,272.00,631.00,60.00,30.00,0.5194,10.17,1,0,2.7861,ACCEPT,0,955,1219,5362,0,0,369,0,0,0,0
27,0,1,1,ACCEPT,19.9696,3.2231,390,0,-6,0.1487,279.50,634.31,77.88,37.86,274.00,627.50,56.00,33.00,0.5018,8.76,1,0,2.7990,ACCEPT,0,779,1194,4768,0,0,390,0,0,0,0
28,0,1,1,ACCEPT,20.8171,3.5728,368,0,-4,0.3668,279.50,631.94,77.88,37.86,273.00,624.00,54.00,32.00,0.4528,10.26,1,0,2.8773,ACCEPT,0,673,1198,5833,0,0,368,0,0,0,0
29,0,1,1,ACCEPT,22.2077,2.7838,412,0,-6,0.1068,279.50,628.38,77.88,37.86,272.00,620.00,52.00,34.00,0.4364,11.24,1,0,2.6742,ACCEPT,0,698,1124,6725,0,0,412,0,0,0,0
30,0,1,1,ACCEPT,22.7270,2.8553,434,0,-5,0.2857,279.50,625.41,77.88,37.86,271.50,616.50,51.00,35.00,0.4216,11.97,1,0,2.6866,ACCEPT,0,856,1081,7319,0,0,434,0,0,0,0
31,0,1,1,ACCEPT,24.4510,4.0169,474,0,-6,0.1160,279.50,621.84,74.88,36.40,271.50,614.50,55.00,35.00,0.5046,10.86,1,-1,2.6265,ACCEPT,0,799,1092,7590,0,0,474,0,0,0,0
32,0,1,1,ACCEPT,27.3665,4.8137,491,-1,-6,0.1914,278.33,618.42,72.00,35.00,270.00,612.00,56.00,34.00,0.5464,10.52,1,-1,2.6386,ACCEPT,0,723,1130,6183,0,0,491,0,0,0,0
33,0,1,1,ACCEPT,25.0912,4.0702,464,0,-2,0.7672,278.33,617.33,72.00,35.00,272.00,610.00,52.00,30.00,0.4724,9.68,1,0,2.8248,ACCEPT,0,646,1117,6534,0,0,464,0,0,0,0
34,0,1,1,ACCEPT,24.7476,2.6766,447,0,-5,0.5078,278.33,614.59,72.00,35.00,270.50,608.50,53.00,29.00,0.5116,9.92,1,0,2.9295,ACCEPT,0,639,1038,7721,0,0,447,0,0,0,0
35,0,1,1,ACCEPT,24.1678,3.5929,503,0,-7,0.1074,278.33,610.77,72.00,35.00,269.50,605.00,55.00,28.00,0.5303,10.54,1,0,2.8875,ACCEPT,0,794,1172,7616,0,0,503,0,0,0,0
36,0,1,1,ACCEPT,23.9680,3.3947,516,0,-4,0.4709,278.33,608.58,72.00,35.00,269.00,602.00,54.00,28.00,0.4964,11.41,1,0,3.0444,ACCEPT,0,718,1114,7656,0,0,516,0,0,0,0
37,0,1,1,ACCEPT,22.2426,2.9690,383,0,-6,0.3316,278.33,605.30,72.00,35.00,270.00,599.50,56.00,27.00,0.5337,10.15,1,0,3.0835,ACCEPT,0,651,1161,7195,0,0,383,0,0,0,0
