frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,297.00,455.50,154.00,229.00,297.00,455.50,154.00,229.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9551,5054,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,159.8095,26.7619,562,0,0,1.0000,297.00,455.50,154.00,229.00,298.50,449.50,149.00,217.00,0.9168,6.18,1,0,3.3389,ACCEPT,0,226,8989,6283,0,0,562,0,0,0,0
2,0,1,1,ACCEPT,151.6117,25.7037,694,0,0,1.0000,297.00,455.50,154.00,229.00,294.00,450.00,152.00,218.00,0.9159,6.26,1,0,3.3497,ACCEPT,0,311,8394,7896,0,0,694,0,0,0,0
3,0,1,1,ACCEPT,137.5685,23.3056,839,-1,0,0.9869,294.59,455.50,154.00,229.00,294.50,450.50,149.00,217.00,0.9168,5.00,1,0,3.2177,ACCEPT,0,357,7825,9282,0,0,839,0,0,0,0
4,0,1,1,ACCEPT,139.6000,25.5676,946,-1,0,0.9059,292.19,455.50,154.00,229.00,292.00,450.50,150.00,217.00,0.9230,5.00,1,0,3.2344,ACCEPT,0,466,7347,9558,0,0,946,0,0,0,0
5,0,1,1,ACCEPT,142.9224,24.9024,1021,0,0,1.0000,292.19,455.50,154.00,229.00,292.50,450.50,149.00,217.00,0.9168,5.01,1,0,3.2972,ACCEPT,0,476,6962,9584,0,0,1021,0,0,0,0
6,0,1,1,ACCEPT,155.2723,25.7292,1235,-1,0,0.8761,289.78,455.50,154.00,229.00,289.50,449.50,149.00,217.00,0.9168,6.01,1,0,3.3466,ACCEPT,0,540,6582,9632,0,0,1235,0,0,0,0
7,0,1,1,ACCEPT,150.8594,26.7021,1255,-1,0,0.9195,287.38,455.50,154.00,229.00,288.00,449.50,150.00,217.00,0.9230,6.03,1,0,3.2979,ACCEPT,0,539,6147,9265,0,0,1255,0,0,0,0
8,0,1,1,ACCEPT,141.2602,18.8308,1224,0,0,1.0000,287.38,455.50,154.00,229.00,286.00,449.50,148.00,217.00,0.9107,6.16,1,0,3.2823,ACCEPT,0,575,5778,11031,0,0,1224,0,0,0,0
9,0,1,1,ACCEPT,153.3134,25.4746,1503,-1,0,0.9315,284.97,455.50,154.00,229.00,285.50,449.50,147.00,217.00,0.9045,6.02,1,0,3.3327,ACCEPT,0,706,5440,10959,0,0,1503,0,0,0,0
10,0,1,1,ACCEPT,160.3836,22.4853,1529,0,0,1.0000,284.97,455.50,154.00,229.00,283.50,449.50,147.00,217.00,0.9045,6.18,1,0,3.3477,ACCEPT,0,640,5008,10387,0,0,1529,0,0,0,0
11,0,1,1,ACCEPT,142.5312,24.8814,1468,0,0,1.0000,284.97,455.50,154.00,229.00,284.00,450.50,148.00,217.00,0.9107,5.09,1,0,3.2885,ACCEPT,0,642,4819,11183,0,0,1468,0,0,0,0
12,0,1,1,ACCEPT,158.5821,25.5806,1586,-1,0,0.8758,282.56,455.50,154.00,229.00,283.00,450.50,148.00,217.00,0.9107,5.02,1,0,3.3098,ACCEPT,0,707,4741,11767,0,0,1586,0,0,0,0
13,0,1,1,ACCEPT,156.1258,22.5068,1643,0,0,1.0000,282.56,455.50,154.00,229.00,283.00,451.00,146.00,218.00,0.9025,4.52,1,0,3.2745,ACCEPT,0,775,4696,12380,0,0,1643,0,0,0,0
14,0,1,1,ACCEPT,164.8450,26.5484,1646,0,0,1.0000,282.56,455.50,154.00,229.00,280.50,450.50,149.00,217.00,0.9168,5.41,1,0,3.2744,ACCEPT,0,692,4628,12941,0,0,1646,0,0,0,0
15,0,1,1,ACCEPT,150.4981,25.0484,1553,-1,0,0.9440,280.16,455.50,154.00,229.00,280.00,451.50,148.00,217.00,0.9107,4.00,1,0,3.1285,ACCEPT,0,710,4616,13084,0,0,1553,0,0,0,0
16,0,1,1,ACCEPT,147.5650,24.4062,1562,0,1,0.9750,280.16,459.08,154.00,229.00,280.50,452.50,147.00,217.00,0.8999,6.59,1,0,3.2786,ACCEPT,0,760,4513,11907,0,0,1562,0,0,0,0
17,0,1,1,ACCEPT,134.7053,24.9286,1396,0,-1,0.9821,280.16,455.50,154.00,229.00,279.50,451.00,149.00,218.00,0.9211,4.55,1,0,3.2640,ACCEPT,0,711,4490,12061,0,0,1396,0,0,0,0
18,0,1,1,ACCEPT,144.2424,25.2500,1414,-1,0,0.9102,277.75,455.50,154.00,229.00,279.00,451.50,150.00,217.00,0.9230,4.19,1,0,3.2407,ACCEPT,0,701,4446,13392,0,0,1414,0,0,0,0
19,0,1,1,ACCEPT,139.9188,22.5538,1466,0,0,1.0000,277.75,455.50,154.00,229.00,277.50,451.50,151.00,217.00,0.9291,4.01,1,0,3.1530,ACCEPT,0,668,4412,13741,0,0,1466,0,0,0,0
20,0,1,1,ACCEPT,151.3740,25.1207,1457,0,1,0.9513,277.75,459.08,154.00,229.00,276.50,453.50,151.00,217.00,0.9291,5.72,1,0,3.3036,ACCEPT,0,698,4337,12093,0,0,1457,0,0,0,0
21,0,1,1,ACCEPT,143.0756,23.5085,1387,0,0,1.0000,277.75,459.08,154.00,229.00,278.50,451.50,153.00,217.00,0.9253,7.62,1,0,3.2112,ACCEPT,0,640,4361,12081,0,0,1387,0,0,0,0
22,0,1,1,ACCEPT,153.1705,27.9800,1399,-1,0,0.9414,275.34,459.08,154.00,229.00,280.00,454.00,152.00,218.00,0.8967,6.89,1,0,3.2698,ACCEPT,0,681,4303,12474,0,0,1399,0,0,0,0
23,0,1,1,ACCEPT,153.9376,26.3922,1346,1,0,0.9881,277.75,459.08,154.00,229.00,279.50,453.50,151.00,219.00,0.9299,5.85,1,0,3.1433,ACCEPT,0,570,4306,12549,0,0,1346,0,0,0,0
24,0,1,1,ACCEPT,150.6391,28.0204,1373,0,0,1.0000,277.75,459.08,154.00,229.00,281.00,452.50,152.00,219.00,0.9045,7.34,1,0,3.2128,ACCEPT,0,700,4207,13567,0,0,1373,0,0,0,0
25,0,1,1,ACCEPT,140.8892,19.1250,1377,4,0,0.1808,287.38,459.08,154.00,229.00,289.50,453.50,149.00,219.00,0.9206,5.97,1,0,3.2703,ACCEPT,0,662,4084,13341,0,0,1377,0,0,0,0
26,0,1,1,ACCEPT,142.3961,25.9231,1348,2,0,0.7366,292.19,459.08,154.00,229.00,293.50,461.50,149.00,229.00,0.9476,2.75,1,0,3.2127,ACCEPT,0,712,4161,13254,0,0,1348,0,0,0,0
27,0,1,1,ACCEPT,146.6808,22.1207,1283,3,0,0.4910,299.41,459.08,154.00,229.00,298.00,455.00,148.00,216.00,0.9065,4.31,1,0,3.1942,ACCEPT,0,579,4119,13888,0,0,1283,0,0,0,0
28,0,1,1,ACCEPT,149.3577,28.6444,1289,1,0,0.9907,301.81,459.08,154.00,229.00,300.00,454.50,148.00,217.00,0.9107,4.92,1,0,3.1326,ACCEPT,0,570,4134,13835,0,0,1289,0,0,0,0
29,0,1,1,ACCEPT,157.7092,29.8605,1284,0,0,1.0000,301.81,459.08,154.00,229.00,301.00,455.00,150.00,218.00,0.9272,4.16,1,0,3.2882,ACCEPT,0,537,4107,14369,0,0,1284,0,0,0,0
30,0,1,1,ACCEPT,156.1278,26.0200,1301,1,0,0.8870,304.22,459.08,154.00,229.00,304.00,454.50,150.00,217.00,0.9230,4.58,1,0,3.2927,ACCEPT,0,539,4026,13717,0,0,1301,0,0,0,0
