frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,806,22002,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,173.6011,31.3333,282,0,0,1.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,3.3660,ACCEPT,0,169,809,23474,0,0,282,0,0,0,0
2,0,1,1,ACCEPT,24.6991,4.5897,179,0,4,0.0615,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.1958,ACCEPT,0,229,777,17892,0,0,179,0,0,0,0
3,0,1,1,ACCEPT,39.8033,7.0571,247,0,0,1.0000,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.2005,ACCEPT,0,206,724,25379,0,0,247,0,0,0,0
4,0,1,1,ACCEPT,32.6218,6.2449,306,0,3,0.3235,140.50,192.30,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.87,1,-1,3.0431,ACCEPT,0,304,779,29218,0,0,306,0,0,0,0
5,0,1,1,ACCEPT,36.7595,7.5800,379,0,1,0.9235,140.50,193.09,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.09,1,0,3.2371,ACCEPT,0,358,791,29305,0,0,379,0,0,0,0
6,0,1,1,ACCEPT,34.6890,6.9706,474,-1,0,0.9684,137.84,193.09,170.19,50.96,136.50,204.50,179.00,71.00,0.6518,11.49,1,0,3.2952,ACCEPT,0,477,854,17125,0,0,474,0,0,0,0
7,0,1,1,ACCEPT,45.0704,8.4756,695,0,0,1.0000,137.84,193.09,170.19,50.96,136.50,204.50,179.00,71.00,0.6518,11.49,1,0,3.2977,ACCEPT,0,507,843,16627,0,0,695,0,0,0,0
8,0,1,1,ACCEPT,31.9683,3.4518,573,0,-2,0.5131,137.84,191.50,170.19,50.96,139.00,205.00,182.00,78.00,0.6110,13.55,1,0,3.1442,ACCEPT,0,584,948,14805,0,0,573,0,0,0,0
9,0,1,1,ACCEPT,42.1101,4.2455,709,0,-1,0.8759,137.84,190.70,170.19,50.96,139.00,205.00,182.00,78.00,0.5961,14.34,1,0,3.1727,ACCEPT,0,549,936,14488,0,0,709,0,0,0,0
10,0,1,1,ACCEPT,28.0041,2.3150,588,-1,-5,0.2177,135.19,186.72,170.19,50.96,138.00,203.00,180.00,80.00,0.5696,16.52,1,0,3.2260,ACCEPT,0,649,1036,10753,0,0,588,0,0,0,0
11,0,1,1,ACCEPT,35.9085,2.6577,590,1,0,0.9983,137.84,186.72,163.65,49.00,138.00,203.00,180.00,80.00,0.5432,16.28,1,-1,2.8684,ACCEPT,0,494,1053,10462,0,0,590,0,0,0,0
12,0,1,1,ACCEPT,33.8961,2.7739,552,-1,-5,0.0870,135.29,182.89,163.65,49.00,136.50,195.50,183.00,75.00,0.5843,12.67,1,0,3.1588,ACCEPT,0,573,1090,10706,0,0,552,0,0,0,0
13,0,1,1,ACCEPT,40.9959,2.9573,624,0,0,1.0000,135.29,182.89,163.65,49.00,136.50,195.50,183.00,75.00,0.5843,12.67,1,0,3.1642,ACCEPT,0,475,1067,11185,0,0,624,0,0,0,0
14,0,1,1,ACCEPT,36.3352,3.4875,558,0,-6,0.0896,135.29,178.30,163.65,49.00,136.50,193.00,179.00,78.00,0.5706,14.75,1,0,2.9698,ACCEPT,0,527,1150,9935,0,0,558,0,0,0,0
15,0,1,1,ACCEPT,41.6466,3.4465,548,0,0,1.0000,135.29,178.30,163.65,49.00,136.50,193.00,179.00,78.00,0.5706,14.75,1,0,2.9856,ACCEPT,0,474,1131,11058,0,0,548,0,0,0,0
16,0,1,1,ACCEPT,36.5218,3.5580,491,0,-5,0.0530,135.29,174.47,157.35,47.12,135.00,190.00,180.00,78.00,0.5265,15.53,1,-1,2.7998,ACCEPT,0,455,1208,9985,0,0,491,0,0,0,0
17,0,1,1,ACCEPT,42.2670,4.5169,533,-1,1,0.9081,132.83,175.20,157.35,47.12,135.00,190.00,180.00,78.00,0.5281,14.96,1,0,3.2266,ACCEPT,0,463,1191,10587,0,0,533,0,0,0,0
18,0,1,1,ACCEPT,38.8603,5.2604,505,0,-4,0.1842,132.83,172.27,157.35,47.12,135.50,188.50,175.00,81.00,0.5230,16.45,1,0,3.1578,ACCEPT,0,423,1222,11940,0,0,505,0,0,0,0
19,0,1,1,ACCEPT,45.1300,5.7692,600,0,0,1.0000,132.83,172.27,157.35,47.12,135.50,188.50,175.00,81.00,0.5230,16.45,1,0,3.1618,ACCEPT,0,434,1219,12580,0,0,600,0,0,0,0
20,0,1,1,ACCEPT,37.0593,6.6709,527,0,-2,0.7040,132.83,170.80,157.35,47.12,135.00,189.00,174.00,86.00,0.4955,18.33,1,0,2.9790,ACCEPT,0,455,1190,11877,0,0,527,0,0,0,0
21,0,1,1,ACCEPT,43.7418,7.6757,568,0,0,1.0000,132.83,170.80,157.35,47.12,135.00,189.00,174.00,86.00,0.4955,18.33,1,0,2.9868,ACCEPT,0,434,1177,10645,0,0,568,0,0,0,0
22,0,1,1,ACCEPT,30.5624,4.9205,433,0,-1,0.8406,132.83,170.06,157.35,47.12,135.00,188.00,172.00,84.00,0.5131,18.07,1,0,2.8687,ACCEPT,0,370,1140,7200,0,0,433,0,0,0,0
23,0,1,1,ACCEPT,40.0329,6.6622,493,0,0,1.0000,132.83,170.06,157.35,47.12,135.00,188.00,172.00,84.00,0.5131,18.07,1,0,2.9012,ACCEPT,0,366,1146,6418,0,0,493,0,0,0,0
24,0,1,1,ACCEPT,22.9875,3.5934,327,0,-1,0.9450,132.83,169.33,157.35,47.12,135.50,183.00,169.00,76.00,0.5772,13.93,1,0,2.8440,ACCEPT,0,418,1137,6691,0,0,327,0,0,0,0
25,0,1,1,ACCEPT,31.5148,4.8736,424,0,0,1.0000,132.83,169.33,157.35,47.12,135.50,183.00,169.00,76.00,0.5772,13.93,1,0,2.8665,ACCEPT,0,405,1157,6290,0,0,424,0,0,0,0
26,0,1,1,ACCEPT,20.7394,2.8125,315,0,0,1.0000,132.83,169.33,151.30,45.30,136.50,177.50,169.00,63.00,0.6438,8.96,1,-1,2.6568,ACCEPT,0,425,1188,6733,0,0,315,0,0,0,0
27,0,1,1,ACCEPT,29.4880,4.6038,488,0,-1,0.9180,132.83,168.62,151.30,45.30,136.50,177.50,169.00,63.00,0.6430,9.61,1,0,2.8311,ACCEPT,0,558,1216,7111,0,0,488,0,0,0,0
28,0,1,1,ACCEPT,20.5805,2.9758,369,0,-2,0.8266,132.83,167.20,151.30,45.30,136.00,171.00,168.00,50.00,0.7696,4.95,1,0,2.6594,ACCEPT,0,541,1060,8010,0,0,369,0,0,0,0
29,0,1,1,ACCEPT,30.3264,4.5182,497,0,1,0.8732,132.83,167.91,151.30,45.30,136.00,171.00,168.00,50.00,0.7919,4.43,1,0,2.7441,ACCEPT,0,545,1098,7819,0,0,497,0,0,0,0
30,0,1,1,ACCEPT,18.0649,2.3529,320,0,-2,0.8000,132.83,166.48,151.30,45.30,136.50,168.50,165.00,45.00,0.8418,4.19,1,0,2.6648,ACCEPT,0,555,1010,8968,0,0,320,0,0,0,0
31,0,1,1,ACCEPT,29.4071,4.0354,456,0,1,0.8750,132.83,167.20,151.30,45.30,136.50,168.50,165.00,45.00,0.8677,3.90,1,0,2.7164,ACCEPT,0,563,1037,9751,0,0,456,0,0,0,0
32,0,1,1,ACCEPT,18.0471,2.3481,317,0,0,1.0000,132.83,167.20,151.30,45.30,138.00,168.50,162.00,49.00,0.8635,5.33,1,0,2.6249,ACCEPT,0,489,978,9251,0,0,317,0,0,0,0
33,0,1,1,ACCEPT,29.7620,3.6585,450,0,0,1.0000,132.83,167.20,151.30,45.30,138.00,168.50,162.00,49.00,0.8635,5.33,1,0,2.6580,ACCEPT,0,496,986,9566,0,0,450,0,0,0,0
34,0,1,1,ACCEPT,21.0475,3.5780,390,-1,0,0.9974,130.46,167.20,151.30,45.30,139.50,165.50,159.00,53.00,0.7642,9.20,1,0,2.6119,ACCEPT,0,617,993,8453,0,0,390,0,0,0,0
35,0,1,1,ACCEPT,32.0672,5.2347,513,1,0,0.9688,132.83,167.20,151.30,45.30,139.50,165.50,159.00,53.00,0.7863,6.88,1,0,2.5678,ACCEPT,0,559,974,8425,0,0,513,0,0,0,0
36,0,1,1,ACCEPT,20.5345,4.0698,350,-1,0,0.9686,130.46,167.20,151.30,45.30,139.00,164.50,158.00,57.00,0.7163,8.95,1,0,2.6967,ACCEPT,0,602,839,9006,0,0,350,0,0,0,0
37,0,1,1,ACCEPT,30.7744,5.2949,413,1,0,0.9831,132.83,167.20,151.30,45.30,139.00,164.50,158.00,57.00,0.7365,6.73,1,0,2.5395,ACCEPT,0,504,831,9445,0,0,413,0,0,0,0
38,0,1,1,ACCEPT,24.0006,3.8182,294,0,-1,0.9830,132.83,166.48,151.30,45.30,139.00,163.50,158.00,55.00,0.7629,6.86,1,0,2.5840,ACCEPT,0,418,823,8655,0,0,294,0,0,0,0
39,0,1,1,ACCEPT,33.3060,5.1692,336,0,1,0.9613,132.83,167.20,151.30,45.30,139.00,163.50,158.00,55.00,0.7629,7.19,1,0,2.6369,ACCEPT,0,376,825,8729,0,0,336,0,0,0,0
40,0,1,1,ACCEPT,18.1661,1.9358,211,0,-1,0.9810,132.83,166.48,145.48,43.56,138.50,164.50,157.00,59.00,0.6842,6.01,1,-1,2.5205,ACCEPT,0,422,739,9192,0,0,211,0,0,0,0
41,0,1,1,ACCEPT,23.4751,2.6709,211,0,1,0.9336,132.83,167.16,145.48,43.56,138.50,164.50,157.00,59.00,0.6842,6.27,1,0,2.6986,ACCEPT,0,320,783,8543,0,0,211,0,0,0,0
42,0,1,1,ACCEPT,16.6380,1.5579,148,0,0,1.0000,132.83,167.16,145.48,43.56,140.50,161.50,155.00,55.00,0.7178,9.54,1,0,2.5431,ACCEPT,0,316,812,7939,0,0,148,0,0,0,0
43,0,1,1,ACCEPT,24.8141,2.4000,168,0,0,1.0000,132.83,167.16,145.48,43.56,140.50,161.50,155.00,55.00,0.7178,9.54,1,0,2.6003,ACCEPT,0,260,807,8033,0,0,168,0,0,0,0
44,0,1,1,ACCEPT,11.4531,1.4737,84,0,1,0.9762,132.83,167.84,145.48,43.56,141.00,161.50,154.00,57.00,0.6892,10.35,1,0,2.8273,ACCEPT,0,282,734,9654,0,0,84,0,0,0,0
45,0,1,1,ACCEPT,20.6777,2.4464,137,0,-1,0.9489,132.83,167.16,145.48,43.56,141.00,161.50,154.00,57.00,0.6892,9.94,1,0,2.8001,ACCEPT,0,260,708,10279,0,0,137,0,0,0,0
46,0,1,1,ACCEPT,18.2486,2.3148,125,0,1,0.7680,132.83,167.84,145.48,43.56,142.50,161.50,151.00,59.00,0.6554,11.57,1,0,2.7351,ACCEPT,0,276,700,10665,0,0,125,0,0,0,0
47,0,1,1,ACCEPT,29.0288,4.0435,186,0,0,1.0000,132.83,167.84,145.48,43.56,142.50,161.50,151.00,59.00,0.6554,11.57,1,0,2.7866,ACCEPT,0,258,670,11253,0,0,186,0,0,0,0
48,0,1,1,ACCEPT,19.9925,2.5593,151,0,1,0.7947,132.83,168.52,139.89,41.89,142.00,162.00,152.00,60.00,0.6193,11.26,1,-1,2.7934,ACCEPT,0,235,701,11268,0,0,151,0,0,0,0
49,0,1,1,ACCEPT,28.8772,3.8000,228,0,1,0.8684,132.83,169.18,139.89,41.89,142.00,162.00,152.00,60.00,0.6193,11.65,1,0,2.9627,ACCEPT,0,280,727,10003,0,0,228,0,0,0,0
50,0,1,1,ACCEPT,13.9779,1.7229,143,0,2,0.6853,132.83,170.49,139.89,41.89,144.00,165.00,152.00,58.00,0.6251,12.45,1,0,2.8322,ACCEPT,0,535,854,8975,0,0,143,0,0,0,0
51,0,1,1,ACCEPT,24.7458,2.7808,203,0,1,0.9704,132.83,171.15,139.89,41.89,144.00,165.00,152.00,58.00,0.6251,12.75,1,0,2.8742,ACCEPT,0,367,852,7696,0,0,203,0,0,0,0
52,0,1,1,ACCEPT,16.8160,3.1373,160,0,-1,0.7375,132.83,170.49,139.89,41.89,143.50,173.00,153.00,60.00,0.6081,10.96,1,0,2.9229,ACCEPT,0,289,747,8999,0,0,160,0,0,0,0
53,0,1,1,ACCEPT,30.7605,4.6933,352,0,0,1.0000,132.83,170.49,139.89,41.89,143.50,173.00,153.00,60.00,0.6081,10.96,1,0,2.9623,ACCEPT,0,374,755,8659,0,0,352,0,0,0,0
54,0,1,1,ACCEPT,18.3100,2.1759,235,-1,0,0.9702,130.64,170.49,145.48,43.56,146.50,175.50,153.00,65.00,0.5548,16.63,1,1,2.6998,ACCEPT,0,416,669,9384,0,0,235,0,0,0,0
55,0,1,1,ACCEPT,32.6405,4.0481,421,0,-1,0.7648,130.64,169.81,145.48,43.56,146.50,175.50,153.00,65.00,0.5548,16.85,1,0,2.8297,ACCEPT,0,395,684,9699,0,0,421,0,0,0,0
