frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,291.00,313.50,24.00,13.00,291.00,313.50,24.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4680,7503,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.3945,1.4615,19,3,-39,0.1053,292.12,305.58,24.00,13.00,293.50,304.50,23.00,13.00,0.7596,1.75,1,0,3.0847,ACCEPT,0,129,2699,12335,0,0,19,0,0,0,0
2,0,1,1,ACCEPT,7.2890,1.5455,34,30,-30,0.3824,303.38,299.48,24.00,13.00,299.50,292.50,23.00,11.00,0.2110,7.99,1,9,0.9202,MAX_STEP,0,177,1798,15564,0,0,34,0,0,0,0
3,0,1,0,LOW_PSR,6.4110,1.3438,43,39,-4,0.0233,303.38,299.48,24.00,13.00,293.00,277.00,26.00,12.00,0.0000,24.76,0,0,0.0000,NOT_RUN,0,303,2797,0,0,0,43,0,0,0,0
4,0,1,0,LOW_PSR,6.4387,1.0600,53,-8,20,0.2453,303.38,299.48,24.00,13.00,292.50,264.50,25.00,13.00,0.0000,36.64,0,0,0.0000,NOT_RUN,0,445,3310,0,0,0,53,0,0,0,0
5,0,1,0,LOW_PSR,6.9384,1.1948,92,15,-44,0.0217,303.38,299.48,24.00,13.00,299.00,254.50,26.00,11.00,0.0000,45.20,0,0,0.0000,NOT_RUN,0,490,1256,0,0,0,92,0,0,0,0
6,0,1,0,LOW_PSR,6.9563,1.2308,32,7,-1,0.5000,303.38,299.48,24.00,13.00,284.50,243.50,25.00,11.00,0.0000,59.08,0,0,0.0000,NOT_RUN,0,166,1097,0,0,0,32,0,0,0,0
7,0,1,0,LOW_PSR,5.2390,1.0000,14,9,-23,0.8571,303.38,299.48,24.00,13.00,273.00,237.50,26.00,11.00,0.0000,69.03,0,0,0.0000,NOT_RUN,0,175,11452,0,0,0,15,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-3.0165,1.0000,-23,4,0,0.3478,303.38,299.48,24.00,13.00,267.00,234.50,24.00,13.00,0.0000,74.47,0,0,0.0000,NOT_RUN,0,794,2267,0,0,0,23,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.1610,1.1111,-10,-23,-44,0.2000,303.38,299.48,24.00,13.00,248.00,226.00,26.00,10.00,0.0000,92.01,0,0,0.0000,NOT_RUN,0,108,578,0,0,0,10,0,0,0,0
