frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,264.00,438.50,136.00,103.00,264.00,438.50,136.00,103.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1319,32766,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,121.8980,18.7500,600,1,-1,0.6433,266.12,436.89,136.00,103.00,266.00,437.00,134.00,104.00,0.9760,0.17,1,0,3.1944,ACCEPT,0,269,1262,32767,0,0,600,0,0,0,0
2,0,1,1,ACCEPT,112.9574,20.4348,940,2,0,0.4660,270.38,436.89,136.00,103.00,270.50,437.00,133.00,102.00,0.9684,0.17,1,0,3.2362,ACCEPT,0,393,1173,32767,0,0,940,0,0,0,0
3,0,1,1,ACCEPT,15.8547,2.0664,498,6,0,0.0884,283.12,436.89,136.00,103.00,284.00,438.50,120.00,101.00,0.8555,1.83,1,0,3.2372,ACCEPT,0,1295,1253,32767,0,0,498,0,0,0,0
4,0,1,1,ACCEPT,12.1491,1.5638,588,8,1,0.0255,300.12,438.50,136.00,103.00,302.50,445.00,121.00,110.00,0.7951,6.92,1,0,3.3625,ACCEPT,0,1465,1032,32767,0,0,588,0,0,0,0
5,0,1,1,ACCEPT,18.7552,2.4535,844,11,1,0.0225,323.50,440.11,136.00,103.00,323.00,464.50,100.00,113.00,0.4934,24.40,1,0,3.2782,ACCEPT,0,1858,968,32767,0,0,844,0,0,0,0
6,0,1,1,ACCEPT,14.2456,1.9800,792,6,1,0.0063,336.25,441.72,130.77,99.04,326.00,487.00,90.00,120.00,0.3217,46.43,1,-1,2.6138,ACCEPT,0,1433,700,32767,0,0,792,0,0,0,0
7,0,1,1,ACCEPT,17.9183,3.3936,957,9,1,0.0261,354.67,443.27,136.00,103.00,350.50,528.00,87.00,114.00,0.0946,84.84,1,1,3.0402,ACCEPT,0,1626,464,32767,0,0,957,0,0,0,0
8,0,1,1,ACCEPT,34.1634,5.5784,1601,5,1,0.0100,365.30,444.88,136.00,103.00,353.00,555.50,98.00,87.00,0.0000,111.31,1,0,3.1389,ACCEPT,0,1570,379,32767,0,0,1601,0,0,0,0
9,0,1,1,ACCEPT,32.9990,5.1834,1498,5,-11,0.0167,375.92,427.17,136.00,103.00,356.00,572.50,118.00,81.00,0.0000,146.69,1,0,3.2339,ACCEPT,0,1629,371,32767,0,0,1498,0,0,0,0
10,0,1,1,ACCEPT,30.6056,6.0000,1236,1,-16,0.0477,378.05,401.42,136.00,103.00,357.00,570.00,110.00,94.00,0.0000,169.89,1,0,3.1197,ACCEPT,0,1474,401,18281,0,0,1236,0,0,0,0
11,0,1,0,LOW_PSR,5.5002,1.0237,259,7,1,0.6023,378.05,401.42,136.00,103.00,358.50,449.00,97.00,74.00,0.2304,51.44,0,0,0.0000,NOT_RUN,0,1371,560,0,0,0,259,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-6.0598,1.1078,-257,-20,-11,0.2179,378.05,401.42,136.00,103.00,346.00,376.50,100.00,69.00,0.3353,40.60,0,0,0.0000,NOT_RUN,0,1633,584,0,0,0,257,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-4.6593,1.0171,-119,-35,-40,0.3193,378.05,401.42,136.00,103.00,343.00,315.50,112.00,77.00,0.0163,92.79,0,0,0.0000,NOT_RUN,0,1025,409,0,0,0,119,0,0,0,0
14,0,1,0,LOW_PSR,5.4131,1.0319,194,-30,-6,0.1804,378.05,401.42,136.00,103.00,349.00,336.00,100.00,88.00,0.1329,71.58,0,0,0.0000,NOT_RUN,0,1238,416,0,0,0,194,0,0,0,0
15,0,1,0,LOW_PSR,5.4620,1.0222,276,3,-36,0.3261,378.05,401.42,136.00,103.00,338.50,382.00,99.00,62.00,0.3156,44.06,0,0,0.0000,NOT_RUN,0,1595,709,0,0,0,276,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-5.9682,1.2065,-298,-3,-7,0.0671,378.05,401.42,136.00,103.00,333.50,419.50,111.00,57.00,0.2842,48.08,0,0,0.0000,NOT_RUN,0,1356,673,0,0,0,298,0,0,0,0
17,0,1,0,LOW_PSR,5.4316,1.0000,169,-11,17,0.0059,378.05,401.42,136.00,103.00,334.00,476.50,102.00,67.00,0.0370,87.05,0,0,0.0000,NOT_RUN,0,960,392,0,0,0,169,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-6.7849,1.1831,-168,-6,5,0.2262,378.05,401.42,136.00,103.00,342.00,512.50,100.00,69.00,0.0000,116.78,0,0,0.0000,NOT_RUN,0,698,414,0,0,0,168,0,0,0,0
