frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3485,4739,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.9709,1.8000,9,5,26,0.3333,214.19,532.12,28.00,20.00,213.00,533.50,28.00,19.00,0.8019,1.82,1,0,3.0553,ACCEPT,0,43,1883,7038,0,0,9,0,0,0,0
2,0,1,1,ACCEPT,8.3673,1.4167,17,16,27,0.3529,221.19,540.56,28.00,20.00,219.50,543.00,27.00,20.00,0.7010,2.96,1,0,2.9654,ACCEPT,0,69,1004,8932,0,0,17,0,0,0,0
3,0,1,1,ACCEPT,12.9722,2.1000,21,15,23,0.2857,227.75,547.75,26.92,19.23,225.50,551.00,31.00,20.00,0.6240,3.95,1,-1,2.7667,ACCEPT,0,60,1251,10284,0,0,21,0,0,0,0
4,0,1,1,ACCEPT,11.4527,2.0000,18,7,-1,0.1111,230.70,547.45,25.89,18.49,229.00,550.50,28.00,19.00,0.6449,3.49,1,-1,2.6943,ACCEPT,0,69,2757,3670,0,0,18,0,0,0,0
5,0,1,1,ACCEPT,8.3509,1.3333,12,1,-5,0.0833,231.11,546.01,24.89,17.78,230.50,549.50,27.00,19.00,0.6342,3.54,1,-1,2.6716,ACCEPT,0,72,2756,3682,0,0,12,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.9767,1.0000,-13,37,34,0.3077,231.11,546.01,24.89,17.78,232.00,541.00,26.00,20.00,0.5483,5.09,0,0,0.0000,NOT_RUN,0,74,3661,0,0,0,13,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.0410,1.0625,-17,55,16,0.1765,231.11,546.01,24.89,17.78,237.00,531.00,26.00,16.00,0.0448,16.12,0,0,0.0000,NOT_RUN,0,112,3578,0,0,0,17,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.3875,1.0000,-9,3,-5,0.2222,231.11,546.01,24.89,17.78,239.50,520.00,25.00,16.00,0.0000,27.33,0,0,0.0000,NOT_RUN,0,60,1453,0,0,0,9,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-6.6884,1.2000,-12,-7,-9,0.5833,231.11,546.01,24.89,17.78,239.50,516.50,29.00,19.00,0.0000,30.68,0,0,0.0000,NOT_RUN,0,71,1453,0,0,0,12,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.8789,1.1111,-10,-9,0,0.7000,231.11,546.01,24.89,17.78,236.50,513.50,27.00,17.00,0.0000,32.95,0,0,0.0000,NOT_RUN,0,59,1420,0,0,0,10,0,0,0,0
