frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,670.50,911.50,341.00,183.00,670.50,911.50,341.00,183.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9897,7498,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,29.9308,5.8966,171,-1,-3,0.4211,665.17,902.92,341.00,183.00,669.50,907.50,333.00,177.00,0.9265,6.30,1,0,3.2137,ACCEPT,0,239,8614,6297,0,0,171,0,0,0,0
2,0,1,1,ACCEPT,13.9789,2.3000,138,2,-3,0.1377,675.83,894.34,327.88,175.96,681.00,888.00,312.00,190.00,0.8844,8.18,1,-1,2.6767,ACCEPT,0,410,7776,7079,0,0,138,0,0,0,0
3,0,1,1,ACCEPT,12.6873,1.4505,132,2,-1,0.5455,686.08,891.59,327.88,175.96,693.00,872.50,296.00,207.00,0.7510,20.31,1,0,2.8059,ACCEPT,0,275,6682,6937,0,0,132,0,0,0,0
4,0,1,1,ACCEPT,10.4619,1.1039,85,0,3,0.6118,686.08,899.84,327.88,175.96,712.00,861.50,278.00,237.00,0.6049,46.28,1,-2,1.9683,LOW_CONF,0,238,6535,6426,0,0,85,0,0,0,0
5,0,1,1,ACCEPT,10.3543,1.1373,116,-1,6,0.4655,680.95,916.34,327.88,175.96,714.50,868.50,279.00,255.00,0.5412,58.43,1,-6,1.7837,MAX_STEP,0,339,6379,5332,0,0,116,0,0,0,0
6,0,1,1,ACCEPT,9.9514,1.1413,105,-2,6,0.1810,670.70,932.84,327.88,175.96,720.00,888.50,266.00,289.00,0.4789,66.31,1,-12,1.3285,MAX_STEP,0,305,6474,10863,0,0,105,0,0,0,0
7,0,1,1,ACCEPT,14.6919,1.7399,301,-1,7,0.0963,665.58,952.09,327.88,175.96,729.00,906.00,262.00,310.00,0.4150,78.40,1,-1,1.6722,LOW_CONF,0,563,6304,12000,0,0,301,0,0,0,0
8,0,1,1,ACCEPT,11.5226,1.0296,278,-1,12,0.4353,660.45,985.09,327.88,175.96,740.00,926.00,244.00,344.00,0.3449,99.09,1,0,1.9562,LOW_CONF,0,677,5685,12389,0,0,278,0,0,0,0
9,0,1,1,ACCEPT,13.3685,1.2476,393,-1,6,0.3740,655.33,1001.59,315.27,169.19,739.50,942.50,245.00,353.00,0.3108,102.84,1,-1,2.7387,ACCEPT,0,865,5357,12015,0,0,393,0,0,0,0
10,0,1,1,ACCEPT,11.8836,1.0327,411,-2,7,0.0584,645.47,1020.08,327.88,175.96,741.50,971.50,235.00,359.00,0.2981,107.62,1,1,2.0883,ACCEPT,0,976,5077,12110,0,0,411,0,0,0,0
11,0,1,1,ACCEPT,10.9676,1.0274,337,-4,-1,0.2136,624.97,1017.33,327.88,175.96,745.50,1000.50,247.00,375.00,0.2428,121.70,1,0,2.5936,ACCEPT,0,851,4629,10219,0,0,337,0,0,0,0
12,0,1,1,ACCEPT,13.0278,1.2763,388,-4,10,0.2345,604.47,1044.83,327.88,175.96,739.50,1027.50,241.00,379.00,0.2142,136.14,1,-3,1.6442,MAX_STEP,0,1082,4525,13062,0,0,388,0,0,0,0
13,0,1,1,ACCEPT,14.0297,1.3395,576,-5,2,0.2014,578.84,1050.33,327.88,175.96,727.00,1041.50,232.00,369.00,0.1931,148.42,1,0,2.6278,ACCEPT,0,1960,4136,13489,0,0,576,0,0,0,0
14,0,1,1,ACCEPT,8.9494,1.0152,469,-8,5,0.1663,537.84,1064.08,327.88,175.96,695.50,1053.00,243.00,388.00,0.1736,158.04,1,0,2.7287,ACCEPT,0,2143,3724,14371,0,0,469,0,0,0,0
15,0,1,1,ACCEPT,11.0804,1.3360,501,-5,4,0.1697,512.22,1075.08,341.00,183.00,672.50,1055.50,253.00,395.00,0.1822,161.47,1,1,2.5418,ACCEPT,0,2162,3562,11211,0,0,501,0,0,0,0
16,0,1,0,LOW_PSR,6.8834,1.0289,285,-8,4,0.0772,512.22,1075.08,341.00,183.00,654.00,1045.50,250.00,423.00,0.2009,144.83,0,0,0.0000,NOT_RUN,0,2121,3109,0,0,0,285,0,0,0,0
17,0,1,1,ACCEPT,7.2125,1.1569,295,-13,11,0.1322,442.95,1106.53,368.83,197.93,655.50,1040.00,233.00,438.00,0.1110,222.72,1,2,2.0486,ACCEPT,0,2113,3163,11357,0,0,295,0,0,0,0
18,0,1,1,ACCEPT,8.8232,1.0417,250,-3,6,0.2160,425.66,1125.09,368.83,197.93,654.00,1050.00,224.00,484.00,0.0802,240.37,1,4,1.8183,MAX_STEP,0,1430,3701,10631,0,0,250,0,0,0,0
