frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,557.50,338.50,49.00,13.00,557.50,338.50,49.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5746,3189,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,10.7913,1.3000,13,-8,1,0.0769,551.38,338.70,47.12,12.50,562.50,317.00,47.00,12.00,0.0000,24.39,1,-1,2.2850,ACCEPT,0,52,5740,2648,0,0,13,0,0,0,0
2,0,1,1,ACCEPT,8.9051,1.0000,7,-27,7,0.2857,531.55,340.07,47.12,12.50,544.50,316.00,43.00,16.00,0.0000,27.33,1,-3,2.0365,MAX_STEP,0,30,6576,2234,0,0,7,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-6.5522,1.0000,-5,-19,2,0.4000,531.55,340.07,47.12,12.50,556.50,311.50,49.00,15.00,0.0000,37.93,0,0,0.0000,NOT_RUN,0,32,3146,0,0,0,5,0,0,0,0
4,0,1,0,LOW_PSR,6.5489,1.0000,3,15,-13,0.3333,531.55,340.07,47.12,12.50,543.50,336.00,47.00,16.00,0.3633,12.63,0,0,0.0000,NOT_RUN,0,21,2731,0,0,0,4,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-4.6275,1.5000,-3,-11,-1,0.3333,531.55,340.07,47.12,12.50,534.50,324.50,41.00,17.00,0.0000,15.85,0,0,0.0000,NOT_RUN,0,17,4005,0,0,0,4,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-2.7410,1.0000,-2,0,-3,0.5000,531.55,340.07,47.12,12.50,0.00,0.00,0.00,0.00,0.0000,631.02,0,0,0.0000,NOT_RUN,0,16,8363,0,0,0,3,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-2.7201,1.0000,-2,0,-3,0.5000,531.55,340.07,47.12,12.50,483.50,297.50,41.00,15.00,0.0000,64.19,0,0,0.0000,NOT_RUN,0,17,11212,0,0,0,3,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-2.7572,1.0000,-2,0,0,1.0000,531.55,340.07,47.12,12.50,472.50,295.50,49.00,15.00,0.0000,73.98,0,0,0.0000,NOT_RUN,0,18,7296,0,0,0,3,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.5884,1.5000,-3,3,-3,0.3333,531.55,340.07,47.12,12.50,464.00,305.50,46.00,17.00,0.0000,75.88,0,0,0.0000,NOT_RUN,0,19,1408,0,0,0,4,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-5.5723,1.0000,-4,1,-3,0.5000,531.55,340.07,47.12,12.50,457.50,317.00,49.00,18.00,0.0000,77.56,0,0,0.0000,NOT_RUN,0,24,4527,0,0,0,4,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-2.8049,1.0000,-2,0,-3,0.5000,531.55,340.07,47.12,12.50,453.00,335.50,44.00,17.00,0.0000,78.68,0,0,0.0000,NOT_RUN,0,17,4550,0,0,0,3,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-2.7078,1.0000,-2,0,-3,0.5000,531.55,340.07,47.12,12.50,452.00,347.00,46.00,14.00,0.0000,79.85,0,0,0.0000,NOT_RUN,0,17,3175,0,0,0,4,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-2.7325,1.0000,-2,0,-3,0.5000,531.55,340.07,47.12,12.50,454.50,347.00,47.00,16.00,0.0000,77.36,0,0,0.0000,NOT_RUN,0,18,2623,0,0,0,4,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-2.7393,1.0000,-2,0,-3,0.5000,531.55,340.07,47.12,12.50,444.50,353.00,47.00,18.00,0.0000,88.00,0,0,0.0000,NOT_RUN,0,16,1199,0,0,0,3,0,0,0,0
