frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,530.50,632.00,89.00,70.00,530.50,632.00,89.00,70.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2383,24876,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.0433,7.5349,324,0,0,1.0000,530.50,632.00,89.00,70.00,525.50,628.50,85.00,73.00,0.8129,6.10,1,0,3.2859,ACCEPT,0,413,2177,25418,0,0,324,0,0,0,0
2,0,1,1,ACCEPT,21.0782,3.8205,447,0,0,1.0000,530.50,632.00,89.00,70.00,528.00,628.50,80.00,73.00,0.8205,4.30,1,0,2.9037,ACCEPT,0,697,1913,25521,0,0,447,0,0,0,0
3,0,1,1,ACCEPT,24.1353,4.0468,692,0,0,1.0000,530.50,632.00,89.00,70.00,523.50,627.50,87.00,71.00,0.7571,8.32,1,0,3.3210,ACCEPT,0,770,1985,24696,0,0,692,0,0,0,0
4,0,1,1,ACCEPT,24.2517,4.7044,748,1,0,0.9786,531.89,632.00,89.00,70.00,524.00,628.00,86.00,72.00,0.7525,8.85,1,0,3.2681,ACCEPT,0,883,1819,32767,0,0,748,0,0,0,0
5,0,1,1,ACCEPT,22.8426,4.1321,876,0,1,0.9932,531.89,633.09,92.56,72.80,526.50,628.50,89.00,73.00,0.7879,7.08,1,1,3.1257,ACCEPT,0,1379,1605,23825,0,0,876,0,0,0,0
6,0,1,1,ACCEPT,21.2863,3.8848,843,0,0,1.0000,531.89,633.09,92.56,72.80,526.00,628.00,94.00,74.00,0.7727,7.79,1,0,3.0880,ACCEPT,0,1130,1567,22272,0,0,843,0,0,0,0
7,0,1,1,ACCEPT,24.6831,4.6209,975,0,1,0.9856,531.89,634.23,92.56,72.80,527.00,629.50,96.00,77.00,0.7981,6.81,1,0,3.1214,ACCEPT,0,1187,1601,25094,0,0,975,0,0,0,0
8,0,1,1,ACCEPT,23.2792,3.7749,1023,0,0,1.0000,531.89,634.23,92.56,72.80,531.00,630.00,100.00,78.00,0.8284,4.33,1,0,3.0525,ACCEPT,0,1375,1390,32767,0,0,1023,0,0,0,0
9,0,1,1,ACCEPT,24.3598,4.4891,1239,0,1,0.9726,531.89,635.38,92.56,72.80,537.00,629.50,86.00,77.00,0.7695,7.79,1,0,3.2225,ACCEPT,0,1738,1107,32768,0,0,1239,0,0,0,0
10,0,1,1,ACCEPT,23.0984,4.4613,1209,0,0,1.0000,531.89,635.38,92.56,72.80,539.00,630.50,90.00,75.00,0.7566,8.62,1,0,3.3841,ACCEPT,0,1523,882,32767,0,0,1209,0,0,0,0
11,0,1,1,ACCEPT,21.7606,3.6059,1107,0,0,1.0000,531.89,635.38,92.56,72.80,538.50,632.00,91.00,70.00,0.7921,7.42,1,0,3.2379,ACCEPT,0,1489,788,32767,0,0,1107,0,0,0,0
12,0,1,1,ACCEPT,23.8220,3.6356,1247,0,0,1.0000,531.89,635.38,92.56,72.80,540.50,630.50,93.00,71.00,0.7327,9.89,1,0,3.2545,ACCEPT,0,1704,684,32767,0,0,1247,0,0,0,0
13,0,1,1,ACCEPT,27.5603,3.4963,1416,0,0,1.0000,531.89,635.38,92.56,72.80,540.50,630.00,93.00,78.00,0.7278,10.15,1,0,3.3109,ACCEPT,0,1594,637,32767,0,0,1416,0,0,0,0
14,0,1,1,ACCEPT,30.0331,3.9067,1465,0,0,1.0000,531.89,635.38,92.56,72.80,541.50,627.00,93.00,74.00,0.6586,12.75,1,0,3.1059,ACCEPT,0,1506,740,32767,0,0,1465,0,0,0,0
15,0,1,1,ACCEPT,31.4885,4.0780,1517,0,0,1.0000,531.89,635.38,92.56,72.80,542.00,628.00,94.00,72.00,0.6678,12.51,1,0,3.1288,ACCEPT,0,1520,670,32767,0,0,1517,0,0,0,0
16,0,1,1,ACCEPT,36.9808,5.2382,1671,0,0,1.0000,531.89,635.38,92.56,72.80,542.50,628.50,95.00,73.00,0.6711,12.64,1,0,3.2583,ACCEPT,0,1551,561,32768,0,0,1671,0,0,0,0
