frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,504.50,418.50,75.00,59.00,504.50,418.50,75.00,59.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,980,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,14.9765,1.3621,237,1,-3,0.6835,505.67,415.73,72.12,56.73,503.50,419.50,69.00,63.00,0.8337,4.35,1,-1,3.0888,ACCEPT,0,459,1086,32767,0,0,237,0,0,0,0
2,0,1,1,ACCEPT,17.7111,1.7436,544,-5,5,0.1544,500.05,420.15,72.12,56.73,498.50,425.00,69.00,64.00,0.8190,5.09,1,0,3.0289,ACCEPT,0,1000,1091,30307,0,0,544,0,0,0,0
3,0,1,1,ACCEPT,17.5009,2.2656,580,-6,9,0.0966,493.30,428.09,72.12,56.73,492.00,434.50,70.00,65.00,0.7846,6.54,1,0,2.8352,ACCEPT,0,1089,1051,32767,0,0,580,0,0,0,0
4,0,1,1,ACCEPT,16.2228,1.5756,542,-3,2,0.3598,489.92,429.86,72.12,56.73,488.00,437.50,68.00,69.00,0.7469,7.88,1,0,2.7058,ACCEPT,0,896,918,32767,0,0,542,0,0,0,0
5,0,1,1,ACCEPT,12.2319,1.0028,360,0,-7,0.9917,489.92,423.68,69.34,54.55,489.50,432.00,67.00,72.00,0.7381,8.33,1,-1,2.9503,ACCEPT,0,861,1095,30899,0,0,360,0,0,0,0
6,0,1,1,ACCEPT,11.8319,1.3984,351,2,-11,0.1054,492.09,414.31,66.67,52.45,491.00,422.00,66.00,74.00,0.6901,7.76,1,-1,2.9288,ACCEPT,0,845,1134,15559,0,0,351,0,0,0,0
7,0,1,1,ACCEPT,7.3417,1.1310,164,6,-1,0.3720,498.33,413.49,66.67,52.45,496.00,410.00,66.00,74.00,0.6683,4.20,1,5,1.6426,MAX_STEP,0,664,1142,18793,0,0,164,0,0,0,0
8,0,1,0,LOW_PSR,5.3089,1.2455,137,6,-5,0.6861,498.33,413.49,66.67,52.45,505.50,399.00,59.00,74.00,0.5267,16.17,0,0,0.0000,NOT_RUN,0,864,1025,0,0,0,137,0,0,0,0
9,0,1,0,LOW_PSR,4.9053,1.1452,142,6,24,0.2394,498.33,413.49,66.67,52.45,512.50,396.00,49.00,74.00,0.3896,22.51,0,0,0.0000,NOT_RUN,0,1431,1042,0,0,0,142,0,0,0,0
10,0,1,0,LOW_PSR,6.6294,1.2444,168,-8,15,0.0119,498.33,413.49,66.67,52.45,519.00,404.00,34.00,58.00,0.3299,22.75,0,0,0.0000,NOT_RUN,0,957,787,0,0,0,168,0,0,0,0
11,0,1,0,LOW_PSR,6.2933,1.1474,109,-7,29,0.0092,498.33,413.49,66.67,52.45,520.00,423.00,32.00,44.00,0.2794,23.67,0,0,0.0000,NOT_RUN,0,935,620,0,0,0,109,0,0,0,0
