frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,281.50,828.00,103.00,178.00,281.50,828.00,103.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1113,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,56.3117,10.8846,566,0,1,0.9876,281.50,830.78,107.12,185.12,284.50,827.50,99.00,171.00,0.8537,4.45,1,1,3.0665,ACCEPT,0,477,1056,32767,0,0,566,0,0,0,0
2,0,1,1,ACCEPT,44.8449,7.9697,526,0,0,1.0000,281.50,830.78,107.12,185.12,291.00,829.50,90.00,177.00,0.7883,9.59,1,0,2.9224,ACCEPT,0,454,1090,32766,0,0,526,0,0,0,0
3,0,1,1,ACCEPT,40.5535,6.6790,541,0,0,1.0000,281.50,830.78,111.40,192.52,291.50,830.50,91.00,177.00,0.7510,10.00,1,1,2.7186,ACCEPT,0,453,887,32767,0,0,541,0,0,0,0
4,0,1,1,ACCEPT,35.5758,6.0661,734,-1,1,0.9292,279.76,833.79,115.86,200.23,292.50,830.50,87.00,179.00,0.6713,13.16,1,1,2.4769,ACCEPT,0,686,981,32767,0,0,734,0,0,0,0
5,0,1,1,ACCEPT,31.4016,5.5833,938,0,0,1.0000,279.76,833.79,120.50,208.23,293.50,832.50,91.00,177.00,0.6419,13.80,1,1,2.2728,ACCEPT,0,973,886,32767,0,0,938,0,0,0,0
6,0,1,1,ACCEPT,25.5335,3.8696,801,-1,1,0.9226,277.88,837.04,120.50,208.23,292.00,835.00,94.00,172.00,0.6345,14.27,1,2,1.8750,LOW_CONF,0,891,1069,32767,0,0,801,0,0,0,0
7,0,1,1,ACCEPT,29.1565,4.2299,1104,0,0,1.0000,277.88,837.04,120.50,208.23,293.50,836.50,93.00,171.00,0.6132,15.63,1,3,1.7221,MAX_STEP,0,1182,1173,32767,0,0,1104,0,0,0,0
8,0,1,1,ACCEPT,32.4804,4.1969,1599,0,0,1.0000,277.88,837.04,120.50,208.23,293.50,843.50,95.00,175.00,0.6299,16.91,1,3,1.6771,MAX_STEP,1,1650,915,32767,0,0,1599,0,0,0,1
9,0,1,1,ACCEPT,35.5073,4.6891,1885,0,0,1.0000,277.88,837.04,120.50,208.23,292.50,840.50,97.00,163.00,0.6002,15.03,1,2,1.7184,LOW_CONF,0,1814,869,29025,0,0,1885,0,0,0,0
10,0,1,1,ACCEPT,36.7391,4.9671,1813,0,0,1.0000,277.88,837.04,120.50,208.23,292.50,841.00,97.00,160.00,0.5894,15.15,1,2,1.9000,LOW_CONF,0,1686,868,25653,0,0,1813,0,0,0,0
11,0,1,1,ACCEPT,31.3291,4.1595,1460,0,0,1.0000,277.88,837.04,115.86,200.23,291.00,844.50,100.00,157.00,0.6198,15.10,1,-1,2.2782,ACCEPT,0,1563,1014,23768,0,0,1460,0,0,0,0
12,0,1,1,ACCEPT,31.2271,4.4211,1680,1,0,0.9244,279.69,837.04,111.40,192.52,291.00,841.50,98.00,173.00,0.7263,12.16,1,-1,2.4788,ACCEPT,0,1733,1082,21512,0,0,1680,0,0,0,0
13,0,1,1,ACCEPT,32.0532,4.7611,1495,0,0,1.0000,279.69,837.04,111.40,192.52,287.50,842.00,99.00,170.00,0.7622,9.25,1,0,2.5534,ACCEPT,0,1721,1254,23009,0,0,1495,0,0,0,0
14,0,1,1,ACCEPT,36.0054,5.1074,1665,0,0,1.0000,279.69,837.04,111.40,192.52,287.00,845.50,96.00,165.00,0.7385,11.18,1,0,2.5187,ACCEPT,0,1785,1254,24558,0,0,1665,0,0,0,0
15,0,1,1,ACCEPT,42.6438,7.0538,1968,0,0,1.0000,279.69,837.04,111.40,192.52,286.00,847.50,94.00,163.00,0.7144,12.22,1,0,2.5180,ACCEPT,0,1816,1240,26220,0,0,1968,0,0,0,0
16,0,1,1,ACCEPT,41.7089,6.8000,1938,0,1,0.9788,279.69,840.05,111.40,192.52,286.00,848.00,98.00,162.00,0.7402,10.15,1,0,2.4652,ACCEPT,0,1733,1297,24973,0,0,1938,0,0,0,0
17,0,1,1,ACCEPT,44.7388,7.5278,1897,0,0,1.0000,279.69,840.05,107.12,185.12,287.00,850.50,100.00,161.00,0.7583,12.76,1,-1,2.2974,ACCEPT,0,1746,1278,25001,0,0,1897,0,0,0,0
18,0,1,1,ACCEPT,36.9579,6.7581,1676,0,1,0.9815,279.69,842.94,103.00,178.00,287.00,856.50,102.00,173.00,0.7495,15.41,1,-1,2.2078,ACCEPT,0,1879,1367,21293,0,0,1676,0,0,0,0
