frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,240.50,549.00,21.00,74.00,240.50,549.00,21.00,74.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,492,11520,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.3618,1.6667,35,23,6,0.0571,248.05,555.94,21.00,74.00,250.00,556.00,12.00,44.00,0.3398,1.95,1,0,3.1069,ACCEPT,0,502,308,11561,0,0,35,0,0,0,0
2,0,1,1,ACCEPT,9.5302,1.5897,62,15,2,0.0000,252.97,558.25,20.19,71.15,253.50,565.00,23.00,60.00,0.7292,6.77,1,-1,2.7112,ACCEPT,0,235,437,12357,0,0,62,0,0,0,0
3,0,1,1,ACCEPT,8.2287,1.3636,75,14,2,0.0933,257.34,560.47,19.42,68.42,255.00,560.50,28.00,65.00,0.6690,2.34,1,-1,2.6134,ACCEPT,0,388,467,9864,0,0,75,0,0,0,0
4,0,1,1,ACCEPT,8.8554,1.5714,66,14,1,0.0455,261.61,561.54,19.42,68.42,259.50,563.50,27.00,51.00,0.5773,2.88,1,0,2.8704,ACCEPT,0,264,601,7579,0,0,66,0,0,0,0
5,0,1,1,ACCEPT,14.0916,1.9608,100,14,1,0.0200,265.88,562.61,19.42,68.42,264.00,564.00,24.00,48.00,0.6019,2.33,1,0,2.9066,ACCEPT,0,232,686,4807,0,0,100,0,0,0,0
6,0,1,1,ACCEPT,13.0086,1.5510,76,26,4,0.0921,273.80,566.89,19.42,68.42,273.00,566.50,18.00,77.00,0.8230,0.89,1,0,2.9814,ACCEPT,0,189,414,5343,0,0,76,0,0,0,0
7,0,1,1,ACCEPT,17.1808,1.7619,148,10,2,0.2432,276.84,569.03,19.42,68.42,276.50,563.50,15.00,69.00,0.6694,5.54,1,0,2.8827,ACCEPT,0,355,602,4127,0,0,148,0,0,0,0
8,0,1,1,ACCEPT,17.7736,1.7969,115,13,1,0.1652,280.80,570.10,19.42,68.42,279.00,569.50,18.00,69.00,0.8112,1.90,1,0,2.8351,ACCEPT,0,229,525,4189,0,0,115,0,0,0,0
9,0,1,1,ACCEPT,17.2104,1.8714,131,7,2,0.4809,282.94,572.24,19.42,68.42,282.00,572.00,20.00,54.00,0.7267,0.97,1,0,2.8748,ACCEPT,0,271,537,4661,0,0,131,0,0,0,0
10,0,1,1,ACCEPT,15.6612,2.0000,136,9,2,0.0956,285.68,574.38,19.42,68.42,288.50,576.50,19.00,77.00,0.6713,3.53,1,0,2.9454,ACCEPT,0,259,295,6148,0,0,136,0,0,0,0
11,0,1,1,ACCEPT,9.5256,1.4286,80,15,2,0.3500,290.25,576.52,19.42,68.42,287.50,576.00,23.00,80.00,0.6627,2.80,1,0,2.9045,ACCEPT,0,239,308,7005,0,0,80,0,0,0,0
12,0,1,1,ACCEPT,11.1921,1.4898,73,13,-1,0.1370,294.21,575.45,19.42,68.42,285.50,573.00,31.00,76.00,0.4416,9.05,1,0,3.0466,ACCEPT,0,223,368,5844,0,0,73,0,0,0,0
13,0,1,1,ACCEPT,10.7621,1.3443,82,14,2,0.3659,298.48,577.59,19.42,68.42,286.00,572.00,32.00,68.00,0.3096,13.67,1,0,3.0505,ACCEPT,0,255,435,5186,0,0,82,0,0,0,0
14,0,1,1,ACCEPT,13.4364,1.7838,66,14,1,0.1364,302.74,578.66,19.42,68.42,293.00,577.50,36.00,69.00,0.4669,9.81,1,0,3.0279,ACCEPT,0,175,404,5693,0,0,66,0,0,0,0
15,0,1,1,ACCEPT,14.5708,1.8222,82,9,1,0.2195,305.48,579.73,19.42,68.42,301.50,578.50,37.00,81.00,0.4432,4.17,1,0,3.0162,ACCEPT,0,209,384,5125,0,0,82,0,0,0,0
16,0,1,1,ACCEPT,8.2604,1.0889,49,11,21,0.0816,308.84,602.21,19.42,68.42,314.00,580.00,22.00,64.00,0.3332,22.80,1,0,2.9369,ACCEPT,0,156,293,7314,0,0,49,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-8.5067,1.0833,-78,7,6,0.5641,308.84,602.21,19.42,68.42,315.50,584.50,15.00,71.00,0.2971,18.92,0,0,0.0000,NOT_RUN,0,219,309,0,0,0,78,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-10.4796,1.3667,-82,-2,14,0.2195,308.84,602.21,19.42,68.42,313.00,582.00,18.00,84.00,0.4020,20.64,0,0,0.0000,NOT_RUN,0,249,361,0,0,0,82,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-9.0833,1.3125,-63,17,-23,0.5079,308.84,602.21,19.42,68.42,314.50,579.00,23.00,80.00,0.3337,23.89,0,0,0.0000,NOT_RUN,0,218,416,0,0,0,63,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-6.4847,1.0312,-33,31,-25,0.1818,308.84,602.21,19.42,68.42,320.00,577.00,22.00,70.00,0.1715,27.57,0,0,0.0000,NOT_RUN,0,182,345,0,0,0,33,0,0,0,0
21,0,1,1,ACCEPT,7.4614,1.1212,37,15,-14,0.1081,313.41,587.23,18.67,65.79,331.00,576.50,20.00,89.00,0.0396,20.61,1,-1,2.7805,ACCEPT,0,238,435,9487,0,0,37,0,0,0,0
