frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,37.50,213.50,37.00,61.00,37.50,213.50,37.00,61.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,14664,4107,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,35.1175,7.1200,178,2,1,0.4494,38.66,214.45,37.00,61.00,40.00,212.00,34.00,60.00,0.8494,2.80,1,0,3.0570,ACCEPT,0,205,14063,5552,0,0,178,0,0,0,0
2,0,1,1,ACCEPT,19.2246,2.0300,203,5,0,0.1133,41.55,214.45,37.00,61.00,40.50,211.50,33.00,63.00,0.8162,3.13,1,0,2.6518,ACCEPT,0,323,13197,6663,0,0,203,0,0,0,0
3,0,1,1,ACCEPT,21.6524,1.9648,279,2,-1,0.6416,42.70,213.50,37.00,61.00,42.00,210.50,34.00,63.00,0.8383,3.08,1,0,2.7842,ACCEPT,0,359,12307,6411,0,0,279,0,0,0,0
4,0,1,1,ACCEPT,25.8902,2.5303,334,4,-1,0.2246,45.02,212.55,37.00,61.00,43.50,212.00,33.00,60.00,0.8760,1.61,1,0,2.8616,ACCEPT,0,418,11428,5833,0,0,334,0,0,0,0
5,0,1,1,ACCEPT,26.3392,3.5534,366,3,-1,0.4863,46.75,211.59,37.00,61.00,45.50,211.50,35.00,59.00,0.9025,1.25,1,0,2.9707,ACCEPT,0,393,10988,5755,0,0,366,0,0,0,0
6,0,1,1,ACCEPT,21.5092,2.7692,324,2,-1,0.7222,47.91,210.64,37.00,61.00,46.00,211.00,32.00,60.00,0.8507,1.94,1,0,2.9501,ACCEPT,0,423,10313,5685,0,0,324,0,0,0,0
7,0,1,1,ACCEPT,22.2682,2.7727,366,3,-1,0.3142,49.64,209.69,37.00,61.00,45.50,210.50,33.00,61.00,0.7698,4.22,1,0,2.9648,ACCEPT,0,459,9670,5956,0,0,366,0,0,0,0
8,0,1,1,ACCEPT,22.3023,3.1121,361,2,-1,0.7091,50.80,208.73,37.00,61.00,48.00,209.50,32.00,63.00,0.8268,2.90,1,0,3.0391,ACCEPT,0,477,9347,5821,0,0,361,0,0,0,0
9,0,1,1,ACCEPT,23.0348,2.9062,372,3,0,0.4328,52.53,208.73,37.00,61.00,50.00,210.00,30.00,62.00,0.7823,2.83,1,0,3.0110,ACCEPT,0,461,8644,6602,0,0,372,0,0,0,0
