frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,225.50,610.00,45.00,52.00,225.50,610.00,45.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2183,7116,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,26.3082,5.2000,104,-1,-2,0.5481,224.80,608.38,45.00,52.00,224.50,610.00,47.00,56.00,0.8891,1.65,1,0,3.0587,ACCEPT,0,146,2387,10653,0,0,104,0,0,0,0
2,0,1,1,ACCEPT,27.2233,3.9273,216,-1,-2,0.3519,224.09,606.75,45.00,52.00,225.50,607.50,51.00,57.00,0.8050,1.59,1,0,3.1000,ACCEPT,0,246,2445,7364,0,0,216,0,0,0,0
3,0,1,1,ACCEPT,22.5995,3.1636,174,-1,-3,0.1954,223.39,604.31,46.80,54.08,224.50,604.50,51.00,55.00,0.9023,1.13,1,1,2.9401,ACCEPT,0,207,2401,7108,0,0,174,0,0,0,0
4,0,1,1,ACCEPT,20.7597,3.1857,223,0,-2,0.7354,223.39,602.62,48.67,56.24,224.00,601.50,52.00,53.00,0.8853,1.28,1,1,2.8711,ACCEPT,0,344,2337,6397,0,0,223,0,0,0,0
5,0,1,1,ACCEPT,21.0445,3.0000,243,-1,-2,0.5514,222.63,600.88,48.67,56.24,222.50,599.50,51.00,51.00,0.8691,1.38,1,0,2.9894,ACCEPT,0,313,2312,10291,0,0,243,0,0,0,0
6,0,1,1,ACCEPT,24.8550,4.1146,395,-2,-1,0.5038,221.12,600.00,48.67,56.24,222.50,599.00,51.00,52.00,0.8779,1.71,1,0,3.1372,ACCEPT,0,438,2373,15293,0,0,395,0,0,0,0
7,0,1,1,ACCEPT,18.1768,2.8711,557,1,-1,0.9461,221.88,599.12,48.67,56.24,220.00,597.50,50.00,45.00,0.7489,2.48,1,0,3.0311,ACCEPT,0,1041,2410,17123,0,0,557,0,0,0,0
8,0,1,1,ACCEPT,9.0147,1.0904,374,3,-2,0.1872,224.15,597.38,48.67,56.24,218.50,599.00,49.00,34.00,0.5003,5.88,1,0,2.8598,ACCEPT,0,1240,2549,13916,0,0,374,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-6.4833,1.0769,-182,-13,7,0.0385,224.15,597.38,48.67,56.24,219.00,600.50,52.00,19.00,0.2995,6.02,0,0,0.0000,NOT_RUN,0,966,2255,0,0,0,182,0,0,0,0
10,0,1,0,LOW_PSR,5.2441,1.0000,143,1,20,0.3287,224.15,597.38,48.67,56.24,216.00,598.00,46.00,16.00,0.2203,8.17,0,0,0.0000,NOT_RUN,0,1124,2230,0,0,0,143,0,0,0,0
11,0,1,0,LOW_PSR,5.3432,1.1056,157,18,15,0.3631,224.15,597.38,48.67,56.24,214.50,596.50,45.00,21.00,0.2691,9.69,0,0,0.0000,NOT_RUN,0,1105,2249,0,0,0,157,0,0,0,0
12,0,1,0,LOW_PSR,6.3972,1.0983,190,15,13,0.4263,224.15,597.38,48.67,56.24,213.50,596.00,45.00,22.00,0.2716,10.74,0,0,0.0000,NOT_RUN,0,1068,2403,0,0,0,190,0,0,0,0
