frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,504.50,418.50,75.00,59.00,504.50,418.50,75.00,59.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,980,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,14.9765,1.3621,237,1,-3,0.6835,505.67,415.73,72.12,56.73,503.50,419.50,69.00,63.00,0.8337,4.35,1,-1,3.0888,ACCEPT,0,459,1086,32767,0,0,237,0,0,0,0
2,0,1,1,ACCEPT,15.0230,1.4861,428,-5,5,0.1472,500.05,420.15,72.12,56.73,498.50,425.00,69.00,64.00,0.8190,5.09,1,0,3.0289,ACCEPT,0,911,1091,30939,0,0,428,0,0,0,0
3,0,1,1,ACCEPT,13.5943,1.9957,465,-6,9,0.1462,493.30,428.09,72.12,56.73,492.00,434.50,70.00,65.00,0.7846,6.54,1,0,2.8352,ACCEPT,0,1031,1051,32767,0,0,465,0,0,0,0
4,0,1,1,ACCEPT,10.4160,1.0384,379,-3,2,0.5013,489.92,429.86,72.12,56.73,488.00,437.50,68.00,69.00,0.7469,7.88,1,0,2.7058,ACCEPT,0,952,918,32767,0,0,379,0,0,0,0
5,0,1,1,ACCEPT,11.1613,1.1126,326,0,1,0.9816,489.92,430.74,78.00,61.36,489.50,432.00,67.00,72.00,0.7476,1.33,1,2,2.4090,ACCEPT,0,779,1095,32767,0,0,326,0,0,0,0
6,0,1,1,ACCEPT,8.2303,1.4970,253,0,-4,0.4783,489.92,426.90,78.00,61.36,491.00,422.00,66.00,74.00,0.7206,5.02,1,0,2.3206,ACCEPT,0,858,1149,30180,0,0,253,0,0,0,0
7,0,1,0,LOW_PSR,6.0733,1.1742,209,5,-13,0.3158,489.92,426.90,78.00,61.36,496.00,410.00,66.00,74.00,0.5295,17.96,0,0,0.0000,NOT_RUN,0,1000,1078,0,0,0,209,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.3912,1.0072,-140,10,43,0.0857,489.92,426.90,78.00,61.36,505.50,399.00,59.00,74.00,0.2988,31.95,0,0,0.0000,NOT_RUN,0,810,1050,0,0,0,140,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.5460,1.0068,-148,27,-24,0.3851,489.92,426.90,78.00,61.36,512.50,396.00,49.00,74.00,0.2179,38.27,0,0,0.0000,NOT_RUN,0,1175,831,0,0,0,148,0,0,0,0
10,0,1,0,LOW_PSR,4.8457,1.0274,150,42,-30,0.1800,489.92,426.90,78.00,61.36,519.00,404.00,34.00,58.00,0.1717,37.01,0,0,0.0000,NOT_RUN,0,1117,623,0,0,0,150,0,0,0,0
11,0,1,0,LOW_PSR,5.5054,1.1792,125,-4,12,0.0400,489.92,426.90,78.00,61.36,520.00,423.00,32.00,44.00,0.2151,30.33,0,0,0.0000,NOT_RUN,0,1229,698,0,0,0,125,0,0,0,0
