frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,200.00,466.00,44.00,40.00,200.00,466.00,44.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3780,5047,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,44.5721,7.7500,124,-1,-7,0.1048,199.31,461.62,44.00,40.00,199.00,462.00,46.00,42.00,0.9110,0.49,1,0,3.3084,ACCEPT,0,83,3541,4535,0,0,124,0,0,0,0
2,0,1,1,ACCEPT,23.8159,4.6667,112,0,-7,0.1518,199.31,457.25,44.00,40.00,199.50,459.00,45.00,42.00,0.8981,1.76,1,0,3.2206,ACCEPT,0,220,3539,8476,0,0,112,0,0,0,0
3,0,1,1,ACCEPT,14.8980,2.8462,185,-1,-5,0.0378,198.62,454.12,44.00,40.00,198.50,455.50,45.00,45.00,0.8691,1.38,1,0,2.9925,ACCEPT,0,370,3723,6718,0,0,185,0,0,0,0
4,0,1,1,ACCEPT,9.5248,1.0364,114,0,-11,0.0965,198.62,447.25,44.00,40.00,199.00,452.50,46.00,45.00,0.7481,5.26,1,0,2.9044,ACCEPT,0,322,4413,5657,0,0,114,0,0,0,0
5,0,1,1,ACCEPT,10.6912,1.8246,104,0,-5,0.2788,198.62,444.12,44.00,40.00,198.50,447.00,47.00,46.00,0.8141,2.88,1,0,2.8947,ACCEPT,0,249,4154,4897,0,0,104,0,0,0,0
6,0,1,0,LOW_PSR,5.9194,1.1224,55,-4,0,0.2545,198.62,444.12,44.00,40.00,196.50,445.00,47.00,46.00,0.7933,2.30,0,0,0.0000,NOT_RUN,0,243,4119,0,0,0,55,0,0,0,0
7,0,1,0,LOW_PSR,5.3540,1.2444,56,-6,-6,0.0893,198.62,444.12,44.00,40.00,197.00,442.00,50.00,46.00,0.7652,2.68,0,0,0.0000,NOT_RUN,0,391,3806,0,0,0,56,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-5.1243,1.0893,-61,13,12,0.0984,198.62,444.12,44.00,40.00,193.00,439.00,48.00,46.00,0.6270,7.61,0,0,0.0000,NOT_RUN,0,473,4016,0,0,0,61,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-5.9734,1.3654,-71,11,7,0.3239,198.62,444.12,44.00,40.00,194.00,435.00,52.00,46.00,0.5477,10.23,0,0,0.0000,NOT_RUN,0,482,3341,0,0,0,71,0,0,0,0
10,0,1,0,LOW_PSR,5.4696,1.0132,77,-24,16,0.0390,198.62,444.12,44.00,40.00,191.00,432.00,50.00,46.00,0.4274,14.32,0,0,0.0000,NOT_RUN,0,494,3337,0,0,0,77,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-5.1197,1.0615,-69,0,7,0.3043,198.62,444.12,44.00,40.00,189.50,431.00,51.00,46.00,0.3874,15.99,0,0,0.0000,NOT_RUN,0,347,3261,0,0,0,69,0,0,0,0
12,0,1,0,LOW_PSR,5.9760,1.1127,79,-2,24,0.3038,198.62,444.12,44.00,40.00,188.00,428.50,56.00,45.00,0.3285,18.90,0,0,0.0000,NOT_RUN,0,293,2797,0,0,0,79,0,0,0,0
13,0,1,0,LOW_PSR,6.0801,1.0116,87,15,9,0.4138,198.62,444.12,44.00,40.00,186.00,427.00,54.00,46.00,0.2850,21.28,0,0,0.0000,NOT_RUN,0,298,2372,0,0,0,87,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-6.6991,1.0562,-94,6,25,0.2021,198.62,444.12,44.00,40.00,185.50,426.50,55.00,45.00,0.2717,21.98,0,0,0.0000,NOT_RUN,0,332,2578,0,0,0,94,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-6.0634,1.2987,-100,4,22,0.0800,198.62,444.12,44.00,40.00,183.50,425.50,57.00,45.00,0.2427,23.99,0,0,0.0000,NOT_RUN,0,396,2671,0,0,0,100,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-5.4984,1.0345,-90,5,18,0.0444,198.62,444.12,44.00,40.00,182.50,425.50,59.00,47.00,0.2409,24.64,0,0,0.0000,NOT_RUN,0,493,2481,0,0,0,90,0,0,0,0
17,0,1,0,LOW_PSR,6.4222,1.0104,97,3,11,0.3299,198.62,444.12,44.00,40.00,179.50,427.50,55.00,43.00,0.2242,25.34,0,0,0.0000,NOT_RUN,0,413,2443,0,0,0,97,0,0,0,0
18,0,1,1,ACCEPT,8.8859,1.6629,148,2,11,0.2297,200.00,451.00,44.00,40.00,178.00,430.00,58.00,46.00,0.1683,30.41,1,0,2.9151,ACCEPT,0,508,2783,10375,0,0,148,0,0,0,0
19,0,1,1,ACCEPT,9.9518,1.5879,262,-1,3,0.0382,199.31,452.88,44.00,40.00,172.50,434.50,53.00,45.00,0.1445,32.50,1,0,3.0215,ACCEPT,0,824,2647,12465,0,0,262,0,0,0,0
20,0,1,1,ACCEPT,10.8981,2.1241,308,-2,4,0.0325,197.94,455.38,44.00,40.00,172.00,440.00,60.00,48.00,0.1916,30.15,1,0,3.0580,ACCEPT,0,845,1951,9943,0,0,308,0,0,0,0
21,0,1,1,ACCEPT,10.5029,2.0074,271,-2,6,0.0332,196.56,459.12,44.00,40.00,168.00,445.50,60.00,45.00,0.1789,31.65,1,0,3.0838,ACCEPT,0,835,2249,11299,0,0,271,0,0,0,0
22,0,1,1,ACCEPT,13.5682,2.4581,381,-2,6,0.1365,195.19,462.88,44.00,40.00,165.00,452.50,64.00,47.00,0.1982,31.92,1,0,3.2718,ACCEPT,0,785,1932,11380,0,0,381,0,0,0,0
23,0,1,1,ACCEPT,13.1657,2.1220,348,-2,10,0.1408,193.81,469.12,44.00,40.00,164.50,463.00,69.00,50.00,0.2545,29.95,1,0,3.2124,ACCEPT,0,832,1651,12031,0,0,348,0,0,0,0
24,0,1,1,ACCEPT,13.3479,1.9057,303,-3,12,0.1056,191.75,476.62,44.00,40.00,164.50,471.00,73.00,54.00,0.2808,27.82,1,0,3.2616,ACCEPT,0,667,1143,16323,0,0,303,0,0,0,0
