frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,670.50,911.50,341.00,183.00,670.50,911.50,341.00,183.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9897,7498,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,29.9308,5.8966,171,-1,-3,0.4211,665.17,902.92,341.00,183.00,669.50,907.50,333.00,177.00,0.9265,6.30,1,0,3.2137,ACCEPT,0,239,8614,7479,0,0,171,0,0,0,0
2,0,1,1,ACCEPT,12.2297,2.1607,121,2,-3,0.1322,675.83,894.34,327.88,175.96,681.00,888.00,312.00,190.00,0.8844,8.18,1,-1,2.6767,ACCEPT,0,405,7776,7408,0,0,121,0,0,0,0
3,0,1,1,ACCEPT,9.4316,1.2535,89,2,-1,0.5169,686.08,891.59,327.88,175.96,693.00,872.50,296.00,207.00,0.7510,20.31,1,0,2.8059,ACCEPT,0,278,6682,7136,0,0,89,0,0,0,0
4,0,1,1,ACCEPT,8.2051,1.0000,62,0,3,0.5806,686.08,899.84,327.88,175.96,712.00,861.50,278.00,237.00,0.6049,46.28,1,-2,1.9683,LOW_CONF,0,237,6535,6539,0,0,62,0,0,0,0
5,0,1,1,ACCEPT,8.4164,1.2407,67,-3,0,0.5075,670.70,899.84,327.88,175.96,714.50,868.50,279.00,255.00,0.5494,53.86,1,-16,1.7842,AT_SEARCH_RAIL,0,235,6379,6905,0,0,67,0,0,0,0
6,0,1,1,ACCEPT,8.7205,1.3125,63,-1,11,0.2540,665.58,930.09,327.88,175.96,720.00,888.50,266.00,289.00,0.4644,68.50,1,-1,1.8598,LOW_CONF,0,197,6705,11414,0,0,63,0,0,0,0
7,0,1,1,ACCEPT,8.8640,1.5132,115,-1,7,0.0261,660.45,949.34,327.88,175.96,729.00,906.00,262.00,310.00,0.4021,81.10,1,0,2.4977,ACCEPT,0,354,6316,12596,0,0,115,0,0,0,0
8,0,1,1,ACCEPT,7.0999,1.2051,94,-2,5,0.2660,650.20,963.09,341.00,183.00,740.00,926.00,244.00,344.00,0.3396,97.16,1,1,2.4890,ACCEPT,0,398,5692,16193,0,0,94,0,0,0,0
9,0,1,1,ACCEPT,8.4222,1.2929,128,-1,6,0.1328,644.88,980.25,354.64,190.32,739.50,942.50,245.00,353.00,0.3398,101.88,1,1,2.4681,ACCEPT,0,509,5340,15164,0,0,128,0,0,0,0
10,0,1,0,LOW_PSR,5.6478,1.0488,86,-4,5,0.5233,644.88,980.25,354.64,190.32,741.50,971.50,235.00,359.00,0.3305,97.02,0,0,0.0000,NOT_RUN,0,457,4894,0,0,0,86,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-5.8118,1.1084,-92,5,12,0.3043,644.88,980.25,354.64,190.32,745.50,1000.50,247.00,375.00,0.3123,102.64,0,0,0.0000,NOT_RUN,0,566,4582,0,0,0,92,0,0,0,0
12,0,1,0,LOW_PSR,6.5412,1.3043,120,32,-12,0.1083,644.88,980.25,354.64,190.32,739.50,1027.50,241.00,379.00,0.3218,105.77,0,0,0.0000,NOT_RUN,0,577,4317,0,0,0,120,0,0,0,0
13,0,1,1,ACCEPT,8.6086,1.5946,177,26,-5,0.1977,788.89,965.37,341.00,183.00,727.00,1041.50,232.00,369.00,0.3845,98.12,1,-1,2.3911,ACCEPT,0,729,3940,15965,0,0,177,0,0,0,0
14,0,1,1,ACCEPT,10.6580,1.3074,370,-7,4,0.6054,751.59,976.80,341.00,183.00,695.50,1053.00,243.00,388.00,0.3803,94.62,1,3,2.3670,MAX_STEP,0,1254,2899,19797,0,0,370,0,0,0,0
15,0,1,1,ACCEPT,13.7468,1.6745,427,-8,4,0.4473,708.97,988.24,354.64,190.32,672.50,1055.50,253.00,395.00,0.4037,76.51,1,1,2.4264,ACCEPT,0,1140,2957,32767,0,0,427,0,0,0,0
16,0,1,1,ACCEPT,11.8504,1.7021,560,-5,1,0.4786,681.27,991.22,368.83,197.93,654.00,1045.50,250.00,423.00,0.3828,60.75,1,1,2.3880,ACCEPT,0,1420,3044,32767,0,0,560,0,0,0,0
17,0,1,1,ACCEPT,14.1086,1.8512,672,-2,2,0.6771,669.74,997.41,398.92,214.08,655.50,1040.00,233.00,438.00,0.3626,44.91,1,2,2.5840,ACCEPT,0,1659,3378,32768,0,0,672,0,0,0,0
18,0,1,1,ACCEPT,14.5649,1.9790,849,-3,10,0.0236,651.04,1030.84,414.88,222.65,654.00,1050.00,224.00,484.00,0.3305,19.38,1,1,2.5986,ACCEPT,0,2183,3461,32767,0,0,849,0,0,0,0
