frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,98.00,60.50,82.00,75.00,98.00,60.50,82.00,75.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5408,14773,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,52.3096,9.8750,632,2,5,0.1076,100.56,66.36,82.00,75.00,101.00,69.00,82.00,70.00,0.9202,2.68,1,0,3.2140,ACCEPT,0,558,5168,17699,0,0,632,0,0,0,0
2,0,1,1,ACCEPT,27.8201,4.6080,576,4,3,0.0833,105.69,69.88,82.00,75.00,106.00,73.50,84.00,69.00,0.8845,3.64,1,0,3.1447,ACCEPT,0,620,4444,11543,0,0,576,0,0,0,0
3,0,1,1,ACCEPT,22.7303,3.0595,514,5,3,0.0370,112.09,73.39,82.00,75.00,111.50,82.00,81.00,62.00,0.7659,8.63,1,0,3.0773,ACCEPT,0,623,3644,11737,0,0,514,0,0,0,0
4,0,1,1,ACCEPT,20.4047,3.4151,543,3,7,0.0037,115.94,81.59,78.85,72.12,115.50,91.00,77.00,62.00,0.7373,9.42,1,-1,2.8970,ACCEPT,0,948,3068,15400,0,0,543,0,0,0,0
5,0,1,1,ACCEPT,19.3653,1.8426,632,-1,7,0.0095,114.70,89.47,78.85,72.12,119.00,100.50,82.00,63.00,0.6571,11.84,1,0,3.0544,ACCEPT,0,830,2634,11477,0,0,632,0,0,0,0
6,0,1,1,ACCEPT,19.5097,2.2395,533,0,10,0.0713,114.70,100.72,78.85,72.12,123.00,109.50,80.00,67.00,0.6430,12.08,1,0,3.0641,ACCEPT,0,781,2305,11173,0,0,533,0,0,0,0
7,0,1,1,ACCEPT,21.6113,2.4659,614,1,5,0.0798,115.94,106.34,78.85,72.12,125.50,117.50,77.00,65.00,0.5799,14.69,1,0,2.9498,ACCEPT,0,922,2231,8268,0,0,614,0,0,0,0
8,0,1,1,ACCEPT,18.1493,2.8291,447,3,7,0.1432,119.64,114.22,78.85,72.12,126.50,125.00,81.00,66.00,0.6286,12.78,1,0,2.9774,ACCEPT,0,659,2312,8624,0,0,447,0,0,0,0
9,0,1,1,ACCEPT,21.3713,3.2278,510,4,8,0.0588,124.58,123.22,78.85,72.12,132.00,138.00,78.00,70.00,0.5588,16.54,1,0,2.9860,ACCEPT,0,738,2797,8606,0,0,510,0,0,0,0
10,0,1,1,ACCEPT,23.0098,2.9369,605,1,8,0.0132,125.81,132.22,78.85,72.12,134.00,148.50,76.00,67.00,0.5203,18.22,1,0,3.1784,ACCEPT,0,744,2936,8284,0,0,605,0,0,0,0
11,0,1,1,ACCEPT,23.9315,3.2439,665,-1,8,0.0496,124.58,141.22,78.85,72.12,132.00,155.00,74.00,66.00,0.5646,15.65,1,0,3.1286,ACCEPT,0,735,2693,8780,0,0,665,0,0,0,0
12,0,1,1,ACCEPT,23.6264,3.6547,815,-2,7,0.0196,122.11,149.09,78.85,72.12,130.00,161.50,72.00,65.00,0.5768,14.70,1,0,3.1999,ACCEPT,0,1013,2362,10917,0,0,815,0,0,0,0
13,0,1,1,ACCEPT,26.8508,4.2510,1033,-2,5,0.1094,119.64,154.72,78.85,72.12,128.00,166.50,74.00,63.00,0.5794,14.45,1,0,3.2030,ACCEPT,0,1199,2318,11022,0,0,1033,0,0,0,0
14,0,1,1,ACCEPT,26.8095,4.1767,1040,-4,4,0.1058,114.70,159.22,78.85,72.12,124.50,170.00,73.00,62.00,0.5733,14.57,1,0,3.2571,ACCEPT,0,1314,2435,11297,0,0,1040,0,0,0,0
15,0,1,1,ACCEPT,30.3453,4.6453,1231,-3,5,0.0780,111.00,164.84,78.85,72.12,119.50,173.00,73.00,62.00,0.6364,11.78,1,0,3.2435,ACCEPT,0,1293,2530,10435,0,0,1231,0,0,0,0
16,0,1,1,ACCEPT,33.4628,5.1362,1320,-2,5,0.0341,108.53,170.47,78.85,72.12,119.00,178.00,74.00,64.00,0.6208,12.90,1,0,3.2455,ACCEPT,0,1195,2685,9439,0,0,1320,0,0,0,0
17,0,1,1,ACCEPT,35.1685,4.4949,1317,-3,6,0.0448,104.83,177.22,78.85,72.12,114.50,184.50,75.00,63.00,0.6376,12.11,1,0,3.2308,ACCEPT,0,1227,2748,8022,0,0,1317,0,0,0,0
18,0,1,1,ACCEPT,30.6533,4.8265,946,-2,8,0.0285,102.36,186.22,78.85,72.12,113.50,193.50,73.00,65.00,0.6144,13.31,1,0,3.1839,ACCEPT,0,1035,2774,6178,0,0,946,0,0,0,0
19,0,1,1,ACCEPT,25.6012,4.1135,580,-1,13,0.0948,101.12,200.84,78.85,72.12,111.00,206.00,74.00,64.00,0.6713,11.14,1,0,3.0581,ACCEPT,0,746,2677,5739,0,0,580,0,0,0,0
