frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,273.50,308.00,41.00,46.00,273.50,308.00,41.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3471,3467,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,65.2198,7.8889,71,-1,-2,0.5070,272.86,306.56,41.00,46.00,272.00,303.00,52.00,52.00,0.6831,3.66,1,0,3.2810,ACCEPT,0,58,3519,3511,0,0,71,0,0,0,0
2,0,1,1,ACCEPT,42.4137,6.7273,74,3,1,0.4730,274.78,307.28,41.00,46.00,273.50,305.00,55.00,46.00,0.6832,2.62,1,0,3.2951,ACCEPT,0,79,3088,5662,0,0,74,0,0,0,0
3,0,1,1,ACCEPT,25.4781,4.2333,127,2,3,0.2598,276.06,309.44,41.00,46.00,275.50,306.50,55.00,49.00,0.6634,2.99,1,0,3.1941,ACCEPT,0,142,3273,6392,0,0,127,0,0,0,0
4,0,1,1,ACCEPT,27.5135,5.0000,170,0,-1,0.9647,276.06,308.72,41.00,46.00,273.00,305.50,54.00,47.00,0.6698,4.44,1,0,3.2068,ACCEPT,0,249,3407,7461,0,0,170,0,0,0,0
5,0,1,1,ACCEPT,33.3313,4.9815,269,5,-1,0.0706,279.27,308.00,41.00,46.00,275.00,305.00,54.00,44.00,0.6780,5.21,1,0,3.2374,ACCEPT,0,271,2860,9335,0,0,269,0,0,0,0
6,0,1,1,ACCEPT,31.8687,5.2500,273,1,0,0.9853,279.91,308.00,41.00,46.00,276.50,305.00,57.00,48.00,0.6402,4.54,1,0,3.2268,ACCEPT,0,331,3085,10084,0,0,273,0,0,0,0
7,0,1,1,ACCEPT,35.8057,5.6154,365,4,0,0.3534,282.47,308.00,41.00,46.00,279.50,304.00,55.00,46.00,0.6392,4.98,1,0,3.2686,ACCEPT,0,300,2965,9947,0,0,365,0,0,0,0
8,0,1,1,ACCEPT,33.2341,4.4304,350,3,-1,0.3657,284.39,307.28,41.00,46.00,282.00,304.00,56.00,48.00,0.6444,4.06,1,0,3.2326,ACCEPT,0,315,3168,12173,0,0,350,0,0,0,0
9,0,1,1,ACCEPT,29.4507,3.8962,413,2,-2,0.5617,285.67,305.84,41.00,46.00,285.00,303.50,52.00,47.00,0.7185,2.44,1,0,3.1504,ACCEPT,0,477,3258,12894,0,0,413,0,0,0,0
10,0,1,1,ACCEPT,23.0859,2.6207,304,3,-6,0.3059,287.59,301.53,41.00,46.00,286.00,301.50,52.00,49.00,0.7402,1.59,1,0,2.9356,ACCEPT,0,574,3306,8608,0,0,304,0,0,0,0
11,0,1,1,ACCEPT,23.4173,4.0000,380,-3,-1,0.4553,285.67,300.81,41.00,46.00,284.50,299.00,57.00,52.00,0.6363,2.16,1,0,3.2092,ACCEPT,0,511,2798,14361,0,0,380,0,0,0,0
12,0,1,1,ACCEPT,24.2716,3.7114,553,5,0,0.3526,288.88,300.81,41.00,46.00,286.00,298.00,52.00,52.00,0.6975,4.02,1,0,3.3396,ACCEPT,0,711,4294,8998,0,0,553,0,0,0,0
13,0,1,1,ACCEPT,36.8595,3.8722,515,3,-1,0.5961,290.80,300.09,41.00,46.00,286.00,298.00,48.00,46.00,0.7415,5.23,1,0,3.3172,ACCEPT,0,462,1172,10535,0,0,515,0,0,0,0
14,0,1,1,ACCEPT,43.9449,3.3277,589,1,1,0.8523,291.44,300.81,41.00,46.00,290.00,299.50,56.00,43.00,0.6966,1.95,1,0,3.2393,ACCEPT,0,470,1071,11379,0,0,589,0,0,0,0
15,0,1,1,ACCEPT,46.5072,5.7404,597,1,-2,0.6348,292.08,299.38,41.00,46.00,290.50,298.00,55.00,44.00,0.7105,2.09,1,0,3.2457,ACCEPT,0,553,1064,11483,0,0,597,0,0,0,0
