frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,118.00,378.50,14.00,81.00,118.00,378.50,14.00,81.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,959,3580,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,4.6114,1.2000,6,5,-8,0.8333,118.00,378.50,14.00,81.00,120.50,368.50,13.00,83.00,0.5574,10.31,0,0,0.0000,NOT_RUN,0,224,755,0,0,0,6,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-4.7808,1.0000,-5,-11,0,0.6000,118.00,378.50,14.00,81.00,122.00,358.00,12.00,82.00,0.3499,20.89,0,0,0.0000,NOT_RUN,0,118,619,0,0,0,6,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-3.7695,1.0000,-4,3,-7,0.5000,118.00,378.50,14.00,81.00,121.00,350.00,14.00,82.00,0.3431,28.66,0,0,0.0000,NOT_RUN,0,123,495,0,0,0,5,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-5.0701,1.2500,-5,13,0,0.6000,118.00,378.50,14.00,81.00,121.50,342.50,15.00,83.00,0.2702,36.17,0,0,0.0000,NOT_RUN,0,116,419,0,0,0,6,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-5.1646,1.2500,-5,-13,0,0.8000,118.00,378.50,14.00,81.00,121.00,334.50,16.00,81.00,0.2236,44.10,0,0,0.0000,NOT_RUN,0,93,369,0,0,0,6,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.7975,1.0000,-5,-11,0,0.6000,118.00,378.50,14.00,81.00,121.00,328.00,16.00,80.00,0.1753,50.59,0,0,0.0000,NOT_RUN,0,77,326,0,0,0,6,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-3.9363,1.2000,-6,-15,0,0.1667,118.00,378.50,14.00,81.00,118.00,321.50,34.00,67.00,0.0750,57.00,0,0,0.0000,NOT_RUN,0,217,288,0,0,0,6,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-3.8513,1.0000,-4,41,0,0.2500,118.00,378.50,14.00,81.00,116.50,318.00,53.00,54.00,0.0251,60.52,0,0,0.0000,NOT_RUN,0,138,278,0,0,0,4,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.6013,1.5000,-3,-59,0,0.6667,118.00,378.50,14.00,81.00,115.00,312.50,66.00,45.00,0.0000,66.07,0,0,0.0000,NOT_RUN,0,12,254,0,0,0,4,0,0,0,0
