frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1347,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,30.1227,4.3871,272,15,21,0.0478,594.78,77.31,46.00,68.00,595.00,78.00,46.00,68.00,0.9708,0.72,1,0,3.2790,ACCEPT,0,292,1483,32767,0,0,272,0,0,0,0
2,0,1,1,ACCEPT,14.7438,2.0092,219,14,22,0.0548,604.84,100.69,46.00,68.00,604.00,102.00,46.00,70.00,0.9286,1.56,1,0,3.1481,ACCEPT,0,439,2108,32767,0,0,219,0,0,0,0
3,0,1,1,ACCEPT,11.1567,1.5893,178,13,22,0.0112,614.19,124.06,46.00,68.00,615.00,127.00,48.00,70.00,0.8811,3.05,1,0,3.1972,ACCEPT,0,482,2437,32553,0,0,178,0,0,0,0
4,0,1,1,ACCEPT,10.9801,1.6512,213,13,24,0.1784,623.53,149.56,46.00,68.00,623.00,152.50,48.00,69.00,0.8808,2.99,1,0,3.2374,ACCEPT,0,547,2785,29962,0,0,213,0,0,0,0
5,0,1,1,ACCEPT,11.5529,1.9062,244,12,24,0.1230,632.16,175.06,46.00,68.00,631.00,179.50,48.00,71.00,0.8394,4.59,1,0,3.2230,ACCEPT,0,604,2378,32767,0,0,244,0,0,0,0
6,0,1,1,ACCEPT,11.1719,1.9474,222,11,24,0.0135,640.06,200.56,46.00,68.00,639.50,205.00,45.00,70.00,0.8592,4.47,1,0,3.2295,ACCEPT,0,544,2330,32768,0,0,222,0,0,0,0
7,0,1,1,ACCEPT,10.3892,1.7895,204,11,25,0.1716,647.97,227.12,46.00,68.00,646.00,233.00,46.00,70.00,0.7789,6.20,1,0,3.2133,ACCEPT,0,590,1800,29824,0,0,204,0,0,0,0
8,0,1,1,ACCEPT,11.2793,1.9328,230,9,27,0.2348,654.44,255.81,46.00,68.00,653.50,260.50,43.00,71.00,0.8211,4.78,1,0,3.3202,ACCEPT,0,583,1858,28892,0,0,230,0,0,0,0
9,0,1,1,ACCEPT,10.0688,1.6062,257,10,26,0.0156,661.62,283.44,46.00,68.00,660.50,291.00,45.00,70.00,0.7676,7.65,1,0,3.3626,ACCEPT,0,667,2796,23156,0,0,257,0,0,0,0
