frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,406.50,207.00,145.00,64.00,406.50,207.00,145.00,64.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1997,26702,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,28.9088,4.4746,264,1,6,0.0871,408.77,213.00,145.00,64.00,414.00,212.50,160.00,57.00,0.8155,5.26,1,0,3.3787,ACCEPT,0,529,1661,21042,0,0,264,0,0,0,0
2,0,1,1,ACCEPT,17.1265,2.5000,255,1,6,0.2941,411.03,219.00,145.00,64.00,418.50,220.00,169.00,56.00,0.7643,7.54,1,0,2.8528,ACCEPT,0,474,1504,20842,0,0,255,0,0,0,0
3,0,1,1,ACCEPT,17.3655,1.3525,399,1,11,0.5414,413.30,230.00,145.00,64.00,422.00,226.00,172.00,76.00,0.7099,9.58,1,0,2.9178,ACCEPT,0,675,1810,28776,0,0,399,0,0,0,0
4,0,1,1,ACCEPT,15.5981,1.9617,410,1,9,0.0805,415.56,239.00,145.00,64.00,421.50,232.00,173.00,102.00,0.5259,9.18,1,0,2.4650,ACCEPT,0,815,1754,27722,0,0,410,0,0,0,0
5,0,1,1,ACCEPT,19.1965,2.4293,464,1,10,0.0280,417.83,249.00,145.00,64.00,423.00,237.00,176.00,134.00,0.3935,13.07,1,0,2.1450,ACCEPT,0,680,1681,23749,0,0,464,0,0,0,0
6,0,1,1,ACCEPT,21.8609,2.4747,490,0,10,0.0857,417.83,259.00,150.80,66.56,421.50,258.50,177.00,153.00,0.3706,3.71,1,1,2.1362,ACCEPT,0,659,1760,23748,0,0,490,0,0,0,0
7,0,1,1,ACCEPT,23.1772,2.5272,465,0,10,0.0108,417.83,269.39,150.80,66.56,429.00,254.50,186.00,125.00,0.4317,18.62,1,0,2.5420,ACCEPT,0,619,1573,22372,0,0,465,0,0,0,0
8,0,1,1,ACCEPT,22.2362,2.4462,477,1,11,0.0021,420.19,280.82,156.83,69.22,426.00,287.00,204.00,128.00,0.4158,8.48,1,1,2.6445,ACCEPT,0,633,1598,18440,0,0,477,0,0,0,0
9,0,1,1,ACCEPT,19.0613,2.1530,394,2,12,0.2005,425.09,293.76,163.11,71.99,414.50,303.50,227.00,103.00,0.5022,14.39,1,1,2.1550,ACCEPT,0,653,1457,20491,0,0,394,0,0,0,0
10,0,1,1,ACCEPT,25.7295,2.8469,558,0,13,0.0538,425.09,308.38,169.63,74.87,410.50,317.50,235.00,101.00,0.5351,17.21,1,1,2.6637,ACCEPT,0,665,1216,23403,0,0,558,0,0,0,0
11,0,1,1,ACCEPT,28.7859,3.3100,662,0,13,0.0030,425.09,323.62,176.41,77.87,407.00,329.00,224.00,88.00,0.6921,18.88,1,1,2.2595,ACCEPT,0,752,1294,20021,0,0,662,0,0,0,0
12,0,1,1,ACCEPT,27.6489,2.3480,695,1,12,0.0029,427.85,338.24,183.47,80.98,402.00,343.00,218.00,102.00,0.6176,26.29,1,1,2.4097,ACCEPT,0,641,1265,20129,0,0,695,0,0,0,0
13,0,1,1,ACCEPT,21.5286,2.0983,491,0,12,0.0448,427.85,353.43,183.47,80.98,406.00,374.00,214.00,126.00,0.5209,30.01,1,0,2.1275,ACCEPT,0,667,1242,19251,0,0,491,0,0,0,0
14,0,1,1,ACCEPT,20.0969,2.1841,439,1,13,0.0387,430.72,369.88,183.47,80.98,417.50,398.50,213.00,137.00,0.5034,31.52,1,0,2.0524,ACCEPT,0,602,1225,18422,0,0,439,0,0,0,0
15,0,1,1,ACCEPT,13.4597,1.0925,319,0,14,0.2633,430.72,387.60,183.47,80.98,440.00,424.50,192.00,143.00,0.4635,38.05,1,0,1.7241,LOW_CONF,0,685,1369,16484,0,0,319,0,0,0,0
16,0,1,1,ACCEPT,12.1710,1.2619,318,2,7,0.1761,436.45,396.46,190.81,84.22,448.00,444.00,206.00,150.00,0.3827,48.92,1,1,2.5382,ACCEPT,0,670,1317,19235,0,0,318,0,0,0,0
17,0,1,1,ACCEPT,12.0342,1.2368,329,0,17,0.1033,436.45,418.77,198.44,87.59,457.00,472.50,206.00,165.00,0.3452,57.52,1,1,2.6722,ACCEPT,0,1018,1193,20357,0,0,329,0,0,0,0
18,0,1,1,ACCEPT,12.0314,1.3693,330,3,9,0.4242,445.76,431.08,198.44,87.59,464.50,487.00,213.00,168.00,0.3383,58.98,1,0,2.3387,ACCEPT,0,953,1202,18153,0,0,330,0,0,0,0
19,0,1,1,ACCEPT,12.0651,1.3347,319,0,7,0.3135,445.76,440.65,198.44,87.59,473.00,499.00,218.00,174.00,0.3107,64.40,1,0,2.2432,ACCEPT,0,982,1163,16649,0,0,319,0,0,0,0
20,0,1,1,ACCEPT,10.0885,1.0045,225,-1,6,0.6133,442.66,448.85,198.44,87.59,481.00,500.50,210.00,205.00,0.3165,64.33,1,0,2.6045,ACCEPT,0,938,1143,15614,0,0,225,0,0,0,0
21,0,1,1,ACCEPT,7.8196,1.0192,159,3,21,0.2264,451.96,477.56,198.44,87.59,490.00,503.50,188.00,237.00,0.2811,46.04,1,1,1.8099,LOW_CONF,0,710,1201,14454,0,0,159,0,0,0,0
22,0,1,1,ACCEPT,9.5980,1.0433,217,7,3,0.8571,473.67,481.66,198.44,87.59,495.50,501.50,173.00,237.00,0.3261,29.49,1,-15,2.0909,MAX_STEP,0,737,1280,13844,0,0,217,0,0,0,0
