frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,131.50,350.00,25.00,18.00,131.50,350.00,25.00,18.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5582,4468,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,11.2023,2.0000,12,1,-21,0.3333,131.89,344.09,25.00,18.00,129.00,344.50,24.00,19.00,0.7523,2.92,1,0,3.1907,ACCEPT,0,87,3656,2086,0,0,12,0,0,0,0
2,0,1,1,ACCEPT,11.3390,1.7143,12,-3,-21,0.2500,130.72,338.19,25.00,18.00,129.00,339.50,22.00,19.00,0.7584,2.16,1,0,3.2391,ACCEPT,0,47,3729,2127,0,0,12,0,0,0,0
3,0,1,1,ACCEPT,9.1315,1.7500,14,0,-21,0.1429,130.72,332.28,25.00,18.00,130.00,336.00,24.00,18.00,0.6262,3.79,1,0,3.1941,ACCEPT,0,69,3681,2101,0,0,14,0,0,0,0
4,0,1,1,ACCEPT,9.7259,1.7000,17,-3,-17,0.0588,129.55,327.50,25.00,18.00,129.00,330.50,26.00,19.00,0.6941,3.05,1,0,3.0056,ACCEPT,0,74,4135,2002,0,0,17,0,0,0,0
5,0,1,1,ACCEPT,9.8388,1.6154,21,0,-17,0.1429,129.55,322.72,25.00,18.00,129.00,326.50,26.00,19.00,0.6368,3.82,1,0,2.9057,ACCEPT,0,91,3473,2164,0,0,21,0,0,0,0
6,0,1,1,ACCEPT,7.8003,1.4167,17,-2,-14,0.0588,128.77,318.78,25.00,18.00,129.00,322.50,24.00,17.00,0.6273,3.73,1,0,2.8929,ACCEPT,0,74,3482,2068,0,0,17,0,0,0,0
7,0,1,1,ACCEPT,8.1150,1.4167,17,0,-12,0.1176,128.77,315.41,25.00,18.00,128.50,318.50,25.00,17.00,0.6870,3.11,1,0,2.6333,ACCEPT,0,78,3149,1815,0,0,17,0,0,0,0
8,0,1,1,ACCEPT,6.0338,1.0909,12,-3,-11,0.2500,127.59,312.31,24.04,17.31,128.00,315.00,26.00,18.00,0.6862,2.72,1,-1,2.5053,ACCEPT,0,68,3287,1990,0,0,12,0,0,0,0
9,0,1,1,ACCEPT,5.2760,1.0000,12,0,-13,0.1667,127.59,308.76,23.11,16.64,128.50,312.00,25.00,16.00,0.6267,3.37,1,-1,2.6094,ACCEPT,0,87,2633,1655,0,0,12,0,0,0,0
10,0,1,1,ACCEPT,5.4601,1.2500,10,-5,-14,0.1000,125.80,305.15,23.11,16.64,127.50,308.50,25.00,17.00,0.5920,3.76,1,-2,1.8647,LOW_CONF,0,79,2982,1368,0,0,10,0,0,0,0
11,0,1,1,ACCEPT,5.5271,1.1818,13,1,-11,0.3846,126.16,302.31,21.37,15.39,127.50,306.50,27.00,15.00,0.4717,4.40,1,-2,2.1330,ACCEPT,0,100,2477,1561,0,0,13,0,0,0,0
12,0,1,1,ACCEPT,6.9694,1.5000,15,-3,-13,0.2000,125.15,299.16,21.37,15.39,127.50,303.50,25.00,17.00,0.4874,4.93,1,0,2.5854,ACCEPT,0,95,2784,1330,0,0,15,0,0,0,0
13,0,1,1,ACCEPT,7.0781,1.3636,15,-1,-9,0.0667,124.81,296.98,21.37,15.39,128.00,301.00,26.00,18.00,0.4840,5.13,1,-3,1.7915,MAX_STEP,0,88,2075,1424,0,0,15,0,0,0,0
14,0,1,1,ACCEPT,7.2612,1.3077,17,-2,-17,0.2353,124.14,292.87,21.37,15.39,128.00,297.00,26.00,18.00,0.4546,5.65,1,-4,2.1509,MAX_STEP,0,109,2324,1545,0,0,17,0,0,0,0
15,0,1,1,ACCEPT,6.7727,1.3750,22,4,-13,0.0455,125.48,289.72,21.37,15.39,127.50,293.50,23.00,17.00,0.5332,4.28,1,-3,1.8270,MAX_STEP,0,105,1822,1693,0,0,22,0,0,0,0
16,0,1,1,ACCEPT,7.4776,1.4000,21,0,-13,0.4286,125.48,286.57,21.37,15.39,127.50,290.00,25.00,14.00,0.5415,3.98,1,0,2.2400,ACCEPT,0,118,2567,1333,0,0,21,0,0,0,0
17,0,1,1,ACCEPT,10.3072,1.9286,27,2,-9,0.2593,126.16,284.39,20.55,14.79,129.00,287.00,26.00,14.00,0.5638,3.86,1,-1,2.5524,ACCEPT,0,107,2236,1419,0,0,27,0,0,0,0
18,0,1,1,ACCEPT,9.8744,1.8824,32,-3,-7,0.0312,125.20,282.75,20.55,14.79,128.00,283.50,26.00,15.00,0.7161,2.90,1,-3,2.1515,MAX_STEP,0,114,3135,1416,0,0,32,0,0,0,0
19,0,1,1,ACCEPT,8.9872,1.7619,37,1,-12,0.4324,125.52,279.94,20.55,14.79,128.00,281.00,26.00,14.00,0.6955,2.70,1,-4,2.0496,MAX_STEP,0,167,2017,1370,0,0,37,0,0,0,0
20,0,1,1,ACCEPT,11.0209,1.9474,37,-2,-11,0.4595,124.88,277.36,20.55,14.79,127.00,277.50,26.00,15.00,0.7759,2.13,1,-4,1.4749,MAX_STEP,0,155,2325,1354,0,0,37,0,0,0,0
21,0,1,1,ACCEPT,9.9342,1.7600,44,3,-12,0.4773,125.84,274.55,20.55,14.79,127.50,274.00,27.00,16.00,0.7037,1.75,1,-1,1.8215,LOW_CONF,0,200,2313,1298,0,0,44,0,0,0,0
22,0,1,1,ACCEPT,7.9171,1.2273,27,-2,-19,0.6667,125.20,270.09,19.76,14.23,128.00,269.50,28.00,15.00,0.6531,2.87,1,-1,2.3761,ACCEPT,0,208,1915,1338,0,0,27,0,0,0,0
23,0,1,1,ACCEPT,8.4397,1.2400,31,5,-14,0.3871,126.76,267.03,19.76,14.23,128.00,267.50,24.00,15.00,0.7728,1.33,1,0,2.9231,ACCEPT,0,186,1895,1533,0,0,31,0,0,0,0
24,0,1,1,ACCEPT,7.3705,1.3125,21,-5,-19,0.5714,125.20,262.88,19.76,14.23,127.50,267.00,27.00,12.00,0.4154,4.73,1,0,2.7925,ACCEPT,0,147,1582,1610,0,0,21,0,0,0,0
25,0,1,1,ACCEPT,8.6354,1.3043,30,2,-20,0.4000,125.82,258.50,19.76,14.23,127.50,259.00,23.00,12.00,0.7372,1.75,1,0,3.0136,ACCEPT,0,160,1961,1486,0,0,30,0,0,0,0
