frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,346.50,967.50,519.00,623.00,346.50,967.50,519.00,623.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,257,22404,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,58.5435,10.9474,208,1,1,0.7356,354.61,977.23,519.00,623.00,360.00,970.50,524.00,617.00,0.9587,8.63,1,0,3.1979,ACCEPT,0,261,250,22064,0,0,208,0,0,0,0
2,0,1,1,ACCEPT,39.6605,6.2432,231,3,2,0.2771,378.94,996.70,519.00,623.00,393.50,979.00,525.00,600.00,0.8941,22.92,1,0,2.9480,ACCEPT,0,345,263,23912,0,0,231,0,0,0,0
3,0,1,1,ACCEPT,23.0955,4.4386,253,-1,1,0.8261,370.83,1006.44,539.76,647.92,388.50,982.00,527.00,594.00,0.8594,30.16,1,1,2.7870,ACCEPT,0,742,302,27358,0,0,253,0,0,0,0
4,0,1,1,ACCEPT,23.5212,5.5893,313,1,1,0.8019,379.27,1016.56,539.76,647.92,400.50,958.50,527.00,641.00,0.7756,61.82,1,0,2.8505,ACCEPT,0,692,248,26370,0,0,313,0,0,0,0
5,0,1,1,ACCEPT,21.4998,4.3472,313,1,2,0.5687,387.70,1036.81,561.35,673.84,415.00,936.00,524.00,686.00,0.6795,104.44,1,1,2.7205,ACCEPT,0,731,271,28473,0,0,313,0,0,0,0
6,0,1,1,ACCEPT,18.9253,3.4599,474,-6,2,0.0464,335.06,1057.88,583.80,700.79,362.00,938.50,524.00,681.00,0.6420,122.38,1,1,2.7597,ACCEPT,0,1196,230,30346,0,0,474,0,0,0,0
7,0,1,1,ACCEPT,20.5364,2.8936,544,1,1,0.7702,344.19,1068.83,583.80,700.79,339.00,944.50,462.00,669.00,0.5640,124.44,1,0,2.6187,ACCEPT,0,1376,278,30748,0,0,544,0,0,0,0
8,0,1,1,ACCEPT,17.2056,3.9340,417,1,3,0.4844,353.31,1101.69,583.80,700.79,348.00,953.50,450.00,651.00,0.5111,148.28,1,0,2.6760,ACCEPT,0,725,246,27953,0,0,417,0,0,0,0
9,0,1,1,ACCEPT,14.7288,2.9833,358,-1,1,0.8408,344.19,1112.64,583.80,700.79,348.00,946.50,460.00,665.00,0.4980,166.18,1,0,2.7724,ACCEPT,0,699,210,26740,0,0,358,0,0,0,0
10,0,1,1,ACCEPT,15.5688,2.4625,394,0,1,0.8782,344.19,1123.59,583.80,700.79,345.00,936.00,450.00,686.00,0.4643,187.60,1,0,2.8444,ACCEPT,0,822,310,21721,0,0,394,0,0,0,0
11,0,1,1,ACCEPT,17.1215,4.4800,448,0,1,0.8281,344.19,1134.55,583.80,700.79,328.00,924.50,444.00,709.00,0.4358,210.67,1,0,2.9109,ACCEPT,0,814,414,16692,0,0,448,0,0,0,0
12,0,1,1,ACCEPT,15.7632,3.2761,439,1,2,0.6128,353.31,1156.45,583.80,700.79,313.00,908.00,436.00,742.00,0.3917,251.70,1,0,2.9267,ACCEPT,0,1090,432,17199,0,0,439,0,0,0,0
13,0,1,1,ACCEPT,5.7030,1.0276,186,-1,1,0.7043,344.19,1167.41,583.80,700.79,297.50,887.00,435.00,774.00,0.3634,284.27,1,-10,1.4832,MAX_STEP,0,974,512,15805,0,0,186,0,0,0,0
14,0,1,1,ACCEPT,6.0179,1.0749,244,1,3,0.1762,353.31,1200.27,631.44,757.97,297.00,883.50,528.00,791.00,0.3648,321.73,1,2,2.1274,ACCEPT,0,1311,267,18142,0,0,244,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-6.4249,1.0707,-212,-21,2,0.0660,353.31,1200.27,631.44,757.97,302.00,891.50,580.00,775.00,0.3763,313.00,0,0,0.0000,NOT_RUN,0,1029,285,0,0,0,212,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-5.1218,1.0066,-153,-12,-10,0.0327,353.31,1200.27,631.44,757.97,329.00,901.50,622.00,755.00,0.4100,299.75,0,0,0.0000,NOT_RUN,0,863,205,0,0,0,153,0,0,0,0
