frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,281.50,828.00,103.00,178.00,281.50,828.00,103.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1113,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,56.3117,10.8846,566,0,1,0.9876,281.50,830.78,107.12,185.12,284.50,827.50,99.00,171.00,0.8537,4.45,1,1,3.0665,ACCEPT,0,477,1056,32767,0,0,566,0,0,0,0
2,0,1,1,ACCEPT,41.5815,7.4844,479,0,0,1.0000,281.50,830.78,107.12,185.12,291.00,829.50,90.00,177.00,0.7883,9.59,1,0,2.9224,ACCEPT,0,468,1090,32767,0,0,479,0,0,0,0
3,0,1,1,ACCEPT,34.4455,6.2877,459,0,0,1.0000,281.50,830.78,111.40,192.52,291.50,830.50,91.00,177.00,0.7510,10.00,1,1,2.7186,ACCEPT,0,453,887,32767,0,0,459,0,0,0,0
4,0,1,1,ACCEPT,28.9559,5.5244,453,-1,1,0.9095,279.76,833.79,115.86,200.23,292.50,830.50,87.00,179.00,0.6713,13.16,1,1,2.4769,ACCEPT,0,477,981,32767,0,0,453,0,0,0,0
5,0,1,1,ACCEPT,23.8500,4.2773,509,0,0,1.0000,279.76,833.79,120.50,208.23,293.50,832.50,91.00,177.00,0.6419,13.80,1,1,2.2728,ACCEPT,0,642,886,32767,0,0,509,0,0,0,0
6,0,1,1,ACCEPT,18.5937,3.1875,510,-1,1,0.9333,277.88,837.04,120.50,208.23,292.00,835.00,94.00,172.00,0.6345,14.27,1,2,1.8750,LOW_CONF,0,742,1069,32767,0,0,510,0,0,0,0
7,0,1,1,ACCEPT,18.8235,2.8913,532,0,-1,0.9925,277.88,833.79,120.50,208.23,293.50,836.50,93.00,171.00,0.6132,15.86,1,1,1.8765,LOW_CONF,0,785,1173,32767,0,0,532,0,0,0,0
8,0,1,1,ACCEPT,20.5154,2.8077,730,0,0,1.0000,277.88,833.79,125.32,216.56,293.50,843.50,95.00,175.00,0.6077,18.40,1,1,2.0735,ACCEPT,0,1061,956,32767,0,0,730,0,0,0,0
9,0,1,1,ACCEPT,19.3319,2.7318,825,0,0,1.0000,277.88,833.79,125.32,216.56,292.50,840.50,97.00,163.00,0.5782,16.09,1,0,2.5302,ACCEPT,0,1166,905,32767,0,0,825,0,0,0,0
10,0,1,1,ACCEPT,19.9959,2.5283,938,0,0,1.0000,277.88,833.79,125.32,216.56,292.50,841.00,97.00,160.00,0.5676,16.31,1,0,2.8090,ACCEPT,0,1338,912,32767,0,0,938,0,0,0,0
11,0,1,1,ACCEPT,19.0482,2.5634,910,0,1,0.9780,277.88,837.17,125.32,216.56,291.00,844.50,100.00,157.00,0.5743,15.03,1,0,2.2868,ACCEPT,0,1350,1057,32767,0,0,910,0,0,0,0
12,0,1,1,ACCEPT,19.8352,3.1101,1073,0,0,1.0000,277.88,837.17,125.32,216.56,291.00,841.50,98.00,173.00,0.6247,13.82,1,0,2.1142,ACCEPT,0,1536,1122,32736,0,0,1073,0,0,0,0
13,0,1,1,ACCEPT,21.9908,3.0600,1276,0,0,1.0000,277.88,837.17,120.50,208.23,287.50,842.00,99.00,170.00,0.6707,10.77,1,-1,2.1884,ACCEPT,0,1963,1157,28954,0,0,1276,0,0,0,0
14,0,1,1,ACCEPT,22.1542,3.4717,1288,1,0,0.9651,279.76,837.17,115.86,200.23,287.00,845.50,96.00,165.00,0.6828,11.04,1,-1,2.2425,ACCEPT,0,2051,1136,26525,0,0,1288,0,0,0,0
15,0,1,1,ACCEPT,22.4725,4.2341,1266,0,0,1.0000,279.76,837.17,111.40,192.52,286.00,847.50,94.00,163.00,0.7144,12.07,1,-1,2.3204,ACCEPT,0,2014,1192,29382,0,0,1266,0,0,0,0
16,0,1,1,ACCEPT,20.6045,3.7576,1240,0,0,1.0000,279.76,837.17,107.12,185.12,286.00,848.00,98.00,162.00,0.7762,12.50,1,-1,2.2154,ACCEPT,0,2171,1297,26060,0,0,1240,0,0,0,0
17,0,1,1,ACCEPT,20.0039,2.7927,1078,1,1,0.9499,281.43,840.06,103.00,178.00,287.00,850.50,100.00,161.00,0.7958,11.83,1,-1,2.2433,ACCEPT,0,2001,1356,24822,0,0,1078,0,0,0,0
18,0,1,1,ACCEPT,18.8066,2.9284,981,0,0,1.0000,281.43,840.06,99.04,171.15,287.00,856.50,102.00,173.00,0.7456,17.36,1,-1,2.2341,ACCEPT,0,1895,1403,24440,0,0,981,0,0,0,0
