frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,171.00,259.00,68.00,54.00,171.00,259.00,68.00,54.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,7930,15024,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,14.3243,1.9695,323,2,-2,0.1672,173.12,257.31,68.00,54.00,173.50,255.50,65.00,55.00,0.8960,1.85,1,0,2.7712,ACCEPT,0,885,7640,17917,0,0,323,0,0,0,0
2,0,1,1,ACCEPT,9.9344,1.8244,374,0,-3,0.2807,173.12,254.78,68.00,54.00,170.50,252.50,69.00,57.00,0.8552,3.48,1,0,3.0589,ACCEPT,0,1177,7011,15781,0,0,374,0,0,0,0
3,0,1,1,ACCEPT,7.3124,1.6389,354,-2,-5,0.0282,171.00,250.56,70.72,56.16,169.50,250.00,71.00,56.00,0.9399,1.60,1,1,2.5175,ACCEPT,0,1288,6864,12602,0,0,354,0,0,0,0
4,0,1,1,ACCEPT,6.3776,1.3800,276,-1,-2,0.5797,169.90,248.81,70.72,56.16,167.50,248.00,71.00,56.00,0.9087,2.53,1,0,2.7423,ACCEPT,0,1045,6261,13989,0,0,276,0,0,0,0
5,0,1,1,ACCEPT,6.0398,1.0351,295,-3,-2,0.4237,166.59,247.06,70.72,56.16,164.00,244.00,68.00,60.00,0.8390,4.01,1,0,2.4396,ACCEPT,0,1083,6232,13475,0,0,295,0,0,0,0
6,0,1,1,ACCEPT,8.7612,1.5000,417,-3,-2,0.3381,163.29,245.31,70.72,56.16,160.50,241.50,69.00,65.00,0.8031,4.72,1,0,2.6452,ACCEPT,0,1117,5454,14630,0,0,417,0,0,0,0
7,0,1,1,ACCEPT,11.8529,2.0109,551,-3,-1,0.4755,159.98,244.44,70.72,56.16,157.50,240.00,65.00,64.00,0.8011,5.09,1,0,2.7419,ACCEPT,0,1101,5252,13397,0,0,551,0,0,0,0
8,0,1,1,ACCEPT,12.0158,2.2325,605,-4,-1,0.2843,155.58,243.56,73.55,58.41,152.00,239.00,64.00,66.00,0.7637,5.80,1,1,2.5244,ACCEPT,0,1339,4649,14236,0,0,605,0,0,0,0
9,0,1,1,ACCEPT,8.6612,1.4381,476,-6,-4,0.2962,148.69,239.91,73.55,58.41,148.50,238.00,69.00,62.00,0.8838,1.92,1,0,2.3788,ACCEPT,0,1466,4235,14764,0,0,476,0,0,0,0
