frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,67.00,233.00,78.00,90.00,67.00,233.00,78.00,90.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5534,14367,0,0,0,0,0,0,0
1,0,1,1,ACCEPT(gate disabled),121.8065,22.1290,686,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,91.00,0.9765,0.71,1,0,3.2638,ACCEPT,0,308,5202,16860,0,0,686,0,0,0,0
2,0,1,1,ACCEPT(gate disabled),112.8309,18.5250,741,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.1600,ACCEPT,0,347,4862,19667,0,0,741,0,0,0,0
3,0,1,1,ACCEPT(gate disabled),119.3963,20.5250,821,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.50,79.00,89.00,0.9765,0.71,1,0,3.1735,ACCEPT,0,379,4571,20715,0,0,821,0,0,0,0
4,0,1,1,ACCEPT(gate disabled),121.1379,20.7500,830,0,0,1.0000,67.00,233.00,78.00,90.00,67.50,233.00,79.00,90.00,0.9873,0.50,1,0,3.2330,ACCEPT,0,403,4233,22816,0,0,830,0,0,0,0
5,0,1,1,ACCEPT(gate disabled),95.1548,15.6923,816,1,0,0.9975,68.22,233.00,78.00,90.00,68.00,231.50,80.00,91.00,0.9435,1.52,1,0,3.1288,ACCEPT,0,444,3973,26459,0,0,816,0,0,0,0
6,0,1,1,ACCEPT(gate disabled),79.8516,12.8714,901,0,-1,0.9767,68.22,231.59,78.00,90.00,68.00,232.00,78.00,92.00,0.9728,0.46,1,0,3.1505,ACCEPT,0,588,3739,29326,0,0,901,0,0,0,0
7,0,1,1,ACCEPT(gate disabled),69.2258,11.1609,971,0,0,1.0000,68.22,231.59,78.00,90.00,68.00,232.00,78.00,92.00,0.9728,0.46,1,0,3.0498,ACCEPT,0,815,3515,32767,0,0,971,0,0,0,0
8,0,1,1,ACCEPT(gate disabled),53.3674,8.0517,934,0,0,1.0000,68.22,231.59,78.00,90.00,69.50,230.50,79.00,91.00,0.9451,1.68,1,0,2.8281,ACCEPT,0,935,3294,32767,0,0,934,0,0,0,0
9,0,1,1,ACCEPT(gate disabled),41.1537,6.2667,846,1,-1,0.9492,69.44,230.19,78.00,90.00,70.50,229.50,79.00,91.00,0.9587,1.27,1,0,2.7201,ACCEPT,0,1040,3180,31947,0,0,846,0,0,0,0
10,0,1,1,ACCEPT(gate disabled),30.7639,4.7947,724,1,0,0.9586,70.66,230.19,78.00,90.00,71.50,228.00,79.00,90.00,0.9328,2.34,1,0,2.2046,ACCEPT,0,1054,2966,29659,0,0,724,0,0,0,0
11,0,1,1,ACCEPT(gate disabled),23.1080,2.5949,615,1,-1,0.8992,71.88,228.78,78.00,90.00,73.50,228.00,77.00,92.00,0.9386,1.80,1,0,2.3848,ACCEPT,0,1320,2788,28871,0,0,615,0,0,0,0
12,0,1,1,ACCEPT(gate disabled),20.4296,1.9362,577,1,-1,0.7712,73.09,227.38,78.00,90.00,75.00,226.50,78.00,89.00,0.9343,2.10,1,0,2.5966,ACCEPT,0,1357,2622,29551,0,0,577,0,0,0,0
13,0,1,1,ACCEPT(gate disabled),17.4050,1.4732,523,2,0,0.7763,75.53,227.38,78.00,90.00,77.00,225.50,76.00,89.00,0.9236,2.38,1,0,2.0984,ACCEPT,0,1429,2442,30259,0,0,523,0,0,0,0
14,0,1,1,ACCEPT(gate disabled),17.1313,1.6962,536,1,-1,0.9590,76.75,225.97,75.00,86.54,78.50,224.50,77.00,91.00,0.9086,2.28,1,-1,2.4950,ACCEPT,0,1430,2308,30897,0,0,536,0,0,0,0
15,0,1,1,ACCEPT(gate disabled),20.4525,3.0542,620,1,-1,0.9048,77.92,224.62,75.00,86.54,80.00,223.50,76.00,89.00,0.9208,2.36,1,0,2.7110,ACCEPT,0,1241,2186,32484,0,0,620,0,0,0,0
16,0,1,1,ACCEPT(gate disabled),22.0607,3.2233,664,1,0,0.8840,79.09,224.62,75.00,86.54,81.00,223.00,76.00,90.00,0.9148,2.50,1,0,2.6797,ACCEPT,0,1264,1992,29995,0,0,664,0,0,0,0
17,0,1,1,ACCEPT(gate disabled),23.6359,3.6685,675,2,-1,0.7748,81.44,223.27,75.00,86.54,83.00,222.50,76.00,89.00,0.9333,1.74,1,0,2.8037,ACCEPT,0,1200,1907,29325,0,0,675,0,0,0,0
