frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,493.00,142.50,68.00,25.00,493.00,142.50,68.00,25.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3157,13785,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,10.4289,1.7391,80,5,-5,0.0625,500.97,139.57,68.00,25.00,502.00,141.00,70.00,22.00,0.8571,1.76,1,0,3.1827,ACCEPT,0,474,2905,14335,0,0,80,0,0,0,0
2,0,1,1,ACCEPT,7.4609,1.1316,43,23,7,0.0930,537.62,143.67,68.00,25.00,539.50,150.00,69.00,28.00,0.5874,6.60,1,0,2.8171,ACCEPT,0,269,2501,10538,0,0,43,0,0,0,0
3,0,1,1,ACCEPT,7.5909,1.0588,18,31,29,0.4444,587.03,160.66,68.00,25.00,591.00,165.00,68.00,30.00,0.6572,5.88,1,0,2.9542,ACCEPT,0,72,1950,14070,0,0,18,0,0,0,0
4,0,1,1,ACCEPT,8.6405,1.2857,81,13,12,0.1728,607.75,167.70,68.00,25.00,607.00,168.50,68.00,25.00,0.9178,1.10,1,0,2.5447,ACCEPT,0,330,2720,14811,0,0,81,0,0,0,0
5,0,1,1,ACCEPT,20.8848,3.4194,212,3,0,0.2358,612.53,167.70,68.00,25.00,612.50,165.50,69.00,25.00,0.8274,2.20,1,0,2.8365,ACCEPT,0,412,2754,13622,0,0,212,0,0,0,0
6,0,1,1,ACCEPT,16.6844,1.2609,174,1,1,0.7011,614.12,168.28,68.00,25.00,615.00,167.00,70.00,26.00,0.8792,1.55,1,0,3.0555,ACCEPT,0,303,2523,12965,0,0,174,0,0,0,0
7,0,1,1,ACCEPT,12.3514,1.4674,135,1,-3,0.3185,615.72,166.52,68.00,25.00,617.00,166.50,70.00,25.00,0.9618,1.28,1,0,2.8669,ACCEPT,0,263,2283,14608,0,0,135,0,0,0,0
8,0,1,1,ACCEPT,13.6440,2.0119,169,-1,1,0.7574,614.12,167.11,68.00,25.00,615.00,173.50,68.00,29.00,0.6045,6.45,1,0,3.0425,ACCEPT,0,329,2110,12195,0,0,169,0,0,0,0
9,0,1,1,ACCEPT,12.6767,1.9125,153,1,1,0.7451,615.72,167.70,68.00,25.00,613.00,174.50,64.00,35.00,0.5937,7.33,1,0,2.7439,ACCEPT,0,283,1963,12144,0,0,153,0,0,0,0
10,0,1,1,ACCEPT,10.5285,1.5132,115,0,1,0.9217,615.72,168.28,68.00,25.00,613.50,176.50,63.00,39.00,0.5635,8.51,1,0,2.8068,ACCEPT,0,275,1822,13394,0,0,115,0,0,0,0
