frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,412.00,578.50,176.00,145.00,412.00,578.50,176.00,145.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2747,15028,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,86.8517,14.6190,307,0,1,0.7590,412.00,581.90,176.00,145.00,409.50,582.50,177.00,145.00,0.9641,2.57,1,0,3.2539,ACCEPT,0,154,2596,16118,0,0,307,0,0,0,0
2,0,1,1,ACCEPT,44.9630,8.6333,259,-1,3,0.3784,407.88,592.09,176.00,145.00,409.00,585.00,178.00,156.00,0.8986,7.18,1,0,3.1295,ACCEPT,0,238,2404,16273,0,0,259,0,0,0,0
3,0,1,1,ACCEPT,39.9379,5.1509,273,0,1,0.7656,407.88,595.49,176.00,145.00,408.00,595.00,180.00,150.00,0.9452,0.51,1,0,3.1013,ACCEPT,0,240,2227,15092,0,0,273,0,0,0,0
4,0,1,1,ACCEPT,36.1894,6.4884,279,1,2,0.3620,412.00,602.29,176.00,145.00,412.50,598.00,185.00,154.00,0.8958,4.32,1,0,3.0997,ACCEPT,0,239,2150,15117,0,0,279,0,0,0,0
5,0,1,1,ACCEPT,34.7854,6.5909,290,0,1,0.8379,412.00,605.69,176.00,145.00,414.00,601.00,188.00,158.00,0.8591,5.10,1,0,3.0049,ACCEPT,0,310,2026,14217,0,0,290,0,0,0,0
6,0,1,1,ACCEPT,29.3861,5.7609,265,0,0,1.0000,412.00,605.69,176.00,145.00,417.00,601.50,188.00,157.00,0.8646,6.52,1,0,2.9555,ACCEPT,0,377,1786,14144,0,0,265,0,0,0,0
7,0,1,1,ACCEPT,25.1374,4.1552,241,1,-1,0.8963,416.12,602.29,176.00,145.00,420.00,601.50,192.00,151.00,0.8802,3.95,1,0,2.9113,ACCEPT,0,311,1717,11571,0,0,241,0,0,0,0
8,0,1,1,ACCEPT,15.0772,2.1765,185,0,-4,0.0270,416.12,588.70,176.00,145.00,421.50,593.50,201.00,151.00,0.8218,7.21,1,0,2.7454,ACCEPT,0,357,1654,12284,0,0,185,0,0,0,0
9,0,1,1,ACCEPT,14.5597,2.6053,198,0,-3,0.2727,416.12,578.50,176.00,145.00,424.50,588.00,199.00,152.00,0.7815,12.66,1,0,2.8380,ACCEPT,0,388,1553,15230,0,0,198,0,0,0,0
10,0,1,1,ACCEPT,10.7877,1.0764,169,4,-7,0.0828,432.62,554.71,176.00,145.00,432.00,574.50,198.00,155.00,0.6883,19.80,1,0,2.8735,ACCEPT,0,517,1434,12474,0,0,169,0,0,0,0
11,0,1,1,ACCEPT,11.9522,1.4902,152,-2,-4,0.1053,424.38,541.12,176.00,145.00,436.50,559.50,197.00,155.00,0.6933,22.02,1,0,2.8118,ACCEPT,0,339,1396,10102,0,0,152,0,0,0,0
12,0,1,1,ACCEPT,15.6057,1.9506,158,0,-6,0.0000,424.38,520.73,176.00,145.00,440.00,537.00,200.00,164.00,0.6908,22.56,1,0,2.8591,ACCEPT,0,279,1223,9278,0,0,158,0,0,0,0
13,0,1,1,ACCEPT,16.8013,2.1562,138,-1,-3,0.2754,420.25,510.53,176.00,145.00,440.00,523.00,204.00,172.00,0.6872,23.36,1,0,2.9148,ACCEPT,0,232,1253,8375,0,0,138,0,0,0,0
14,0,1,1,ACCEPT,16.5992,1.6849,123,-2,2,0.6504,412.00,517.33,176.00,145.00,433.50,507.50,215.00,151.00,0.7083,23.64,1,0,2.9938,ACCEPT,0,250,1293,7203,0,0,123,0,0,0,0
15,0,1,1,ACCEPT,16.5043,2.4138,140,-1,1,0.7214,407.88,520.73,176.00,145.00,428.50,508.00,219.00,152.00,0.6845,24.24,1,0,2.9788,ACCEPT,0,234,1221,9153,0,0,140,0,0,0,0
16,0,1,1,ACCEPT,14.6710,1.9853,135,-2,3,0.3556,399.62,530.92,176.00,145.00,419.50,510.50,215.00,171.00,0.6338,28.50,1,0,2.9862,ACCEPT,0,282,1221,7990,0,0,135,0,0,0,0
17,0,1,1,ACCEPT,14.6037,2.2679,127,-1,2,0.7008,395.50,537.72,176.00,145.00,416.00,517.00,216.00,178.00,0.6293,29.15,1,0,2.9136,ACCEPT,0,276,1073,8871,0,0,127,0,0,0,0
18,0,1,1,ACCEPT,13.9202,1.8939,125,-1,4,0.1200,391.38,551.31,176.00,145.00,403.50,529.50,217.00,193.00,0.6093,24.96,1,0,2.8565,ACCEPT,0,343,957,9614,0,0,125,0,0,0,0
19,0,1,1,ACCEPT,15.5360,1.8571,156,-1,3,0.3141,387.25,561.51,176.00,145.00,396.00,533.00,214.00,192.00,0.5871,29.82,1,0,2.8400,ACCEPT,0,324,869,11227,0,0,156,0,0,0,0
20,0,1,1,ACCEPT,10.7059,1.1656,176,-3,1,0.4432,374.88,564.91,176.00,145.00,382.50,538.50,213.00,183.00,0.6012,27.49,1,0,2.7328,ACCEPT,0,478,834,20430,0,0,176,0,0,0,0
21,0,1,1,ACCEPT,14.2536,1.8800,329,-1,0,0.9179,370.75,564.91,176.00,145.00,373.00,540.50,206.00,183.00,0.6357,24.51,1,0,2.7499,ACCEPT,0,692,780,22506,0,0,329,0,0,0,0
22,0,1,1,ACCEPT,14.0581,1.7953,307,-3,1,0.5147,358.38,568.30,176.00,145.00,365.50,545.50,209.00,193.00,0.6327,23.89,1,0,2.7726,ACCEPT,0,564,718,23578,0,0,307,0,0,0,0
23,0,1,1,ACCEPT,13.2300,1.6299,251,-2,1,0.8486,350.12,571.70,176.00,145.00,359.50,544.50,209.00,195.00,0.6109,28.77,1,0,2.8012,ACCEPT,0,642,667,21158,0,0,251,0,0,0,0
