frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1572,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,51.8837,8.2308,321,0,-1,0.9097,265.00,211.78,108.00,52.00,267.00,211.00,112.00,52.00,0.9362,2.15,1,0,3.1699,ACCEPT,0,237,1639,26914,0,0,321,0,0,0,0
2,0,1,1,ACCEPT,30.4672,4.6348,533,0,0,1.0000,265.00,211.78,108.00,52.00,269.50,210.00,111.00,50.00,0.8616,4.84,1,0,2.5884,ACCEPT,0,577,1486,32767,0,0,533,0,0,0,0
3,0,1,1,ACCEPT,21.4385,3.0000,606,0,0,1.0000,265.00,211.78,108.00,52.00,270.00,206.00,112.00,50.00,0.7341,7.64,1,0,1.9390,LOW_CONF,0,849,1494,32767,0,0,606,0,0,0,0
4,0,1,1,ACCEPT,16.6404,2.5722,499,0,-1,0.9619,265.00,210.56,108.00,52.00,274.00,201.50,110.00,57.00,0.6188,12.77,1,-14,1.8321,MAX_STEP,0,777,1432,32767,0,0,499,0,0,0,0
5,0,1,1,ACCEPT,17.5783,2.3101,596,-1,1,0.9312,262.47,211.78,112.32,54.08,277.50,196.50,111.00,61.00,0.4660,21.43,1,1,2.3361,ACCEPT,0,812,1397,32767,0,0,596,0,0,0,0
6,0,1,1,ACCEPT,20.7211,3.8341,786,0,-1,0.9580,262.47,210.52,112.32,54.08,279.00,195.00,110.00,60.00,0.4493,22.67,1,0,2.4829,ACCEPT,0,932,1370,32767,0,0,786,0,0,0,0
7,0,1,1,ACCEPT,22.5130,4.4686,782,0,-1,0.9923,262.47,209.25,112.32,54.08,282.00,199.50,106.00,53.00,0.5053,21.83,1,0,2.4698,ACCEPT,0,925,1350,31869,0,0,782,0,0,0,0
8,0,1,1,ACCEPT,24.8967,4.5765,897,0,1,0.9666,262.47,210.52,108.00,52.00,282.50,193.00,103.00,66.00,0.3998,26.61,1,-1,2.0788,ACCEPT,0,958,1354,28560,0,0,897,0,0,0,0
9,0,1,1,ACCEPT,18.0443,2.7368,780,0,-1,0.9167,262.47,209.30,108.00,52.00,282.50,193.00,101.00,66.00,0.4158,25.82,1,0,1.8591,LOW_CONF,0,1242,1292,23198,0,0,780,0,0,0,0
10,0,1,1,ACCEPT,18.5747,3.4630,748,0,0,1.0000,262.47,209.30,108.00,52.00,285.00,194.50,106.00,69.00,0.4257,26.96,1,-1,1.4287,LOW_CONF,0,1248,1258,23459,0,0,748,0,0,0,0
11,0,1,1,ACCEPT,16.2708,2.8554,691,0,0,1.0000,262.47,209.30,99.85,48.08,283.00,210.00,98.00,46.00,0.6324,20.54,1,-2,2.4251,ACCEPT,0,1419,1171,25084,0,0,691,0,0,0,0
12,0,1,1,ACCEPT,9.4636,1.1205,465,-3,-1,0.6000,255.44,208.17,99.85,48.08,282.50,214.00,101.00,46.00,0.4707,27.68,1,-10,2.1581,MAX_STEP,0,1443,1080,27955,0,0,465,0,0,0,0
13,0,1,1,ACCEPT,10.9229,1.5782,565,0,0,1.0000,255.44,208.17,99.85,48.08,285.50,206.50,109.00,67.00,0.4192,30.11,1,-11,1.9825,MAX_STEP,0,1287,1111,28304,0,0,565,0,0,0,0
14,0,1,1,ACCEPT,11.1857,1.7624,534,0,-1,0.9757,255.44,207.05,99.85,48.08,284.00,205.00,108.00,84.00,0.3535,28.64,1,-10,2.1259,MAX_STEP,0,1573,1208,28770,0,0,534,0,0,0,0
15,0,1,1,ACCEPT,13.2350,2.5943,633,0,0,1.0000,255.44,207.05,99.85,48.08,282.50,208.50,109.00,65.00,0.4555,27.10,1,-10,1.4238,MAX_STEP,0,1607,1252,26914,0,0,633,0,0,0,0
16,0,1,1,ACCEPT,8.3793,1.3369,377,-1,0,0.9549,253.09,207.05,99.85,48.08,281.50,212.00,115.00,72.00,0.4093,28.83,1,-11,1.4983,MAX_STEP,0,1203,1265,26438,0,0,377,0,0,0,0
17,0,1,1,ACCEPT,15.0812,2.1193,604,0,-1,0.9172,253.09,205.92,99.85,48.08,260.00,214.00,72.00,72.00,0.5307,10.63,1,4,1.5949,MAX_STEP,0,1295,1239,23681,0,0,604,0,0,0,0
18,0,1,1,ACCEPT,10.6216,1.8285,437,-1,-1,0.9497,250.75,204.80,99.85,48.08,278.00,214.50,114.00,67.00,0.4418,28.93,1,-9,1.1447,MAX_STEP,0,1315,1274,21953,0,0,437,0,0,0,0
19,0,1,1,ACCEPT,13.1955,2.2282,537,0,0,1.0000,250.75,204.80,99.85,48.08,279.50,217.50,113.00,67.00,0.3918,31.43,1,5,2.0435,MAX_STEP,0,1378,1167,20194,0,0,537,0,0,0,0
20,0,1,1,ACCEPT,12.1645,1.8930,460,0,-1,0.9565,250.75,203.67,99.85,48.08,278.50,213.50,115.00,51.00,0.4218,29.44,1,-10,2.0544,MAX_STEP,0,1108,1114,20883,0,0,460,0,0,0,0
21,0,1,1,ACCEPT,13.6432,1.9552,524,-1,0,0.9695,248.41,203.67,99.85,48.08,279.50,218.00,117.00,54.00,0.3429,34.24,1,-9,1.5807,MAX_STEP,0,1506,966,19722,0,0,524,0,0,0,0
22,0,1,1,ACCEPT,17.0716,2.6278,586,1,-1,0.9130,250.75,202.55,99.85,48.08,282.00,224.50,120.00,59.00,0.2645,38.19,1,4,2.3785,MAX_STEP,0,1183,886,18567,0,0,586,0,0,0,0
23,0,1,1,ACCEPT,15.9252,2.3865,494,-1,0,0.8502,248.41,202.55,99.85,48.08,282.00,226.50,116.00,53.00,0.2202,41.26,1,2,1.4242,LOW_CONF,0,1065,848,16903,0,0,494,0,0,0,0
24,0,1,1,ACCEPT,17.7239,2.7391,504,0,0,1.0000,248.41,202.55,99.85,48.08,284.00,229.50,116.00,49.00,0.1750,44.65,1,-10,1.7352,MAX_STEP,0,1084,800,16339,0,0,504,0,0,0,0
25,0,1,1,ACCEPT,20.0245,2.7371,531,0,-1,0.9077,248.41,201.42,99.85,48.08,287.00,236.00,116.00,44.00,0.0872,51.82,1,-8,1.6409,MAX_STEP,0,991,747,15760,0,0,531,0,0,0,0
26,0,1,1,ACCEPT,18.0939,2.4624,458,-1,0,0.9847,246.06,201.42,99.85,48.08,286.00,251.50,110.00,71.00,0.0513,64.05,1,6,1.1536,MAX_STEP,0,894,777,16452,0,0,458,0,0,0,0
27,0,1,1,ACCEPT,21.4237,3.0387,550,0,0,1.0000,246.06,201.42,99.85,48.08,285.50,254.50,109.00,77.00,0.0489,66.13,1,0,1.6035,LOW_CONF,0,962,828,16430,0,0,550,0,0,0,0
28,0,1,1,ACCEPT,19.6651,2.4460,521,0,-1,0.9827,246.06,200.30,99.85,48.08,285.00,252.50,110.00,73.00,0.0448,65.13,1,-7,1.7837,MAX_STEP,0,902,1084,14568,0,0,521,0,0,0,0
29,0,1,1,ACCEPT,20.0928,2.4184,578,0,0,1.0000,246.06,200.30,99.85,48.08,284.00,256.50,110.00,79.00,0.0378,67.81,1,-10,1.5409,MAX_STEP,0,919,1091,14567,0,0,578,0,0,0,0
30,0,1,1,ACCEPT,21.0025,2.4286,561,-1,0,0.9679,243.72,200.30,99.85,48.08,281.50,254.00,109.00,70.00,0.0294,65.66,1,1,1.6333,LOW_CONF,0,878,1155,14106,0,0,561,0,0,0,0
31,0,1,1,ACCEPT,22.4383,2.1204,581,0,-1,0.9415,243.72,199.17,99.85,48.08,282.00,258.50,112.00,71.00,0.0011,70.61,1,6,1.7858,MAX_STEP,0,917,1155,12227,0,0,581,0,0,0,0
32,0,1,1,ACCEPT,24.9495,2.2049,538,0,0,1.0000,243.72,199.17,99.85,48.08,279.50,263.00,111.00,66.00,0.0000,73.17,1,5,1.6793,MAX_STEP,0,801,1216,11306,0,0,538,0,0,0,0
33,0,1,1,ACCEPT,27.5634,2.2446,523,-1,0,0.9751,241.38,199.17,99.85,48.08,276.50,269.50,105.00,53.00,0.0000,78.61,1,7,1.6134,MAX_STEP,0,709,1210,10199,0,0,523,0,0,0,0
34,0,1,1,ACCEPT,29.5444,2.3725,484,0,-1,0.9690,241.38,198.05,99.85,48.08,280.00,278.00,112.00,54.00,0.0000,88.79,1,6,1.5458,MAX_STEP,0,639,1174,10410,0,0,484,0,0,0,0
35,0,1,1,ACCEPT,32.6974,2.5926,490,0,0,1.0000,241.38,198.05,99.85,48.08,281.50,283.50,113.00,53.00,0.0000,94.40,1,5,1.5999,MAX_STEP,0,601,1112,10466,0,0,490,0,0,0,0
36,0,1,1,ACCEPT,34.7262,2.5707,473,0,0,1.0000,241.38,198.05,99.85,48.08,281.50,289.00,111.00,56.00,0.0000,99.41,1,5,1.6831,MAX_STEP,0,560,1109,10798,0,0,473,0,0,0,0
37,0,1,1,ACCEPT,35.2037,2.5385,462,-1,-1,0.9567,239.03,196.92,99.85,48.08,284.00,293.50,112.00,59.00,0.0000,106.53,1,6,1.6468,MAX_STEP,0,540,1098,10290,0,0,462,0,0,0,0
38,0,1,1,ACCEPT,36.9199,2.6433,452,0,0,1.0000,239.03,196.92,99.85,48.08,285.00,301.50,110.00,65.00,0.0000,114.24,1,5,1.6240,MAX_STEP,0,506,1063,10305,0,0,452,0,0,0,0
39,0,1,1,ACCEPT,37.1819,2.5371,444,0,0,1.0000,239.03,196.92,99.85,48.08,284.50,306.50,105.00,69.00,0.0000,118.64,1,5,1.6353,MAX_STEP,0,476,1058,10358,0,0,444,0,0,0,0
40,0,1,1,ACCEPT,34.3723,2.7517,410,-1,-1,0.8780,236.69,195.80,99.85,48.08,284.50,309.00,101.00,68.00,0.0000,122.89,1,6,1.7254,MAX_STEP,0,502,1183,11694,0,0,410,0,0,0,0
41,0,1,1,ACCEPT,35.2761,2.5842,491,0,0,1.0000,236.69,195.80,99.85,48.08,285.50,311.00,99.00,66.00,0.0000,125.12,1,5,1.7371,MAX_STEP,0,551,1182,11374,0,0,491,0,0,0,0
42,0,1,1,ACCEPT,36.1571,2.7118,461,-1,0,0.9978,234.34,195.80,99.85,48.08,286.00,312.00,98.00,64.00,0.0000,127.17,1,7,1.7519,MAX_STEP,0,509,1187,10740,0,0,461,0,0,0,0
43,0,1,1,ACCEPT,39.4613,3.0600,459,0,-1,0.9194,234.34,194.67,99.85,48.08,284.00,311.50,94.00,61.00,0.0000,126.94,1,6,1.7410,MAX_STEP,0,445,1177,10535,0,0,459,0,0,0,0
44,0,1,1,ACCEPT,40.7135,2.9333,440,0,0,1.0000,234.34,194.67,99.85,48.08,285.00,312.50,98.00,59.00,0.0000,128.26,1,5,1.7594,MAX_STEP,0,424,1191,10118,0,0,440,0,0,0,0
45,0,1,1,ACCEPT,40.0635,3.0152,398,0,-1,0.9899,234.34,193.55,99.85,48.08,286.50,311.50,103.00,57.00,0.0000,128.97,1,5,1.7917,MAX_STEP,0,390,1164,10243,0,0,398,0,0,0,0
46,0,1,1,ACCEPT,42.9018,3.2460,409,-1,0,0.9242,232.00,193.55,99.85,48.08,288.00,308.00,108.00,54.00,0.0000,127.42,1,6,1.7173,MAX_STEP,0,373,1158,10470,0,0,409,0,0,0,0
47,0,1,1,ACCEPT,44.0207,3.1567,423,0,0,1.0000,232.00,193.55,99.85,48.08,289.00,308.50,112.00,59.00,0.0000,128.31,1,5,1.7715,MAX_STEP,0,390,1145,10852,0,0,423,0,0,0,0
48,0,1,1,ACCEPT,46.1713,3.4016,432,-1,0,0.9583,229.66,193.55,99.85,48.08,289.50,307.00,113.00,56.00,0.0000,128.27,1,6,1.6878,MAX_STEP,0,376,1142,10966,0,0,432,0,0,0,0
49,0,1,1,ACCEPT,46.4243,3.3134,444,0,-1,0.9527,229.66,192.42,99.85,48.08,288.00,306.00,112.00,58.00,0.0000,127.69,1,6,1.6865,MAX_STEP,0,386,1107,11411,0,0,444,0,0,0,0
50,0,1,1,ACCEPT,49.4915,3.4586,460,-1,1,0.8500,227.31,193.55,99.85,48.08,288.00,305.00,112.00,58.00,0.0000,126.90,1,7,1.6986,MAX_STEP,0,381,1095,11456,0,0,460,0,0,0,0
51,0,1,1,ACCEPT,50.7704,3.8293,471,0,-1,0.9023,227.31,192.42,99.85,48.08,287.00,304.50,114.00,59.00,0.0000,126.98,1,6,1.7140,MAX_STEP,0,393,1134,11387,0,0,471,0,0,0,0
52,0,1,1,ACCEPT,47.7699,3.1544,470,0,1,0.8851,227.31,193.55,99.85,48.08,285.50,302.00,113.00,58.00,0.0000,123.08,1,5,1.6909,MAX_STEP,0,419,1271,12788,0,0,470,0,0,0,0
53,0,1,1,ACCEPT,46.7721,3.2733,563,0,-1,0.9023,227.31,192.42,99.85,48.08,280.00,302.50,104.00,57.00,0.0000,122.04,1,5,1.7109,MAX_STEP,0,508,1250,12602,0,0,563,0,0,0,0
54,0,1,1,ACCEPT,49.3530,3.7027,548,-1,1,0.8522,224.97,193.55,99.85,48.08,283.50,299.50,111.00,53.00,0.0000,121.05,1,6,1.6720,MAX_STEP,0,473,1243,12552,0,0,548,0,0,0,0
55,0,1,1,ACCEPT,50.0545,3.6118,549,0,-1,0.8780,224.97,192.42,99.85,48.08,281.50,299.50,107.00,55.00,0.0000,121.08,1,5,1.6472,MAX_STEP,0,466,1253,12898,0,0,549,0,0,0,0
