frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,240.50,549.00,21.00,74.00,240.50,549.00,21.00,74.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,359,22373,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.9752,1.6071,45,16,4,0.2000,248.38,555.94,21.00,74.00,250.00,556.00,12.00,44.00,0.3398,1.63,1,0,3.0515,ACCEPT,0,293,262,32723,0,0,45,0,0,0,0
2,0,1,1,ACCEPT,11.7820,1.5145,209,10,1,0.2440,253.30,557.67,20.19,71.15,253.50,565.00,23.00,60.00,0.7169,7.33,1,-1,2.6733,ACCEPT,0,1064,374,12917,0,0,209,0,0,0,0
3,0,1,1,ACCEPT,8.8367,1.0500,168,10,2,0.2143,258.06,561.00,19.42,68.42,255.00,560.50,28.00,65.00,0.6690,3.10,1,-1,2.3169,ACCEPT,0,597,404,11221,0,0,168,0,0,0,0
4,0,1,1,ACCEPT,10.8358,1.4250,171,10,1,0.0877,262.59,562.60,18.67,65.79,259.50,563.50,27.00,51.00,0.5760,3.22,1,-1,2.3354,ACCEPT,0,441,546,10130,0,0,171,0,0,0,0
5,0,1,1,ACCEPT,17.1031,1.7339,378,10,0,0.1085,266.97,562.60,18.67,65.79,264.00,564.00,24.00,48.00,0.5883,3.28,1,0,2.9646,ACCEPT,0,726,566,13702,0,0,378,0,0,0,0
6,0,1,1,ACCEPT,16.7377,2.2919,424,18,3,0.1061,274.84,567.22,18.67,65.79,273.00,566.50,18.00,77.00,0.7094,1.98,1,0,2.6611,ACCEPT,0,853,442,12943,0,0,424,0,0,0,0
7,0,1,1,ACCEPT,17.1429,2.0000,518,7,1,0.3475,277.91,568.76,17.95,63.26,276.50,563.50,15.00,69.00,0.7261,5.44,1,-1,2.5904,ACCEPT,0,1662,508,13329,0,0,518,0,0,0,0
8,0,1,1,ACCEPT,18.3327,1.8412,510,9,1,0.0804,281.70,570.24,17.26,60.82,279.00,569.50,18.00,69.00,0.6560,2.80,1,-1,2.6178,ACCEPT,0,863,480,12851,0,0,510,0,0,0,0
9,0,1,1,ACCEPT,17.9318,1.6246,489,6,2,0.6074,284.14,573.09,17.26,60.82,282.00,572.00,20.00,54.00,0.7185,2.40,1,0,2.7900,ACCEPT,0,1088,355,12523,0,0,489,0,0,0,0
10,0,1,1,ACCEPT,15.5068,2.0441,556,7,1,0.2086,286.98,574.51,17.26,60.82,288.50,576.50,19.00,77.00,0.6727,2.50,1,0,2.7899,ACCEPT,0,1202,282,20277,0,0,556,0,0,0,0
11,0,1,1,ACCEPT,9.9692,1.2209,420,11,1,0.3333,291.45,575.93,17.26,60.82,287.50,576.00,23.00,80.00,0.5163,3.95,1,0,2.9773,ACCEPT,0,1260,262,11837,0,0,420,0,0,0,0
12,0,1,1,ACCEPT,11.7831,1.6639,203,11,1,0.0690,295.92,577.35,17.26,60.82,285.50,573.00,31.00,76.00,0.3242,11.29,1,0,2.9627,ACCEPT,0,670,245,10197,0,0,203,0,0,0,0
13,0,1,1,ACCEPT,11.6287,1.5298,231,8,0,0.1472,299.17,577.35,17.26,60.82,286.00,572.00,32.00,68.00,0.2655,14.22,1,0,3.0294,ACCEPT,0,713,438,11719,0,0,231,0,0,0,0
14,0,1,1,ACCEPT,14.6800,2.1026,328,11,1,0.2713,303.64,578.77,17.26,60.82,293.00,577.50,36.00,69.00,0.3797,10.72,1,0,3.0653,ACCEPT,0,808,353,11103,0,0,328,0,0,0,0
15,0,1,1,ACCEPT,12.5975,1.3251,269,9,1,0.2862,307.30,580.20,17.26,60.82,301.50,578.50,37.00,81.00,0.3503,6.04,1,0,3.2278,ACCEPT,0,842,334,10502,0,0,269,0,0,0,0
16,0,1,1,ACCEPT,10.4059,1.0446,211,6,15,0.3886,309.73,601.52,17.26,60.82,314.00,580.00,22.00,64.00,0.3434,21.94,1,0,2.9602,ACCEPT,0,555,292,14006,0,0,211,0,0,0,0
17,0,1,1,ACCEPT,9.9269,1.0520,283,14,-15,0.2155,315.42,580.20,17.26,60.82,315.50,584.50,15.00,71.00,0.7587,4.31,1,0,3.2321,ACCEPT,0,755,251,14792,0,0,283,0,0,0,0
18,0,1,1,ACCEPT,11.9282,1.2402,315,12,-1,0.0508,320.30,578.77,17.26,60.82,313.00,582.00,18.00,84.00,0.3251,7.98,1,0,3.0037,ACCEPT,0,884,288,10930,0,0,315,0,0,0,0
19,0,1,1,ACCEPT,11.4255,1.2440,311,9,-2,0.1447,323.95,575.93,17.26,60.82,314.50,579.00,23.00,80.00,0.2899,9.94,1,0,2.9282,ACCEPT,0,1004,313,7668,0,0,311,0,0,0,0
20,0,1,0,NEGATIVE_PEAK,-11.0981,1.0973,-282,-11,-1,0.0284,323.95,575.93,17.26,60.82,320.00,577.00,22.00,70.00,0.5827,4.10,0,0,0.0000,NOT_RUN,0,889,299,0,0,0,282,0,0,0,0
21,0,1,1,ACCEPT,10.0173,1.4429,202,28,0,0.0495,335.33,575.93,17.26,60.82,331.00,576.50,20.00,89.00,0.4438,4.37,1,0,3.0486,ACCEPT,0,971,475,8189,0,0,202,0,0,0,0
22,0,1,1,ACCEPT,14.3045,1.8000,351,13,2,0.2137,340.61,578.77,17.26,60.82,337.50,583.00,15.00,80.00,0.5432,5.25,1,0,3.0548,ACCEPT,0,733,430,9244,0,0,351,0,0,0,0
23,0,1,1,ACCEPT,12.6004,1.0295,419,7,1,0.5632,343.45,580.20,17.26,60.82,339.50,584.00,15.00,78.00,0.5007,5.49,1,0,3.0963,ACCEPT,0,1009,424,9653,0,0,419,0,0,0,0
24,0,1,1,ACCEPT,16.0673,1.5587,385,10,-1,0.3195,347.52,578.77,17.26,60.82,339.00,581.00,24.00,80.00,0.3300,8.80,1,0,3.0510,ACCEPT,0,906,230,10332,0,0,385,0,0,0,0
