frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,221.00,300.50,114.00,117.00,221.00,300.50,114.00,117.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,11061,5062,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,94.6164,14.5000,174,1,0,0.8046,223.67,300.50,114.00,117.00,224.00,299.00,116.00,120.00,0.9582,1.54,1,0,2.9244,ACCEPT,0,173,11070,4928,0,0,174,0,0,0,0
2,0,1,1,ACCEPT,56.4450,8.4118,143,4,-4,0.0839,234.36,289.53,114.00,117.00,231.00,290.50,118.00,121.00,0.9129,3.50,1,0,2.3358,ACCEPT,0,155,10979,7498,0,0,143,0,0,0,0
3,0,1,1,ACCEPT,52.8187,8.1724,237,6,-6,0.0844,250.39,273.08,114.00,117.00,249.50,274.50,113.00,117.00,0.9610,1.68,1,0,2.1467,ACCEPT,0,243,10297,8442,0,0,237,0,0,0,0
4,0,1,1,ACCEPT,100.6265,20.0000,400,5,-2,0.0150,263.75,267.59,114.00,117.00,263.00,267.50,110.00,121.00,0.9341,0.76,1,0,2.9733,ACCEPT,0,186,8790,6730,0,0,400,0,0,0,0
5,0,1,1,ACCEPT,84.8272,13.8824,236,-2,2,0.4407,258.41,273.08,114.00,117.00,255.00,274.00,114.00,122.00,0.9044,3.53,1,0,2.4366,ACCEPT,0,123,8425,6832,0,0,236,0,0,0,0
6,0,1,1,ACCEPT,99.5433,16.5000,264,-3,0,0.3826,250.39,273.08,114.00,117.00,248.50,273.50,107.00,119.00,0.9238,1.94,1,0,2.9809,ACCEPT,0,131,7661,6572,0,0,264,0,0,0,0
7,0,1,1,ACCEPT,77.5583,10.3158,196,0,-1,0.8673,250.39,270.34,114.00,117.00,247.00,270.50,102.00,117.00,0.8924,3.39,1,0,2.9544,ACCEPT,0,145,7417,8544,0,0,196,0,0,0,0
8,0,1,1,ACCEPT,22.0954,1.6585,136,3,-7,0.1397,258.41,251.14,114.00,117.00,256.00,247.00,110.00,134.00,0.8405,4.79,1,0,2.3338,ACCEPT,0,276,8429,8498,0,0,136,0,0,0,0
9,0,1,1,ACCEPT,21.4399,2.3721,204,14,-18,0.0245,295.81,201.78,114.00,117.00,301.00,199.50,92.00,117.00,0.7790,5.67,1,-1,1.6727,LOW_CONF,0,448,7455,9595,0,0,204,0,0,0,0
10,0,1,1,ACCEPT,12.5685,1.0116,174,5,11,0.0862,309.17,231.95,114.00,117.00,303.00,289.50,100.00,119.00,0.3149,57.88,1,0,2.5177,ACCEPT,0,487,5309,6216,0,0,174,0,0,0,0
