frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,244.00,723.00,28.00,28.00,244.00,723.00,28.00,28.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,307,7635,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,41.9292,4.5000,27,1,2,0.5926,244.66,724.31,28.00,28.00,245.00,724.00,28.00,28.00,0.9545,0.46,1,0,3.1683,ACCEPT,0,54,309,13913,0,0,27,0,0,0,0
2,0,1,1,ACCEPT,51.6512,6.6364,73,-1,3,0.2329,244.00,726.28,28.00,28.00,245.00,724.00,28.00,28.00,0.7949,2.49,1,0,3.3026,ACCEPT,0,101,338,13873,0,0,73,0,0,0,0
3,0,1,1,ACCEPT,51.7793,7.1111,64,1,1,0.6250,244.66,726.94,28.00,28.00,245.00,726.00,28.00,28.00,0.9132,1.00,1,0,3.2009,ACCEPT,0,67,315,13113,0,0,64,0,0,0,0
4,0,1,1,ACCEPT,46.8670,8.8571,62,-1,2,0.5645,244.00,728.25,28.00,28.00,244.00,728.00,28.00,28.00,0.9823,0.25,1,0,3.3328,ACCEPT,0,86,328,12310,0,0,62,0,0,0,0
5,0,1,1,ACCEPT,43.3229,8.6667,78,1,2,0.6410,244.66,729.56,28.00,28.00,244.00,729.00,28.00,28.00,0.9174,0.86,1,0,3.1519,ACCEPT,0,92,308,11776,0,0,78,0,0,0,0
6,0,1,1,ACCEPT,16.7173,1.5778,71,-1,0,0.7606,244.00,729.56,28.00,28.00,245.00,729.00,28.00,28.00,0.8956,1.15,1,0,3.3413,ACCEPT,0,177,305,13418,0,0,71,0,0,0,0
7,0,1,1,ACCEPT,58.8214,7.8571,110,0,1,0.7909,244.00,730.22,28.00,28.00,245.00,730.00,28.00,28.00,0.9171,1.02,1,0,3.3408,ACCEPT,0,98,307,13757,0,0,110,0,0,0,0
8,0,1,1,ACCEPT,56.8260,9.4167,113,0,2,0.5310,244.00,731.53,28.00,28.00,245.00,730.00,28.00,28.00,0.8375,1.83,1,0,3.3293,ACCEPT,0,103,310,13787,0,0,113,0,0,0,0
9,0,1,1,ACCEPT,51.8637,7.0667,106,0,1,0.9717,244.00,732.19,28.00,28.00,245.00,731.00,28.00,28.00,0.8577,1.55,1,0,3.3241,ACCEPT,0,109,312,15249,0,0,106,0,0,0,0
10,0,1,1,ACCEPT,55.2719,7.2500,116,0,1,0.8621,244.00,732.84,28.00,28.00,244.00,732.00,28.00,28.00,0.9415,0.84,1,0,3.3233,ACCEPT,0,97,356,13461,0,0,116,0,0,0,0
11,0,1,1,ACCEPT,57.0309,7.1333,107,0,0,1.0000,244.00,732.84,28.00,28.00,244.00,732.00,28.00,28.00,0.9415,0.84,1,0,3.3253,ACCEPT,0,89,352,14746,0,0,107,0,0,0,0
12,0,1,1,ACCEPT,57.4124,7.3125,117,-1,1,0.9487,243.34,733.50,28.00,28.00,244.00,732.00,28.00,28.00,0.8592,1.64,1,0,3.2330,ACCEPT,0,102,346,15009,0,0,117,0,0,0,0
13,0,1,1,ACCEPT,61.7437,8.0000,112,1,-1,0.8750,244.00,732.84,28.00,28.00,243.00,734.00,28.00,28.00,0.8595,1.53,1,0,3.3281,ACCEPT,0,82,349,13384,0,0,112,0,0,0,0
14,0,1,1,ACCEPT,54.7831,8.5000,102,-1,1,0.8627,243.34,733.50,28.00,28.00,244.00,732.00,28.00,28.00,0.8592,1.64,1,0,3.2406,ACCEPT,0,79,373,13302,0,0,102,0,0,0,0
15,0,1,1,ACCEPT,61.0702,8.2500,99,1,-1,0.8283,244.00,732.84,28.00,28.00,244.00,732.00,28.00,28.00,0.9415,0.84,1,0,3.2684,ACCEPT,0,73,373,13115,0,0,99,0,0,0,0
16,0,1,1,ACCEPT,57.9539,7.7692,101,-1,-1,0.8218,243.34,732.19,28.00,28.00,244.00,731.00,28.00,28.00,0.8782,1.36,1,0,3.2482,ACCEPT,0,67,377,13401,0,0,101,0,0,0,0
17,0,1,1,ACCEPT,66.1443,8.7500,105,0,0,1.0000,243.34,732.19,28.00,28.00,244.00,730.00,28.00,28.00,0.8186,2.28,1,0,3.2943,ACCEPT,0,74,380,18057,0,0,105,0,0,0,0
18,0,1,1,ACCEPT,66.5940,10.8462,141,-1,-1,0.8014,242.69,731.53,28.00,28.00,243.00,730.00,28.00,28.00,0.8775,1.56,1,0,3.2148,ACCEPT,0,98,368,18744,0,0,141,0,0,0,0
19,0,1,1,ACCEPT,68.9807,8.1111,146,-1,-3,0.3562,242.03,729.56,28.00,28.00,242.00,730.00,28.00,28.00,0.9671,0.44,1,0,3.3544,ACCEPT,0,95,374,16617,0,0,146,0,0,0,0
20,0,1,1,ACCEPT,63.7310,7.0625,113,1,0,0.8850,242.69,729.56,28.00,28.00,243.00,728.00,28.00,28.00,0.8756,1.59,1,0,3.2123,ACCEPT,0,72,379,18399,0,0,113,0,0,0,0
21,0,1,1,ACCEPT,64.4672,9.4286,132,-1,-2,0.6591,242.03,728.25,28.00,28.00,243.00,728.00,28.00,28.00,0.9171,1.00,1,0,3.3282,ACCEPT,0,89,373,19794,0,0,132,0,0,0,0
22,0,1,1,ACCEPT,68.9985,8.1176,138,1,-1,0.7826,242.69,727.59,28.00,28.00,243.00,725.00,28.00,28.00,0.8136,2.61,1,0,3.2089,ACCEPT,0,89,376,21292,0,0,138,0,0,0,0
23,0,1,1,ACCEPT,74.0566,9.2778,167,-1,-3,0.2814,242.03,725.62,28.00,28.00,243.00,725.00,28.00,28.00,0.8937,1.15,1,0,3.3322,ACCEPT,0,114,481,14787,0,0,167,0,0,0,0
24,0,1,1,ACCEPT,75.3573,8.8750,142,1,-3,0.3169,242.69,723.66,28.00,28.00,243.00,724.00,28.00,28.00,0.9545,0.46,1,0,3.2442,ACCEPT,0,88,451,15947,0,0,142,0,0,0,0
25,0,1,1,ACCEPT,67.3345,8.8667,133,0,-2,0.7444,242.69,722.34,28.00,28.00,243.00,722.00,28.00,28.00,0.9545,0.46,1,0,3.2481,ACCEPT,0,107,464,17410,0,0,133,0,0,0,0
26,0,1,1,ACCEPT,76.4523,8.8824,151,0,-1,0.9404,242.69,721.69,28.00,28.00,244.00,720.00,28.00,28.00,0.8111,2.14,1,0,3.2784,ACCEPT,0,101,469,15764,0,0,151,0,0,0,0
27,0,1,1,ACCEPT,68.3113,7.8889,142,0,-4,0.0775,242.69,719.06,28.00,28.00,243.00,719.00,28.00,28.00,0.9736,0.32,1,0,3.2925,ACCEPT,0,105,499,18331,0,0,142,0,0,0,0
28,0,1,1,ACCEPT,69.8344,6.8077,177,0,-2,0.4972,242.69,717.75,28.00,28.00,244.00,716.00,28.00,28.00,0.8076,2.19,1,0,3.3018,ACCEPT,0,153,498,21956,0,0,177,0,0,0,0
29,0,1,1,ACCEPT,69.4902,7.5667,227,0,-5,0.0044,242.69,714.47,28.00,28.00,243.00,714.00,28.00,28.00,0.9461,0.56,1,0,3.2933,ACCEPT,0,162,490,19094,0,0,227,0,0,0,0
30,0,1,1,ACCEPT,71.2455,7.2963,197,0,-3,0.4569,242.69,712.50,28.00,28.00,244.00,711.00,28.00,28.00,0.8216,1.99,1,0,3.2757,ACCEPT,0,157,499,18474,0,0,197,0,0,0,0
31,0,1,1,ACCEPT,60.2011,6.7333,202,0,-4,0.0545,242.69,709.88,28.00,28.00,243.00,709.00,28.00,28.00,0.9193,0.93,1,0,3.2790,ACCEPT,0,171,486,18104,0,0,202,0,0,0,0
32,0,1,1,ACCEPT,61.9349,5.9143,207,0,-6,0.0435,242.69,705.94,28.00,28.00,243.00,706.00,28.00,28.00,0.9736,0.32,1,0,3.2747,ACCEPT,0,171,488,18925,0,0,207,0,0,0,0
33,0,1,1,ACCEPT,68.1249,5.7500,230,0,-3,0.1435,242.69,703.97,28.00,28.00,243.00,703.00,28.00,28.00,0.9132,1.02,1,0,3.2770,ACCEPT,0,155,494,17033,0,0,230,0,0,0,0
34,0,1,1,ACCEPT,61.0681,8.3333,200,0,-7,0.0100,242.69,699.38,28.00,28.00,243.00,698.00,28.00,28.00,0.8873,1.41,1,0,3.2772,ACCEPT,0,166,495,17891,0,0,200,0,0,0,0
35,0,1,1,ACCEPT,67.0067,7.0909,234,1,-5,0.0427,243.34,696.09,28.00,28.00,244.00,694.00,28.00,28.00,0.8240,2.19,1,0,3.2266,ACCEPT,0,178,510,15629,0,0,234,0,0,0,0
36,0,1,1,ACCEPT,66.2492,7.5333,226,0,-6,0.0708,243.34,692.16,28.00,28.00,244.00,691.00,28.00,28.00,0.8801,1.33,1,0,3.2293,ACCEPT,0,176,402,21564,0,0,226,0,0,0,0
37,0,1,1,ACCEPT,55.4014,5.1224,251,0,-9,0.0279,243.34,686.25,28.00,28.00,243.00,685.00,28.00,28.00,0.8933,1.30,1,0,3.2253,ACCEPT,0,203,387,19688,0,0,251,0,0,0,0
38,0,1,1,ACCEPT,58.5671,5.5319,260,0,-6,0.0538,243.34,682.31,28.00,28.00,243.00,682.00,28.00,28.00,0.9545,0.46,1,0,3.2221,ACCEPT,0,193,399,18205,0,0,260,0,0,0,0
39,0,1,1,ACCEPT,47.4083,4.4182,243,0,-9,0.0165,243.34,676.41,28.00,28.00,243.00,675.00,28.00,28.00,0.8834,1.45,1,0,3.2407,ACCEPT,0,196,419,14596,0,0,243,0,0,0,0
40,0,1,1,ACCEPT,35.5668,3.9444,213,-1,-7,0.0329,242.69,671.81,28.00,28.00,244.00,669.00,28.00,28.00,0.7504,3.10,1,0,3.2254,ACCEPT,0,257,371,11696,0,0,213,0,0,0,0
41,0,1,1,ACCEPT,28.1875,2.4133,181,-3,-7,0.0552,240.72,667.22,28.00,28.00,243.00,666.00,28.00,28.00,0.7834,2.59,1,0,2.8416,ACCEPT,0,186,388,16262,0,0,181,0,0,0,0
42,0,1,1,ACCEPT,15.6994,2.0393,363,1,-11,0.0744,241.38,660.00,28.00,28.00,243.00,658.00,28.00,28.00,0.7773,2.58,1,0,3.2063,ACCEPT,0,1479,301,11905,0,0,363,0,0,0,0
43,0,1,1,ACCEPT,41.7854,3.7273,328,1,-8,0.0305,242.03,654.75,28.00,28.00,243.00,654.00,28.00,28.00,0.8860,1.23,1,0,3.2882,ACCEPT,0,341,419,10693,0,0,328,0,0,0,0
44,0,1,1,ACCEPT,32.1870,2.8487,339,0,-14,0.0324,242.03,645.56,28.00,28.00,242.00,646.00,28.00,28.00,0.9671,0.44,1,0,3.3317,ACCEPT,0,300,417,11849,0,0,339,0,0,0,0
45,0,1,1,ACCEPT,22.1705,1.5444,278,-1,-8,0.1007,241.38,640.31,28.00,28.00,242.00,641.00,28.00,28.00,0.9114,0.93,1,0,3.1319,ACCEPT,0,588,414,9723,0,0,278,0,0,0,0
