frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,497.00,640.00,406.00,224.00,497.00,640.00,406.00,224.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,11601,10581,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,35.4002,5.6724,329,0,2,0.5471,497.00,650.50,406.00,224.00,504.00,650.00,414.00,228.00,0.9496,7.02,1,0,2.9488,ACCEPT,0,339,10603,11371,0,0,329,0,0,0,0
2,0,1,1,ACCEPT,10.7822,1.7538,228,0,6,0.0833,497.00,682.00,422.24,232.96,504.50,681.50,429.00,229.00,0.9494,7.52,1,1,2.0462,ACCEPT,0,1195,10152,8323,0,0,228,0,0,0,0
3,0,1,1,ACCEPT,12.0993,1.6564,270,0,3,0.5037,497.00,698.38,422.24,232.96,498.50,698.00,441.00,220.00,0.9063,1.55,1,0,2.0031,ACCEPT,0,887,9641,8523,0,0,270,0,0,0,0
4,0,1,1,ACCEPT,10.6150,1.2791,330,-1,-1,0.7788,487.10,692.92,422.24,232.96,492.50,699.00,453.00,200.00,0.8080,8.13,1,1,1.6941,LOW_CONF,0,1070,9157,9263,0,0,330,0,0,0,0
5,0,1,1,ACCEPT,12.5661,1.5462,368,-1,1,0.8397,477.20,698.38,406.00,224.00,493.50,715.50,415.00,193.00,0.7892,23.63,1,-1,2.3435,ACCEPT,0,920,8586,8785,0,0,368,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-7.4506,1.1401,-236,-2,21,0.4195,477.20,698.38,406.00,224.00,466.50,732.50,271.00,185.00,0.4865,35.76,0,0,0.0000,NOT_RUN,0,1099,8438,0,0,0,236,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-7.9512,1.2163,-253,0,19,0.2846,477.20,698.38,406.00,224.00,418.00,719.00,254.00,174.00,0.4860,62.69,0,0,0.0000,NOT_RUN,0,1068,7973,0,0,0,253,0,0,0,0
8,0,1,1,ACCEPT,8.4121,1.1963,256,14,7,0.1523,610.42,735.13,390.38,215.38,407.50,705.00,307.00,184.00,0.2133,205.15,1,-1,2.1308,ACCEPT,0,1030,6739,7905,0,0,256,0,0,0,0
9,0,1,1,ACCEPT,11.1404,1.3732,379,3,0,0.2665,637.87,735.13,390.38,215.38,404.00,703.00,344.00,190.00,0.1795,236.06,1,0,2.3740,ACCEPT,0,959,6898,7455,0,0,379,0,0,0,0
10,0,1,1,ACCEPT,10.9519,1.3789,353,3,2,0.5921,665.31,745.23,390.38,215.38,414.00,718.50,372.00,203.00,0.1744,252.73,1,1,1.4966,LOW_CONF,0,977,7469,8434,0,0,353,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-8.5026,1.0298,-311,-6,17,0.9228,665.31,745.23,390.38,215.38,425.00,733.00,382.00,204.00,0.2163,240.62,0,0,0.0000,NOT_RUN,0,1050,7645,0,0,0,311,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-7.8413,1.1941,-326,-6,13,0.0951,665.31,745.23,390.38,215.38,435.00,725.50,404.00,183.00,0.2339,231.16,0,0,0.0000,NOT_RUN,0,1190,6986,0,0,0,326,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-7.3224,1.0283,-327,-14,8,0.4037,665.31,745.23,390.38,215.38,445.00,727.00,426.00,176.00,0.2625,221.07,0,0,0.0000,NOT_RUN,0,1330,6163,0,0,0,327,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-7.6421,1.1316,-301,-19,4,0.0797,665.31,745.23,390.38,215.38,417.00,713.50,392.00,165.00,0.1795,250.33,0,0,0.0000,NOT_RUN,0,1189,5218,0,0,0,301,0,0,0,0
15,0,1,1,ACCEPT,10.6525,1.1677,369,-9,-14,0.4851,582.98,674.57,390.38,215.38,395.00,705.50,344.00,161.00,0.2533,190.50,1,9,1.6287,MAX_STEP,0,1101,4526,12950,0,0,369,0,0,0,0
16,0,1,1,ACCEPT,9.6461,1.1657,394,-1,4,0.2310,573.83,694.76,406.00,224.00,390.00,726.00,236.00,170.00,0.2099,186.46,1,1,2.4493,ACCEPT,0,1291,3414,9141,0,0,394,0,0,0,0
17,0,1,1,ACCEPT,11.1363,1.3320,337,-14,-2,0.1098,440.61,684.26,390.38,215.38,363.00,735.00,188.00,170.00,0.2987,92.73,1,-1,2.3545,ACCEPT,0,931,3019,9374,0,0,337,0,0,0,0
18,0,1,1,ACCEPT,10.9492,1.0955,344,-1,-2,0.7878,431.46,674.16,390.38,215.38,351.50,724.50,217.00,179.00,0.3500,94.49,1,0,2.4392,ACCEPT,0,973,3341,8872,0,0,344,0,0,0,0
19,0,1,1,ACCEPT,13.3866,1.1924,409,0,1,0.9902,431.46,679.21,406.00,224.00,353.50,716.00,231.00,192.00,0.4131,86.21,1,1,2.0268,ACCEPT,0,904,3314,8783,0,0,409,0,0,0,0
20,0,1,1,ACCEPT,14.4591,1.2914,390,-1,2,0.4256,421.95,689.71,406.00,224.00,357.00,724.00,234.00,200.00,0.4325,73.44,1,0,2.4177,ACCEPT,0,820,3471,8313,0,0,390,0,0,0,0
21,0,1,1,ACCEPT,14.8329,1.6262,348,0,-1,0.9052,421.95,684.46,406.00,224.00,351.50,718.00,245.00,198.00,0.4530,78.02,1,0,2.3837,ACCEPT,0,670,3603,8057,0,0,348,0,0,0,0
22,0,1,1,ACCEPT,12.5315,1.4734,305,-1,-3,0.5639,412.43,668.71,406.00,224.00,349.50,701.50,263.00,191.00,0.4825,70.96,1,5,2.4961,MAX_STEP,0,793,3723,8467,0,0,305,0,0,0,0
23,0,1,1,ACCEPT,11.6917,1.0193,370,-11,10,0.9622,307.76,721.21,406.00,224.00,353.00,702.00,278.00,174.00,0.5319,49.15,1,0,2.9564,ACCEPT,0,920,3841,8293,0,0,370,0,0,0,0
24,0,1,1,ACCEPT,12.6720,1.2093,364,12,-10,0.3462,421.95,668.71,439.13,242.28,356.50,704.00,289.00,154.00,0.4183,74.35,1,2,2.2110,ACCEPT,0,875,5244,6413,0,0,364,0,0,0,0
