frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,207.50,550.50,25.00,29.00,207.50,550.50,25.00,29.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,6140,3989,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,33.6532,4.1750,167,10,-4,0.1856,213.36,547.78,25.00,29.00,213.50,548.00,27.00,30.00,0.8951,0.26,1,0,3.2246,ACCEPT,0,219,5840,3975,0,0,167,0,0,0,0
2,0,1,1,ACCEPT,30.0009,3.6346,189,14,-2,0.2487,221.56,546.42,25.00,29.00,220.00,546.00,26.00,30.00,0.8562,1.62,1,0,3.2339,ACCEPT,0,264,4986,5129,0,0,189,0,0,0,0
3,0,1,1,ACCEPT,32.3077,3.9630,321,12,-2,0.1277,228.59,545.06,25.00,29.00,227.50,543.00,29.00,32.00,0.7547,2.33,1,0,3.2431,ACCEPT,0,531,4672,4288,0,0,321,0,0,0,0
4,0,1,1,ACCEPT,30.0776,4.1139,325,12,-3,0.0338,235.62,543.02,25.00,29.00,235.00,541.50,26.00,29.00,0.8592,1.65,1,0,3.2318,ACCEPT,0,354,4526,4216,0,0,325,0,0,0,0
5,0,1,1,ACCEPT,28.0823,3.8049,312,12,-3,0.1186,242.66,540.98,25.00,29.00,242.00,540.00,26.00,28.00,0.8885,1.18,1,0,3.1593,ACCEPT,0,313,4339,4083,0,0,312,0,0,0,0
6,0,1,1,ACCEPT,27.1639,3.0870,284,12,-2,0.2183,249.69,539.62,25.00,29.00,249.50,539.00,25.00,28.00,0.9431,0.65,1,0,3.1018,ACCEPT,0,316,4184,4515,0,0,284,0,0,0,0
7,0,1,1,ACCEPT,26.6652,2.7338,380,10,0,0.1658,255.55,539.62,25.00,29.00,255.50,539.00,25.00,28.00,0.9536,0.63,1,0,2.9651,ACCEPT,0,547,3974,4763,0,0,380,0,0,0,0
8,0,1,1,ACCEPT,25.8327,2.8525,522,9,2,0.0172,260.82,540.98,25.00,29.00,261.00,540.00,26.00,32.00,0.8714,1.00,1,0,2.8111,ACCEPT,0,743,3955,4451,0,0,522,0,0,0,0
9,0,1,1,ACCEPT,27.8505,2.6078,605,7,3,0.0777,264.92,543.02,25.00,29.00,263.50,542.50,25.00,29.00,0.8624,1.52,1,0,2.8571,ACCEPT,0,714,3761,4620,0,0,605,0,0,0,0
10,0,1,1,ACCEPT,31.4137,2.2013,689,5,6,0.0856,267.85,547.10,25.00,29.00,266.50,545.50,25.00,29.00,0.8078,2.10,1,0,2.9082,ACCEPT,0,642,3666,5217,0,0,689,0,0,0,0
11,0,1,1,ACCEPT,30.9873,2.0245,745,3,9,0.1208,269.61,553.22,25.00,29.00,270.00,551.50,24.00,29.00,0.8545,1.76,1,0,3.1028,ACCEPT,0,688,3421,5125,0,0,745,0,0,0,0
12,0,1,1,ACCEPT,33.4241,2.2468,692,3,12,0.0072,271.37,561.38,25.00,29.00,272.00,560.00,24.00,28.00,0.8637,1.51,1,0,3.2729,ACCEPT,0,543,3386,5211,0,0,692,0,0,0,0
13,0,1,1,ACCEPT,33.1652,2.1264,757,5,13,0.0198,274.30,570.21,25.00,29.00,275.00,569.00,24.00,30.00,0.8722,1.40,1,0,3.2017,ACCEPT,0,553,3203,6374,0,0,757,0,0,0,0
14,0,1,1,ACCEPT,29.1894,1.7967,769,6,13,0.0468,277.81,579.05,25.00,29.00,277.50,577.00,25.00,28.00,0.8460,2.07,1,0,3.1262,ACCEPT,0,671,3110,5110,0,0,769,0,0,0,0
15,0,1,1,ACCEPT,30.8198,1.7430,624,2,15,0.0865,278.98,589.24,25.00,29.00,280.00,587.50,24.00,27.00,0.8153,2.02,1,0,3.2061,ACCEPT,0,500,3057,4882,0,0,624,0,0,0,0
16,0,1,1,ACCEPT,29.4274,1.6414,563,2,18,0.0480,280.16,601.48,25.00,29.00,280.00,598.50,22.00,27.00,0.7164,2.98,1,0,3.2622,ACCEPT,0,463,2798,4961,0,0,563,0,0,0,0
17,0,1,1,ACCEPT,27.8887,1.7676,578,2,16,0.0969,281.33,612.35,25.00,29.00,281.50,610.00,23.00,28.00,0.7835,2.36,1,0,3.1988,ACCEPT,0,505,2549,5463,0,0,578,0,0,0,0
18,0,1,1,ACCEPT,24.8634,1.6982,557,3,16,0.0072,283.09,623.23,25.00,29.00,282.50,622.00,21.00,28.00,0.7737,1.36,1,0,3.1227,ACCEPT,0,557,2357,5189,0,0,557,0,0,0,0
