frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2121,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,45.6631,5.9214,829,10,14,0.0591,594.78,77.31,46.00,68.00,595.00,78.00,46.00,68.00,0.9708,0.72,1,0,3.2790,ACCEPT,0,685,2104,32767,0,0,829,0,0,0,0
2,0,1,1,ACCEPT,29.4027,3.8916,790,9,15,0.0089,604.48,101.22,46.00,68.00,604.00,102.00,46.00,70.00,0.9515,0.92,1,0,3.1838,ACCEPT,0,907,2556,32767,0,0,790,0,0,0,0
3,0,1,1,ACCEPT,20.6005,2.4154,657,9,15,0.0563,614.19,125.12,46.00,68.00,615.00,127.00,48.00,70.00,0.9081,2.04,1,0,3.2451,ACCEPT,0,1007,2797,32767,0,0,657,0,0,0,0
4,0,1,1,ACCEPT,18.4174,2.3994,775,8,15,0.0852,622.81,149.03,46.00,68.00,623.00,152.50,48.00,69.00,0.8674,3.47,1,0,3.3369,ACCEPT,0,1260,2900,32767,0,0,775,0,0,0,0
5,0,1,1,ACCEPT,16.9328,2.2385,732,8,16,0.0178,631.44,174.53,46.00,68.00,631.00,179.50,48.00,71.00,0.8321,4.99,1,0,3.2683,ACCEPT,0,1340,2497,32767,0,0,732,0,0,0,0
6,0,1,1,ACCEPT,15.1700,2.0355,631,7,16,0.1743,638.98,200.03,46.00,68.00,639.50,205.00,45.00,70.00,0.8478,5.00,1,0,3.2491,ACCEPT,0,1213,2285,32767,0,0,631,0,0,0,0
7,0,1,1,ACCEPT,13.3751,1.9119,499,6,17,0.0120,645.45,227.12,46.00,68.00,646.00,233.00,46.00,70.00,0.8248,5.90,1,0,3.3448,ACCEPT,0,1143,2017,32767,0,0,499,0,0,0,0
8,0,1,1,ACCEPT,12.7260,1.7460,550,7,18,0.0309,653.00,255.81,46.00,68.00,653.50,260.50,43.00,71.00,0.8211,4.71,1,0,3.2813,ACCEPT,0,1237,2107,32767,0,0,550,0,0,0,0
9,0,1,1,ACCEPT,11.8170,1.5868,649,6,18,0.0231,659.47,284.50,46.00,68.00,660.50,291.00,45.00,70.00,0.7944,6.58,1,0,3.3157,ACCEPT,0,1543,2990,23425,0,0,649,0,0,0,0
10,0,1,1,ACCEPT,11.4894,1.5920,554,7,19,0.0848,667.02,314.78,46.00,68.00,667.00,322.50,46.00,69.00,0.7970,7.72,1,0,3.3397,ACCEPT,0,1374,3204,24489,0,0,554,0,0,0,0
11,0,1,1,ACCEPT,12.5625,1.6430,672,5,21,0.1414,672.41,348.25,46.00,68.00,674.50,355.00,47.00,68.00,0.7547,7.07,1,0,3.4760,ACCEPT,0,1725,3514,21585,0,0,672,0,0,0,0
12,0,1,1,ACCEPT,12.7943,1.5019,778,5,20,0.2005,677.80,380.12,46.00,68.00,679.00,388.00,48.00,68.00,0.7568,7.97,1,0,3.5174,ACCEPT,0,1718,3456,25370,0,0,778,0,0,0,0
13,0,1,1,ACCEPT,13.4180,1.7235,910,2,20,0.2747,679.95,412.00,46.00,68.00,684.00,421.50,50.00,65.00,0.6469,10.33,1,0,3.4818,ACCEPT,0,1991,2315,32767,0,0,910,0,0,0,0
14,0,1,1,ACCEPT,14.3213,1.9459,1043,2,21,0.1841,682.11,445.47,46.00,68.00,686.00,455.00,52.00,64.00,0.6517,10.29,1,0,3.4394,ACCEPT,0,1875,1845,32767,0,0,1043,0,0,0,0
15,0,1,1,ACCEPT,14.5681,1.7046,1033,1,20,0.2885,683.19,477.34,46.00,68.00,687.00,487.00,54.00,64.00,0.6492,10.38,1,0,3.3590,ACCEPT,0,1720,1908,32767,0,0,1033,0,0,0,0
16,0,1,1,ACCEPT,14.0689,1.6515,981,-1,20,0.2712,682.11,509.22,46.00,68.00,686.00,519.00,56.00,64.00,0.6268,10.53,1,0,3.1645,ACCEPT,0,1967,1980,29421,0,0,981,0,0,0,0
17,0,1,1,ACCEPT,11.7937,1.4335,754,-2,20,0.4629,679.95,541.09,46.00,68.00,682.50,550.00,59.00,64.00,0.6140,9.26,1,0,3.3791,ACCEPT,0,2719,1862,28736,0,0,754,0,0,0,0
18,0,1,1,ACCEPT,11.5384,1.5202,751,-4,19,0.3422,675.64,571.38,46.00,68.00,678.50,580.50,61.00,63.00,0.5924,9.56,1,0,3.3108,ACCEPT,0,2242,3080,21131,0,0,751,0,0,0,0
19,0,1,1,ACCEPT,12.5491,1.5349,769,-5,20,0.4096,670.25,603.25,46.00,68.00,673.50,610.50,61.00,63.00,0.6244,7.95,1,0,3.3445,ACCEPT,0,1947,3722,17934,0,0,769,0,0,0,0
20,0,1,1,ACCEPT,12.4281,1.4552,780,-5,18,0.6833,664.86,631.94,46.00,68.00,667.50,639.50,63.00,63.00,0.6014,8.01,1,0,3.3061,ACCEPT,0,2204,3562,21310,0,0,780,0,0,0,0
21,0,1,1,ACCEPT,12.8258,1.6621,841,-6,18,0.5993,658.39,660.62,46.00,68.00,661.50,667.50,63.00,61.00,0.6136,7.55,1,0,3.3702,ACCEPT,0,2010,2879,26676,0,0,841,0,0,0,0
22,0,1,1,ACCEPT,14.4596,1.8076,949,-5,17,0.5047,653.00,687.72,46.00,68.00,654.00,693.50,64.00,61.00,0.6237,5.87,1,0,3.4620,ACCEPT,0,2079,2347,29044,0,0,949,0,0,0,0
23,0,1,1,ACCEPT,16.6664,2.2553,1060,-6,14,0.1745,646.53,710.03,46.00,68.00,647.50,716.50,63.00,59.00,0.6214,6.54,1,0,3.4324,ACCEPT,0,1842,1475,32095,0,0,1060,0,0,0,0
24,0,1,1,ACCEPT,19.1448,2.7306,1267,-6,13,0.0103,640.06,730.75,46.00,68.00,642.50,737.00,63.00,58.00,0.6258,6.71,1,0,3.3329,ACCEPT,0,2589,871,32615,0,0,1267,0,0,0,0
25,0,1,1,ACCEPT,22.9600,3.0981,1484,-4,12,0.1301,635.75,749.88,46.00,68.00,638.00,756.00,62.00,58.00,0.6369,6.53,1,0,3.4076,ACCEPT,0,2125,639,32767,0,0,1484,0,0,0,0
26,0,1,1,ACCEPT,23.8136,2.9072,1503,-4,12,0.1257,631.44,769.00,46.00,68.00,633.50,774.00,61.00,56.00,0.6492,5.41,1,0,3.3640,ACCEPT,0,1734,1036,29748,0,0,1503,0,0,0,0
27,0,1,1,ACCEPT,25.6854,3.4406,1507,-3,12,0.1029,628.20,788.12,46.00,68.00,629.50,793.50,59.00,55.00,0.6583,5.53,1,0,3.3624,ACCEPT,0,2325,2129,18224,0,0,1507,0,0,0,0
28,0,1,1,ACCEPT,25.7442,3.7873,1193,-4,12,0.1123,623.89,807.25,46.00,68.00,625.50,812.00,61.00,54.00,0.6308,5.02,1,0,3.2284,ACCEPT,0,2072,2250,16962,0,0,1193,0,0,0,0
29,0,1,1,ACCEPT,27.2099,3.7061,1097,-3,12,0.0000,620.66,826.38,46.00,68.00,621.50,830.50,59.00,53.00,0.6387,4.21,1,0,3.3056,ACCEPT,0,1317,2012,17209,0,0,1097,0,0,0,0
30,0,1,1,ACCEPT,25.0980,3.5931,1042,-3,12,0.1180,617.42,845.50,46.00,68.00,618.50,848.50,57.00,51.00,0.6359,3.19,1,0,3.2617,ACCEPT,0,1398,1514,17535,0,0,1042,0,0,0,0
31,0,1,1,ACCEPT,24.4038,3.4385,1231,-2,10,0.0690,615.27,861.44,46.00,68.00,615.00,865.50,56.00,51.00,0.6449,4.07,1,0,3.4222,ACCEPT,0,1713,1494,16206,0,0,1231,0,0,0,0
32,0,1,1,ACCEPT,27.1106,4.1816,1497,-3,11,0.0307,612.03,878.97,46.00,68.00,612.00,882.50,56.00,49.00,0.6230,3.53,1,0,3.3460,ACCEPT,0,2092,1378,18599,0,0,1497,0,0,0,0
33,0,1,1,ACCEPT,26.7397,4.2172,1573,-3,10,0.0299,608.80,894.91,46.00,68.00,609.50,898.00,53.00,48.00,0.6374,3.17,1,0,3.0854,ACCEPT,0,2692,2129,13010,0,0,1573,0,0,0,0
34,0,1,1,ACCEPT,24.6286,3.2836,1320,-3,10,0.1121,605.56,910.84,44.23,65.38,605.50,915.00,53.00,48.00,0.6408,4.16,1,-1,2.9255,ACCEPT,0,2336,2728,9218,0,0,1320,0,0,0,0
35,0,1,1,ACCEPT,24.9895,3.8047,1130,-4,10,0.0956,601.41,926.16,42.53,62.87,602.50,930.00,51.00,46.00,0.6386,4.00,1,-1,2.9405,ACCEPT,0,1704,2355,9251,0,0,1130,0,0,0,0
36,0,1,1,ACCEPT,25.3992,4.0154,1305,-1,10,0.0084,600.41,940.92,42.53,62.87,600.50,944.50,49.00,45.00,0.6455,3.58,1,0,3.3584,ACCEPT,0,1674,1770,14968,0,0,1305,0,0,0,0
37,0,1,1,ACCEPT,28.1218,3.9156,1903,-3,9,0.0641,597.41,954.21,40.89,60.45,599.50,958.50,47.00,45.00,0.6699,4.77,1,-1,3.0830,ACCEPT,0,2244,1079,19360,0,0,1903,0,0,0,0
38,0,1,1,ACCEPT,26.5709,3.9834,1924,-2,9,0.0468,595.48,966.94,40.89,60.45,596.50,970.50,45.00,43.00,0.6639,3.70,1,0,3.2349,ACCEPT,0,2235,865,24113,0,0,1924,0,0,0,0
39,0,1,1,ACCEPT,23.6051,3.5083,1698,-3,8,0.0565,592.60,978.25,39.32,58.13,595.00,982.00,44.00,42.00,0.6637,4.45,1,-1,3.0959,ACCEPT,0,2095,925,20413,0,0,1698,0,0,0,0
40,0,1,1,ACCEPT,22.6889,3.3376,1562,-3,8,0.1312,589.84,989.12,37.81,55.89,591.50,993.00,43.00,42.00,0.6812,4.22,1,-1,3.0875,ACCEPT,0,2058,1199,18473,0,0,1562,0,0,0,0
41,0,1,1,ACCEPT,21.6097,3.3659,1656,-3,8,0.1190,587.19,999.62,37.81,55.89,588.50,1003.00,41.00,42.00,0.7066,3.62,1,0,3.1231,ACCEPT,0,2639,1351,13672,0,0,1656,0,0,0,0
42,0,1,1,ACCEPT,19.0706,2.8978,1304,-3,7,0.1273,584.54,1008.81,37.81,55.89,586.00,1012.50,38.00,41.00,0.6864,3.97,1,0,3.2554,ACCEPT,0,2399,1311,12154,0,0,1304,0,0,0,0
43,0,1,1,ACCEPT,18.7082,2.3487,1475,-6,6,0.0712,579.24,1016.69,37.81,55.89,580.50,1022.00,35.00,40.00,0.6625,5.46,1,0,2.8758,ACCEPT,0,3005,1209,12687,0,0,1475,0,0,0,0
44,0,1,1,ACCEPT,14.8593,2.1657,1451,-4,7,0.0517,575.71,1025.88,37.81,55.89,575.00,1030.00,32.00,40.00,0.6057,4.19,1,0,3.2797,ACCEPT,0,2991,1288,13321,0,0,1451,0,0,0,0
45,0,1,1,ACCEPT,14.1006,2.1813,1516,-7,6,0.0435,569.53,1033.75,37.81,55.89,571.00,1036.50,30.00,39.00,0.5537,3.12,1,0,3.0666,ACCEPT,0,3373,1316,14856,0,0,1516,0,0,0,0
46,0,1,1,ACCEPT,13.9753,2.1810,1446,-5,4,0.0685,565.12,1039.00,37.81,55.89,565.50,1043.00,27.00,38.00,0.4855,4.02,1,0,2.9865,ACCEPT,0,3430,1063,17001,0,0,1446,0,0,0,0
47,0,1,1,ACCEPT,14.3351,2.4944,1554,-8,6,0.0495,558.05,1046.88,37.81,55.89,557.00,1050.50,28.00,39.00,0.5168,3.78,1,0,3.0726,ACCEPT,0,3433,923,17120,0,0,1554,0,0,0,0
48,0,1,1,ACCEPT,11.5474,1.6520,1125,-10,5,0.1484,549.23,1053.44,36.35,53.74,548.00,1058.50,24.00,37.00,0.4545,5.21,1,-1,3.0493,ACCEPT,0,2310,1197,18285,0,0,1125,0,0,0,0
49,0,1,1,ACCEPT,11.2152,1.7177,1089,-13,6,0.1258,538.16,1060.98,34.96,51.67,536.00,1064.50,22.00,37.00,0.4506,4.12,1,-1,2.9571,ACCEPT,0,3460,1354,18218,0,0,1089,0,0,0,0
50,0,1,1,ACCEPT,10.9715,1.7402,978,-13,5,0.0542,527.49,1067.04,34.96,51.67,525.00,1071.50,22.00,35.00,0.4263,5.11,1,0,3.2077,ACCEPT,0,3112,1333,17215,0,0,978,0,0,0,0
51,0,1,1,ACCEPT,10.4733,1.6390,790,-13,5,0.1291,516.83,1073.09,34.96,51.67,515.00,1075.50,22.00,33.00,0.4019,3.02,1,0,3.1705,ACCEPT,0,2106,1009,19248,0,0,790,0,0,0,0
52,0,1,1,ACCEPT,11.5426,1.5036,836,-12,3,0.0742,506.98,1076.73,34.96,51.67,506.00,1079.00,22.00,32.00,0.3897,2.48,1,0,3.0976,ACCEPT,0,2271,839,24486,0,0,836,0,0,0,0
53,0,1,1,ACCEPT,8.7282,1.0499,631,-12,3,0.3296,497.14,1080.36,34.96,51.67,496.50,1084.00,23.00,34.00,0.4329,3.70,1,0,3.1390,ACCEPT,0,2937,932,24617,0,0,631,0,0,0,0
54,0,1,1,ACCEPT,10.3909,1.2727,672,-11,2,0.0476,488.12,1082.78,33.61,49.69,486.00,1086.50,22.00,33.00,0.4347,4.28,1,-1,3.0319,ACCEPT,0,1754,773,26773,0,0,672,0,0,0,0
55,0,1,1,ACCEPT,8.8926,1.3151,505,-11,0,0.2436,479.44,1082.78,32.32,47.78,477.50,1087.50,23.00,33.00,0.4916,5.10,1,-1,2.2728,ACCEPT,0,2332,962,24105,0,0,505,0,0,0,0
56,0,1,1,ACCEPT,7.2946,1.0592,340,-11,1,0.1382,471.10,1083.90,31.08,45.94,470.00,1088.00,20.00,32.00,0.4483,4.25,1,-1,2.5337,ACCEPT,0,1545,819,23087,0,0,340,0,0,0,0
57,0,1,0,NEGATIVE_PEAK,-7.1334,1.1279,-247,-9,13,0.0526,471.10,1083.90,31.08,45.94,461.50,1087.50,21.00,31.00,0.3247,10.25,0,0,0.0000,NOT_RUN,0,1154,692,0,0,0,247,0,0,0,0
58,0,1,1,ACCEPT,6.1942,1.0205,199,14,-3,0.3518,481.27,1080.66,31.08,45.94,455.50,1088.50,23.00,31.00,0.0184,26.94,1,0,3.1046,ACCEPT,0,1167,748,23162,0,0,199,0,0,0,0
59,0,1,1,ACCEPT,7.9446,1.2781,239,-3,-8,0.1046,479.09,1072.04,31.08,45.94,450.00,1088.50,18.00,31.00,0.0000,33.43,1,0,3.0150,ACCEPT,0,1029,942,20005,0,0,239,0,0,0,0
60,0,1,1,ACCEPT,10.2313,1.6237,302,-2,-7,0.0596,477.64,1064.49,29.88,44.17,442.00,1087.00,14.00,30.00,0.0000,42.15,1,-1,3.1693,ACCEPT,0,947,908,20263,0,0,302,0,0,0,0
61,0,1,1,ACCEPT,11.0833,1.7083,328,-5,-8,0.0610,474.12,1056.18,29.88,44.17,436.00,1085.50,16.00,29.00,0.0000,48.10,1,0,3.4280,ACCEPT,0,1041,834,18351,0,0,328,0,0,0,0
62,0,1,1,ACCEPT,13.6094,2.1148,387,-3,-7,0.0155,472.02,1048.91,29.88,44.17,428.50,1087.00,19.00,30.00,0.0000,57.83,1,0,3.4862,ACCEPT,0,986,794,18164,0,0,387,0,0,0,0
