frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,169.00,182.00,334.00,96.00,169.00,182.00,334.00,96.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2509,15532,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,66.6595,11.0000,264,0,0,1.0000,169.00,182.00,334.00,96.00,170.00,184.00,334.00,94.00,0.9532,2.24,1,0,3.2543,ACCEPT,0,213,2326,16390,0,0,264,0,0,0,0
2,0,1,1,ACCEPT,37.4148,7.4390,305,0,-1,0.8262,169.00,179.75,334.00,96.00,170.00,181.00,336.00,94.00,0.9684,1.60,1,0,3.1815,ACCEPT,0,352,2207,14113,0,0,305,0,0,0,0
3,0,1,1,ACCEPT,32.6892,4.8421,276,0,-2,0.7899,169.00,175.25,321.15,92.31,171.00,179.00,334.00,94.00,0.8881,4.25,1,-1,2.9226,ACCEPT,0,287,2054,13782,0,0,276,0,0,0,0
4,0,1,1,ACCEPT,33.7712,3.6667,330,0,0,1.0000,169.00,175.25,321.15,92.31,171.50,174.00,335.00,94.00,0.9334,2.80,1,0,2.8696,ACCEPT,0,364,1913,12354,0,0,330,0,0,0,0
5,0,1,1,ACCEPT,29.8138,3.4000,306,-1,-1,0.8791,161.48,173.09,321.15,92.31,175.00,172.50,326.00,89.00,0.8883,13.54,1,0,2.4865,ACCEPT,0,339,1703,12427,0,0,306,0,0,0,0
6,0,1,1,ACCEPT,24.0628,2.8969,281,1,1,0.9537,169.00,175.25,321.15,92.31,174.50,173.50,331.00,97.00,0.9201,5.77,1,0,2.7925,ACCEPT,0,338,1655,13008,0,0,281,0,0,0,0
7,0,1,1,ACCEPT,25.5926,3.2151,299,1,0,0.9833,176.52,175.25,321.15,92.31,184.00,178.00,314.00,106.00,0.8344,7.97,1,0,2.7031,ACCEPT,0,346,1626,15499,0,0,299,0,0,0,0
8,0,1,1,ACCEPT,23.5172,2.6935,334,0,-1,0.9132,176.52,173.09,321.15,92.31,194.00,176.50,296.00,109.00,0.7669,17.81,1,0,2.8332,ACCEPT,0,467,1627,13908,0,0,334,0,0,0,0
9,0,1,1,ACCEPT,23.2694,2.6612,322,0,-1,0.9441,176.52,170.92,321.15,92.31,201.50,169.00,283.00,102.00,0.7767,25.05,1,0,2.8944,ACCEPT,0,423,1610,15148,0,0,322,0,0,0,0
10,0,1,1,ACCEPT,25.4914,2.5195,388,0,-1,0.8557,176.52,168.76,321.15,92.31,205.50,160.50,279.00,97.00,0.7037,30.13,1,0,3.1895,ACCEPT,0,476,1582,13635,0,0,388,0,0,0,0
11,0,1,1,ACCEPT,27.7279,3.2784,318,0,-1,0.8176,176.52,166.59,321.15,92.31,207.00,157.50,274.00,95.00,0.6826,31.80,1,0,3.2292,ACCEPT,0,416,1504,11229,0,0,318,0,0,0,0
12,0,1,1,ACCEPT,21.4774,2.4796,243,-1,-2,0.7901,169.00,162.27,321.15,92.31,211.50,152.00,267.00,82.00,0.6008,43.72,1,0,2.5033,ACCEPT,0,400,1487,9273,0,0,243,0,0,0,0
13,0,1,1,ACCEPT,21.6589,2.3229,223,2,1,0.7982,184.05,164.43,308.80,88.76,215.50,148.50,263.00,83.00,0.5661,35.26,1,-1,2.9946,ACCEPT,0,375,1449,9339,0,0,223,0,0,0,0
14,0,1,1,ACCEPT,20.9357,2.7738,233,0,-2,0.7854,184.05,160.27,308.80,88.76,217.00,145.00,262.00,84.00,0.5705,36.32,1,0,3.1020,ACCEPT,0,432,1479,10046,0,0,233,0,0,0,0
15,0,1,1,ACCEPT,23.1319,3.1935,297,0,-1,0.9259,184.05,158.20,308.80,88.76,219.50,142.00,261.00,82.00,0.5469,38.98,1,0,3.1220,ACCEPT,0,477,1472,11426,0,0,297,0,0,0,0
16,0,1,1,ACCEPT,23.6116,3.0256,354,0,-1,0.9435,184.05,156.12,308.80,88.76,223.00,141.00,258.00,80.00,0.5441,41.78,1,0,3.0492,ACCEPT,0,509,1465,10730,0,0,354,0,0,0,0
17,0,1,1,ACCEPT,25.3436,3.2477,354,1,0,0.9689,191.28,156.12,296.92,85.34,226.50,138.00,255.00,82.00,0.5180,39.61,1,-1,3.0235,ACCEPT,0,566,1446,14016,0,0,354,0,0,0,0
18,0,1,1,ACCEPT,24.2451,3.2446,451,0,-1,0.9069,191.28,154.12,285.50,82.06,227.50,138.50,253.00,81.00,0.5378,39.44,1,-1,3.1976,ACCEPT,0,726,1461,12400,0,0,451,0,0,0,0
19,0,1,1,ACCEPT,21.8301,2.8106,371,0,0,1.0000,191.28,154.12,285.50,82.06,230.00,137.50,252.00,83.00,0.5196,42.13,1,0,3.3050,ACCEPT,0,639,1474,12539,0,0,371,0,0,0,0
20,0,1,1,ACCEPT,23.9579,3.2977,432,0,0,1.0000,191.28,154.12,285.50,82.06,229.50,136.50,253.00,81.00,0.5065,42.08,1,0,3.2938,ACCEPT,0,716,1454,9885,0,0,432,0,0,0,0
21,0,1,1,ACCEPT,26.5731,3.6491,416,1,0,0.9736,197.98,154.12,274.52,78.91,232.50,134.50,251.00,87.00,0.4977,39.71,1,-1,3.1707,ACCEPT,0,612,1438,10751,0,0,416,0,0,0,0
22,0,1,1,ACCEPT,25.0701,2.9726,434,0,-1,0.9332,197.98,152.27,274.52,78.91,233.00,134.00,250.00,86.00,0.5104,39.50,1,0,3.1033,ACCEPT,0,699,1446,11161,0,0,434,0,0,0,0
23,0,1,1,ACCEPT,27.1745,3.2465,461,0,0,1.0000,197.98,152.27,274.52,78.91,233.50,133.00,253.00,86.00,0.4973,40.41,1,0,3.1965,ACCEPT,0,559,1466,10360,0,0,461,0,0,0,0
24,0,1,1,ACCEPT,29.8736,3.3309,453,0,0,1.0000,197.98,152.27,274.52,78.91,235.00,133.00,250.00,86.00,0.4920,41.74,1,0,3.2351,ACCEPT,0,513,1487,10096,0,0,453,0,0,0,0
25,0,1,1,ACCEPT,31.2601,3.7040,463,0,0,1.0000,197.98,152.27,274.52,78.91,236.50,133.50,249.00,83.00,0.4880,42.85,1,0,3.2949,ACCEPT,0,580,1464,11605,0,0,463,0,0,0,0
26,0,1,1,ACCEPT,33.4361,4.0379,533,0,0,1.0000,197.98,152.27,274.52,78.91,237.00,131.50,250.00,85.00,0.4670,44.20,1,0,3.2757,ACCEPT,0,592,1449,10857,0,0,533,0,0,0,0
27,0,1,1,ACCEPT,34.5202,4.0079,509,0,0,1.0000,197.98,152.27,274.52,78.91,238.50,131.50,249.00,85.00,0.4622,45.53,1,0,3.2469,ACCEPT,0,558,1445,11830,0,0,509,0,0,0,0
28,0,1,1,ACCEPT,36.1966,4.2955,567,0,0,1.0000,197.98,152.27,274.52,78.91,237.50,132.50,249.00,83.00,0.4733,44.19,1,0,3.2017,ACCEPT,0,580,1448,11359,0,0,567,0,0,0,0
29,0,1,1,ACCEPT,37.1867,5.0000,560,0,0,1.0000,197.98,152.27,274.52,78.91,238.00,131.50,250.00,85.00,0.4639,45.09,1,0,3.1222,ACCEPT,0,559,1439,14920,0,0,560,0,0,0,0
30,0,1,1,ACCEPT,37.1720,5.0986,724,0,0,1.0000,197.98,152.27,274.52,78.91,240.00,133.00,246.00,82.00,0.4689,46.23,1,0,3.0120,ACCEPT,0,708,1457,14884,0,0,724,0,0,0,0
31,0,1,1,ACCEPT,38.5326,5.1149,757,0,0,1.0000,197.98,152.27,274.52,78.91,238.50,133.00,249.00,80.00,0.4711,44.87,1,0,2.9816,ACCEPT,0,749,1446,16848,0,0,757,0,0,0,0
32,0,1,1,ACCEPT,39.5356,4.9649,849,0,0,1.0000,197.98,152.27,274.52,78.91,241.00,134.50,248.00,81.00,0.4816,46.55,1,0,2.9293,ACCEPT,0,802,1462,17815,0,0,849,0,0,0,0
33,0,1,1,ACCEPT,40.3985,4.8396,905,0,0,1.0000,197.98,152.27,274.52,78.91,242.00,133.50,248.00,85.00,0.4731,47.86,1,0,2.9009,ACCEPT,0,816,1452,18653,0,0,905,0,0,0,0
34,0,1,1,ACCEPT,40.5051,4.0617,922,0,0,1.0000,197.98,152.27,274.52,78.91,243.00,135.00,248.00,82.00,0.4822,48.22,1,0,2.8953,ACCEPT,0,820,1483,17265,0,0,922,0,0,0,0
35,0,1,1,ACCEPT,39.6319,4.7965,825,1,1,0.9467,204.41,154.12,274.52,78.91,243.00,133.50,248.00,83.00,0.4663,43.75,1,0,2.8146,ACCEPT,0,786,1485,13889,0,0,825,0,0,0,0
36,0,1,1,ACCEPT,40.7082,4.8561,675,0,0,1.0000,204.41,154.12,274.52,78.91,245.00,135.00,248.00,86.00,0.4817,44.86,1,0,2.8715,ACCEPT,0,611,1477,15542,0,0,675,0,0,0,0
37,0,1,1,ACCEPT,42.3372,5.1419,761,0,0,1.0000,204.41,154.12,274.52,78.91,245.50,135.50,245.00,83.00,0.4806,45.11,1,0,2.9254,ACCEPT,0,672,1475,15660,0,0,761,0,0,0,0
38,0,1,1,ACCEPT,43.1762,4.9740,766,0,0,1.0000,204.41,154.12,274.52,78.91,246.50,136.50,245.00,83.00,0.4887,45.62,1,0,2.9673,ACCEPT,0,639,1498,16281,0,0,766,0,0,0,0
39,0,1,1,ACCEPT,44.1372,4.6627,788,0,0,1.0000,204.41,154.12,274.52,78.91,248.00,135.50,246.00,83.00,0.4727,47.40,1,0,2.9957,ACCEPT,0,651,1495,17341,0,0,788,0,0,0,0
40,0,1,1,ACCEPT,46.6887,5.1899,820,0,0,1.0000,204.41,154.12,274.52,78.91,249.00,137.50,244.00,79.00,0.4856,47.58,1,0,3.0101,ACCEPT,0,656,1490,17771,0,0,820,0,0,0,0
41,0,1,1,ACCEPT,49.0760,5.5743,825,0,0,1.0000,204.41,154.12,274.52,78.91,248.50,136.00,245.00,84.00,0.4779,47.66,1,0,3.0141,ACCEPT,0,637,1490,19903,0,0,825,0,0,0,0
42,0,1,1,ACCEPT,49.2946,5.9128,881,0,1,0.9966,204.41,155.97,274.52,78.91,250.00,137.00,244.00,84.00,0.4635,49.38,1,0,2.9749,ACCEPT,0,682,1490,19263,0,0,881,0,0,0,0
43,0,1,1,ACCEPT,50.1318,6.5538,852,0,-1,0.9871,204.41,154.12,274.52,78.91,248.50,137.00,247.00,84.00,0.4896,47.29,1,0,3.0136,ACCEPT,0,668,1476,21129,0,0,852,0,0,0,0
44,0,1,1,ACCEPT,51.8247,6.8722,914,0,0,1.0000,204.41,154.12,274.52,78.91,249.00,137.00,246.00,86.00,0.4905,47.76,1,0,2.9745,ACCEPT,0,704,1485,21593,0,0,914,0,0,0,0
45,0,1,1,ACCEPT,41.9587,5.0407,867,0,1,0.9873,204.41,155.97,274.52,78.91,249.00,140.00,246.00,88.00,0.5062,47.36,1,0,2.9238,ACCEPT,0,745,1466,22767,0,0,867,0,0,0,0
46,0,1,1,ACCEPT,35.5132,4.1449,887,0,0,1.0000,204.41,155.97,274.52,78.91,249.50,143.00,245.00,94.00,0.5456,46.91,1,0,2.8785,ACCEPT,0,829,1480,18990,0,0,887,0,0,0,0
47,0,1,1,ACCEPT,30.0321,3.9724,719,-1,0,0.9889,197.98,155.97,274.52,78.91,243.00,148.00,226.00,104.00,0.5590,45.72,1,0,2.5891,ACCEPT,0,780,1446,18305,0,0,719,0,0,0,0
48,0,1,1,ACCEPT,21.8395,3.2529,553,0,1,0.9313,197.98,157.82,274.52,78.91,229.50,159.00,195.00,124.00,0.5052,31.55,1,0,2.1810,ACCEPT,0,910,1473,16557,0,0,553,0,0,0,0
49,0,1,1,ACCEPT,13.1733,1.0946,405,-2,5,0.9432,185.10,167.08,274.52,78.91,230.00,160.50,194.00,125.00,0.4825,45.38,1,0,2.8182,ACCEPT,0,986,1505,17562,0,0,405,0,0,0,0
50,0,1,1,ACCEPT,11.9893,1.0602,440,3,-5,0.2591,204.41,157.82,274.52,78.91,234.00,168.00,194.00,146.00,0.4414,31.29,1,0,2.3476,ACCEPT,0,993,1441,18286,0,0,440,0,0,0,0
51,0,1,1,ACCEPT,16.3104,2.5707,527,0,0,1.0000,204.41,157.82,274.52,78.91,244.00,163.50,174.00,133.00,0.4418,39.99,1,0,2.7766,ACCEPT,0,1074,1517,17113,0,0,527,0,0,0,0
52,0,1,1,ACCEPT,17.6473,1.7883,549,0,0,1.0000,204.41,157.82,274.52,78.91,246.50,168.00,177.00,142.00,0.4254,43.30,1,0,3.0816,ACCEPT,0,1081,1548,15306,0,0,549,0,0,0,0
53,0,1,1,ACCEPT,16.8480,1.8299,538,0,0,1.0000,204.41,157.82,263.97,75.87,252.00,173.50,174.00,157.00,0.3787,50.10,1,-1,2.9891,ACCEPT,0,1122,1556,13985,0,0,538,0,0,0,0
54,0,1,1,ACCEPT,14.2651,1.5757,479,1,1,0.9415,210.60,159.60,253.81,72.95,261.00,170.00,160.00,174.00,0.3268,51.46,1,-1,2.6646,ACCEPT,0,1051,1600,14303,0,0,479,0,0,0,0
55,0,1,1,ACCEPT,12.9492,1.5911,428,0,0,1.0000,210.60,159.60,244.05,70.15,267.00,156.00,156.00,206.00,0.2571,56.51,1,-1,2.9422,ACCEPT,0,1246,1528,15705,0,0,428,0,0,0,0
56,0,1,1,ACCEPT,11.9193,1.5932,376,0,0,1.0000,210.60,159.60,244.05,70.15,266.00,131.50,162.00,259.00,0.2125,62.12,1,0,2.0935,ACCEPT,0,1438,1575,14464,0,0,376,0,0,0,0
57,0,1,1,ACCEPT,15.2997,1.7178,414,-1,0,0.9783,204.88,159.60,244.05,70.15,265.50,132.50,163.00,261.00,0.2020,66.40,1,1,1.9081,LOW_CONF,0,1230,1568,14036,0,0,414,0,0,0,0
58,0,1,1,ACCEPT,18.2896,1.9708,473,-1,0,0.9366,199.16,159.60,244.05,70.15,264.00,133.50,166.00,263.00,0.1930,69.89,1,1,1.7879,LOW_CONF,0,1137,1611,13602,0,0,473,0,0,0,0
59,0,1,1,ACCEPT,19.2957,1.9729,509,0,0,1.0000,199.16,159.60,244.05,70.15,261.50,137.50,171.00,269.00,0.1924,66.14,1,1,1.9655,LOW_CONF,0,1009,1577,14678,0,0,509,0,0,0,0
60,0,1,1,ACCEPT,19.6205,2.2797,538,0,0,1.0000,199.16,159.60,244.05,70.15,261.00,145.00,170.00,246.00,0.2089,63.54,1,5,1.8454,MAX_STEP,0,1124,1557,13548,0,0,538,0,0,0,0
61,0,1,1,ACCEPT,21.7477,2.3362,542,0,0,1.0000,199.16,159.60,244.05,70.15,252.50,161.00,153.00,214.00,0.2567,53.35,1,5,2.0443,MAX_STEP,0,1031,1526,13270,0,0,542,0,0,0,0
62,0,1,1,ACCEPT,24.5090,2.5190,597,0,0,1.0000,199.16,159.60,244.05,70.15,243.00,166.50,136.00,203.00,0.2711,44.38,1,6,1.5551,MAX_STEP,0,954,1508,13183,0,0,597,0,0,0,0
63,0,1,1,ACCEPT,26.7549,2.6375,662,0,0,1.0000,199.16,159.60,244.05,70.15,237.50,164.00,143.00,202.00,0.2788,38.59,1,0,1.9323,LOW_CONF,0,854,1443,13601,0,0,662,0,0,0,0
64,0,1,1,ACCEPT,29.8576,2.6265,654,0,0,1.0000,199.16,159.60,244.05,70.15,235.50,156.50,151.00,207.00,0.2803,36.47,1,0,1.7506,LOW_CONF,0,735,1424,13548,0,0,654,0,0,0,0
65,0,1,1,ACCEPT,32.1280,2.2768,658,0,0,1.0000,199.16,159.60,244.05,70.15,234.50,147.00,157.00,218.00,0.2731,37.52,1,0,2.1543,ACCEPT,0,757,1390,15487,0,0,658,0,0,0,0
66,0,1,1,ACCEPT,30.1803,2.1587,680,0,0,1.0000,199.16,159.60,244.05,70.15,231.00,137.50,160.00,225.00,0.2679,38.76,1,0,1.7710,LOW_CONF,0,832,1403,16058,0,0,680,0,0,0,0
67,0,1,1,ACCEPT,29.4039,2.1637,740,0,0,1.0000,199.16,159.60,244.05,70.15,229.50,128.00,161.00,236.00,0.2577,43.81,1,6,2.3507,MAX_STEP,0,848,1394,18383,0,0,740,0,0,0,0
68,0,1,1,ACCEPT,28.4092,2.0299,814,0,0,1.0000,199.16,159.60,244.05,70.15,230.50,122.50,163.00,241.00,0.2543,48.56,1,6,2.6325,MAX_STEP,0,951,1429,18677,0,0,814,0,0,0,0
69,0,1,1,ACCEPT,29.3111,2.0278,803,0,0,1.0000,199.16,159.60,244.05,70.15,232.00,121.50,164.00,239.00,0.2567,50.30,1,7,2.3804,MAX_STEP,0,904,1440,17412,0,0,803,0,0,0,0
70,0,1,1,ACCEPT,31.7952,2.2521,813,0,0,1.0000,199.16,159.60,244.05,70.15,232.50,123.00,165.00,228.00,0.2681,49.51,1,7,2.5057,MAX_STEP,0,885,1465,16803,0,0,813,0,0,0,0
71,0,1,1,ACCEPT,34.8824,2.6146,821,1,1,0.8904,204.88,161.24,244.05,70.15,234.00,129.50,164.00,221.00,0.2748,43.07,1,5,2.3951,MAX_STEP,0,924,1467,14905,0,0,821,0,0,0,0
72,0,1,1,ACCEPT,35.9280,3.2936,718,0,0,1.0000,204.88,161.24,244.05,70.15,234.00,133.50,164.00,211.00,0.2860,40.22,1,6,2.3446,MAX_STEP,0,782,1467,16803,0,0,718,0,0,0,0
73,0,1,1,ACCEPT,38.9255,3.4549,843,0,0,1.0000,204.88,161.24,244.05,70.15,234.50,140.00,163.00,198.00,0.3012,36.45,1,6,2.3164,MAX_STEP,0,867,1460,17356,0,0,843,0,0,0,0
74,0,1,1,ACCEPT,40.1253,3.5847,846,0,0,1.0000,204.88,161.24,244.05,70.15,234.50,147.50,163.00,183.00,0.3219,32.65,1,6,2.3257,MAX_STEP,0,848,1456,17663,0,0,846,0,0,0,0
75,0,1,1,ACCEPT,41.6977,3.4960,874,0,1,0.9897,204.88,162.88,244.05,70.15,234.50,156.50,163.00,165.00,0.3509,30.30,1,6,2.7170,MAX_STEP,0,842,1464,17231,0,0,874,0,0,0,0
