frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,159.50,317.00,75.00,110.00,159.50,317.00,75.00,110.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3592,25314,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,120.9250,17.9216,914,1,-1,0.8720,161.26,314.42,75.00,110.00,157.50,312.00,77.00,114.00,0.8688,4.47,1,0,3.1094,ACCEPT,0,367,3364,25554,0,0,914,0,0,0,0
2,0,1,1,ACCEPT,71.6626,11.3108,837,1,0,0.9438,163.02,314.42,75.00,110.00,161.00,318.00,78.00,116.00,0.8910,4.11,1,0,2.8076,ACCEPT,0,419,3206,25234,0,0,837,0,0,0,0
3,0,1,1,ACCEPT,54.3085,5.4897,796,0,-1,0.8982,163.02,311.84,75.00,110.00,162.00,319.00,80.00,114.00,0.8271,7.23,1,0,3.1235,ACCEPT,0,453,3085,25252,0,0,796,0,0,0,0
4,0,1,1,ACCEPT,45.9790,3.6071,808,1,-1,0.8267,164.77,309.27,75.00,110.00,162.00,319.50,80.00,115.00,0.7792,10.60,1,0,2.8341,ACCEPT,0,505,2994,24567,0,0,808,0,0,0,0
5,0,1,1,ACCEPT,42.8951,3.5600,890,0,0,1.0000,164.77,309.27,78.00,114.40,165.50,321.50,77.00,117.00,0.7952,12.26,1,1,2.9284,ACCEPT,0,663,2935,25997,0,0,890,0,0,0,0
6,0,1,1,ACCEPT,35.5507,3.2191,1043,0,-1,0.8734,164.77,306.59,75.00,110.00,166.50,322.50,79.00,119.00,0.7209,16.01,1,-1,3.0937,ACCEPT,0,860,2664,26266,0,0,1043,0,0,0,0
7,0,1,1,ACCEPT,46.0062,4.8954,1170,1,-1,0.9017,166.53,304.01,72.12,105.77,169.00,325.00,76.00,114.00,0.6410,21.14,1,-1,2.8837,ACCEPT,0,868,2780,25112,0,0,1170,0,0,0,0
8,0,1,1,ACCEPT,34.4893,4.5116,970,0,0,1.0000,166.53,304.01,72.12,105.77,167.00,328.00,80.00,116.00,0.5889,24.00,1,0,2.9892,ACCEPT,0,922,2737,23307,0,0,970,0,0,0,0
9,0,1,1,ACCEPT,35.1474,4.9032,912,0,0,1.0000,166.53,304.01,72.12,105.77,169.00,332.00,76.00,118.00,0.5671,28.10,1,0,2.8950,ACCEPT,0,883,2591,26232,0,0,912,0,0,0,0
10,0,1,1,ACCEPT,36.8044,5.5377,1102,0,0,1.0000,166.53,304.01,72.12,105.77,168.00,334.00,78.00,114.00,0.5355,30.03,1,0,2.8811,ACCEPT,0,1043,2477,28391,0,0,1102,0,0,0,0
11,0,1,1,ACCEPT,37.6703,6.0913,1267,0,0,1.0000,166.53,304.01,72.12,105.77,166.50,335.50,81.00,121.00,0.5125,31.49,1,0,2.8074,ACCEPT,0,1224,2173,28534,0,0,1267,0,0,0,0
12,0,1,1,ACCEPT,38.8014,6.7822,1370,0,0,1.0000,166.53,304.01,72.12,105.77,169.00,340.00,82.00,112.00,0.4549,36.08,1,0,2.8200,ACCEPT,0,1276,2108,26634,0,0,1370,0,0,0,0
13,0,1,1,ACCEPT,39.8596,6.8953,1317,0,0,1.0000,166.53,304.01,72.12,105.77,166.50,341.00,81.00,116.00,0.4557,36.99,1,0,2.8890,ACCEPT,0,1259,1897,30785,0,0,1317,0,0,0,0
14,0,1,1,ACCEPT,39.5290,6.0667,1365,0,0,1.0000,166.53,304.01,72.12,105.77,167.00,342.50,80.00,121.00,0.4536,38.50,1,0,2.8821,ACCEPT,0,1283,1727,32767,0,0,1365,0,0,0,0
15,0,1,1,ACCEPT,36.9919,4.9405,1329,0,0,1.0000,166.53,304.01,72.12,105.77,168.00,347.50,82.00,121.00,0.4029,43.52,1,0,2.9599,ACCEPT,0,1156,1638,32767,0,0,1329,0,0,0,0
16,0,1,1,ACCEPT,33.8649,4.1886,1244,0,0,1.0000,166.53,304.01,72.12,105.77,169.50,351.50,81.00,117.00,0.3687,47.58,1,0,2.9934,ACCEPT,0,1093,1521,32767,0,0,1244,0,0,0,0
17,0,1,1,ACCEPT,31.3579,5.1124,1319,0,0,1.0000,166.53,304.01,72.12,105.77,174.00,360.50,76.00,111.00,0.2741,56.98,1,0,2.8852,ACCEPT,0,1125,1430,32767,0,0,1319,0,0,0,0
18,0,1,1,ACCEPT,32.5606,5.4697,1444,0,0,1.0000,166.53,304.01,72.12,105.77,176.00,366.00,74.00,118.00,0.2406,62.71,1,0,2.9890,ACCEPT,0,1371,1172,32767,0,0,1444,0,0,0,0
19,0,1,1,ACCEPT,34.7337,5.3014,1548,0,0,1.0000,166.53,304.01,72.12,105.77,178.50,369.00,71.00,114.00,0.2050,66.09,1,0,3.0319,ACCEPT,0,1545,1032,32767,0,0,1548,0,0,0,0
20,0,1,1,ACCEPT,38.4300,6.0500,1573,0,0,1.0000,166.53,304.01,72.12,105.77,179.50,372.00,77.00,114.00,0.1866,69.22,1,0,3.0225,ACCEPT,0,1400,940,32767,0,0,1573,0,0,0,0
21,0,1,1,ACCEPT,42.5446,6.5357,1647,0,0,1.0000,166.53,304.01,72.12,105.77,179.50,377.50,79.00,115.00,0.1603,74.63,1,0,3.0932,ACCEPT,0,1400,843,32767,0,0,1647,0,0,0,0
22,0,1,1,ACCEPT,43.1485,6.2460,1549,0,0,1.0000,166.53,304.01,72.12,105.77,181.00,377.50,84.00,119.00,0.1632,74.90,1,0,3.0795,ACCEPT,0,1441,818,32767,0,0,1549,0,0,0,0
23,0,1,1,ACCEPT,43.6304,6.5388,1517,0,0,1.0000,166.53,304.01,72.12,105.77,179.50,378.00,83.00,118.00,0.1634,75.12,1,0,3.0656,ACCEPT,0,1563,818,32767,0,0,1517,0,0,0,0
24,0,1,1,ACCEPT,44.8535,6.6880,1565,-1,0,0.9808,164.84,304.01,72.12,105.77,181.00,385.00,84.00,114.00,0.1160,82.59,1,0,2.8027,ACCEPT,0,1675,856,32767,0,0,1565,0,0,0,0
25,0,1,1,ACCEPT,46.4358,6.9554,1558,0,-1,0.8601,164.84,301.53,72.12,105.77,179.00,384.00,80.00,110.00,0.1059,83.67,1,0,2.9413,ACCEPT,0,1654,933,32320,0,0,1558,0,0,0,0
26,0,1,1,ACCEPT,49.4609,7.0652,1625,1,-1,0.8732,166.53,299.05,72.12,105.77,184.50,386.00,79.00,106.00,0.0731,88.78,1,0,2.7951,ACCEPT,0,1634,931,31167,0,0,1625,0,0,0,0
27,0,1,1,ACCEPT,52.0414,7.9794,1548,-1,-1,0.9671,164.84,296.58,72.12,105.77,183.50,385.00,73.00,96.00,0.0481,90.37,1,0,3.0228,ACCEPT,0,1465,932,29582,0,0,1548,0,0,0,0
28,0,1,1,ACCEPT,57.8468,9.6149,1548,0,-1,0.9580,164.84,294.10,72.12,105.77,183.50,386.50,81.00,97.00,0.0348,94.26,1,0,2.7609,ACCEPT,0,1329,1035,28436,0,0,1548,0,0,0,0
29,0,1,1,ACCEPT,59.7127,11.6929,1485,-1,0,0.8801,163.16,294.10,72.12,105.77,179.50,386.50,77.00,93.00,0.0283,93.83,1,0,2.8759,ACCEPT,0,1213,1045,29521,0,0,1485,0,0,0,0
30,0,1,1,ACCEPT,58.6962,10.6286,1488,-1,-1,0.7540,161.47,291.62,72.12,105.77,181.00,387.00,76.00,84.00,0.0000,97.35,1,0,2.7356,ACCEPT,0,1202,1109,29546,0,0,1488,0,0,0,0
31,0,1,1,ACCEPT,59.2887,9.2075,1464,-1,-2,0.7473,159.78,286.67,72.12,105.77,172.00,388.50,54.00,95.00,0.0000,102.56,1,0,2.9241,ACCEPT,0,1053,1141,29562,0,0,1464,0,0,0,0
32,0,1,1,ACCEPT,63.8023,9.8487,1497,-1,-1,0.8236,158.09,284.20,72.12,105.77,174.00,388.50,64.00,95.00,0.0000,105.51,1,0,3.0555,ACCEPT,0,945,1095,31275,0,0,1497,0,0,0,0
33,0,1,1,ACCEPT,66.5744,11.1955,1489,-1,-1,0.7817,156.41,281.72,72.12,105.77,176.50,391.50,73.00,101.00,0.0000,111.61,1,0,2.9740,ACCEPT,0,925,1166,30173,0,0,1489,0,0,0,0
34,0,1,1,ACCEPT,68.7775,10.9844,1406,0,-2,0.7262,156.41,276.77,69.34,101.70,179.50,394.00,71.00,102.00,0.0000,119.49,1,-1,2.4966,ACCEPT,0,881,1239,29042,0,0,1406,0,0,0,0
35,0,1,1,ACCEPT,49.7332,9.6891,1153,-2,-1,0.7606,153.16,274.38,69.34,101.70,177.00,394.00,78.00,106.00,0.0000,121.97,1,0,2.8467,ACCEPT,0,854,1329,28800,0,0,1153,0,0,0,0
36,0,1,1,ACCEPT,53.4424,10.0339,1184,-1,-1,0.8682,151.53,272.00,72.12,105.77,177.00,396.50,82.00,103.00,0.0000,127.08,1,1,2.8953,ACCEPT,0,809,1393,26492,0,0,1184,0,0,0,0
37,0,1,1,ACCEPT,75.4755,13.9184,1364,-1,-1,0.6994,149.84,269.52,72.12,105.77,177.00,398.50,84.00,101.00,0.0000,131.80,1,0,3.0119,ACCEPT,0,747,1327,27369,0,0,1364,0,0,0,0
38,0,1,1,ACCEPT,77.5551,16.8780,1384,-1,-2,0.6879,148.16,264.57,72.12,105.77,178.50,398.50,85.00,103.00,0.0000,137.32,1,0,2.7704,ACCEPT,0,748,1339,27540,0,0,1384,0,0,0,0
39,0,1,1,ACCEPT,81.4956,16.4578,1366,-1,0,0.9444,146.47,264.57,72.12,105.77,178.50,401.50,91.00,107.00,0.0000,140.63,1,0,2.9938,ACCEPT,0,759,1336,26895,0,0,1366,0,0,0,0
40,0,1,1,ACCEPT,81.7752,15.7500,1323,0,-2,0.7029,146.47,259.62,69.34,101.70,179.00,404.00,96.00,112.00,0.0000,148.00,1,-1,2.5561,ACCEPT,0,745,1349,28024,0,0,1323,0,0,0,0
41,0,1,1,ACCEPT,59.7962,10.7238,1126,-1,-1,0.9201,144.84,257.23,69.34,101.70,179.00,406.50,100.00,107.00,0.0000,153.12,1,0,2.8961,ACCEPT,0,849,1466,26132,0,0,1126,0,0,0,0
42,0,1,1,ACCEPT,61.2610,10.1415,1075,-1,0,0.9423,143.22,257.23,72.12,105.77,178.50,407.00,103.00,112.00,0.0000,153.87,1,1,2.6818,ACCEPT,0,813,1537,25322,0,0,1075,0,0,0,0
43,0,1,1,ACCEPT,87.0734,17.1143,1198,0,-1,0.8631,143.22,254.76,72.12,105.77,181.50,409.00,101.00,108.00,0.0000,158.92,1,0,2.9600,ACCEPT,0,766,1506,26383,0,0,1198,0,0,0,0
44,0,1,1,ACCEPT,88.6252,17.7681,1226,1,-1,0.8483,144.91,252.28,72.12,105.77,185.50,406.50,97.00,111.00,0.0000,159.47,1,0,2.8382,ACCEPT,0,789,1464,27815,0,0,1226,0,0,0,0
45,0,1,1,ACCEPT,90.2197,18.0909,1194,-1,-1,0.9598,143.22,249.80,72.12,105.77,186.50,408.00,99.00,112.00,0.0000,164.01,1,0,2.9807,ACCEPT,0,788,1476,28197,0,0,1194,0,0,0,0
46,0,1,1,ACCEPT,92.4264,16.1622,1196,0,0,1.0000,143.22,249.80,72.12,105.77,186.50,408.50,99.00,115.00,0.0000,164.49,1,0,2.9885,ACCEPT,0,774,1448,29782,0,0,1196,0,0,0,0
47,0,1,1,ACCEPT,94.7493,18.4328,1235,0,-1,0.8721,143.22,247.33,72.12,105.77,187.50,409.50,101.00,111.00,0.0000,168.11,1,0,3.0734,ACCEPT,0,817,1456,29203,0,0,1235,0,0,0,0
48,0,1,1,ACCEPT,94.6473,17.6418,1182,0,0,1.0000,143.22,247.33,72.12,105.77,189.50,413.50,101.00,109.00,0.0000,172.50,1,0,2.7339,ACCEPT,0,771,1445,28915,0,0,1182,0,0,0,0
49,0,1,1,ACCEPT,98.2745,21.2000,1166,0,-1,0.8714,143.22,244.85,72.12,105.77,191.00,413.50,100.00,109.00,0.0000,175.29,1,0,3.0124,ACCEPT,0,741,1453,27151,0,0,1166,0,0,0,0
50,0,1,1,ACCEPT,101.0064,20.3818,1121,0,-1,0.9010,143.22,242.38,72.12,105.77,192.50,413.50,101.00,111.00,0.0000,178.08,1,0,3.0429,ACCEPT,0,705,1437,27160,0,0,1121,0,0,0,0
51,0,1,1,ACCEPT,101.2040,20.1321,1067,0,0,1.0000,143.22,242.38,72.12,105.77,193.00,415.00,100.00,110.00,0.0000,179.66,1,0,2.9266,ACCEPT,0,660,1457,26225,0,0,1067,0,0,0,0
52,0,1,1,ACCEPT,100.2566,19.3962,1028,0,-1,0.9387,143.22,239.90,72.12,105.77,194.50,414.50,101.00,113.00,0.0000,181.98,1,0,2.9456,ACCEPT,0,653,1450,25776,0,0,1028,0,0,0,0
53,0,1,1,ACCEPT,99.8503,19.7843,1009,0,0,1.0000,143.22,239.90,72.12,105.77,196.50,416.00,101.00,112.00,0.0000,183.99,1,0,2.9395,ACCEPT,0,654,1500,24820,0,0,1009,0,0,0,0
54,0,1,1,ACCEPT,100.9700,21.2500,1020,-1,-1,0.8265,141.53,237.42,72.12,105.77,196.50,417.50,103.00,115.00,0.0000,188.28,1,0,2.9742,ACCEPT,0,616,1496,24940,0,0,1020,0,0,0,0
55,0,1,1,ACCEPT,95.8020,16.2241,941,-2,-1,0.7779,138.16,234.95,72.12,105.77,196.00,418.50,102.00,113.00,0.0000,192.45,1,0,2.9001,ACCEPT,0,596,1456,25822,0,0,941,0,0,0,0
56,0,1,1,ACCEPT,98.1785,16.6379,965,0,-1,0.9658,138.16,232.47,72.12,105.77,195.00,417.50,100.00,115.00,0.0000,193.57,1,0,2.7007,ACCEPT,0,615,1438,24712,0,0,965,0,0,0,0
57,0,1,1,ACCEPT,99.9932,16.7679,939,-2,-1,0.7039,134.78,229.99,72.12,105.77,193.00,417.00,100.00,112.00,0.0000,195.86,1,0,2.9417,ACCEPT,0,554,1419,25390,0,0,939,0,0,0,0
58,0,1,1,ACCEPT,95.6026,17.1321,908,-2,-1,0.6322,131.41,227.52,72.12,105.77,190.00,415.00,94.00,112.00,0.0000,196.43,1,0,2.6436,ACCEPT,0,589,1420,25913,0,0,908,0,0,0,0
59,0,1,1,ACCEPT,95.7892,17.6226,934,-1,-2,0.6660,129.72,222.56,72.12,105.77,189.00,415.50,94.00,107.00,0.0000,201.84,1,0,2.7440,ACCEPT,0,641,1451,25344,0,0,934,0,0,0,0
60,0,1,1,ACCEPT,94.8038,16.8113,891,-3,-1,0.4366,124.66,220.09,72.12,105.77,187.00,414.00,96.00,104.00,0.0000,203.69,1,0,2.7093,ACCEPT,0,651,1479,26156,0,0,891,0,0,0,0
61,0,1,1,ACCEPT,92.9018,16.1636,889,-2,-1,0.5703,121.28,217.61,72.12,105.77,188.00,412.50,82.00,103.00,0.0000,205.99,1,0,2.5837,ACCEPT,0,650,1398,27771,0,0,889,0,0,0,0
62,0,1,1,ACCEPT,91.8936,16.0000,896,-1,-2,0.4263,119.59,212.66,72.12,105.77,185.50,407.50,79.00,105.00,0.0000,205.69,1,0,2.7882,ACCEPT,0,633,1364,27476,0,0,896,0,0,0,0
63,0,1,1,ACCEPT,96.6928,18.1224,888,-3,-2,0.2815,114.53,207.70,72.12,105.77,184.50,405.00,77.00,100.00,0.0000,209.34,1,0,2.7964,ACCEPT,0,619,1406,26509,0,0,888,0,0,0,0
64,0,1,1,ACCEPT,94.7336,16.6731,867,-2,-2,0.3714,111.16,202.75,72.12,105.77,178.50,400.00,77.00,102.00,0.0000,208.43,1,0,2.7724,ACCEPT,0,641,1385,26913,0,0,867,0,0,0,0
65,0,1,1,ACCEPT,96.7442,17.3529,885,-2,-2,0.4000,107.78,197.80,72.12,105.77,175.50,399.50,77.00,97.00,0.0000,212.77,1,0,2.8134,ACCEPT,0,571,1396,25640,0,0,885,0,0,0,0
66,0,1,1,ACCEPT,93.1232,16.7400,837,-2,-2,0.4062,104.41,192.84,72.12,105.77,176.00,397.00,66.00,92.00,0.0000,216.35,1,0,2.8210,ACCEPT,0,519,1402,23721,0,0,837,0,0,0,0
67,0,1,1,ACCEPT,89.4552,16.5000,825,-1,-2,0.5491,102.72,187.89,72.12,105.77,173.00,394.00,66.00,86.00,0.0000,217.76,1,0,2.6430,ACCEPT,0,545,1350,24199,0,0,825,0,0,0,0
68,0,1,1,ACCEPT,84.9803,15.1321,802,-2,-2,0.3840,99.34,182.94,72.12,105.77,173.00,390.00,60.00,76.00,0.0000,219.77,1,0,2.7320,ACCEPT,0,594,1403,23188,0,0,802,0,0,0,0
69,0,1,1,ACCEPT,86.6103,13.8947,792,-1,-2,0.6313,97.66,177.98,72.12,105.77,175.00,388.50,54.00,67.00,0.0000,224.27,1,0,2.7040,ACCEPT,0,608,1377,22897,0,0,792,0,0,0,0
70,0,1,1,ACCEPT,81.8163,13.5818,747,-1,-1,0.6586,95.97,175.51,75.00,110.00,174.00,388.50,54.00,61.00,0.0000,226.84,1,1,2.7573,ACCEPT,0,589,1397,22641,0,0,747,0,0,0,0
71,0,1,1,ACCEPT,105.5143,18.0227,793,-1,-2,0.4817,94.21,170.35,75.00,110.00,175.50,388.50,49.00,53.00,0.0000,232.80,1,0,2.9346,ACCEPT,0,482,1348,22855,0,0,793,0,0,0,0
72,0,1,1,ACCEPT,105.9150,18.6250,745,-1,-1,0.7879,92.45,167.77,75.00,110.00,175.00,387.50,42.00,49.00,0.0000,234.72,1,0,2.6323,ACCEPT,0,504,1304,22751,0,0,745,0,0,0,0
73,0,1,1,ACCEPT,103.5411,17.5238,736,0,-2,0.5408,92.45,162.62,75.00,110.00,174.50,384.50,43.00,45.00,0.0000,236.57,1,0,2.8366,ACCEPT,0,508,1321,22387,0,0,736,0,0,0,0
74,0,1,1,ACCEPT,107.0324,18.2381,766,1,-2,0.6305,94.21,157.46,75.00,110.00,175.00,382.00,46.00,46.00,0.0000,238.63,1,0,2.7603,ACCEPT,0,482,1351,21453,0,0,766,0,0,0,0
75,0,1,1,ACCEPT,109.4736,18.3077,714,0,-1,0.8697,94.21,154.88,75.00,110.00,174.50,381.00,47.00,38.00,0.0000,239.95,1,0,2.8063,ACCEPT,0,442,1306,22852,0,0,714,0,0,0,0
76,0,1,1,ACCEPT,108.5648,16.7674,721,0,-2,0.5714,94.21,149.73,75.00,110.00,171.50,376.50,43.00,41.00,0.0000,239.58,1,0,2.8083,ACCEPT,0,462,1319,22521,0,0,721,0,0,0,0
77,0,1,1,ACCEPT,109.5141,14.7143,721,0,-2,0.6630,94.21,144.57,75.00,110.00,170.50,372.50,45.00,43.00,0.0000,240.36,1,0,2.8967,ACCEPT,0,504,1313,23019,0,0,721,0,0,0,0
78,0,1,1,ACCEPT,111.2013,13.2075,700,0,-1,0.7929,94.21,141.99,75.00,110.00,170.00,370.00,52.00,42.00,0.0000,240.27,1,0,2.8344,ACCEPT,0,450,1307,22985,0,0,700,0,0,0,0
79,0,1,1,ACCEPT,108.5793,17.8919,662,0,-2,0.7462,94.21,136.84,75.00,110.00,168.00,371.00,52.00,30.00,0.0000,245.52,1,0,2.8788,ACCEPT,0,461,1313,23626,0,0,662,0,0,0,0
80,0,1,1,ACCEPT,110.9538,16.9750,679,0,-1,0.9116,94.21,134.26,75.00,110.00,166.00,369.00,54.00,26.00,0.0000,245.47,1,0,2.9231,ACCEPT,0,475,1339,23658,0,0,679,0,0,0,0
81,0,1,1,ACCEPT,107.8225,15.1429,636,0,-1,0.9481,94.21,131.68,75.00,110.00,163.50,366.00,55.00,24.00,0.0000,244.35,1,0,2.9307,ACCEPT,0,454,1294,24375,0,0,636,0,0,0,0
82,0,1,1,ACCEPT,106.3837,15.1667,637,0,-1,0.9388,94.21,129.10,75.00,110.00,163.00,364.00,56.00,24.00,0.0000,244.76,1,0,2.9522,ACCEPT,0,463,1321,24724,0,0,637,0,0,0,0
83,0,1,1,ACCEPT,109.1760,15.3571,645,0,0,1.0000,94.21,129.10,75.00,110.00,160.50,363.00,59.00,24.00,0.0000,243.11,1,0,2.8415,ACCEPT,0,439,1347,24317,0,0,645,0,0,0,0
84,0,1,1,ACCEPT,102.0503,15.3659,630,0,-1,0.8889,94.21,126.52,75.00,110.00,153.00,359.50,56.00,25.00,0.0000,240.28,1,0,2.8488,ACCEPT,0,461,1376,23321,0,0,630,0,0,0,0
85,0,1,1,ACCEPT,102.0500,15.0976,619,0,-1,0.9128,94.21,123.95,75.00,110.00,153.50,357.50,53.00,25.00,0.0000,240.96,1,0,2.9482,ACCEPT,0,461,1388,22623,0,0,619,0,0,0,0
86,0,1,1,ACCEPT,103.5205,14.6667,616,1,0,0.8799,95.97,123.95,75.00,110.00,154.50,356.00,53.00,26.00,0.0000,239.32,1,0,2.8795,ACCEPT,0,441,1386,22890,0,0,616,0,0,0,0
87,0,1,1,ACCEPT,99.8928,13.6136,599,1,0,0.9332,97.73,123.95,75.00,110.00,152.00,355.50,52.00,25.00,0.0000,237.83,1,0,2.8193,ACCEPT,0,430,1383,23221,0,0,599,0,0,0,0
88,0,1,1,ACCEPT,95.6358,14.2143,597,1,-1,0.8961,99.48,121.37,75.00,110.00,152.00,354.00,48.00,28.00,0.0000,238.49,1,0,2.9493,ACCEPT,0,441,1380,23534,0,0,597,0,0,0,0
89,0,1,1,ACCEPT,95.5662,15.1842,577,1,0,0.9653,101.24,121.37,75.00,110.00,148.00,353.00,44.00,28.00,0.0000,236.30,1,0,2.8253,ACCEPT,0,434,1388,22637,0,0,577,0,0,0,0
90,0,1,1,ACCEPT,94.3413,15.9429,558,0,0,1.0000,101.24,121.37,75.00,110.00,147.50,353.50,45.00,25.00,0.0000,236.70,1,0,2.9364,ACCEPT,0,402,1388,22571,0,0,558,0,0,0,0
91,0,1,1,ACCEPT,92.7495,15.7222,566,1,0,0.9382,103.00,121.37,75.00,110.00,144.50,352.50,45.00,27.00,0.0000,234.83,1,0,2.9438,ACCEPT,0,445,1412,21770,0,0,566,0,0,0,0
92,0,1,1,ACCEPT,96.7681,19.8966,577,1,0,0.9861,104.76,121.37,75.00,110.00,143.00,351.00,42.00,28.00,0.0000,232.80,1,0,2.9070,ACCEPT,0,444,1378,22546,0,0,577,0,0,0,0
93,0,1,1,ACCEPT,101.1158,20.9286,586,0,0,1.0000,104.76,121.37,75.00,110.00,143.50,351.50,43.00,27.00,0.0000,233.37,1,0,2.8407,ACCEPT,0,468,1431,21668,0,0,586,0,0,0,0
94,0,1,1,ACCEPT,104.3543,19.1935,595,1,0,0.8672,106.52,121.37,75.00,110.00,142.50,351.50,45.00,25.00,0.0000,232.93,1,0,2.8854,ACCEPT,0,422,1453,20996,0,0,595,0,0,0,0
95,0,1,1,ACCEPT,102.6043,20.6786,579,1,0,0.8066,108.27,121.37,75.00,110.00,142.50,350.00,43.00,26.00,0.0000,231.18,1,0,2.7415,ACCEPT,0,435,1434,21108,0,0,579,0,0,0,0
96,0,1,1,ACCEPT,97.6882,18.9355,587,3,0,0.3697,113.55,121.37,75.00,110.00,144.50,349.50,43.00,27.00,0.0000,230.22,1,0,2.8160,ACCEPT,0,501,1431,20157,0,0,587,0,0,0,0
97,0,1,1,ACCEPT,100.3393,19.7500,553,1,0,0.8463,115.30,121.37,75.00,110.00,145.00,347.50,38.00,27.00,0.0000,228.07,1,0,2.6225,ACCEPT,0,474,1444,20609,0,0,553,0,0,0,0
98,0,1,1,ACCEPT,97.1387,17.7667,533,2,0,0.6867,118.82,121.37,78.00,114.40,146.00,348.00,46.00,26.00,0.0000,228.26,1,1,2.7868,ACCEPT,0,436,1428,20274,0,0,533,0,0,0,0
99,0,1,1,ACCEPT,79.4111,18.6296,503,0,-1,0.9543,118.82,118.69,78.00,114.40,146.50,346.50,45.00,25.00,0.0000,229.49,1,0,2.8804,ACCEPT,0,439,1445,19553,0,0,503,0,0,0,0
100,0,1,1,ACCEPT,85.5710,19.1852,518,1,0,0.8475,120.65,118.69,78.00,114.40,147.50,347.50,45.00,27.00,0.0000,230.38,1,0,2.9860,ACCEPT,0,436,1421,20089,0,0,518,0,0,0,0
101,0,1,1,ACCEPT,87.1075,15.9706,543,1,0,0.8674,122.48,118.69,78.00,114.40,149.00,344.50,46.00,29.00,0.0000,227.36,1,0,3.0108,ACCEPT,0,420,1402,19498,0,0,543,0,0,0,0
102,0,1,1,ACCEPT,87.8603,18.3333,550,2,-1,0.7327,126.13,116.01,75.00,110.00,148.00,346.00,44.00,24.00,0.0000,231.03,1,-1,2.4766,ACCEPT,0,450,1372,18859,0,0,550,0,0,0,0
