frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,225.50,610.00,45.00,52.00,225.50,610.00,45.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1742,20897,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,39.5878,6.2653,307,-1,-1,0.9023,224.45,608.78,45.00,52.00,224.50,610.00,47.00,56.00,0.8891,1.22,1,0,3.1035,ACCEPT,0,297,1922,11800,0,0,307,0,0,0,0
2,0,1,1,ACCEPT,28.4970,4.0000,272,0,-2,0.5478,224.45,606.34,46.80,54.08,225.50,607.50,51.00,57.00,0.8706,1.57,1,1,2.9617,ACCEPT,0,350,1989,14282,0,0,272,0,0,0,0
3,0,1,1,ACCEPT,29.0380,3.7795,480,0,-1,0.8979,224.45,605.08,48.67,56.24,224.50,604.50,51.00,55.00,0.9342,0.58,1,1,2.8864,ACCEPT,0,457,1861,22146,0,0,480,0,0,0,0
4,0,1,1,ACCEPT,24.5600,2.9518,673,0,-1,0.7949,224.45,603.76,50.62,58.49,224.00,601.50,52.00,53.00,0.8842,2.30,1,1,2.8115,ACCEPT,0,839,1859,22934,0,0,673,0,0,0,0
5,0,1,1,ACCEPT,23.2919,2.4799,739,0,-1,0.8024,224.45,602.39,52.64,60.83,222.50,599.50,51.00,51.00,0.7803,3.48,1,1,2.7942,ACCEPT,0,1091,1737,22929,0,0,739,0,0,0,0
6,0,1,1,ACCEPT,23.5722,2.6007,762,0,-1,0.9934,224.45,600.97,54.75,63.27,222.50,599.00,51.00,52.00,0.7638,2.77,1,1,2.7657,ACCEPT,0,1116,1667,24969,0,0,762,0,0,0,0
7,0,1,1,ACCEPT,17.5074,2.6375,662,1,0,0.9592,225.73,600.97,54.75,63.27,220.00,597.50,50.00,45.00,0.5807,6.70,1,0,2.8203,ACCEPT,0,1146,1498,24989,0,0,662,0,0,0,0
8,0,1,1,ACCEPT,10.0824,1.0624,460,1,-1,0.8174,227.01,599.48,54.75,63.27,218.50,599.00,49.00,34.00,0.4034,8.52,1,0,2.7468,ACCEPT,0,1399,1480,28234,0,0,460,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-8.3773,1.0274,-412,-9,3,0.0194,227.01,599.48,54.75,63.27,219.00,600.50,52.00,19.00,0.2401,8.07,0,0,0.0000,NOT_RUN,0,1957,1267,0,0,0,412,0,0,0,0
10,0,1,1,ACCEPT,7.5555,1.1972,346,-3,12,0.3584,223.16,617.30,52.64,60.83,216.00,598.00,46.00,16.00,0.2067,20.58,1,-1,2.9183,ACCEPT,0,1566,1208,25214,0,0,346,0,0,0,0
11,0,1,1,ACCEPT,10.1447,1.6589,496,1,0,0.9819,224.40,617.30,52.64,60.83,214.50,596.50,45.00,21.00,0.2328,23.03,1,0,3.1427,ACCEPT,0,1982,1108,32063,0,0,496,0,0,0,0
12,0,1,1,ACCEPT,10.3953,1.8000,477,0,1,0.9832,224.40,618.72,52.64,60.83,213.50,596.00,45.00,22.00,0.2036,25.20,1,0,3.0937,ACCEPT,0,1382,1180,30378,0,0,477,0,0,0,0
13,0,1,1,ACCEPT,11.0496,1.9027,489,0,-1,0.9734,224.40,617.30,54.75,63.27,213.00,594.50,46.00,23.00,0.2125,25.49,1,1,2.9910,ACCEPT,0,1388,1091,26605,0,0,489,0,0,0,0
14,0,1,1,ACCEPT,12.9735,2.0431,521,0,0,1.0000,224.40,617.30,56.94,65.80,212.00,592.50,48.00,23.00,0.1932,27.72,1,1,2.9679,ACCEPT,0,1193,1066,23872,0,0,521,0,0,0,0
15,0,1,1,ACCEPT,14.1115,2.2267,550,-1,-1,0.8564,223.06,615.76,59.22,68.43,211.00,591.00,48.00,26.00,0.2136,27.54,1,1,2.8333,ACCEPT,0,1163,990,23929,0,0,550,0,0,0,0
16,0,1,1,ACCEPT,15.0457,2.2863,551,-1,-1,0.9456,221.67,614.16,59.22,68.43,209.50,590.00,47.00,24.00,0.2111,27.05,1,0,2.8603,ACCEPT,0,1077,957,23057,0,0,551,0,0,0,0
17,0,1,1,ACCEPT,16.1992,2.6933,606,0,0,1.0000,221.67,614.16,61.59,71.17,209.00,588.00,48.00,24.00,0.1948,29.06,1,1,2.9598,ACCEPT,0,1094,949,23461,0,0,606,0,0,0,0
18,0,1,1,ACCEPT,18.0086,2.4842,708,-1,0,0.9534,220.23,614.16,64.05,74.01,209.00,587.00,48.00,24.00,0.1992,29.39,1,1,3.0242,ACCEPT,0,1186,926,22862,0,0,708,0,0,0,0
19,0,1,1,ACCEPT,20.2555,2.3758,784,1,0,0.9745,221.73,614.16,66.61,76.97,208.50,586.50,47.00,23.00,0.1859,30.66,1,1,2.9621,ACCEPT,0,1166,850,22711,0,0,784,0,0,0,0
20,0,1,1,ACCEPT,19.9671,2.1681,774,-1,0,0.9173,220.16,614.16,66.61,76.97,208.50,586.50,49.00,23.00,0.1972,30.02,1,0,3.0235,ACCEPT,0,1205,866,22526,0,0,774,0,0,0,0
21,0,1,1,ACCEPT,22.4877,2.5633,851,1,0,0.9976,221.73,614.16,69.28,80.05,208.50,585.50,49.00,23.00,0.1867,31.56,1,1,2.9548,ACCEPT,0,1212,833,21562,0,0,851,0,0,0,0
22,0,1,1,ACCEPT,22.6525,2.5906,829,-1,0,0.8890,220.10,614.16,69.28,80.05,207.00,585.50,50.00,23.00,0.1890,31.51,1,0,3.0331,ACCEPT,0,1189,820,22159,0,0,829,0,0,0,0
23,0,1,1,ACCEPT,24.9788,2.8580,906,0,0,1.0000,220.10,614.16,72.05,83.25,208.50,584.00,51.00,24.00,0.1937,32.31,1,1,2.9538,ACCEPT,0,1210,820,21683,0,0,906,0,0,0,0
24,0,1,1,ACCEPT,24.9150,2.6746,904,0,0,1.0000,220.10,614.16,72.05,83.25,206.50,584.00,49.00,24.00,0.1813,33.08,1,0,3.0021,ACCEPT,0,1203,780,22791,0,0,904,0,0,0,0
25,0,1,1,ACCEPT,27.0593,3.0121,997,0,0,1.0000,220.10,614.16,72.05,83.25,206.50,583.00,49.00,24.00,0.1723,34.00,1,0,2.9193,ACCEPT,0,1222,780,23281,0,0,997,0,0,0,0
26,0,1,1,ACCEPT,27.3219,2.8959,1057,0,0,1.0000,220.10,614.16,72.05,83.25,206.50,583.00,49.00,24.00,0.1723,34.00,1,0,2.8927,ACCEPT,0,1364,777,23246,0,0,1057,0,0,0,0
27,0,1,1,ACCEPT,26.9297,2.6970,1068,0,0,1.0000,220.10,614.16,74.93,86.58,206.50,582.00,49.00,24.00,0.1710,34.91,1,1,2.9060,ACCEPT,0,1454,765,22180,0,0,1068,0,0,0,0
28,0,1,1,ACCEPT,27.1534,2.1774,1019,0,0,1.0000,220.10,614.16,74.93,86.58,207.50,582.50,47.00,23.00,0.1666,34.07,1,0,3.0197,ACCEPT,0,1339,718,23066,0,0,1019,0,0,0,0
29,0,1,1,ACCEPT,28.1454,2.2585,1057,0,0,1.0000,220.10,614.16,74.93,86.58,207.00,581.50,48.00,23.00,0.1627,35.19,1,0,3.0071,ACCEPT,0,1452,730,21854,0,0,1057,0,0,0,0
30,0,1,1,ACCEPT,27.3563,2.3121,978,0,0,1.0000,220.10,614.16,77.93,90.05,207.50,581.00,49.00,22.00,0.1536,35.47,1,1,2.9594,ACCEPT,0,1429,732,21187,0,0,978,0,0,0,0
31,0,1,1,ACCEPT,27.6541,2.0954,966,0,0,1.0000,220.10,614.16,77.93,90.05,208.00,581.00,50.00,22.00,0.1568,35.30,1,0,3.0499,ACCEPT,0,1310,701,22466,0,0,966,0,0,0,0
32,0,1,1,ACCEPT,27.9707,2.1808,1001,0,0,1.0000,220.10,614.16,77.93,90.05,209.00,579.50,52.00,21.00,0.1545,36.39,1,0,3.0423,ACCEPT,0,1368,689,22123,0,0,1001,0,0,0,0
33,0,1,1,ACCEPT,25.3962,2.0000,880,0,0,1.0000,220.10,614.16,81.04,93.65,207.50,578.50,53.00,21.00,0.1466,37.82,1,1,3.0687,ACCEPT,0,1323,691,22228,0,0,880,0,0,0,0
34,0,1,1,ACCEPT,21.3396,1.9005,764,0,0,1.0000,220.10,614.16,81.04,93.65,203.50,576.50,45.00,17.00,0.1008,41.15,1,0,3.2521,ACCEPT,0,1239,657,24008,0,0,764,0,0,0,0
35,0,1,1,ACCEPT,17.4580,1.8764,683,0,1,0.7716,220.10,616.35,81.04,93.65,204.50,576.00,47.00,18.00,0.0943,43.26,1,0,3.1860,ACCEPT,0,1330,679,23716,0,0,683,0,0,0,0
