frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,219.00,316.00,168.00,48.00,219.00,316.00,168.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1751,26974,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,152.5483,21.0238,883,0,1,0.8947,219.00,317.12,168.00,48.00,219.50,316.00,169.00,50.00,0.9495,1.23,1,0,3.3305,ACCEPT,0,406,1672,24695,0,0,883,0,0,0,0
2,0,1,1,ACCEPT,107.9483,11.6667,805,0,1,0.9764,219.00,318.25,168.00,48.00,219.00,317.00,168.00,50.00,0.9502,1.25,1,0,3.2684,ACCEPT,0,396,1671,19414,0,0,805,0,0,0,0
3,0,1,1,ACCEPT,81.5858,9.0548,661,0,1,0.8684,219.00,319.38,168.00,48.00,219.50,318.50,167.00,49.00,0.9590,1.01,1,0,3.2603,ACCEPT,0,338,1660,18004,0,0,661,0,0,0,0
4,0,1,1,ACCEPT,64.6262,6.4457,593,0,1,0.8870,219.00,320.50,168.00,48.00,216.50,321.00,171.00,48.00,0.9512,2.55,1,0,3.2233,ACCEPT,0,341,1692,18875,0,0,593,0,0,0,0
5,0,1,1,ACCEPT,52.8810,5.3981,583,0,0,1.0000,219.00,320.50,168.00,48.00,220.50,321.50,165.00,49.00,0.9430,1.80,1,0,3.2401,ACCEPT,0,371,1707,19225,0,0,583,0,0,0,0
6,0,1,1,ACCEPT,45.5759,4.3116,595,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,167.00,50.00,0.8979,2.55,1,0,3.2511,ACCEPT,0,382,1695,20820,0,0,595,0,0,0,0
7,0,1,1,ACCEPT,42.0973,3.2751,619,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,169.00,50.00,0.8977,2.55,1,0,3.2913,ACCEPT,0,465,1697,22902,0,0,619,0,0,0,0
8,0,1,1,ACCEPT,38.2775,2.4040,714,1,0,0.9720,222.94,320.50,168.00,48.00,220.00,322.50,168.00,49.00,0.8904,3.55,1,0,3.0417,ACCEPT,0,616,1688,25591,0,0,714,0,0,0,0
9,0,1,1,ACCEPT,37.2711,2.6250,861,0,-1,0.8862,222.94,319.38,168.00,48.00,218.50,322.50,163.00,49.00,0.8359,5.43,1,0,3.1044,ACCEPT,0,820,1670,23593,0,0,861,0,0,0,0
10,0,1,1,ACCEPT,34.9500,3.7336,911,0,0,1.0000,222.94,319.38,168.00,48.00,216.50,322.50,161.00,47.00,0.8140,7.16,1,0,3.1093,ACCEPT,0,970,1742,21469,0,0,911,0,0,0,0
