frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,101.50,287.00,69.00,26.00,101.50,287.00,69.00,26.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,634,20473,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,58.2567,10.1739,234,0,1,0.9573,101.50,287.61,69.00,26.00,99.50,285.00,65.00,24.00,0.7666,3.29,1,0,3.2483,ACCEPT,0,156,646,22692,0,0,234,0,0,0,0
2,0,1,1,ACCEPT,33.5766,5.3333,224,0,-1,0.9911,101.50,287.00,69.00,26.00,99.50,286.50,69.00,27.00,0.9097,2.06,1,0,3.0687,ACCEPT,0,255,675,18907,0,0,224,0,0,0,0
3,0,1,1,ACCEPT,28.8883,5.6364,248,0,1,0.8831,101.50,287.61,69.00,26.00,100.50,286.00,71.00,24.00,0.8566,1.89,1,0,3.1658,ACCEPT,0,267,763,18735,0,0,248,0,0,0,0
4,0,1,1,ACCEPT,24.6347,3.8814,229,1,0,0.9782,103.12,287.61,69.00,26.00,102.50,286.00,71.00,26.00,0.8599,1.72,1,0,2.9669,ACCEPT,0,258,781,19594,0,0,229,0,0,0,0
5,0,1,1,ACCEPT,28.1006,4.9831,294,0,0,1.0000,103.12,287.61,69.00,26.00,101.00,286.50,70.00,27.00,0.8671,2.39,1,0,3.2866,ACCEPT,0,337,809,19253,0,0,294,0,0,0,0
6,0,1,1,ACCEPT,32.8633,4.4578,370,-1,-1,0.9757,101.50,287.00,69.00,26.00,101.50,287.50,69.00,25.00,0.9615,0.50,1,0,3.5257,ACCEPT,0,374,817,23228,0,0,370,0,0,0,0
7,0,1,1,ACCEPT,36.9408,4.8039,490,0,0,1.0000,101.50,287.00,69.00,26.00,97.50,287.50,67.00,25.00,0.8561,4.03,1,0,3.3898,ACCEPT,0,423,876,25304,0,0,490,0,0,0,0
8,0,1,1,ACCEPT,38.8211,5.8065,540,0,0,1.0000,101.50,287.00,69.00,26.00,98.50,288.00,69.00,24.00,0.8489,3.16,1,0,3.3120,ACCEPT,0,460,854,20068,0,0,540,0,0,0,0
9,0,1,1,ACCEPT,34.9465,4.5234,484,0,0,1.0000,101.50,287.00,69.00,26.00,98.50,287.50,71.00,25.00,0.8844,3.04,1,0,3.4227,ACCEPT,0,415,804,18567,0,0,484,0,0,0,0
10,0,1,1,ACCEPT,41.1475,5.5784,569,0,0,1.0000,101.50,287.00,69.00,26.00,99.50,288.00,69.00,26.00,0.8756,2.24,1,0,3.3733,ACCEPT,0,464,800,18731,0,0,569,0,0,0,0
11,0,1,1,ACCEPT,60.3830,8.6757,642,0,0,1.0000,101.50,287.00,69.00,26.00,101.50,286.50,69.00,25.00,0.9615,0.50,1,0,3.2860,ACCEPT,0,492,802,17944,0,0,642,0,0,0,0
12,0,1,1,ACCEPT,73.4830,11.7091,644,0,1,0.7733,101.50,287.61,69.00,26.00,98.50,286.50,69.00,27.00,0.8458,3.20,1,0,3.1958,ACCEPT,0,465,772,20042,0,0,644,0,0,0,0
13,0,1,1,ACCEPT,59.9141,9.8472,709,-1,0,0.9873,99.88,287.61,69.00,26.00,98.00,287.50,68.00,27.00,0.9126,1.89,1,0,3.0277,ACCEPT,0,535,748,21102,0,0,709,0,0,0,0
14,0,1,1,ACCEPT,50.4872,5.6336,738,1,0,0.9431,101.50,287.61,71.76,27.04,97.00,288.50,70.00,27.00,0.8275,4.59,1,1,2.8567,ACCEPT,0,549,752,25202,0,0,738,0,0,0,0
15,0,1,1,ACCEPT,34.6091,5.1912,706,0,-1,0.9816,101.50,286.98,71.76,27.04,99.50,288.00,75.00,26.00,0.8790,2.25,1,0,2.7295,ACCEPT,0,654,683,26081,0,0,706,0,0,0,0
16,0,1,1,ACCEPT,36.4365,6.4741,751,1,1,0.9268,103.18,287.61,71.76,27.04,100.50,287.50,71.00,29.00,0.8674,2.68,1,0,2.7763,ACCEPT,0,729,690,24947,0,0,751,0,0,0,0
17,0,1,1,ACCEPT,38.0884,6.0826,736,0,-1,0.8696,103.18,286.98,71.76,27.04,101.50,287.50,71.00,27.00,0.9186,1.76,1,0,2.9056,ACCEPT,0,732,639,26790,0,0,736,0,0,0,0
18,0,1,1,ACCEPT,39.1540,5.8837,759,0,0,1.0000,103.18,286.98,71.76,27.04,99.50,288.00,71.00,26.00,0.8378,3.82,1,0,3.0238,ACCEPT,0,798,660,27729,0,0,759,0,0,0,0
