frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,406.50,207.00,145.00,64.00,406.50,207.00,145.00,64.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1175,31880,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,21.2541,2.0515,199,1,4,0.0553,409.90,213.00,139.42,61.54,414.00,212.50,160.00,57.00,0.8149,4.13,1,-1,2.9090,ACCEPT,0,324,1011,31421,0,0,199,0,0,0,0
2,0,1,1,ACCEPT,17.5869,2.6548,223,0,4,0.1704,409.90,218.78,145.00,64.00,418.50,220.00,169.00,56.00,0.7643,8.69,1,1,2.8280,ACCEPT,0,494,953,26089,0,0,223,0,0,0,0
3,0,1,1,ACCEPT,19.1681,1.6961,307,1,8,0.3453,413.30,230.78,145.00,64.00,422.00,226.00,172.00,76.00,0.7099,9.93,1,0,2.9578,ACCEPT,0,501,1085,29692,0,0,307,0,0,0,0
4,0,1,1,ACCEPT,21.1310,2.8199,454,1,5,0.3238,416.70,238.28,145.00,64.00,421.50,232.00,173.00,102.00,0.5259,7.91,1,0,2.3651,ACCEPT,0,584,1043,31249,0,0,454,0,0,0,0
5,0,1,1,ACCEPT,21.9481,3.3307,423,0,7,0.0686,416.70,248.78,145.00,64.00,423.00,237.00,176.00,134.00,0.3935,13.36,1,0,2.2509,ACCEPT,0,588,968,28520,0,0,423,0,0,0,0
6,0,1,1,ACCEPT,22.2315,3.3761,395,0,7,0.0937,416.70,259.28,145.00,64.00,421.50,258.50,177.00,153.00,0.3427,4.87,1,0,2.3395,ACCEPT,0,507,1000,26343,0,0,395,0,0,0,0
7,0,1,1,ACCEPT,21.6109,3.3097,374,0,7,0.0455,416.70,269.78,145.00,64.00,429.00,254.50,186.00,125.00,0.3991,19.62,1,0,2.6056,ACCEPT,0,506,986,28240,0,0,374,0,0,0,0
8,0,1,1,ACCEPT,21.7491,3.1418,421,1,8,0.0428,420.09,281.78,150.80,66.56,426.00,287.00,204.00,128.00,0.3844,7.88,1,1,2.4501,ACCEPT,0,635,1059,23930,0,0,421,0,0,0,0
9,0,1,1,ACCEPT,20.7980,2.7202,457,2,8,0.0022,427.16,294.28,150.80,66.56,414.50,303.50,227.00,103.00,0.4293,15.66,1,0,2.1616,ACCEPT,0,585,1049,26475,0,0,457,0,0,0,0
10,0,1,1,ACCEPT,25.9245,4.1037,554,-1,9,0.0957,423.62,308.34,163.11,71.99,410.50,317.50,235.00,101.00,0.4947,16.00,1,2,2.0398,ACCEPT,0,670,966,30309,0,0,554,0,0,0,0
11,0,1,1,ACCEPT,24.6251,3.0756,529,0,9,0.0113,423.62,323.53,163.11,71.99,407.00,329.00,224.00,88.00,0.5957,17.50,1,0,2.1490,ACCEPT,0,642,974,25382,0,0,529,0,0,0,0
12,0,1,1,ACCEPT,23.4103,2.9747,470,1,8,0.0362,427.45,337.03,169.63,74.87,402.00,343.00,218.00,102.00,0.5645,26.14,1,1,2.0632,ACCEPT,0,640,956,23966,0,0,470,0,0,0,0
13,0,1,1,ACCEPT,22.5932,3.2063,404,0,8,0.1238,427.45,351.09,169.63,74.87,406.00,374.00,214.00,126.00,0.4710,31.38,1,0,2.2918,ACCEPT,0,511,908,23312,0,0,404,0,0,0,0
14,0,1,1,ACCEPT,19.9062,2.2200,333,1,9,0.0511,431.42,366.91,169.63,74.87,417.50,398.50,213.00,137.00,0.4309,34.52,1,0,2.1140,ACCEPT,0,516,940,22453,0,0,333,0,0,0,0
15,0,1,1,ACCEPT,17.9045,1.3632,289,0,10,0.0692,431.42,384.49,169.63,74.87,440.00,424.50,192.00,143.00,0.4108,40.92,1,0,2.0710,ACCEPT,0,532,1013,20003,0,0,289,0,0,0,0
16,0,1,1,ACCEPT,19.6436,2.5515,347,1,8,0.0778,435.40,398.55,169.63,74.87,448.00,444.00,206.00,150.00,0.3525,47.16,1,1,1.8332,LOW_CONF,0,475,1018,19506,0,0,347,0,0,0,0
17,0,1,1,ACCEPT,18.6315,1.8557,373,1,9,0.0402,439.38,414.38,176.41,77.87,457.00,472.50,206.00,165.00,0.2991,60.74,1,1,2.3315,ACCEPT,0,651,1020,17761,0,0,373,0,0,0,0
18,0,1,1,ACCEPT,16.8589,2.0248,326,2,9,0.1442,447.64,430.83,176.41,77.87,464.50,487.00,213.00,168.00,0.3120,58.65,1,0,2.1147,ACCEPT,0,564,1037,16885,0,0,326,0,0,0,0
19,0,1,1,ACCEPT,15.5328,1.6044,292,0,7,0.4897,447.64,443.62,176.41,77.87,473.00,499.00,218.00,174.00,0.3066,60.91,1,0,2.3459,ACCEPT,0,610,1054,16644,0,0,292,0,0,0,0
20,0,1,1,ACCEPT,13.4740,1.1884,246,-1,3,0.7520,443.51,449.11,176.41,77.87,481.00,500.50,210.00,205.00,0.2715,63.61,1,0,2.3693,ACCEPT,0,585,1092,15146,0,0,246,0,0,0,0
21,0,1,1,ACCEPT,10.8560,1.1765,180,2,15,0.2722,451.77,476.53,176.41,77.87,490.00,503.50,188.00,237.00,0.2381,46.78,1,1,1.7601,LOW_CONF,0,520,1209,15959,0,0,180,0,0,0,0
22,0,1,1,ACCEPT,11.3523,1.1728,224,-1,1,0.7500,447.64,478.36,176.41,77.87,495.50,501.50,173.00,237.00,0.2202,53.16,1,9,1.3937,MAX_STEP,0,658,1358,12997,0,0,224,0,0,0,0
23,0,1,1,ACCEPT,15.2014,2.4000,240,0,6,0.0375,447.64,489.33,183.47,80.98,465.50,523.50,231.00,219.00,0.2937,38.56,1,1,2.7231,ACCEPT,0,523,1314,11156,0,0,240,0,0,0,0
24,0,1,1,ACCEPT,11.9704,1.7184,177,-3,6,0.2486,434.75,500.72,183.47,80.98,445.50,538.00,319.00,218.00,0.2136,38.80,1,1,1.7150,LOW_CONF,0,555,1038,11497,0,0,177,0,0,0,0
25,0,1,1,ACCEPT,10.6583,1.7222,155,1,9,0.1097,439.05,517.80,183.47,80.98,431.50,528.50,353.00,247.00,0.1704,13.09,1,8,1.4009,MAX_STEP,0,486,1343,8822,0,0,155,0,0,0,0
26,0,1,1,ACCEPT,10.2510,1.3571,152,5,9,0.1513,460.53,534.89,183.47,80.98,428.50,533.00,361.00,246.00,0.1673,32.09,1,-5,1.2237,MAX_STEP,0,478,1602,11509,0,0,152,0,0,0,0
27,0,1,1,ACCEPT,10.6452,1.0699,245,-1,13,0.1102,456.23,559.57,190.81,84.22,429.00,557.50,358.00,163.00,0.2754,27.31,1,1,2.0507,ACCEPT,0,792,1294,12249,0,0,245,0,0,0,0
28,0,1,1,ACCEPT,12.0010,1.4416,395,1,0,0.9392,460.70,559.57,190.81,84.22,426.00,567.00,362.00,190.00,0.2336,35.49,1,0,2.7670,ACCEPT,0,1329,1693,15560,0,0,395,0,0,0,0
29,0,1,1,ACCEPT,13.0963,1.5258,473,0,2,0.8203,460.70,563.52,190.81,84.22,425.50,590.50,367.00,243.00,0.1802,44.35,1,0,2.3675,ACCEPT,0,1710,1528,12820,0,0,473,0,0,0,0
30,0,1,1,ACCEPT,10.2356,1.2829,322,-1,0,0.8820,456.23,563.52,190.81,84.22,430.50,617.50,359.00,303.00,0.1477,59.80,1,1,1.7328,LOW_CONF,0,1120,1781,11099,0,0,322,0,0,0,0
31,0,1,1,ACCEPT,10.2248,1.0760,269,0,1,0.8550,456.23,565.50,190.81,84.22,460.50,625.00,275.00,320.00,0.1826,59.65,1,2,1.3605,LOW_CONF,0,732,1507,10142,0,0,269,0,0,0,0
32,0,1,1,ACCEPT,8.1259,1.0361,201,5,-3,0.6816,478.58,559.57,190.81,84.22,465.50,625.50,187.00,321.00,0.2416,67.21,1,-1,1.9642,LOW_CONF,0,895,1456,7564,0,0,201,0,0,0,0
33,0,1,1,ACCEPT,6.7090,1.0818,119,-22,8,0.5798,380.27,575.38,190.81,84.22,489.00,632.00,214.00,288.00,0.1130,122.59,1,0,1.6397,LOW_CONF,0,736,1180,6849,0,0,119,0,0,0,0
34,0,1,0,NEGATIVE_PEAK,-7.5638,1.0968,-68,3,13,0.5147,380.27,575.38,190.81,84.22,478.00,613.00,290.00,294.00,0.1345,104.72,0,0,0.0000,NOT_RUN,0,280,884,0,0,0,68,0,0,0,0
35,0,1,1,ACCEPT,8.3617,1.1667,77,-5,9,0.0909,357.92,593.17,190.81,84.22,475.50,629.50,329.00,261.00,0.1333,123.06,1,-4,2.2831,MAX_STEP,0,264,793,8234,0,0,77,0,0,0,0
36,0,1,1,ACCEPT,7.9956,1.2373,73,14,26,0.1233,420.48,644.56,198.44,87.59,430.00,641.00,434.00,190.00,0.2108,10.16,1,1,2.2596,ACCEPT,0,271,721,8638,0,0,73,0,0,0,0
37,0,1,1,ACCEPT,11.8735,1.3711,218,0,8,0.1560,420.48,661.00,198.44,87.59,422.50,699.50,437.00,131.00,0.2319,38.55,1,0,2.5979,ACCEPT,0,582,850,8189,0,0,218,0,0,0,0
38,0,1,1,ACCEPT,10.5689,1.0447,187,-6,1,0.1658,392.59,663.05,198.44,87.59,410.50,737.50,421.00,231.00,0.1722,76.57,1,-9,1.7538,MAX_STEP,0,713,874,9078,0,0,187,0,0,0,0
39,0,1,1,ACCEPT,11.8383,1.1463,188,-5,1,0.5479,369.35,665.11,183.47,80.98,395.00,743.00,358.00,274.00,0.1515,82.00,1,-2,2.5616,ACCEPT,0,617,916,7405,0,0,188,0,0,0,0
40,0,1,1,ACCEPT,12.9720,1.6196,149,-4,4,0.1611,352.16,672.70,190.81,84.22,404.00,731.50,268.00,317.00,0.1737,78.38,1,1,2.6249,ACCEPT,0,416,1074,5822,0,0,149,0,0,0,0
41,0,1,1,ACCEPT,11.0642,1.5312,98,-4,9,0.0510,334.29,690.49,190.81,84.22,367.00,710.00,188.00,352.00,0.1911,38.09,1,9,2.0391,MAX_STEP,0,288,1055,6536,0,0,98,0,0,0,0
42,0,1,1,ACCEPT,9.0641,1.2651,105,-1,3,0.4571,329.82,696.42,198.44,87.59,362.00,713.50,192.00,323.00,0.2193,36.43,1,1,2.1094,ACCEPT,0,496,1118,6615,0,0,105,0,0,0,0
43,0,1,0,NEGATIVE_PEAK,-7.0386,1.1605,-94,7,-8,0.0638,329.82,696.42,198.44,87.59,358.50,674.00,219.00,354.00,0.1993,36.40,0,0,0.0000,NOT_RUN,0,537,1064,0,0,0,94,0,0,0,0
44,0,1,0,NEGATIVE_PEAK,-7.5239,1.1795,-92,-7,28,0.2609,329.82,696.42,198.44,87.59,333.50,667.50,297.00,329.00,0.1779,29.16,0,0,0.0000,NOT_RUN,0,404,1215,0,0,0,92,0,0,0,0
45,0,1,0,NEGATIVE_PEAK,-6.5502,1.1139,-88,-5,0,0.2386,329.82,696.42,198.44,87.59,313.50,657.00,373.00,252.00,0.1849,42.67,0,0,0.0000,NOT_RUN,0,521,1411,0,0,0,88,0,0,0,0
46,0,1,0,NEGATIVE_PEAK,-6.3087,1.0000,-86,-24,0,0.2907,329.82,696.42,198.44,87.59,299.50,670.50,429.00,187.00,0.2167,39.89,0,0,0.0000,NOT_RUN,0,588,1282,0,0,0,86,0,0,0,0
47,0,1,0,NEGATIVE_PEAK,-8.0901,1.2642,-134,-16,-5,0.1269,329.82,696.42,198.44,87.59,281.50,681.50,447.00,119.00,0.3268,50.57,0,0,0.0000,NOT_RUN,0,681,1269,0,0,0,134,0,0,0,0
48,0,1,0,NEGATIVE_PEAK,-9.6585,1.1203,-177,-23,-1,0.1243,329.82,696.42,198.44,87.59,288.50,673.50,459.00,177.00,0.2139,47.25,0,0,0.0000,NOT_RUN,0,675,1166,0,0,0,177,0,0,0,0
49,0,1,0,NEGATIVE_PEAK,-9.6121,1.2453,-198,-14,-6,0.3131,329.82,696.42,198.44,87.59,286.00,693.50,428.00,245.00,0.1658,43.92,0,0,0.0000,NOT_RUN,0,706,1277,0,0,0,198,0,0,0,0
50,0,1,0,NEGATIVE_PEAK,-7.6591,1.1088,-163,-10,16,0.3804,329.82,696.42,198.44,87.59,288.50,700.00,377.00,312.00,0.1478,41.47,0,0,0.0000,NOT_RUN,0,622,1661,0,0,0,163,0,0,0,0
51,0,1,1,ACCEPT,10.1712,1.6852,182,-4,-13,0.0330,311.23,669.71,198.44,87.59,290.00,701.50,286.00,355.00,0.1712,38.22,1,6,2.3100,MAX_STEP,0,624,1718,7548,0,0,182,0,0,0,0
52,0,1,1,ACCEPT,6.6040,1.0534,138,8,19,0.1594,348.41,708.75,198.44,87.59,297.50,702.00,179.00,368.00,0.1696,51.36,1,5,2.3187,MAX_STEP,0,696,1842,7106,0,0,138,0,0,0,0
