frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1952,15728,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.4573,1.3881,93,-7,11,0.0215,272.41,438.67,29.81,21.15,274.00,438.50,24.00,21.00,0.7928,1.60,1,-1,2.7791,ACCEPT,0,351,2030,18609,0,0,93,0,0,0,0
2,0,1,1,ACCEPT,10.5232,1.2171,157,-2,-1,0.6943,271.02,438.18,29.81,21.15,271.00,438.50,26.00,21.00,0.8474,0.32,1,0,3.1131,ACCEPT,0,429,1808,18566,0,0,157,0,0,0,0
3,0,1,1,ACCEPT,13.6615,1.1307,225,4,-16,0.0978,273.80,430.30,29.81,21.15,275.50,430.50,25.00,19.00,0.7533,1.71,1,0,3.1587,ACCEPT,0,470,1686,18209,0,0,225,0,0,0,0
4,0,1,1,ACCEPT,11.3990,1.0872,187,18,-3,0.0749,286.32,428.83,29.81,21.15,281.00,422.50,22.00,15.00,0.3365,8.27,1,0,3.3533,ACCEPT,0,437,1593,21739,0,0,187,0,0,0,0
5,0,1,1,ACCEPT,7.9604,1.0061,166,-32,-5,0.4096,264.07,426.37,29.81,21.15,287.00,411.00,30.00,16.00,0.0206,27.60,1,0,3.1860,ACCEPT,0,492,1123,32767,0,0,166,0,0,0,0
6,0,1,1,ACCEPT,10.2678,1.2804,137,27,-22,0.1606,282.84,415.54,31.00,22.00,283.50,407.50,29.00,15.00,0.3729,8.07,1,1,2.9424,ACCEPT,0,353,1475,26276,0,0,137,0,0,0,0
7,0,1,1,ACCEPT,9.7342,1.4135,147,-1,-6,0.0816,282.12,412.45,31.00,22.00,285.00,407.00,30.00,14.00,0.4591,6.16,1,3,2.2133,MAX_STEP,0,539,1771,18290,0,0,147,0,0,0,0
8,0,1,1,ACCEPT,9.4297,1.5426,145,-12,5,0.4690,273.40,415.02,32.24,22.88,285.00,404.00,28.00,14.00,0.1384,16.00,1,1,2.6623,ACCEPT,0,489,2368,14192,0,0,145,0,0,0,0
9,0,1,1,ACCEPT,11.7831,1.7500,210,-1,-2,0.4095,272.64,413.95,34.87,24.75,286.00,404.00,30.00,12.00,0.1514,16.65,1,2,2.4125,ACCEPT,0,519,2167,20458,0,0,210,0,0,0,0
10,0,1,1,ACCEPT,9.2771,1.0208,147,13,-4,0.2041,283.30,411.63,37.72,26.77,292.00,400.00,28.00,12.00,0.1617,14.52,1,2,2.6517,ACCEPT,0,459,1923,24132,0,0,147,0,0,0,0
11,0,1,1,ACCEPT,13.0975,1.6215,287,7,0,0.2056,289.48,411.63,40.79,28.95,300.00,396.00,28.00,12.00,0.0825,18.84,1,2,2.7174,ACCEPT,0,567,1589,21026,0,0,287,0,0,0,0
12,0,1,1,ACCEPT,13.9180,1.8592,264,0,-6,0.0227,289.48,407.55,44.12,31.31,303.50,395.50,35.00,13.00,0.1635,18.49,1,2,2.4290,ACCEPT,0,456,1008,32767,0,0,264,0,0,0,0
13,0,1,1,ACCEPT,12.1723,1.2657,262,3,-4,0.1679,292.58,404.62,47.72,33.87,303.00,400.00,34.00,16.00,0.2911,11.40,1,2,2.6199,ACCEPT,0,570,1050,32439,0,0,262,0,0,0,0
14,0,1,1,ACCEPT,12.3008,1.1216,286,2,-2,0.1049,294.81,403.02,49.63,35.22,301.50,401.50,31.00,13.00,0.2305,6.86,1,1,2.3782,ACCEPT,0,663,844,32767,0,0,286,0,0,0,0
15,0,1,1,ACCEPT,16.8309,1.6341,335,4,0,0.1313,299.47,403.02,51.62,36.63,294.50,404.00,31.00,16.00,0.2623,5.06,1,1,2.8100,ACCEPT,0,608,717,32767,0,0,335,0,0,0,0
