frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,275.00,720.50,72.00,35.00,275.00,720.50,72.00,35.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5756,4547,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,39.2096,6.9091,152,0,-3,0.4539,275.00,718.04,72.00,35.00,276.50,717.00,73.00,36.00,0.9058,1.82,1,0,3.2810,ACCEPT,0,144,5301,3363,0,0,152,0,0,0,0
2,0,1,1,ACCEPT,24.6540,4.1667,125,-1,-3,0.5440,273.31,715.58,72.00,35.00,275.50,712.00,69.00,32.00,0.7616,4.19,1,0,3.0765,ACCEPT,0,213,5274,4364,0,0,125,0,0,0,0
3,0,1,1,ACCEPT,22.3751,3.6522,168,0,-4,0.3095,273.31,712.30,72.00,35.00,273.50,710.00,67.00,34.00,0.8172,2.30,1,0,3.1962,ACCEPT,0,348,4827,4827,0,0,168,0,0,0,0
4,0,1,1,ACCEPT,20.4655,2.7538,179,-1,-3,0.3128,271.62,709.84,72.00,35.00,273.50,706.00,67.00,34.00,0.7489,4.27,1,0,3.1065,ACCEPT,0,287,4679,5146,0,0,179,0,0,0,0
5,0,1,1,ACCEPT,16.6489,2.6765,182,0,-5,0.2527,271.62,705.73,72.00,35.00,272.00,703.00,66.00,32.00,0.7805,2.76,1,0,3.0280,ACCEPT,0,367,4232,5191,0,0,182,0,0,0,0
6,0,1,1,ACCEPT,15.6428,2.3608,229,-1,-2,0.6070,269.94,704.09,72.00,35.00,270.00,700.50,64.00,31.00,0.7178,3.59,1,0,2.9650,ACCEPT,0,405,4023,5264,0,0,229,0,0,0,0
7,0,1,1,ACCEPT,17.7017,2.7308,355,0,-2,0.7211,269.94,702.45,72.00,35.00,274.50,697.00,73.00,30.00,0.6397,7.11,1,0,2.9796,ACCEPT,0,571,3813,6876,0,0,355,0,0,0,0
8,0,1,1,ACCEPT,15.0572,2.0821,406,0,-1,0.9113,269.94,701.63,72.00,35.00,273.50,694.50,75.00,29.00,0.5884,7.97,1,0,2.9526,ACCEPT,0,827,3516,6381,0,0,406,0,0,0,0
9,0,1,1,ACCEPT,13.1551,2.0588,350,0,-3,0.5571,269.94,699.17,72.00,35.00,273.50,693.00,75.00,30.00,0.6287,7.13,1,0,2.9422,ACCEPT,0,716,3303,6837,0,0,350,0,0,0,0
10,0,1,1,ACCEPT,12.3370,1.7565,339,1,0,0.7817,271.62,699.17,72.00,35.00,275.00,690.00,74.00,30.00,0.5213,9.77,1,0,2.8721,ACCEPT,0,798,2875,8569,0,0,339,0,0,0,0
11,0,1,1,ACCEPT,11.7432,1.4805,379,2,-2,0.5567,275.00,697.53,72.00,35.00,275.50,686.50,71.00,31.00,0.4934,11.04,1,0,2.7418,ACCEPT,0,841,2928,9059,0,0,379,0,0,0,0
12,0,1,1,ACCEPT,10.1893,1.1898,326,2,-3,0.4540,278.38,695.07,72.00,35.00,277.00,685.00,66.00,30.00,0.4902,10.16,1,0,2.7538,ACCEPT,0,899,2458,8031,0,0,326,0,0,0,0
13,0,1,1,ACCEPT,11.8174,1.5374,329,2,-6,0.1915,281.75,690.15,72.00,35.00,274.00,681.00,62.00,30.00,0.4617,11.99,1,0,2.8615,ACCEPT,0,807,2428,7577,0,0,329,0,0,0,0
14,0,1,1,ACCEPT,12.2996,1.7979,338,-1,-6,0.0414,280.06,685.23,72.00,35.00,275.00,678.00,58.00,30.00,0.5246,8.82,1,0,3.0083,ACCEPT,0,779,2606,7682,0,0,338,0,0,0,0
15,0,1,1,ACCEPT,14.3347,1.9054,423,0,-6,0.0189,280.06,680.30,72.00,35.00,274.50,672.50,61.00,29.00,0.5238,9.58,1,0,2.7878,ACCEPT,0,835,2425,8451,0,0,423,0,0,0,0
16,0,1,1,ACCEPT,16.0831,2.9568,479,0,-6,0.0063,280.06,675.38,72.00,35.00,275.50,668.00,59.00,28.00,0.5176,8.68,1,0,2.9475,ACCEPT,0,966,1909,10183,0,0,479,0,0,0,0
17,0,1,1,ACCEPT,15.9089,2.1470,599,0,-5,0.1235,280.06,671.28,72.00,35.00,275.00,665.00,58.00,30.00,0.5551,8.07,1,0,2.8054,ACCEPT,0,1154,2049,9626,0,0,599,0,0,0,0
18,0,1,1,ACCEPT,15.7093,2.7107,534,0,-6,0.2360,280.06,666.36,72.00,35.00,274.00,660.50,56.00,29.00,0.5462,8.43,1,0,2.8873,ACCEPT,0,1132,1632,8463,0,0,534,0,0,0,0
