frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,828,19335,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,183.2140,35.0769,456,0,0,1.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,3.3660,ACCEPT,0,232,826,18661,0,0,456,0,0,0,0
2,0,1,1,ACCEPT,22.9316,2.1429,240,-1,3,0.3458,136.35,190.23,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,2.81,1,0,3.0074,ACCEPT,0,368,739,17281,0,0,240,0,0,0,0
3,0,1,1,ACCEPT,28.5884,2.5484,316,1,0,0.9557,140.50,190.23,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.38,1,0,3.1729,ACCEPT,0,331,751,19831,0,0,316,0,0,0,0
4,0,1,1,ACCEPT,22.9254,2.2015,295,0,2,0.6305,140.50,192.71,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.47,1,-1,3.0426,ACCEPT,0,413,730,21418,0,0,295,0,0,0,0
5,0,1,1,ACCEPT,25.9171,2.9391,338,0,-1,0.9941,140.50,191.52,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,7.63,1,0,3.2193,ACCEPT,0,380,731,19882,0,0,338,0,0,0,0
6,0,1,1,ACCEPT,23.6416,3.2752,357,-1,1,0.9664,136.51,192.71,170.19,50.96,136.50,204.50,179.00,71.00,0.6435,11.79,1,0,3.2029,ACCEPT,0,458,851,17694,0,0,357,0,0,0,0
7,0,1,1,ACCEPT,28.3989,3.8598,413,1,0,0.9855,140.50,192.71,163.65,49.00,136.50,204.50,179.00,71.00,0.6145,12.45,1,-1,2.9909,ACCEPT,0,429,851,19217,0,0,413,0,0,0,0
8,0,1,1,ACCEPT,25.1277,3.4054,378,-1,-2,0.6534,136.66,190.41,163.65,49.00,139.00,205.00,182.00,78.00,0.5633,14.77,1,0,3.1455,ACCEPT,0,435,909,17545,0,0,378,0,0,0,0
9,0,1,1,ACCEPT,28.1902,3.8972,417,0,1,0.8729,136.66,191.56,163.65,49.00,139.00,205.00,182.00,78.00,0.5649,13.64,1,0,3.1870,ACCEPT,0,423,900,17377,0,0,417,0,0,0,0
10,0,1,1,ACCEPT,23.1126,2.3804,388,0,-4,0.1005,136.66,186.97,163.65,49.00,138.00,203.00,180.00,80.00,0.5475,16.09,1,0,3.1830,ACCEPT,0,541,959,16382,0,0,388,0,0,0,0
11,0,1,1,ACCEPT,25.0695,2.4000,408,0,0,1.0000,136.66,186.97,163.65,49.00,138.00,203.00,180.00,80.00,0.5475,16.09,1,0,3.1893,ACCEPT,0,497,961,18804,0,0,408,0,0,0,0
12,0,1,1,ACCEPT,22.7123,2.1510,413,0,-4,0.1695,136.66,182.38,163.65,49.00,136.50,195.50,183.00,75.00,0.5819,13.13,1,0,2.9272,ACCEPT,0,623,952,21728,0,0,413,0,0,0,0
13,0,1,1,ACCEPT,24.9811,2.2152,525,0,0,1.0000,136.66,182.38,163.65,49.00,136.50,195.50,183.00,75.00,0.5819,13.13,1,0,2.9422,ACCEPT,0,682,985,21554,0,0,525,0,0,0,0
14,0,1,1,ACCEPT,22.6395,2.2618,432,0,-4,0.2083,136.66,177.78,157.35,47.12,136.50,193.00,179.00,78.00,0.5310,15.22,1,-1,2.7193,ACCEPT,0,612,841,20829,0,0,432,0,0,0,0
15,0,1,1,ACCEPT,24.3506,2.2629,439,0,0,1.0000,136.66,177.78,157.35,47.12,136.50,193.00,179.00,78.00,0.5310,15.22,1,0,2.8775,ACCEPT,0,564,867,19810,0,0,439,0,0,0,0
16,0,1,1,ACCEPT,22.0364,2.1034,366,0,-4,0.1776,136.66,173.38,151.30,45.30,135.00,190.00,180.00,78.00,0.4838,16.71,1,-1,2.5512,ACCEPT,0,552,901,18163,0,0,366,0,0,0,0
17,0,1,1,ACCEPT,22.8903,2.0559,368,-1,2,0.7337,133.12,175.50,151.30,45.30,135.00,190.00,180.00,78.00,0.4882,14.62,1,0,3.1617,ACCEPT,0,506,915,18719,0,0,368,0,0,0,0
18,0,1,1,ACCEPT,21.9651,2.5101,374,0,-3,0.2620,133.12,172.31,151.30,45.30,135.50,188.50,175.00,81.00,0.4836,16.36,1,0,3.1984,ACCEPT,0,600,962,18778,0,0,374,0,0,0,0
19,0,1,1,ACCEPT,23.9823,2.5287,397,0,1,0.9824,133.12,173.38,151.30,45.30,135.50,188.50,175.00,81.00,0.4836,15.31,1,0,3.1742,ACCEPT,0,544,951,20480,0,0,397,0,0,0,0
20,0,1,1,ACCEPT,24.4178,3.6032,454,0,-2,0.6850,133.12,171.25,151.30,45.30,135.00,189.00,174.00,86.00,0.4581,17.85,1,0,3.0806,ACCEPT,0,610,920,18855,0,0,454,0,0,0,0
21,0,1,1,ACCEPT,27.2520,3.8268,486,0,0,1.0000,133.12,171.25,151.30,45.30,135.00,189.00,174.00,86.00,0.4581,17.85,1,0,3.0857,ACCEPT,0,574,919,16971,0,0,486,0,0,0,0
22,0,1,1,ACCEPT,23.1876,3.6055,393,0,-1,0.9517,133.12,170.19,151.30,45.30,135.00,188.00,172.00,84.00,0.4744,17.91,1,0,2.9801,ACCEPT,0,665,829,14336,0,0,393,0,0,0,0
23,0,1,1,ACCEPT,26.6986,4.1321,438,0,0,1.0000,133.12,170.19,151.30,45.30,135.00,188.00,172.00,84.00,0.4744,17.91,1,0,3.0071,ACCEPT,0,637,828,14010,0,0,438,0,0,0,0
24,0,1,1,ACCEPT,18.4049,2.4077,313,1,0,0.9968,136.66,170.19,151.30,45.30,135.50,183.00,169.00,76.00,0.5337,12.87,1,0,2.4478,ACCEPT,0,588,755,13633,0,0,313,0,0,0,0
25,0,1,1,ACCEPT,22.5614,3.0320,379,-1,0,0.9683,133.12,170.19,151.30,45.30,135.50,183.00,169.00,76.00,0.5337,13.03,1,0,2.8593,ACCEPT,0,566,777,12399,0,0,379,0,0,0,0
26,0,1,1,ACCEPT,17.2717,2.0736,338,1,0,0.9467,136.66,170.19,151.30,45.30,136.50,177.50,169.00,63.00,0.6438,7.31,1,0,2.5707,ACCEPT,0,510,849,10826,0,0,338,0,0,0,0
27,0,1,1,ACCEPT,20.9087,2.5641,400,0,0,1.0000,136.66,170.19,151.30,45.30,136.50,177.50,169.00,63.00,0.6438,7.31,1,0,2.6028,ACCEPT,0,528,857,9387,0,0,400,0,0,0,0
28,0,1,1,ACCEPT,15.7827,1.7356,302,0,0,1.0000,136.66,170.19,151.30,45.30,136.00,171.00,168.00,50.00,0.8160,1.05,1,0,2.6149,ACCEPT,0,533,889,9846,0,0,302,0,0,0,0
29,0,1,1,ACCEPT,20.0404,2.1526,409,0,0,1.0000,136.66,170.19,151.30,45.30,136.00,171.00,168.00,50.00,0.8160,1.05,1,0,2.6413,ACCEPT,0,600,896,9252,0,0,409,0,0,0,0
30,0,1,1,ACCEPT,14.4811,1.4773,325,0,-1,0.9477,136.66,169.12,151.30,45.30,136.50,168.50,165.00,45.00,0.8932,0.65,1,0,2.6828,ACCEPT,0,584,886,9147,0,0,325,0,0,0,0
31,0,1,1,ACCEPT,18.9123,1.9336,408,0,0,1.0000,136.66,169.12,151.30,45.30,136.50,168.50,165.00,45.00,0.8932,0.65,1,0,2.7109,ACCEPT,0,605,890,8722,0,0,408,0,0,0,0
32,0,1,1,ACCEPT,15.9880,1.9600,343,0,1,0.9679,136.66,170.19,151.30,45.30,138.00,168.50,162.00,49.00,0.8635,2.15,1,0,2.6674,ACCEPT,0,682,834,9479,0,0,343,0,0,0,0
