frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,446.50,516.00,121.00,136.00,446.50,516.00,121.00,136.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,524,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,38.9194,6.9487,271,-9,1,0.0664,420.98,519.19,121.00,136.00,422.00,518.50,122.00,141.00,0.9486,1.23,1,0,2.9064,ACCEPT,0,289,475,32767,0,0,271,0,0,0,0
2,0,1,1,ACCEPT,28.2610,4.3077,224,-3,-3,0.0223,412.47,509.62,121.00,136.00,414.00,511.50,122.00,147.00,0.9027,2.42,1,0,3.1042,ACCEPT,0,301,416,32767,0,0,224,0,0,0,0
3,0,1,1,ACCEPT,9.3175,1.4868,113,-4,-4,0.1858,401.12,496.88,121.00,136.00,403.50,510.00,115.00,148.00,0.7944,13.34,1,0,2.4383,ACCEPT,0,475,447,32767,0,0,113,0,0,0,0
4,0,1,1,ACCEPT,8.3544,1.3750,187,-2,-4,0.0963,395.45,484.12,121.00,136.00,400.50,499.50,105.00,171.00,0.7094,16.18,1,0,2.7894,ACCEPT,0,857,420,32767,0,0,187,0,0,0,0
5,0,1,1,ACCEPT,7.4695,1.3217,189,-5,-6,0.0582,381.27,465.00,121.00,136.00,384.00,480.00,98.00,164.00,0.6856,15.25,1,0,2.5421,ACCEPT,0,743,479,32767,0,0,189,0,0,0,0
6,0,1,1,ACCEPT,9.5020,1.8898,223,-2,-2,0.6682,375.60,458.62,121.00,136.00,378.50,469.00,103.00,164.00,0.7243,10.77,1,0,2.9886,ACCEPT,0,704,563,32767,0,0,223,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-7.4387,1.0546,-251,16,-9,0.0996,375.60,458.62,121.00,136.00,379.00,450.50,104.00,167.00,0.7187,8.81,0,0,0.0000,NOT_RUN,0,974,691,0,0,0,251,0,0,0,0
8,0,1,1,ACCEPT,7.1268,1.0261,236,0,-6,0.3305,375.60,439.50,121.00,136.00,376.00,449.00,114.00,148.00,0.8289,9.51,1,0,2.7258,ACCEPT,0,880,735,32767,0,0,236,0,0,0,0
9,0,1,1,ACCEPT,11.5128,1.7458,515,2,-2,0.6233,381.27,433.12,121.00,136.00,379.50,440.50,109.00,157.00,0.7908,7.59,1,0,2.7212,ACCEPT,0,1603,792,32767,0,0,515,0,0,0,0
10,0,1,1,ACCEPT,9.1075,1.1783,456,2,-4,0.3092,386.95,420.38,121.00,136.00,389.00,428.00,120.00,170.00,0.7764,7.90,1,0,2.2570,ACCEPT,0,1445,887,32767,0,0,456,0,0,0,0
11,0,1,1,ACCEPT,9.2774,1.4832,531,-2,-2,0.5348,381.27,414.00,121.00,136.00,383.50,422.00,115.00,158.00,0.8238,8.30,1,0,2.6925,ACCEPT,0,1463,901,28949,0,0,531,0,0,0,0
12,0,1,1,ACCEPT,9.6110,1.6686,589,1,-7,0.2326,384.11,391.69,125.84,141.44,383.00,392.50,112.00,173.00,0.7426,1.38,1,1,2.3669,ACCEPT,0,1799,981,21864,0,0,589,0,0,0,0
13,0,1,1,ACCEPT,14.5299,2.1280,898,-2,-8,0.0924,378.20,365.19,125.84,141.44,379.00,362.50,110.00,157.00,0.7974,2.80,1,0,2.9552,ACCEPT,0,1892,839,28940,0,0,898,0,0,0,0
14,0,1,1,ACCEPT,12.8103,1.8259,944,0,-5,0.3400,378.20,348.62,125.84,141.44,377.50,349.00,115.00,152.00,0.8555,0.80,1,0,2.9591,ACCEPT,0,2390,908,24840,0,0,944,0,0,0,0
15,0,1,1,ACCEPT,14.7441,3.0719,1026,1,-8,0.0166,381.16,322.12,125.84,141.44,381.00,322.00,110.00,156.00,0.8020,0.20,1,0,2.7834,ACCEPT,0,2328,816,24507,0,0,1026,0,0,0,0
16,0,1,1,ACCEPT,17.3419,2.4674,1172,0,-4,0.4863,381.16,308.88,125.84,141.44,381.50,318.00,111.00,142.00,0.7811,9.13,1,0,2.4608,ACCEPT,0,1860,748,26714,0,0,1172,0,0,0,0
17,0,1,1,ACCEPT,12.2576,1.8469,953,1,-4,0.3536,384.11,295.62,125.84,141.44,382.00,294.00,114.00,136.00,0.8711,2.66,1,0,2.7605,ACCEPT,0,1977,803,20436,0,0,953,0,0,0,0
18,0,1,1,ACCEPT,13.6217,2.0052,1165,-1,-1,0.8996,381.16,292.31,125.84,141.44,384.50,281.50,109.00,135.00,0.7456,11.32,1,0,2.5948,ACCEPT,0,2599,720,23523,0,0,1165,0,0,0,0
19,0,1,1,ACCEPT,13.4407,2.0208,1261,0,-2,0.6463,381.16,285.69,125.84,141.44,378.50,283.00,113.00,108.00,0.6857,3.78,1,0,2.5233,ACCEPT,0,3070,589,23999,0,0,1261,0,0,0,0
20,0,1,1,ACCEPT,9.9988,1.4964,826,0,-3,0.7191,381.16,275.75,121.00,136.00,379.50,279.50,115.00,93.00,0.6499,4.10,1,-1,2.0309,ACCEPT,0,2674,586,25618,0,0,826,0,0,0,0
