frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,59.00,352.00,40.00,40.00,59.00,352.00,40.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4277,21793,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,6.5256,1.3353,227,-5,1,0.6784,54.31,352.94,40.00,40.00,52.50,352.50,43.00,35.00,0.8095,1.86,1,0,2.4416,ACCEPT,0,1457,3458,7026,0,0,227,0,0,0,0
2,0,1,1,ACCEPT,10.5695,1.7429,122,-9,1,0.1639,45.88,353.88,40.00,40.00,45.50,351.00,47.00,32.00,0.7018,2.90,1,0,2.8223,ACCEPT,0,602,3877,21980,0,0,122,0,0,0,0
3,0,1,1,ACCEPT,17.7825,3.2381,544,-8,1,0.1268,38.38,354.81,40.00,40.00,40.50,352.00,51.00,34.00,0.6890,3.53,1,0,2.8426,ACCEPT,0,1119,3192,25640,0,0,544,0,0,0,0
4,0,1,1,ACCEPT,14.0579,1.7367,488,-4,3,0.4611,34.62,357.62,40.00,40.00,37.50,352.50,51.00,39.00,0.6210,5.88,1,0,2.7164,ACCEPT,0,1304,2999,25873,0,0,488,0,0,0,0
5,0,1,1,ACCEPT,16.1161,2.0404,657,0,3,0.3592,34.62,360.44,40.00,40.00,39.50,357.00,53.00,40.00,0.6478,5.97,1,0,2.7953,ACCEPT,0,1341,2833,26546,0,0,657,0,0,0,0
6,0,1,1,ACCEPT,13.2414,2.5210,600,7,5,0.0617,41.19,365.12,40.00,40.00,43.00,365.00,48.00,40.00,0.8286,1.82,1,0,2.6075,ACCEPT,0,1573,1660,26892,0,0,600,0,0,0,0
7,0,1,1,ACCEPT,9.8406,1.0429,365,5,6,0.0630,45.88,370.75,40.00,40.00,52.00,370.00,44.00,38.00,0.7142,6.17,1,0,2.5803,ACCEPT,0,1199,2033,30322,0,0,365,0,0,0,0
8,0,1,1,ACCEPT,11.5374,1.8667,448,11,5,0.1250,56.19,375.44,40.00,40.00,58.00,375.00,44.00,40.00,0.8903,1.86,1,0,2.4926,ACCEPT,0,1392,3114,26982,0,0,448,0,0,0,0
9,0,1,1,ACCEPT,8.9069,1.6405,502,13,7,0.0478,68.38,382.00,40.00,40.00,66.00,378.50,40.00,39.00,0.7502,4.23,1,0,1.9732,LOW_CONF,0,1805,2521,26626,0,0,502,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-6.0984,1.0168,-303,-10,24,0.2178,68.38,382.00,40.00,40.00,73.50,383.00,45.00,40.00,0.7504,5.22,0,0,0.0000,NOT_RUN,0,1718,2001,0,0,0,303,0,0,0,0
11,0,1,1,ACCEPT,7.6483,1.2689,387,16,6,0.1628,83.38,387.62,40.00,40.00,79.50,386.50,45.00,39.00,0.7915,4.04,1,0,3.1201,ACCEPT,0,1583,2569,22669,0,0,387,0,0,0,0
12,0,1,1,ACCEPT,11.0218,1.9046,579,1,-3,0.5026,84.31,384.81,40.00,40.00,82.00,379.50,40.00,41.00,0.6929,5.79,1,0,2.7524,ACCEPT,0,1770,2486,30359,0,0,579,0,0,0,0
13,0,1,1,ACCEPT,9.3720,1.5515,723,-6,-6,0.1245,78.69,379.19,40.00,40.00,77.00,379.00,46.00,36.00,0.7930,1.70,1,0,2.6545,ACCEPT,0,3100,1692,29936,0,0,723,0,0,0,0
14,0,1,1,ACCEPT,11.4992,1.8511,572,-11,-8,0.1696,68.38,371.69,40.00,40.00,72.00,370.50,44.00,41.00,0.7959,3.81,1,0,2.7968,ACCEPT,0,1187,3876,22836,0,0,572,0,0,0,0
15,0,1,1,ACCEPT,9.0297,1.6952,495,-8,-9,0.3434,60.88,363.25,40.00,40.00,65.50,362.00,49.00,42.00,0.7646,4.79,1,0,2.5264,ACCEPT,0,1641,3297,27008,0,0,495,0,0,0,0
16,0,1,1,ACCEPT,10.6893,1.6948,583,-9,-8,0.2384,52.44,355.75,40.00,40.00,55.50,353.50,47.00,43.00,0.7655,3.80,1,0,2.3829,ACCEPT,0,1409,855,32767,0,0,583,0,0,0,0
17,0,1,1,ACCEPT,11.5953,1.9475,594,-6,-9,0.0741,46.81,347.31,40.00,40.00,48.00,349.00,46.00,44.00,0.7905,2.06,1,0,2.4972,ACCEPT,0,1281,789,32767,0,0,594,0,0,0,0
18,0,1,1,ACCEPT,14.1761,2.3881,683,-6,-6,0.1991,41.19,341.69,40.00,40.00,43.00,342.50,42.00,37.00,0.8509,1.99,1,0,1.8387,LOW_CONF,0,1438,867,32767,0,0,683,0,0,0,0
19,0,1,1,ACCEPT,17.2328,3.0328,1201,-3,-4,0.1149,38.38,337.94,40.00,40.00,39.50,338.50,35.00,39.00,0.8506,1.26,1,0,2.4634,ACCEPT,0,2583,990,32767,0,0,1201,0,0,0,0
20,0,1,1,ACCEPT,17.2149,2.4165,1259,-1,-1,0.9651,37.44,337.00,40.00,40.00,41.00,339.00,38.00,38.00,0.7567,4.09,1,0,2.3899,ACCEPT,0,2218,1290,32767,0,0,1259,0,0,0,0
21,0,1,1,ACCEPT,9.5468,1.3073,855,5,0,0.8082,42.12,337.00,40.00,40.00,38.50,338.50,47.00,39.00,0.7901,3.92,1,0,1.9960,LOW_CONF,0,2898,2764,25328,0,0,855,0,0,0,0
22,0,1,1,ACCEPT,9.6845,1.1137,725,8,-3,0.6786,49.62,334.19,41.60,41.60,44.00,340.50,50.00,41.00,0.5919,8.46,1,1,2.2333,ACCEPT,0,2724,3208,23241,0,0,725,0,0,0,0
23,0,1,1,ACCEPT,8.1869,1.3708,695,0,6,0.3223,49.62,340.05,43.26,43.26,48.50,342.50,45.00,41.00,0.8489,2.70,1,1,2.6129,ACCEPT,0,2976,829,32767,0,0,695,0,0,0,0
