frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,367.00,198.00,104.00,128.00,367.00,198.00,104.00,128.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1923,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,46.6886,5.7449,563,-1,0,0.9290,364.56,198.00,104.00,128.00,366.00,203.50,106.00,137.00,0.8958,5.68,1,0,2.8730,ACCEPT,0,483,1782,32767,0,0,563,0,0,0,0
2,0,1,1,ACCEPT,20.6253,2.6452,328,2,1,0.6037,369.44,201.00,104.00,128.00,372.00,214.00,106.00,140.00,0.7866,13.25,1,0,3.3101,ACCEPT,0,565,1817,32767,0,0,328,0,0,0,0
3,0,1,1,ACCEPT,16.2088,1.4932,327,1,-1,0.8807,371.88,198.00,104.00,128.00,371.50,222.00,107.00,136.00,0.6753,24.00,1,0,2.9870,ACCEPT,0,570,1674,32767,0,0,327,0,0,0,0
4,0,1,1,ACCEPT,13.6916,1.4884,256,0,3,0.3086,371.88,207.00,100.00,123.08,370.00,232.00,102.00,132.00,0.6512,25.07,1,-1,2.4662,ACCEPT,0,615,1630,32767,0,0,256,0,0,0,0
5,0,1,1,ACCEPT,10.1289,1.6453,283,1,3,0.4417,374.22,215.65,100.00,123.08,374.00,243.50,108.00,131.00,0.5998,27.85,1,10,1.4425,MAX_STEP,0,796,1615,32767,0,0,283,0,0,0,0
6,0,1,1,ACCEPT,12.2169,1.9000,399,1,0,0.8170,376.56,215.65,100.00,123.08,369.00,257.50,98.00,123.00,0.4383,42.53,1,0,2.9759,ACCEPT,0,904,1628,32767,0,0,399,0,0,0,0
7,0,1,1,ACCEPT,6.9050,1.0039,258,0,5,0.7946,376.56,230.06,100.00,123.08,367.50,265.00,99.00,120.00,0.4789,36.09,1,0,2.4103,ACCEPT,0,953,1643,32767,0,0,258,0,0,0,0
8,0,1,1,ACCEPT,7.0777,1.0806,335,0,3,0.5254,376.56,238.71,100.00,123.08,367.50,269.00,101.00,122.00,0.5209,31.62,1,0,2.4440,ACCEPT,0,1276,1615,32767,0,0,335,0,0,0,0
9,0,1,1,ACCEPT,8.1322,1.0818,476,1,-10,0.5777,378.91,209.88,100.00,123.08,368.50,273.00,101.00,128.00,0.2868,63.97,1,-10,1.9772,MAX_STEP,0,2120,1640,32767,0,0,476,0,0,0,0
