frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,281.50,828.00,103.00,178.00,281.50,828.00,103.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1670,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,68.2646,11.9155,846,0,0,1.0000,281.50,828.00,107.12,185.12,284.50,827.50,99.00,171.00,0.8537,3.04,1,1,2.8855,ACCEPT,0,531,1599,32767,0,0,846,0,0,0,0
2,0,1,1,ACCEPT,44.6821,7.0164,856,0,0,1.0000,281.50,828.00,107.12,185.12,291.00,829.50,90.00,177.00,0.7883,9.62,1,0,2.6488,ACCEPT,0,620,1515,32767,0,0,856,0,0,0,0
3,0,1,1,ACCEPT,40.4783,6.5041,800,0,0,1.0000,281.50,828.00,107.12,185.12,291.50,830.50,91.00,177.00,0.7814,10.31,1,0,2.4518,ACCEPT,0,702,1331,32767,0,0,800,0,0,0,0
4,0,1,1,ACCEPT,38.3333,5.6434,728,0,0,1.0000,281.50,828.00,103.00,178.00,292.50,830.50,87.00,179.00,0.7731,11.28,1,-1,2.7906,ACCEPT,0,686,1315,32767,0,0,728,0,0,0,0
5,0,1,1,ACCEPT,39.6555,5.4685,782,0,0,1.0000,281.50,828.00,103.00,178.00,293.50,832.50,91.00,177.00,0.7451,12.82,1,0,3.1870,ACCEPT,0,789,1161,32767,0,0,782,0,0,0,0
6,0,1,1,ACCEPT,34.0069,3.1435,723,0,0,1.0000,281.50,828.00,103.00,178.00,292.00,835.00,94.00,172.00,0.7498,12.62,1,0,3.3527,ACCEPT,0,858,1130,32767,0,0,723,0,0,0,0
7,0,1,1,ACCEPT,33.4173,3.0271,781,0,0,1.0000,281.50,828.00,103.00,178.00,293.50,836.50,93.00,171.00,0.7152,14.71,1,0,3.3453,ACCEPT,0,919,1269,32767,0,0,781,0,0,0,0
8,0,1,1,ACCEPT,33.9453,3.0370,984,0,0,1.0000,281.50,828.00,103.00,178.00,293.50,843.50,95.00,175.00,0.6685,19.60,1,0,3.3042,ACCEPT,0,1089,1001,32767,0,0,984,0,0,0,0
9,0,1,1,ACCEPT,35.5828,3.2522,1096,0,0,1.0000,281.50,828.00,103.00,178.00,292.50,840.50,97.00,163.00,0.7002,16.65,1,0,3.2483,ACCEPT,0,1178,918,32767,0,0,1096,0,0,0,0
10,0,1,1,ACCEPT,36.2417,4.4894,1266,0,0,1.0000,281.50,828.00,103.00,178.00,292.50,841.00,97.00,160.00,0.6952,17.03,1,0,3.2474,ACCEPT,0,1288,953,32767,0,0,1266,0,0,0,0
11,0,1,1,ACCEPT,34.9773,4.9221,1201,0,0,1.0000,281.50,828.00,103.00,178.00,291.00,844.50,100.00,157.00,0.6897,19.04,1,0,3.0208,ACCEPT,0,1278,1027,32767,0,0,1201,0,0,0,0
12,0,1,1,ACCEPT,35.7595,5.6017,1294,0,1,0.9985,281.50,832.17,103.00,178.00,291.00,841.50,98.00,173.00,0.7498,13.31,1,0,2.4840,ACCEPT,0,1314,1096,32767,0,0,1294,0,0,0,0
13,0,1,1,ACCEPT,38.3991,4.7450,1433,0,0,1.0000,281.50,832.17,103.00,178.00,287.50,842.00,99.00,170.00,0.7970,11.51,1,0,2.5133,ACCEPT,0,1455,1135,32767,0,0,1433,0,0,0,0
14,0,1,1,ACCEPT,38.6073,5.0382,1451,0,0,1.0000,281.50,832.17,103.00,178.00,287.00,845.50,96.00,165.00,0.7701,14.42,1,0,2.5552,ACCEPT,0,1491,1109,32767,0,0,1451,0,0,0,0
15,0,1,1,ACCEPT,40.6200,5.5200,1656,0,0,1.0000,281.50,832.17,103.00,178.00,286.00,847.50,94.00,163.00,0.7649,15.98,1,0,2.5202,ACCEPT,0,1631,1106,32767,0,0,1656,0,0,0,0
16,0,1,1,ACCEPT,39.1377,6.0132,1816,0,0,1.0000,281.50,832.17,99.04,171.15,286.00,848.00,98.00,162.00,0.7598,16.46,1,-1,2.2058,ACCEPT,0,1799,1138,32767,0,0,1816,0,0,0,0
17,0,1,1,ACCEPT,35.8856,5.0027,1841,0,0,1.0000,281.50,832.17,99.04,171.15,287.00,850.50,100.00,161.00,0.7250,19.14,1,0,2.1622,ACCEPT,0,1967,1156,32767,0,0,1841,0,0,0,0
18,0,1,1,ACCEPT,36.5712,4.4188,1878,0,1,0.9968,281.50,836.18,99.04,171.15,287.00,856.50,102.00,173.00,0.7147,21.05,1,0,2.1740,ACCEPT,0,1883,1172,32767,0,0,1878,0,0,0,0
19,0,1,1,ACCEPT,35.7826,4.1782,1876,0,0,1.0000,281.50,836.18,95.23,164.57,279.00,860.00,116.00,184.00,0.6316,23.95,1,-1,2.0630,ACCEPT,0,1930,1186,30611,0,0,1876,0,0,0,0
20,0,1,1,ACCEPT,31.2723,3.6836,1816,0,1,0.9681,281.50,840.04,95.23,164.57,274.00,865.00,130.00,188.00,0.5607,26.06,1,0,2.1357,ACCEPT,0,2066,1162,29172,0,0,1816,0,0,0,0
21,0,1,1,ACCEPT,27.7043,3.6828,1672,0,0,1.0000,281.50,840.04,95.23,164.57,281.50,866.50,159.00,185.00,0.4562,26.46,1,0,1.8206,LOW_CONF,0,2187,1205,29273,0,0,1672,0,0,0,0
22,0,1,1,ACCEPT,26.1083,2.6342,1570,0,0,1.0000,281.50,840.04,95.23,164.57,284.50,868.00,165.00,182.00,0.4343,28.12,1,0,1.7803,LOW_CONF,0,2162,1231,27114,0,0,1570,0,0,0,0
23,0,1,1,ACCEPT,25.3849,2.2077,1488,0,0,1.0000,281.50,840.04,95.23,164.57,274.50,870.00,145.00,178.00,0.4802,30.77,1,0,1.7894,LOW_CONF,0,2060,1136,27686,0,0,1488,0,0,0,0
24,0,1,1,ACCEPT,24.3846,2.1085,1438,0,0,1.0000,281.50,840.04,95.23,164.57,272.00,872.50,140.00,173.00,0.4824,33.82,1,-1,1.6759,LOW_CONF,0,1894,1057,28174,0,0,1438,0,0,0,0
25,0,1,1,ACCEPT,23.2937,2.2345,1439,0,0,1.0000,281.50,840.04,95.23,164.57,269.00,873.00,134.00,172.00,0.4989,35.25,1,-1,1.4802,LOW_CONF,0,1947,1126,26438,0,0,1439,0,0,0,0
26,0,1,1,ACCEPT,20.2664,2.1772,1315,0,0,1.0000,281.50,840.04,95.23,164.57,269.50,877.50,135.00,163.00,0.4690,39.34,1,-1,1.2911,LOW_CONF,0,1879,1134,27284,0,0,1315,0,0,0,0
27,0,1,1,ACCEPT,23.8907,2.6860,1480,0,0,1.0000,281.50,840.04,95.23,164.57,268.50,878.00,133.00,162.00,0.4720,40.13,1,-12,1.9905,MAX_STEP,0,1889,1116,26687,0,0,1480,0,0,0,0
28,0,1,1,ACCEPT,25.9063,2.9404,1529,0,0,1.0000,281.50,840.04,95.23,164.57,268.50,879.50,133.00,159.00,0.4628,41.55,1,-12,1.8946,MAX_STEP,0,1903,1098,27029,0,0,1529,0,0,0,0
29,0,1,1,ACCEPT,25.4205,2.6273,1558,0,0,1.0000,281.50,840.04,95.23,164.57,266.50,880.00,129.00,158.00,0.4716,42.68,1,-11,1.8414,MAX_STEP,0,1901,1178,25498,0,0,1558,0,0,0,0
30,0,1,1,ACCEPT,20.9574,2.4107,1350,0,0,1.0000,281.50,840.04,95.23,164.57,267.50,883.00,131.00,152.00,0.4464,45.18,1,-12,1.9460,MAX_STEP,0,2160,1218,25432,0,0,1350,0,0,0,0
31,0,1,1,ACCEPT,20.4651,3.3958,1304,0,0,1.0000,281.50,840.04,95.23,164.57,269.00,883.50,134.00,151.00,0.4352,45.22,1,-12,1.7969,MAX_STEP,0,2006,1157,26339,0,0,1304,0,0,0,0
32,0,1,1,ACCEPT,20.9693,3.6693,1420,0,0,1.0000,281.50,840.04,95.23,164.57,267.50,890.50,131.00,137.00,0.3970,52.37,1,-13,1.9773,MAX_STEP,0,2244,1127,25540,0,0,1420,0,0,0,0
33,0,1,1,ACCEPT,21.0763,3.7069,1442,0,1,0.9861,281.50,843.90,95.23,164.57,271.00,891.00,134.00,136.00,0.4082,48.26,1,-9,1.8336,MAX_STEP,0,2199,1088,25818,0,0,1442,0,0,0,0
34,0,1,1,ACCEPT,19.6225,3.0486,1317,0,0,1.0000,281.50,843.90,95.23,164.57,273.50,893.00,131.00,132.00,0.4016,49.75,1,-9,1.9961,MAX_STEP,0,2095,1118,24065,0,0,1317,0,0,0,0
35,0,1,1,ACCEPT,20.7661,2.8158,1422,0,0,1.0000,281.50,843.90,95.23,164.57,275.50,894.00,113.00,130.00,0.4385,50.46,1,-9,2.1017,MAX_STEP,0,2236,1208,25728,0,0,1422,0,0,0,0
36,0,1,1,ACCEPT,20.1134,2.0172,1408,0,-1,0.9993,281.50,840.04,95.23,164.57,268.00,895.00,104.00,128.00,0.3724,56.59,1,0,2.3849,ACCEPT,0,2339,1270,26654,0,0,1408,0,0,0,0
37,0,1,1,ACCEPT,22.1800,2.2590,1448,0,0,1.0000,281.50,840.04,95.23,164.57,270.00,894.00,108.00,130.00,0.3948,55.17,1,0,2.6697,ACCEPT,0,2235,1318,27248,0,0,1448,0,0,0,0
38,0,1,1,ACCEPT,24.9541,2.5141,1609,0,0,1.0000,281.50,840.04,95.23,164.57,268.50,896.00,105.00,126.00,0.3684,57.45,1,0,2.9303,ACCEPT,0,2191,1315,28645,0,0,1609,0,0,0,0
39,0,1,1,ACCEPT,27.5280,3.0551,1720,0,0,1.0000,281.50,840.04,95.23,164.57,265.00,902.00,98.00,114.00,0.3000,64.12,1,0,3.0991,ACCEPT,0,2169,1362,31604,0,0,1720,0,0,0,0
40,0,1,1,ACCEPT,29.3312,3.4868,1848,0,0,1.0000,281.50,840.04,95.23,164.57,265.00,898.00,102.00,122.00,0.3319,60.26,1,0,3.1941,ACCEPT,0,2272,1384,32767,0,0,1848,0,0,0,0
41,0,1,1,ACCEPT,28.5578,3.2834,1796,0,1,0.9989,281.50,843.90,95.23,164.57,264.50,900.50,97.00,117.00,0.3271,59.10,1,0,1.5360,LOW_CONF,0,2303,1375,32767,0,0,1796,0,0,0,0
42,0,1,1,ACCEPT,29.1362,3.3022,1770,0,0,1.0000,281.50,843.90,95.23,164.57,264.50,900.00,99.00,118.00,0.3324,58.62,1,-8,1.5363,MAX_STEP,0,2300,1394,31731,0,0,1770,0,0,0,0
43,0,1,1,ACCEPT,30.2896,3.7591,1763,0,0,1.0000,281.50,843.90,95.23,164.57,264.50,906.50,101.00,105.00,0.2867,64.87,1,-8,1.4945,MAX_STEP,0,2251,1399,30744,0,0,1763,0,0,0,0
44,0,1,1,ACCEPT,27.9371,3.7556,1690,0,0,1.0000,281.50,843.90,95.23,164.57,264.00,904.00,100.00,110.00,0.3018,62.60,1,-8,1.4425,MAX_STEP,0,2165,1374,31340,0,0,1690,0,0,0,0
45,0,1,1,ACCEPT,30.9679,4.1579,1738,0,0,1.0000,281.50,843.90,95.23,164.57,262.00,904.50,100.00,109.00,0.2886,63.66,1,0,1.3315,LOW_CONF,0,2152,1403,31823,0,0,1738,0,0,0,0
46,0,1,1,ACCEPT,27.7208,3.9880,1667,0,0,1.0000,281.50,843.90,95.23,164.57,260.00,909.50,102.00,99.00,0.2470,69.03,1,-10,1.4108,MAX_STEP,0,2197,1392,32767,0,0,1667,0,0,0,0
47,0,1,1,ACCEPT,29.3198,3.7923,1862,0,-1,0.9962,281.50,840.04,95.23,164.57,259.50,911.50,101.00,95.00,0.2131,74.77,1,0,2.0274,ACCEPT,0,2265,1375,32767,0,0,1862,0,0,0,0
48,0,1,1,ACCEPT,32.2707,4.1918,2033,0,0,1.0000,281.50,840.04,91.57,158.24,259.00,913.50,102.00,91.00,0.1903,76.83,1,-1,2.5752,ACCEPT,0,2236,1343,32767,0,0,2033,0,0,0,0
49,0,1,1,ACCEPT,29.5006,3.6673,1896,1,0,0.9974,283.65,840.04,91.57,158.24,259.50,918.00,101.00,82.00,0.1541,81.62,1,-1,1.9631,LOW_CONF,0,2102,1339,32767,0,0,1896,0,0,0,0
50,0,1,1,ACCEPT,32.1626,4.3222,2079,0,0,1.0000,283.65,840.04,88.04,152.16,258.00,919.00,104.00,80.00,0.1367,83.02,1,-1,2.2643,ACCEPT,0,2196,1302,32768,0,0,2079,0,0,0,0
51,0,1,1,ACCEPT,24.2563,3.6731,1708,0,0,1.0000,283.65,840.04,88.04,152.16,257.00,919.50,100.00,79.00,0.1290,83.81,1,0,2.3728,ACCEPT,0,2790,1308,32281,0,0,1708,0,0,0,0
52,0,1,1,ACCEPT,26.5037,4.2593,1840,0,0,1.0000,283.65,840.04,88.04,152.16,257.50,922.00,103.00,74.00,0.1145,86.03,1,0,2.4669,ACCEPT,0,2639,1355,31704,0,0,1840,0,0,0,0
53,0,1,1,ACCEPT,28.9107,4.5183,1970,0,0,1.0000,283.65,840.04,88.04,152.16,248.00,922.50,86.00,73.00,0.0854,89.84,1,0,2.5633,ACCEPT,0,2500,1361,31111,0,0,1970,0,0,0,0
54,0,1,1,ACCEPT,31.3901,5.0647,2112,0,0,1.0000,283.65,840.04,88.04,152.16,247.00,923.50,86.00,71.00,0.0783,91.15,1,0,2.7182,ACCEPT,0,2321,1329,30848,0,0,2112,0,0,0,0
55,0,1,1,ACCEPT,33.5299,5.3096,2092,0,0,1.0000,283.65,840.04,88.04,152.16,246.00,924.50,86.00,69.00,0.0715,92.47,1,0,2.7820,ACCEPT,0,2212,1288,30525,0,0,2092,0,0,0,0
56,0,1,1,ACCEPT,30.2680,4.4452,1987,0,0,1.0000,283.65,840.04,88.04,152.16,244.00,925.00,88.00,68.00,0.0669,93.76,1,0,2.7919,ACCEPT,0,2260,1284,32767,0,0,1987,0,0,0,0
57,0,1,1,ACCEPT,33.7853,6.3596,2264,0,0,1.0000,283.65,840.04,88.04,152.16,243.50,926.00,89.00,66.00,0.0616,94.87,1,0,2.8334,ACCEPT,0,2365,1222,32767,0,0,2264,0,0,0,0
58,0,1,1,ACCEPT,36.6350,5.9569,2347,0,0,1.0000,283.65,840.04,88.04,152.16,243.50,927.50,89.00,63.00,0.0540,96.24,1,0,2.8856,ACCEPT,0,2421,1223,31278,0,0,2347,0,0,0,0
59,0,1,1,ACCEPT,37.8105,5.0346,2331,0,0,1.0000,283.65,840.04,88.04,152.16,243.50,927.00,91.00,64.00,0.0574,95.78,1,0,2.9099,ACCEPT,0,2368,1187,30398,0,0,2331,0,0,0,0
60,0,1,1,ACCEPT,38.5126,5.2073,2411,0,0,1.0000,283.65,840.04,88.04,152.16,245.00,929.00,94.00,60.00,0.0494,96.99,1,0,2.9051,ACCEPT,0,2406,1124,28155,0,0,2411,0,0,0,0
61,0,1,1,ACCEPT,34.5684,4.6107,2416,0,0,1.0000,283.65,840.04,88.04,152.16,246.50,928.50,91.00,61.00,0.0527,95.94,1,0,2.8974,ACCEPT,0,2408,1176,29134,0,0,2416,0,0,0,0
62,0,1,1,ACCEPT,33.8318,6.2594,2341,0,0,1.0000,283.65,840.04,88.04,152.16,248.00,928.50,94.00,61.00,0.0553,95.37,1,0,2.9184,ACCEPT,0,2158,1198,28177,0,0,2341,0,0,0,0
63,0,1,1,ACCEPT,34.8604,6.3973,2367,0,0,1.0000,283.65,840.04,88.04,152.16,249.00,927.00,96.00,64.00,0.0661,93.61,1,0,2.9612,ACCEPT,0,2090,1216,27351,0,0,2367,0,0,0,0
64,0,1,1,ACCEPT,36.2529,5.5248,2337,0,0,1.0000,283.65,840.04,88.04,152.16,250.00,927.50,96.00,63.00,0.0643,93.71,1,0,3.0206,ACCEPT,0,2064,1199,28129,0,0,2337,0,0,0,0
65,0,1,1,ACCEPT,38.5027,5.7220,2346,0,0,1.0000,283.65,840.04,88.04,152.16,250.00,927.50,96.00,63.00,0.0643,93.71,1,0,3.0401,ACCEPT,0,2094,1221,28579,0,0,2346,0,0,0,0
66,0,1,1,ACCEPT,39.9024,5.5548,2383,0,0,1.0000,283.65,840.04,88.04,152.16,251.00,929.50,96.00,59.00,0.0529,95.23,1,0,3.0524,ACCEPT,0,2119,1205,28774,0,0,2383,0,0,0,0
67,0,1,1,ACCEPT,44.1598,6.4890,2362,0,0,1.0000,283.65,840.04,88.04,152.16,252.50,930.00,97.00,58.00,0.0513,95.20,1,0,3.0279,ACCEPT,0,1880,1211,28172,0,0,2362,0,0,0,0
68,0,1,1,ACCEPT,47.6319,7.3757,2493,0,0,1.0000,283.65,840.04,88.04,152.16,252.00,931.50,96.00,55.00,0.0408,96.78,1,0,3.0536,ACCEPT,0,1915,1228,28333,0,0,2493,0,0,0,0
69,0,1,1,ACCEPT,46.9679,6.5299,2625,0,0,1.0000,283.65,840.04,88.04,152.16,253.00,931.00,96.00,56.00,0.0448,95.99,1,0,3.0990,ACCEPT,0,2220,1217,28156,0,0,2625,0,0,0,0
70,0,1,1,ACCEPT,46.8601,7.3257,2564,0,0,1.0000,283.65,840.04,88.04,152.16,252.50,931.00,95.00,56.00,0.0442,96.15,1,0,3.0727,ACCEPT,0,2069,1238,26174,0,0,2564,0,0,0,0
71,0,1,1,ACCEPT,49.2648,5.6507,2718,0,0,1.0000,283.65,840.04,88.04,152.16,253.00,931.50,100.00,55.00,0.0424,96.46,1,0,3.0850,ACCEPT,0,2110,1213,27772,0,0,2718,0,0,0,0
72,0,1,1,ACCEPT,50.8933,5.4607,2845,0,0,1.0000,283.65,840.04,88.04,152.16,253.00,932.00,98.00,54.00,0.0385,96.93,1,0,3.1045,ACCEPT,0,2206,1183,29199,0,0,2845,0,0,0,0
73,0,1,1,ACCEPT,50.3843,5.1309,2940,0,0,1.0000,283.65,840.04,88.04,152.16,254.50,931.50,101.00,55.00,0.0436,95.99,1,0,3.1539,ACCEPT,0,2296,1222,29575,0,0,2940,0,0,0,0
74,0,1,1,ACCEPT,46.8044,5.1057,2512,0,0,1.0000,283.65,840.04,88.04,152.16,254.50,933.00,99.00,52.00,0.0327,97.42,1,0,3.1595,ACCEPT,0,2193,1077,27406,0,0,2512,0,0,0,0
75,0,1,1,ACCEPT,48.1464,6.0171,2461,0,0,1.0000,283.65,840.04,88.04,152.16,254.50,932.50,99.00,53.00,0.0362,96.95,1,0,3.1879,ACCEPT,0,2125,1055,29605,0,0,2461,0,0,0,0
76,0,1,1,ACCEPT,47.7415,6.6702,2508,0,0,1.0000,283.65,840.04,88.04,152.16,254.00,932.50,96.00,53.00,0.0353,97.10,1,0,3.1475,ACCEPT,0,2231,1036,29704,0,0,2508,0,0,0,0
77,0,1,1,ACCEPT,47.8582,7.2455,2420,0,0,1.0000,283.65,840.04,88.04,152.16,254.00,932.00,94.00,54.00,0.0384,96.62,1,0,3.1142,ACCEPT,0,2232,1060,28289,0,0,2420,0,0,0,0
78,0,1,1,ACCEPT,48.8975,7.8318,2514,0,0,1.0000,283.65,840.04,88.04,152.16,256.00,931.50,100.00,55.00,0.0445,95.55,1,0,3.1233,ACCEPT,0,2198,1069,28879,0,0,2514,0,0,0,0
79,0,1,1,ACCEPT,49.7290,7.8418,2478,0,0,1.0000,283.65,840.04,88.04,152.16,256.00,931.50,102.00,55.00,0.0449,95.55,1,0,3.1501,ACCEPT,0,2155,1058,28643,0,0,2478,0,0,0,0
80,0,1,1,ACCEPT,49.0573,8.6585,2485,0,0,1.0000,283.65,840.04,88.04,152.16,256.00,931.50,104.00,55.00,0.0453,95.55,1,0,3.1648,ACCEPT,0,2156,1063,27315,0,0,2485,0,0,0,0
81,0,1,1,ACCEPT,45.0399,7.3937,2329,0,0,1.0000,283.65,840.04,88.04,152.16,256.00,930.50,106.00,57.00,0.0531,94.59,1,0,3.1293,ACCEPT,0,2233,1003,26305,0,0,2329,0,0,0,0
82,0,1,1,ACCEPT,47.1505,7.2951,2225,0,0,1.0000,283.65,840.04,88.04,152.16,256.00,926.00,106.00,66.00,0.0854,90.30,1,0,3.1176,ACCEPT,0,1989,1017,24938,0,0,2225,0,0,0,0
83,0,1,1,ACCEPT,49.2754,7.9028,2276,0,0,1.0000,283.65,840.04,88.04,152.16,255.00,927.00,104.00,64.00,0.0764,91.56,1,0,3.1231,ACCEPT,0,1907,1023,26219,0,0,2276,0,0,0,0
84,0,1,1,ACCEPT,49.6802,7.7884,2282,0,0,1.0000,283.65,840.04,88.04,152.16,251.50,926.50,97.00,65.00,0.0727,92.24,1,0,3.1390,ACCEPT,0,1829,1021,25712,0,0,2282,0,0,0,0
85,0,1,1,ACCEPT,50.1857,7.8435,2306,0,0,1.0000,283.65,840.04,88.04,152.16,253.50,926.00,101.00,66.00,0.0801,91.09,1,0,3.1525,ACCEPT,0,1793,1040,26678,0,0,2306,0,0,0,0
86,0,1,1,ACCEPT,46.3052,7.6634,2345,0,0,1.0000,283.65,840.04,88.04,152.16,251.50,924.50,99.00,69.00,0.0861,90.37,1,0,3.1652,ACCEPT,0,1968,1052,27964,0,0,2345,0,0,0,0
87,0,1,1,ACCEPT,45.0427,7.2403,2230,0,0,1.0000,283.65,840.04,88.04,152.16,253.50,919.00,103.00,80.00,0.1263,84.52,1,0,3.1622,ACCEPT,0,1925,1095,28821,0,0,2230,0,0,0,0
88,0,1,1,ACCEPT,48.3541,7.4310,2207,0,0,1.0000,283.65,840.04,88.04,152.16,255.00,918.50,108.00,81.00,0.1356,83.53,1,0,3.1588,ACCEPT,0,1715,1106,29754,0,0,2207,0,0,0,0
89,0,1,1,ACCEPT,48.1666,8.0217,2214,0,0,1.0000,283.65,840.04,88.04,152.16,256.00,916.00,108.00,86.00,0.1544,80.84,1,0,3.1721,ACCEPT,0,1653,1108,31547,0,0,2214,0,0,0,0
90,0,1,1,ACCEPT,50.5969,8.2340,2322,0,0,1.0000,283.65,840.04,88.04,152.16,256.50,917.00,109.00,84.00,0.1496,81.61,1,0,3.1792,ACCEPT,0,1662,1082,32767,0,0,2322,0,0,0,0
91,0,1,1,ACCEPT,53.0282,8.4586,2453,0,0,1.0000,283.65,840.04,88.04,152.16,257.00,917.00,108.00,84.00,0.1502,81.44,1,0,3.1694,ACCEPT,0,1738,1127,32766,0,0,2453,0,0,0,0
92,0,1,1,ACCEPT,55.0424,8.5743,2598,0,0,1.0000,283.65,840.04,88.04,152.16,258.00,915.00,110.00,88.00,0.1675,79.23,1,0,3.1684,ACCEPT,0,1809,1176,32767,0,0,2598,0,0,0,0
93,0,1,1,ACCEPT,59.8010,9.3019,2465,0,0,1.0000,283.65,840.04,88.04,152.16,258.50,913.50,111.00,91.00,0.1797,77.65,1,0,3.1715,ACCEPT,0,1612,1177,32767,0,0,2465,0,0,0,0
94,0,1,1,ACCEPT,61.5533,8.7059,2516,0,0,1.0000,283.65,840.04,88.04,152.16,259.00,913.00,106.00,92.00,0.1814,77.01,1,0,3.1756,ACCEPT,0,1576,1215,32767,0,0,2516,0,0,0,0
95,0,1,1,ACCEPT,64.4589,9.3201,2591,0,0,1.0000,283.65,840.04,88.04,152.16,259.50,915.00,105.00,88.00,0.1686,78.75,1,0,3.1729,ACCEPT,0,1601,1250,32767,0,0,2591,0,0,0,0
