frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,262.50,304.50,79.00,33.00,262.50,304.50,79.00,33.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2276,20847,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,37.6877,7.0612,692,0,16,0.0434,262.50,316.88,79.00,33.00,264.00,315.50,82.00,35.00,0.8889,2.03,1,0,3.0581,ACCEPT,0,885,2102,19736,0,0,692,0,0,0,0
2,0,1,1,ACCEPT,32.9620,4.8269,753,3,17,0.0598,268.05,330.02,82.16,34.32,269.00,332.00,86.00,36.00,0.8548,2.19,1,1,2.9090,ACCEPT,0,1098,2107,16513,0,0,753,0,0,0,0
3,0,1,1,ACCEPT,36.1784,4.2473,773,3,14,0.0272,273.82,341.29,82.16,34.32,274.00,342.50,82.00,33.00,0.9266,1.22,1,0,3.1443,ACCEPT,0,686,1813,18112,0,0,773,0,0,0,0
4,0,1,1,ACCEPT,33.9848,4.3351,828,-1,12,0.0314,271.90,350.95,79.00,33.00,272.00,352.00,78.00,30.00,0.8976,1.06,1,-1,2.8907,ACCEPT,0,813,1777,22960,0,0,828,0,0,0,0
5,0,1,1,ACCEPT,59.6867,9.9545,1314,-2,-4,0.0594,268.20,347.85,79.00,33.00,268.50,348.50,81.00,33.00,0.9382,0.72,1,0,3.2101,ACCEPT,0,899,1926,21761,0,0,1314,0,0,0,0
6,0,1,1,ACCEPT,35.7740,4.5806,994,1,-4,0.0815,270.05,344.76,79.00,33.00,269.00,344.00,86.00,30.00,0.8413,1.29,1,0,2.9611,ACCEPT,0,807,1706,29985,0,0,994,0,0,0,0
7,0,1,1,ACCEPT,35.1049,4.4252,1301,2,-5,0.0169,273.75,340.89,82.16,34.32,272.50,340.50,85.00,33.00,0.9306,1.31,1,1,2.8701,ACCEPT,0,1210,1650,32767,0,0,1301,0,0,0,0
8,0,1,1,ACCEPT,38.0062,5.5904,1515,3,-9,0.0224,279.52,333.65,82.16,34.32,277.50,334.00,81.00,30.00,0.8338,2.05,1,0,2.8247,ACCEPT,0,1419,1697,31562,0,0,1515,0,0,0,0
9,0,1,1,ACCEPT,39.1724,5.6450,1733,-3,0,0.4784,273.75,333.65,79.00,33.00,275.00,335.00,80.00,32.00,0.8929,1.84,1,-1,3.0024,ACCEPT,0,1419,1954,22998,0,0,1733,0,0,0,0
10,0,1,1,ACCEPT,31.3481,4.4497,1593,-3,7,0.1394,268.20,339.06,79.00,33.00,270.50,338.00,81.00,38.00,0.8215,2.54,1,0,3.1594,ACCEPT,0,1584,1770,25357,0,0,1593,0,0,0,0
11,0,1,1,ACCEPT,25.0278,3.0584,1153,0,14,0.0243,268.20,349.89,79.00,33.00,268.50,347.50,87.00,37.00,0.7927,2.41,1,0,2.9662,ACCEPT,0,1478,1504,21629,0,0,1153,0,0,0,0
12,0,1,1,ACCEPT,23.9903,3.4297,854,3,24,0.0293,273.75,368.45,79.00,33.00,275.00,365.50,82.00,41.00,0.7754,3.21,1,0,2.9829,ACCEPT,0,1158,1258,19588,0,0,854,0,0,0,0
13,0,1,1,ACCEPT,22.3867,2.5806,929,1,20,0.0721,275.60,383.92,79.00,33.00,276.00,381.00,82.00,38.00,0.8172,2.95,1,0,3.0440,ACCEPT,0,1116,1356,22055,0,0,929,0,0,0,0
14,0,1,1,ACCEPT,19.9332,2.6158,892,-2,30,0.0774,271.90,407.12,79.00,33.00,272.50,407.00,85.00,34.00,0.9021,0.61,1,0,2.8045,ACCEPT,0,1830,1439,14730,0,0,892,0,0,0,0
15,0,1,1,ACCEPT,22.0173,2.7872,825,-3,30,0.0873,266.34,430.33,79.00,33.00,268.00,429.00,88.00,36.00,0.8229,2.12,1,0,3.0618,ACCEPT,0,1130,1370,14690,0,0,825,0,0,0,0
16,0,1,1,ACCEPT,10.2491,1.6822,434,-1,45,0.2327,264.49,465.13,79.00,33.00,263.50,461.50,85.00,41.00,0.7481,3.77,1,0,3.0250,ACCEPT,0,1492,1343,14112,0,0,434,0,0,0,0
17,0,1,1,ACCEPT,24.8892,2.8740,1095,2,22,0.0155,268.20,482.15,79.00,33.00,268.50,477.50,85.00,47.00,0.6526,4.66,1,0,2.9863,ACCEPT,0,1281,1995,14013,0,0,1095,0,0,0,0
18,0,1,1,ACCEPT,17.5581,2.1773,1093,-2,14,0.1619,264.49,492.98,79.00,33.00,263.00,491.00,88.00,40.00,0.7406,2.48,1,0,2.7254,ACCEPT,0,1650,2237,17066,0,0,1093,0,0,0,0
19,0,1,1,ACCEPT,29.1437,3.4642,1888,-2,0,0.6976,260.79,492.98,79.00,33.00,259.50,491.00,89.00,42.00,0.6974,2.36,1,0,2.6643,ACCEPT,0,2097,2133,16714,0,0,1888,0,0,0,0
20,0,1,1,ACCEPT,28.7001,3.5609,1638,-3,2,0.2350,255.23,494.52,79.00,33.00,255.50,492.00,93.00,42.00,0.6674,2.54,1,0,2.8141,ACCEPT,0,1935,1975,17878,0,0,1638,0,0,0,0
21,0,1,1,ACCEPT,26.4126,2.6959,1658,1,-2,0.6025,257.09,492.98,82.16,34.32,260.00,488.00,92.00,42.00,0.6889,5.77,1,1,2.5848,ACCEPT,0,1970,1819,17949,0,0,1658,0,0,0,0
22,0,1,1,ACCEPT,26.3464,2.8336,1618,4,-4,0.1094,264.77,489.76,82.16,34.32,263.50,487.00,91.00,38.00,0.7767,3.04,1,0,3.1016,ACCEPT,0,1805,1659,24315,0,0,1618,0,0,0,0
23,0,1,1,ACCEPT,24.2071,2.2373,1942,-2,1,0.8599,260.93,490.56,82.16,34.32,262.00,484.50,98.00,41.00,0.6120,6.16,1,0,2.7398,ACCEPT,0,2319,1932,18698,0,0,1942,0,0,0,0
