frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,173.00,337.50,86.00,67.00,173.00,337.50,86.00,67.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9766,11904,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,24.1376,3.7589,530,1,-1,0.8245,175.02,335.93,86.00,67.00,177.50,335.50,89.00,71.00,0.8921,2.52,1,0,2.9811,ACCEPT,0,877,8692,18526,0,0,530,0,0,0,0
2,0,1,1,ACCEPT,16.1341,2.2483,661,2,-2,0.3858,179.05,332.79,89.44,69.68,181.00,334.00,90.00,78.00,0.8569,2.30,1,1,2.7399,ACCEPT,0,1276,7283,17473,0,0,661,0,0,0,0
3,0,1,1,ACCEPT,19.3671,3.4160,813,1,-1,0.6617,181.14,331.16,89.44,69.68,186.00,333.50,88.00,77.00,0.8156,5.40,1,0,3.0686,ACCEPT,0,1531,6486,18071,0,0,813,0,0,0,0
4,0,1,1,ACCEPT,19.5281,2.6029,898,2,1,0.6325,185.33,332.79,89.44,69.68,190.50,335.00,97.00,78.00,0.8006,5.62,1,0,3.0247,ACCEPT,0,1386,5998,15078,0,0,898,0,0,0,0
5,0,1,1,ACCEPT,27.2108,3.9858,1120,1,2,0.6321,187.42,336.05,89.44,69.68,189.50,338.00,93.00,76.00,0.8762,2.85,1,0,2.9948,ACCEPT,0,1375,5742,15598,0,0,1120,0,0,0,0
6,0,1,1,ACCEPT,38.2224,7.9195,1378,0,3,0.3091,187.42,340.95,89.44,69.68,190.00,340.50,90.00,75.00,0.8787,2.62,1,0,3.0434,ACCEPT,0,1257,5242,15838,0,0,1378,0,0,0,0
7,0,1,1,ACCEPT,40.3279,5.5360,1539,0,2,0.5484,187.42,344.22,89.44,69.68,189.00,341.50,96.00,77.00,0.8431,3.14,1,0,3.0424,ACCEPT,0,1244,5367,16812,0,0,1539,0,0,0,0
8,0,1,1,ACCEPT,26.7265,2.8276,1312,0,0,1.0000,187.42,344.22,89.44,69.68,189.50,343.00,99.00,82.00,0.7677,2.41,1,0,2.9349,ACCEPT,0,1632,5570,16965,0,0,1312,0,0,0,0
9,0,1,1,ACCEPT,20.6360,3.4135,1164,1,-1,0.9210,189.52,342.59,93.02,72.47,192.00,343.00,94.00,84.00,0.8204,2.52,1,1,2.6850,ACCEPT,0,2041,4637,15160,0,0,1164,0,0,0,0
10,0,1,1,ACCEPT,22.2190,3.0136,1106,-1,0,0.8834,187.34,342.59,93.02,72.47,193.50,346.50,99.00,83.00,0.7708,7.30,1,0,2.8860,ACCEPT,0,1501,3864,12530,0,0,1106,0,0,0,0
11,0,1,1,ACCEPT,22.1783,3.9877,973,0,2,0.7348,187.34,345.98,93.02,72.47,189.50,350.00,97.00,84.00,0.8245,4.57,1,0,2.7708,ACCEPT,0,1569,3467,17085,0,0,973,0,0,0,0
12,0,1,1,ACCEPT,24.5401,4.3498,1231,-2,4,0.1803,182.98,352.76,93.02,72.47,188.50,358.00,97.00,84.00,0.7716,7.62,1,0,2.6158,ACCEPT,0,1495,3228,18067,0,0,1231,0,0,0,0
13,0,1,1,ACCEPT,28.6290,4.6357,1349,-2,5,0.1512,178.62,361.23,93.02,72.47,181.50,363.50,93.00,81.00,0.8435,3.67,1,0,2.6520,ACCEPT,0,1541,3117,17090,0,0,1349,0,0,0,0
14,0,1,1,ACCEPT,26.4984,4.7394,1455,-2,4,0.2282,174.26,368.02,93.02,72.47,178.00,369.00,94.00,82.00,0.8189,3.87,1,0,2.7717,ACCEPT,0,1787,3353,17464,0,0,1455,0,0,0,0
15,0,1,1,ACCEPT,27.3842,4.2993,1724,-1,2,0.7193,172.08,371.41,93.02,72.47,175.00,372.50,96.00,79.00,0.8633,3.12,1,0,2.6910,ACCEPT,0,1775,3746,16838,0,0,1724,0,0,0,0
16,0,1,1,ACCEPT,27.0902,3.9834,1677,-1,0,0.9463,169.90,371.41,93.02,72.47,173.50,373.00,99.00,86.00,0.7825,3.94,1,0,2.6241,ACCEPT,0,2241,3463,16740,0,0,1677,0,0,0,0
17,0,1,1,ACCEPT,22.3949,2.8448,1411,0,0,1.0000,169.90,371.41,96.74,75.37,174.00,374.00,100.00,90.00,0.7734,4.85,1,1,2.6417,ACCEPT,0,2085,2876,18131,0,0,1411,0,0,0,0
18,0,1,1,ACCEPT,21.5634,2.9019,1509,0,0,1.0000,169.90,371.41,96.74,75.37,173.50,372.50,99.00,91.00,0.7726,3.76,1,0,2.6393,ACCEPT,0,2739,2550,19001,0,0,1509,0,0,0,0
19,0,1,1,ACCEPT,26.0138,3.3177,1702,-3,2,0.2791,163.10,374.94,96.74,75.37,170.00,379.50,104.00,101.00,0.6553,8.27,1,0,2.7820,ACCEPT,0,2183,2700,16888,0,0,1702,0,0,0,0
20,0,1,1,ACCEPT,30.6407,5.2205,1728,-2,3,0.3368,158.57,380.23,96.74,75.37,166.00,384.00,106.00,94.00,0.6958,8.33,1,0,2.7674,ACCEPT,0,2017,2921,16564,0,0,1728,0,0,0,0
21,0,1,1,ACCEPT,31.0381,5.5116,1896,-2,4,0.1688,154.04,387.30,96.74,75.37,160.50,390.00,105.00,100.00,0.6665,7.00,1,0,2.7568,ACCEPT,0,2238,2919,17998,0,0,1896,0,0,0,0
22,0,1,1,ACCEPT,31.6642,5.9474,1921,-1,3,0.4685,151.77,392.59,96.74,75.37,161.00,396.50,112.00,105.00,0.6036,10.02,1,0,2.7327,ACCEPT,0,2121,3001,19633,0,0,1921,0,0,0,0
