frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,530.50,632.00,89.00,70.00,530.50,632.00,89.00,70.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1588,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,65.0652,12.2812,393,0,0,1.0000,530.50,632.00,89.00,70.00,525.50,628.50,85.00,73.00,0.8129,6.10,1,0,3.2859,ACCEPT,0,268,1458,32767,0,0,393,0,0,0,0
2,0,1,1,ACCEPT,39.1279,5.9625,477,0,0,1.0000,530.50,632.00,89.00,70.00,528.00,628.50,80.00,73.00,0.8205,4.30,1,0,2.9037,ACCEPT,0,520,1317,32767,0,0,477,0,0,0,0
3,0,1,1,ACCEPT,38.3219,5.3382,726,0,0,1.0000,530.50,632.00,89.00,70.00,523.50,627.50,87.00,71.00,0.7571,8.32,1,0,3.3210,ACCEPT,0,635,1435,32767,0,0,726,0,0,0,0
4,0,1,1,ACCEPT,36.4882,7.2586,842,0,0,1.0000,530.50,632.00,92.56,72.80,524.00,628.00,86.00,72.00,0.7790,7.63,1,1,3.3085,ACCEPT,0,771,1388,32767,0,0,842,0,0,0,0
5,0,1,1,ACCEPT,28.8826,5.2774,723,0,0,1.0000,530.50,632.00,92.56,72.80,526.50,628.50,89.00,73.00,0.8350,5.32,1,0,3.1585,ACCEPT,0,816,1160,32767,0,0,723,0,0,0,0
6,0,1,1,ACCEPT,27.6287,5.9245,628,0,0,1.0000,530.50,632.00,92.56,72.80,526.00,628.00,94.00,74.00,0.8179,6.02,1,0,2.9063,ACCEPT,0,669,1117,32767,0,0,628,0,0,0,0
7,0,1,1,ACCEPT,29.2825,6.0840,724,0,0,1.0000,530.50,632.00,92.56,72.80,527.00,629.50,96.00,77.00,0.8696,4.30,1,0,2.9742,ACCEPT,0,658,1219,32767,0,0,724,0,0,0,0
8,0,1,1,ACCEPT,29.3240,5.1486,762,0,0,1.0000,530.50,632.00,92.56,72.80,531.00,630.00,100.00,78.00,0.8639,2.06,1,0,2.9994,ACCEPT,0,802,1118,32768,0,0,762,0,0,0,0
9,0,1,1,ACCEPT,27.0011,4.6414,673,0,0,1.0000,530.50,632.00,92.56,72.80,537.00,629.50,86.00,77.00,0.8135,6.96,1,0,2.9390,ACCEPT,0,697,982,32767,0,0,673,0,0,0,0
10,0,1,1,ACCEPT,28.3266,4.1638,737,0,0,1.0000,530.50,632.00,92.56,72.80,539.00,630.50,90.00,75.00,0.7996,8.63,1,0,3.0740,ACCEPT,0,732,855,32767,0,0,737,0,0,0,0
11,0,1,1,ACCEPT,29.4870,4.2324,783,0,0,1.0000,530.50,632.00,92.56,72.80,538.50,632.00,91.00,70.00,0.8096,8.00,1,0,3.1172,ACCEPT,0,766,807,32767,0,0,783,0,0,0,0
12,0,1,1,ACCEPT,30.0166,4.5204,886,0,0,1.0000,530.50,632.00,92.56,72.80,540.50,630.50,93.00,71.00,0.7756,10.11,1,0,3.4085,ACCEPT,0,868,737,32767,0,0,886,0,0,0,0
13,0,1,1,ACCEPT,30.9995,4.4093,948,0,0,1.0000,530.50,632.00,92.56,72.80,540.50,630.00,93.00,78.00,0.7565,10.20,1,0,3.4512,ACCEPT,0,859,690,32767,0,0,948,0,0,0,0
14,0,1,1,ACCEPT,31.6975,4.5205,990,0,0,1.0000,530.50,632.00,92.56,72.80,541.50,627.00,93.00,74.00,0.6969,12.08,1,0,3.2158,ACCEPT,0,912,787,32767,0,0,990,0,0,0,0
15,0,1,1,ACCEPT,31.9993,4.7149,1075,0,0,1.0000,530.50,632.00,92.56,72.80,542.00,628.00,94.00,72.00,0.7069,12.18,1,0,3.1932,ACCEPT,0,1008,708,32767,0,0,1075,0,0,0,0
16,0,1,1,ACCEPT,34.4643,5.1870,1193,0,0,1.0000,530.50,632.00,92.56,72.80,542.50,628.50,95.00,73.00,0.7096,12.50,1,0,3.3719,ACCEPT,0,1038,692,32767,0,0,1193,0,0,0,0
17,0,1,1,ACCEPT,36.3162,6.0293,1236,0,0,1.0000,530.50,632.00,92.56,72.80,542.00,629.50,94.00,67.00,0.7250,11.77,1,0,3.4551,ACCEPT,0,1081,657,32767,0,0,1236,0,0,0,0
18,0,1,1,ACCEPT,38.4461,6.5050,1301,0,0,1.0000,530.50,632.00,92.56,72.80,542.50,629.50,93.00,69.00,0.7242,12.26,1,0,3.4929,ACCEPT,0,1130,693,32767,0,0,1301,0,0,0,0
